longname,Never Married % [StatCan],Married (not divorced) % [StatCan],Divorced % [StatCan]
"Edmonton--Wetaskiwin (Riding), Alberta, Canada",0.3218198028667374,0.58478398190925,0.09339621522401263
"Calgary Shepard (Riding), Alberta, Canada",0.3362176556425686,0.5579663378326195,0.10581600652481188
"Brampton West (Riding), Ontario, Canada",0.3377010080020259,0.6061308764398489,0.05616811555812518
"Calgary Skyview (Riding), Alberta, Canada",0.33147822361247914,0.5925258222640518,0.07599595412346902
"Banff--Airdrie (Riding), Alberta, Canada",0.32189008364223803,0.5733257134568583,0.10478420290090365
"Simcoe--Grey (Riding), Ontario, Canada",0.29835076585576065,0.5829905590159438,0.11865867512829556
"Durham (Riding), Ontario, Canada",0.3322595988325431,0.5659882532762984,0.10175214789115834
"Oakville North--Burlington (Riding), Ontario, Canada",0.30007577671129093,0.6243159046897363,0.07560831859897281
"King--Vaughan (Riding), Ontario, Canada",0.3071160950509892,0.6279522417783191,0.06493166317069171
"Niagara Falls (Riding), Ontario, Canada",0.3137262689649697,0.5565573119389942,0.1297164190960361
"Calgary Rocky Ridge (Riding), Alberta, Canada",0.3122055073418097,0.6072009596722393,0.08059353298595089
"Guelph (Riding), Ontario, Canada",0.38082955443690963,0.5105878437408994,0.10858260182219093
"Dufferin--Caledon (Riding), Ontario, Canada",0.3211184882533191,0.5887385086823295,0.09014300306435138
"Etobicoke--Lakeshore (Riding), Ontario, Canada",0.3960814204185163,0.48267343056436246,0.12124514901712115
"Brantford--Brant (Riding), Ontario, Canada",0.3446011835680386,0.5337726344211974,0.12162618201076404
"Orléans (Riding), Ontario, Canada",0.33162107440936334,0.5690097011967968,0.0993692243938398
"London West (Riding), Ontario, Canada",0.3428137805288389,0.54298919012006,0.11419702935110113
"Whitby (Riding), Ontario, Canada",0.32240339513066796,0.583203037748492,0.09439356712084
"London North Centre (Riding), Ontario, Canada",0.43876998161590386,0.4518741179010556,0.10935590048304054
"Milton (Riding), Ontario, Canada",0.2998372271160475,0.6272022213711222,0.07296055151283035
"North Okanagan--Shuswap (Riding), British Columbia, Canada",0.27906163145762364,0.5817265369404234,0.13921183160195297
"Kelowna--Lake Country (Riding), British Columbia, Canada",0.34800207717374826,0.534047011546129,0.11795091128012264
"Markham--Stouffville (Riding), Ontario, Canada",0.28117734369744196,0.645090131865912,0.07373252443664598
"Spadina--Fort York (Riding), Ontario, Canada",0.6280928308560526,0.29135743587705026,0.08054973326689718
