longname,Commute Car %,Commute Bike %,Commute Walk %,Commute Transit %,Commute Work From Home %,Commute Time < 15 min %,Commute Time 15 - 29 min %,Commute Time 30 - 59 min %,Commute Time > 60 min %
"CA-SD003, USA",0.8304410020042252,0.018552462069348127,0.017561853328026306,0.025582857870497255,0.09886931293533341,0.27751320356370696,0.2922657341884356,0.2598707067913537,0.17035035545650373
"CA-SD023, USA",0.8710858600208202,0.0030308194022195738,0.007448619654028645,0.014282607706626807,0.0914886243554006,0.1928004335696495,0.2933332604156869,0.26408200008189786,0.24978430593276563
"CA-SD004, USA",0.8628384559174315,0.006545311880528464,0.018292692006885325,0.008687480125224297,0.09343828984375593,0.2985294288105451,0.32089517798320205,0.24683955193781132,0.13373584126844146
"CA-SD010, USA",0.7432203215155786,0.009926929356648325,0.014897570574365904,0.0523176235426926,0.16989364181790056,0.16888716712246316,0.37074572769753716,0.342813696459179,0.11755340872082082
"CA-SD039, USA",0.7969536268010573,0.011609883827270445,0.028444784117860528,0.031239262558106586,0.12070150474533317,0.20738039334793296,0.45261175411229626,0.2774740331484511,0.06253381939131976
"CA-SD024, USA",0.7035109987670585,0.015415050629792657,0.044151685531355296,0.025452914166606343,0.1985184023403345,0.2189164882638354,0.34957170799703574,0.32124927612300525,0.11026252761612367
"CA-SD025, USA",0.7931286179894903,0.008499020055180813,0.02475432863091405,0.030115524721737,0.1300274339740488,0.19196975471199373,0.33417984626747843,0.34927021589265683,0.1245801831278711
"CA-SD033, USA",0.8334607638946205,0.007127719343337774,0.02427859970568732,0.04659867814705687,0.07700515068613295,0.1522896895020209,0.34425422063975714,0.3729876227475192,0.1304684671107027
"CA-SD015, USA",0.8074706000404731,0.007555762733654481,0.019403217298695288,0.032250058190147174,0.12469239352334953,0.1558742651301867,0.36140552161611905,0.3602829691828993,0.12243724407079477
"CA-SD021, USA",0.8412631640546222,0.016547409866347437,0.028597970688008248,0.01555187569664455,0.09241314278641913,0.30077548913234337,0.43806874323143913,0.20394882016647667,0.05720694746974075
"CA-SD005, USA",0.8466628136855862,0.0072454837236930495,0.012601713676116084,0.029881285771507816,0.09718610078098582,0.2409520689602141,0.3075399563182127,0.2295158779766601,0.22199209674491316
"CA-SD011, USA",0.4191012205769457,0.036567479633516115,0.09855326657762241,0.2615334351283275,0.16670462088036958,0.122694170647639,0.3370111731117632,0.40520383206247756,0.13509082417812024
"CA-SD037, USA",0.7950850423247525,0.009878733180411972,0.023246584671237684,0.009838783580744947,0.15151164078532445,0.2268070032338659,0.41260590267651315,0.2863047078321845,0.07428238625743647
"CA-SD013, USA",0.6948404603336309,0.028009517934538937,0.02785234533459564,0.05422872367964808,0.18309242822330574,0.20418449299588876,0.3813406931535715,0.3315740799863501,0.08290073386418967
