longname,"Agriculture, forestry, fishing and hunting %","Mining, quarrying, and oil and gas extraction %",Accommodation and food services %,"Arts, entertainment, and recreation %",Construction %,Educational services %,Health care and social assistance %,Finance and insurance %,Real estate and rental and leasing %,Information %,Manufacturing %,"Other services, except public administration %",Administrative and support and waste management services %,Management of companies and enterprises %,"Professional, scientific, and technical services %",Public administration %,Retail trade %,Transportation and warehousing %,Utilities %,Wholesale trade %
"Johnson Prairie, Cherokee OTSA, USA",0.0627797123118251,0.0060952413292167835,0.04266350585674805,0.016761913655346152,0.12708005150818494,0.14200829924833497,0.11564351539647988,0.039312396504786594,0.008532701171349608,0.010663488878359934,0.07161590217052777,0.067807968063652,0.016761913655346152,0.0,0.017825715784966598,0.07618096627190148,0.10574033996038734,0.02696857777879177,0.024380965316867134,0.021176825136928052
"Sams Corner, Cherokee OTSA, USA",0.0,0.0,0.0,0.03896103896103896,0.07359307359307359,0.12987012987012986,0.11255411255411256,0.0,0.0,0.0,0.22943722943722944,0.17316017316017315,0.06060606060606061,0.0,0.0,0.030303030303030304,0.0909090909090909,0.0,0.0,0.06060606060606061
"Indianola, Cherokee OTSA, USA",0.06832298136645963,0.0,0.0,0.0,0.11387163561076605,0.2401656314699793,0.13664596273291926,0.0,0.0,0.026915113871635605,0.14492753623188406,0.10144927536231885,0.0,0.0,0.028985507246376815,0.014492753623188408,0.024844720496894408,0.04347826086956521,0.05590062111801241,0.0
"White Water, Cherokee OTSA, USA",0.04495436275105084,0.021578094120504404,0.18423326346201344,0.0,0.12037369371757378,0.023334019258104192,0.1509361604848357,0.0,0.017051783303999216,0.016183570590378303,0.11234528248104801,0.13827743997656228,0.0062822359541049744,0.0,0.0,0.08898851356085954,0.06828188210570237,0.0071796982332628274,0.0,0.0
"Bluff View, Shakopee Mdewakanton Sioux Community and Off-Reservation Trust Land, USA",0.0,0.0,0.0181606850912212,0.016338533836466895,0.11504903196721694,0.025746474331132703,0.11572832707916558,0.05275514203080977,0.0679622899096639,0.07313040060958002,0.08683152499754218,0.022316747059263276,0.0,0.0,0.13760329463450516,0.03443955031481874,0.10085393282023687,0.12400372277276615,0.0,0.0090803425456106
"Zena, Cherokee OTSA, USA",0.0,0.019830028328611894,0.06232294617563739,0.05665722379603398,0.022662889518413595,0.09065155807365438,0.13314447592067988,0.0,0.02832861189801699,0.06232294617563739,0.06232294617563739,0.06232294617563739,0.12464589235127478,0.0,0.022662889518413595,0.048158640226628885,0.05665722379603398,0.11898016997167137,0.0,0.02832861189801699
"Chewey, Cherokee OTSA, USA",0.06698601657578102,0.0,0.11401806093744868,0.009894084978696515,0.0756455930331622,0.1385352065099252,0.12108088784925825,0.048131387137078395,0.008794742203285794,0.0,0.16549073261421668,0.0718501579367691,0.0,0.0,0.008794742203285794,0.01099342775410724,0.12471052068893103,0.0,0.03397509680264357,0.0010993427754107242
"Hopi-Winslow District, Hopi Reservation and Off-Reservation Trust Land, USA",0.11458333333333336,0.010416666666666668,0.13541666666666669,0.12500000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14583333333333331,0.08333333333333334,0.0,0.0,0.09375000000000001,0.28125000000000006,0.010416666666666668,0.0,0.0
"Birney District, Northern Cheyenne Indian Reservation and Off-Reservation Trust Land, USA",0.034777010905247666,0.009325668166605286,0.02022515092798694,0.03256201258667351,0.010083430749275389,0.45617883965602846,0.12432238538280467,0.01507646484218618,0.00017486828830848563,0.0,0.014668438836133047,0.009034221019424474,0.0,0.0,0.0,0.1561849248162442,0.05608980415392255,0.046162025397537124,0.01513475427162234,0.0
"McKey, Cherokee OTSA, USA",0.0,0.0,0.0,0.12179487179487182,0.14743589743589744,0.23717948717948723,0.12179487179487182,0.00641025641025641,0.03205128205128206,0.0,0.00641025641025641,0.0,0.0,0.0,0.0,0.04487179487179488,0.17948717948717952,0.00641025641025641,0.00641025641025641,0.08974358974358976
"Upper Polacca District, Hopi Reservation and Off-Reservation Trust Land, USA",0.0,0.0,0.038350060857015075,0.036295593311103554,0.049307221101876526,0.2508421909566174,0.2374846926113144,0.007533047668342247,0.028077723127457467,0.0,0.037353960755962215,0.008217870183646088,0.0,0.0,0.007533047668342247,0.17162760391180837,0.08834210447419544,0.033556303249888196,0.005478580122430725,0.0
"Salem, Cherokee OTSA, USA",0.01984126984126984,0.0,0.0992063492063492,0.011904761904761904,0.051587301587301584,0.07142857142857142,0.07142857142857142,0.003968253968253968,0.0,0.0,0.32936507936507936,0.027777777777777776,0.0,0.0,0.0,0.10714285714285714,0.13095238095238096,0.0,0.0,0.07539682539682539
"North Reservation, Shakopee Mdewakanton Sioux Community and Off-Reservation Trust Land, USA",0.000991080277502478,0.0,0.007928642220019823,0.06045589692765116,0.03369672943508425,0.11793855302279486,0.1754212091179386,0.10505450941526266,0.001982160555004956,0.0,0.1298315163528246,0.01883052527254708,0.0178394449950446,0.0,0.11892963330029735,0.0445986124876115,0.06541129831516353,0.011892963330029736,0.0,0.089197224975223
"Butte Creek Segment, Rosebud Indian Reservation and Off-Reservation Trust Land, USA",0.10563370916190401,0.0,0.21000785074056566,0.0,0.046077716601132114,0.10912167177417116,0.266848628834264,0.0033600542513095477,0.001809259981474372,0.000775397134917588,0.015562382140230167,0.0333584572889331,0.0012923285581959798,0.0,0.012811757708479008,0.10522565662238244,0.05868809702957431,0.0074955056375366836,0.020380732265094893,0.001550794269835176
"Narcissa, Cherokee OTSA, USA",0.013921113689095127,0.03480278422273782,0.06728538283062645,0.0,0.0951276102088167,0.10904872389791181,0.1740139211136891,0.08120649651972156,0.0,0.0,0.04408352668213457,0.04408352668213457,0.041763341067285374,0.0,0.0,0.06728538283062645,0.07192575406032484,0.10904872389791181,0.018561484918793503,0.027842227378190254
"Milk's Camp Segment, Rosebud Indian Reservation and Off-Reservation Trust Land, USA",0.17852673515284634,0.007136670802040437,0.055550253794310465,0.009630370637697271,0.07791085341407557,0.11437939683562878,0.11541268295041897,0.06140554177812155,0.005166430573950952,0.004642970966383604,0.01325368858963519,0.03199097025746238,0.01058095785134107,0.0,0.012647530080921452,0.02313215593077163,0.17611573421833587,0.08023915544743962,0.01074635565363385,0.011531545064984872
"Sycamore, Cherokee OTSA, USA",0.0,0.0,0.0,0.12179487179487174,0.1474358974358974,0.2371794871794871,0.12179487179487174,0.006410256410256408,0.03205128205128204,0.0,0.006410256410256408,0.0,0.0,0.0,0.0,0.04487179487179486,0.17948717948717943,0.006410256410256408,0.006410256410256408,0.08974358974358972
"Dodge, Cherokee OTSA, USA",0.06818642189668335,0.02543468839117753,0.17164522192317538,0.0,0.09780832539669324,0.019862063195924564,0.15262362277185046,0.001805642108720415,0.0045141052718010366,0.017721784711842836,0.13005309641284524,0.06933828367946639,0.01895924214156436,0.0,0.009028210543602073,0.09640742288548737,0.09404134231016067,0.017153600032843944,0.0009028210543602075,0.0045141052718010366
"White Rock Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.2526363631081001,0.0005465565031009444,0.08676372803999226,0.02642800753424486,0.04123865940913124,0.08197226873246871,0.01430863175755603,0.01430863175755603,0.0,0.029300459143988242,0.1375731861903169,0.11925445343104495,0.0,0.0008198347546514164,0.033717447554566404,0.0787880624223311,0.006015151502573811,0.07619191903260161,0.0001366391257752361
"Flute Springs, Cherokee OTSA, USA",0.03435804701627487,0.02893309222423147,0.09403254972875227,0.05063291139240507,0.11573236889692588,0.10669077757685354,0.1247739602169982,0.0,0.003616636528028934,0.0,0.12839059674502715,0.0488245931283906,0.02350813743218807,0.0,0.030741410488245937,0.043399638336347204,0.09584086799276675,0.0488245931283906,0.007233273056057868,0.014466546112115735
"Butler, Cherokee OTSA, USA",0.019573889828011844,0.009395467117445684,0.1459298495038613,0.0,0.13824009978757817,0.045027390699021896,0.1569117245611579,0.0,0.03290463166466985,0.007046600338084264,0.08244334763585244,0.21040621200516274,0.01212275903435205,0.0,0.0,0.05618078585369132,0.06996266021756538,0.013854581753545198,0.0,0.0
"Waterworks, Tulalip Reservation and Off-Reservation Trust Land, USA",0.01626241013713739,0.004336642703236638,0.06147299165816874,0.05931054715323196,0.14047732218895143,0.045552378924029295,0.10905429313053042,0.02168321351618319,0.015427662834492484,0.0,0.20274392322299437,0.02808403984784139,0.025666305123058814,0.0,0.03168419612494834,0.07270341059271054,0.07843075029466509,0.04481589249789961,0.010841606758091595,0.03145241329182869
"Marietta, Cherokee OTSA, USA",0.054688717417323014,0.0,0.05131232673074952,0.018473259009156247,0.08665636208362257,0.17253383701282676,0.11950101834979117,0.03985334099440484,0.0012819861323515517,0.009909919159753228,0.1515754951937867,0.03839992950635866,0.0005875769773277946,0.00032049653308788794,0.019819838319506455,0.06941726166254522,0.12040909186020685,0.03256639873277803,0.0,0.012693144324423592
"Brewer, Shakopee Mdewakanton Sioux Community and Off-Reservation Trust Land, USA",0.000991080277502478,0.0,0.007928642220019823,0.06045589692765115,0.03369672943508425,0.11793855302279485,0.17542120911793857,0.10505450941526266,0.001982160555004956,0.0,0.12983151635282458,0.01883052527254708,0.0178394449950446,0.0,0.11892963330029735,0.0445986124876115,0.06541129831516353,0.011892963330029736,0.0,0.089197224975223
