longname,PW Mean PM2.5 Pollution
"Toronto Population Center, ON, Canada",7.045013399994344
"Montréal Population Center, QC, Canada",7.628101799178659
"Vancouver Population Center, BC, Canada",5.523698007481449
"Calgary Population Center, AB, Canada",8.866689090102334
"Edmonton Population Center, AB, Canada",8.181476936049888
"Ottawa - Gatineau Population Center, QC-ON, Canada",6.189051857718886
"Winnipeg Population Center, MB, Canada",5.708544585098617
"Québec Population Center, QC, Canada",6.265294024084328
"Hamilton Population Center, ON, Canada",6.885888574550327
"Kitchener Population Center, ON, Canada",6.553047906786529
"London Population Center, ON, Canada",6.619876681311477
"Victoria Population Center, BC, Canada",4.984416060426728
"Halifax Population Center, NS, Canada",4.557889367820839
"Oshawa Population Center, ON, Canada",6.248895553970984
"Windsor Population Center, ON, Canada",8.320381369447382
"Saskatoon Population Center, SK, Canada",5.851583579999042
"St. Catharines - Niagara Falls Population Center, ON, Canada",6.457412140441982
"Regina Population Center, SK, Canada",5.449101186702279
"St. John's Population Center, NL, Canada",4.709604932583247
"Kelowna Population Center, BC, Canada",9.375695073653597
"Barrie Population Center, ON, Canada",5.856886946169741
"Sherbrooke Population Center, QC, Canada",5.842001196389817
"Guelph Population Center, ON, Canada",6.665452309820125
"Kanata Population Center, ON, Canada",5.963635620126581
"Abbotsford Population Center, BC, Canada",5.688542391636896
"Trois-Rivières Population Center, QC, Canada",6.519645784850142
"Kingston Population Center, ON, Canada",5.564248028409417
"Milton Population Center, ON, Canada",6.959235702341795
"Moncton Population Center, NB, Canada",4.067254257024597
"White Rock Population Center, BC, Canada",5.669249795188683
"Nanaimo Population Center, BC, Canada",4.784770786040455
"Brantford Population Center, ON, Canada",6.6860844330300875
"Chicoutimi - Jonquière Population Center, QC, Canada",5.028671619170922
"Saint-Jérôme Population Center, QC, Canada",6.675959047826916
"Red Deer Population Center, AB, Canada",7.481230473335449
"Thunder Bay Population Center, ON, Canada",4.5763251983316575
"Lethbridge Population Center, AB, Canada",5.699036464455179
"Kamloops Population Center, BC, Canada",10.033833675490555
"Sudbury Population Center, ON, Canada",4.5893688160819615
"Saint-Jean-sur-Richelieu Population Center, QC, Canada",6.965767222084224
"Peterborough Population Center, ON, Canada",5.722993030668279
"Chilliwack Population Center, BC, Canada",5.950673083239218
"Châteauguay Population Center, QC, Canada",7.3840676361668125
"Belleville Population Center, ON, Canada",5.693956325280485
"Sarnia Population Center, ON, Canada",6.913304695182429
"Airdrie Population Center, AB, Canada",8.938400924233257
"Drummondville Population Center, QC, Canada",6.604665255473521
"Welland - Pelham Population Center, ON, Canada",6.269958735188751
"Fort McMurray Population Center, AB, Canada",5.88734995819536
"Prince George Population Center, BC, Canada",9.8866089445413
"Sault Ste. Marie Population Center, ON, Canada",4.487142978852573
"Fredericton Population Center, NB, Canada",4.142322615258143
"Medicine Hat Population Center, AB, Canada",5.364961104125568
"Grande Prairie Population Center, AB, Canada",6.082982148753804
"Granby Population Center, QC, Canada",6.505433278502311
"Saint John Population Center, NB, Canada",4.044546268477679
"Bowmanville - Newcastle Population Center, ON, Canada",6.026473410826844
"Beloeil Population Center, QC, Canada",7.308351209918623
"Charlottetown Population Center, PE, Canada",4.075808118895653
"Vernon Population Center, BC, Canada",9.546270583165292
"North Bay Population Center, ON, Canada",4.715324957598579
"Saint-Hyacinthe Population Center, QC, Canada",7.038288674223674
"Brandon Population Center, MB, Canada",4.933031700989445
"Joliette Population Center, QC, Canada",6.525682487023729
"Courtenay Population Center, BC, Canada",4.715520540528632
"Cornwall Population Center, ON, Canada",5.804589955947735
"Victoriaville Population Center, QC, Canada",5.736541939113998
"Woodstock Population Center, ON, Canada",6.450501001339562
"St. Thomas Population Center, ON, Canada",6.378474138886346
"Chatham Population Center, ON, Canada",6.907245601606065
"Georgetown Population Center, ON, Canada",7.114217973222299
"Salaberry-de-Valleyfield Population Center, QC, Canada",6.67471352444013
"Spruce Grove Population Center, AB, Canada",7.72138531351288
"Shawinigan Population Center, QC, Canada",5.855253811448773
"Rimouski Population Center, QC, Canada",4.031443921656646
"Bradford Population Center, ON, Canada",6.510416855363174
"Campbell River Population Center, BC, Canada",4.557762535639948
"Penticton Population Center, BC, Canada",8.71914129130755
"Prince Albert Population Center, SK, Canada",5.8535212943611725
"Stouffville Population Center, ON, Canada",6.859400818463914
"Sorel Population Center, QC, Canada",6.664951439577061
"Mission Population Center, BC, Canada",5.416498472902267
"Leamington Population Center, ON, Canada",7.311487409257435
"Orangeville Population Center, ON, Canada",6.1717303135149955
"Leduc Population Center, AB, Canada",7.585864009356689
"Orillia Population Center, ON, Canada",5.682434035373836
"Stratford Population Center, ON, Canada",6.1665700544511575
"Moose Jaw Population Center, SK, Canada",5.229211956839857
"Cochrane Population Center, AB, Canada",8.346190974586019
