longname,Poverty %,LICO-AT %,Household Income < $50k %,Household Income $50k - $100k %,Household Income > $100k %,Household income < C$50k %,Household income C$50k - C$100k %,Household income > C$100k %,Individual Income < $50k %,Individual Income $50k - $100k %,Individual Income > $100k %,Individual income < C$50k %,Individual income C$50k - C$100k %,Individual income > C$100k %
"Uíge Urban Center, Angola",,,,,,,,,,,,,,
"Francisco Morato Urban Center, Brazil",,,,,,,,,,,,,,
"Shouguang Urban Center, China",,,,,,,,,,,,,,
"Cumana Urban Center, Venezuela",,,,,,,,,,,,,,
"Ranghulu Urban Center, China",,,,,,,,,,,,,,
"Jijiga Urban Center, Ethiopia",,,,,,,,,,,,,,
"Ezbet Abu Habashi Urban Center, Egypt",,,,,,,,,,,,,,
"Abuja (Niger) Urban Center, Nigeria",,,,,,,,,,,,,,
"Saki Urban Center, Nigeria",,,,,,,,,,,,,,
"Bulawayo Urban Center, Zimbabwe",,,,,,,,,,,,,,
"三水区 Urban Center, China",,,,,,,,,,,,,,
"Qamishli Urban Center, Syria-Turkey",,,,,,,,,,,,,,
"Silvassa Urban Center, India",,,,,,,,,,,,,,
"Valletta Urban Center, Malta",,,,,,,,,,,,,,
"Charsadda Urban Center, Pakistan",,,,,,,,,,,,,,
"Hanzhong Urban Center, China",,,,,,,,,,,,,,
"Boa Vista Urban Center, Brazil",,,,,,,,,,,,,,
"Setif Urban Center, Algeria",,,,,,,,,,,,,,
"Augsburg Urban Center, Germany",,,,,,,,,,,,,,
"Kebkabiya Urban Center, Sudan",,,,,,,,,,,,,,
"Palu Urban Center, Indonesia",,,,,,,,,,,,,,
"Neiva Urban Center, Colombia",,,,,,,,,,,,,,
"Jingmen Urban Center, China",,,,,,,,,,,,,,
"Godhra Urban Center, India",,,,,,,,,,,,,,
"Xiantao Urban Center, China",,,,,,,,,,,,,,
"Viluppuram Urban Center, India",,,,,,,,,,,,,,
"临淄区 Urban Center, China",,,,,,,,,,,,,,
"Liyang Urban Center, China",,,,,,,,,,,,,,
"Orai Urban Center, India",,,,,,,,,,,,,,
"Tianmen Urban Center, China",,,,,,,,,,,,,,
"Jizzax Urban Center, Uzbekistan",,,,,,,,,,,,,,
"Giridih Urban Center, India",,,,,,,,,,,,,,
"Nakuru Urban Center, Kenya",,,,,,,,,,,,,,
"Puruliya Urban Center, India",,,,,,,,,,,,,,
"Bhagalpur Urban Center, India",,,,,,,,,,,,,,
"Holguín Urban Center, Cuba",,,,,,,,,,,,,,
"Bo Urban Center, Sierra Leone",,,,,,,,,,,,,,
"Chimoio Urban Center, Mozambique",,,,,,,,,,,,,,
"Stoke-on-Trent Urban Center, United Kingdom",,,,,,,,,,,,,,
"Sakarya [Adapazarı] Urban Center, Turkey",,,,,,,,,,,,,,
"Gaoyou Urban Center, China",,,,,,,,,,,,,,
"Montería Urban Center, Colombia",,,,,,,,,,,,,,
"Timișoara Urban Center, Romania",,,,,,,,,,,,,,
"Catia La Mar Urban Center, Venezuela",,,,,,,,,,,,,,
"Malmö Urban Center, Sweden",,,,,,,,,,,,,,
"Kushinagar Urban Center, India",,,,,,,,,,,,,,
"Valladolid Urban Center, Spain",,,,,,,,,,,,,,
"Daura Urban Center, Nigeria",,,,,,,,,,,,,,
"Thakurdwara Urban Center, India",,,,,,,,,,,,,,
"Bettiah Urban Center, India",,,,,,,,,,,,,,
"Pasto Urban Center, Colombia",,,,,,,,,,,,,,
"Mathura Urban Center, India",,,,,,,,,,,,,,
"Dahod Urban Center, India",,,,,,,,,,,,,,
"Newport News Urban Center, USA",0.14955575890804432,,0.4217311397309164,0.33592520545763566,0.24234365481144785,,,,0.6755225952467689,0.24497218350657735,0.0795052212466537,,,
"Bukittinggi Urban Center, Indonesia",,,,,,,,,,,,,,
"Trenggalek Urban Center, Indonesia",,,,,,,,,,,,,,
"Qazvin Urban Center, Iran",,,,,,,,,,,,,,
"Port Moresby Urban Center, Papua New Guinea",,,,,,,,,,,,,,
"Rio Branco Urban Center, Brazil",,,,,,,,,,,,,,
"Muzaffargarh Urban Center, Pakistan",,,,,,,,,,,,,,
"Itahari Urban Center, Nepal",,,,,,,,,,,,,,
"Yongcheng Urban Center, China",,,,,,,,,,,,,,
"Muktagacha Urban Center, Bangladesh",,,,,,,,,,,,,,
"Baidoa Urban Center, Somalia",,,,,,,,,,,,,,
"Bilbeis Urban Center, Egypt",,,,,,,,,,,,,,
"Quelimane Urban Center, Mozambique",,,,,,,,,,,,,,
"Bydgoszcz Urban Center, Poland",,,,,,,,,,,,,,
"Hechuan Urban Center, China",,,,,,,,,,,,,,
"Tonghua (Eastern Jilin Sheng) Urban Center, China",,,,,,,,,,,,,,
"Rouen Urban Center, France",,,,,,,,,,,,,,
"Shashamane Urban Center, Ethiopia",,,,,,,,,,,,,,
"Waukegan Urban Center, USA",0.10846795090922816,,0.33597523816388375,0.3038840914343696,0.3601406704017467,,,,0.6660353833389672,0.22754102524922412,0.10642359141180871,,,
"Aksu Urban Center, China",,,,,,,,,,,,,,
"Dashiqiao Urban Center, China",,,,,,,,,,,,,,
"Cluj-Napoca Urban Center, Romania",,,,,,,,,,,,,,
"Bhadohi Urban Center, India",,,,,,,,,,,,,,
"Desouk Urban Center, Egypt",,,,,,,,,,,,,,
"Wafangdian Urban Center, China",,,,,,,,,,,,,,
"Nizhny Tagil Urban Center, Russia",,,,,,,,,,,,,,
"Kitchener Urban Center, Canada",,0.08136080592529535,,,,0.24066864525534762,0.3490138944426372,0.4103174603020151,,,,0.6049886547359186,0.29345395762388543,0.10155738764019594
"Xichang Urban Center, China",,,,,,,,,,,,,,
"Pakpattan Urban Center, Pakistan",,,,,,,,,,,,,,
"Ciudad Victoria Urban Center, Mexico",,,,,,,,,,,,,,
"Jehangira Dobandi Urban Center, Pakistan",,,,,,,,,,,,,,
"Chitungwiza Urban Center, Zimbabwe",,,,,,,,,,,,,,
"Chuzhou Urban Center, China",,,,,,,,,,,,,,
"Puri Urban Center, India",,,,,,,,,,,,,,
"Karlsruhe Urban Center, Germany",,,,,,,,,,,,,,
"Leiden Urban Center, Netherlands",,,,,,,,,,,,,,
"Kirov Urban Center, Russia",,,,,,,,,,,,,,
"Lokoja Urban Center, Nigeria",,,,,,,,,,,,,,
"Jianyang (Sichuan Sheng) Urban Center, China",,,,,,,,,,,,,,
"Brno Urban Center, Czech Republic",,,,,,,,,,,,,,
"Nadiad Urban Center, India",,,,,,,,,,,,,,
"Muridke Urban Center, Pakistan",,,,,,,,,,,,,,
"Swabi Urban Center, Pakistan",,,,,,,,,,,,,,
"Arrah Urban Center, India",,,,,,,,,,,,,,
"Ya'an Urban Center, China",,,,,,,,,,,,,,
"Pemalang Urban Center, Indonesia",,,,,,,,,,,,,,
"Sikar Urban Center, India",,,,,,,,,,,,,,
"Port Sudan Urban Center, Sudan",,,,,,,,,,,,,,
"La Paz Urban Center, Mexico",,,,,,,,,,,,,,
"Uvira Urban Center, Democratic Republic of the Congo",,,,,,,,,,,,,,
"Morogoro Urban Center, Tanzania",,,,,,,,,,,,,,
"Al Bustan Urban Center, Egypt",,,,,,,,,,,,,,
"Naga Urban Center, Philippines",,,,,,,,,,,,,,
"Pachuca Urban Center, Mexico",,,,,,,,,,,,,,
"Bari Urban Center, Italy",,,,,,,,,,,,,,
"Tambov Urban Center, Russia",,,,,,,,,,,,,,
"Gumi-si Urban Center, South Korea",,,,,,,,,,,,,,
"Varna Urban Center, Bulgaria",,,,,,,,,,,,,,
"Saharsa Urban Center, India",,,,,,,,,,,,,,
"Vigo Urban Center, Spain",,,,,,,,,,,,,,
"Burhanpur Urban Center, India",,,,,,,,,,,,,,
"Temuco Urban Center, Chile",,,,,,,,,,,,,,
"Khorramabad Urban Center, Iran",,,,,,,,,,,,,,
"Montpellier Urban Center, France",,,,,,,,,,,,,,
"Zhangqiu Urban Center, China",,,,,,,,,,,,,,
"Saransk Urban Center, Russia",,,,,,,,,,,,,,
"Dili Urban Center, East Timor",,,,,,,,,,,,,,
"Attingal Urban Center, India",,,,,,,,,,,,,,
"Kapaklı Urban Center, Turkey",,,,,,,,,,,,,,
"Liuyang Urban Center, China",,,,,,,,,,,,,,
"Canoas Urban Center, Brazil",,,,,,,,,,,,,,
"P'yŏngsŏng Urban Center, North Korea",,,,,,,,,,,,,,
"Khurja Urban Center, India",,,,,,,,,,,,,,
"Kafr Haggag Urban Center, Egypt",,,,,,,,,,,,,,
"Lublin Urban Center, Poland",,,,,,,,,,,,,,
"Kharupetia Urban Center, India",,,,,,,,,,,,,,
"Gold Coast Urban Center, Australia",,,,,,,,,,,,,,
"Linqu Urban Center, China",,,,,,,,,,,,,,
"Bauru Urban Center, Brazil",,,,,,,,,,,,,,
"Ciudad Obregón Urban Center, Mexico",,,,,,,,,,,,,,
"Iseyin Urban Center, Nigeria",,,,,,,,,,,,,,
"Ijebu-Ode Urban Center, Nigeria",,,,,,,,,,,,,,
"Cantón Santo Domingo de los Tsachilas Urban Center, Ecuador",,,,,,,,,,,,,,
"Ensenada Urban Center, Mexico",,,,,,,,,,,,,,
"Kebumen Urban Center, Indonesia",,,,,,,,,,,,,,
"Szczecin Urban Center, Poland",,,,,,,,,,,,,,
"Yuzhou Urban Center, China",,,,,,,,,,,,,,
"Salatiga Urban Center, Indonesia",,,,,,,,,,,,,,
"Palm Bay Urban Center, USA",0.10540788994253077,,0.39188825879397104,0.3225366685741994,0.28557507263182946,,,,0.6870261252585664,0.20724860594962297,0.1057252687918106,,,
"Balıkesir Urban Center, Turkey",,,,,,,,,,,,,,
"Uruapan Urban Center, Mexico",,,,,,,,,,,,,,
"Asahikawa Urban Center, Japan",,,,,,,,,,,,,,
"Hull Urban Center, United Kingdom",,,,,,,,,,,,,,
"Gravataí Urban Center, Brazil",,,,,,,,,,,,,,
"Cangnan Urban Center, China",,,,,,,,,,,,,,
"Hartford Urban Center, USA",0.19013840103605326,,0.45156703582174273,0.26367096746590407,0.2847619967123532,,,,0.6746355996402637,0.21988345306719226,0.105480947292544,,,
"Haeju Urban Center, North Korea",,,,,,,,,,,,,,
"Xinzheng Urban Center, China",,,,,,,,,,,,,,
"Bhadrak Urban Center, India",,,,,,,,,,,,,,
"Nam Định Urban Center, Vietnam",,,,,,,,,,,,,,
"Rudrapur Urban Center, India",,,,,,,,,,,,,,
"Hải Dương Urban Center, Vietnam",,,,,,,,,,,,,,
"Villavicencio Urban Center, Colombia",,,,,,,,,,,,,,
"Rangkasbitung Urban Center, Indonesia",,,,,,,,,,,,,,
"Palmdale Urban Center, USA",0.1828535853982904,,0.4041725832076639,0.3155541344737408,0.28027328231859533,,,,0.7100703393555741,0.20832867088155171,0.08160098976287422,,,
"Gombe Urban Center, Nigeria",,,,,,,,,,,,,,
"Torit Urban Center, South Sudan",,,,,,,,,,,,,,
"Iquique Urban Center, Chile",,,,,,,,,,,,,,
"Chiniot Urban Center, Pakistan",,,,,,,,,,,,,,
"Ningde Urban Center, China",,,,,,,,,,,,,,
"Gondia Urban Center, India",,,,,,,,,,,,,,
"Ciudad Bolívar Urban Center, Venezuela",,,,,,,,,,,,,,
"海丰县 Urban Center, China",,,,,,,,,,,,,,
"Chimbote Urban Center, Peru",,,,,,,,,,,,,,
"Indio Urban Center, USA",0.14842116074473288,,0.435862476445857,0.2702868410099737,0.2938506825441693,,,,0.6750684592366862,0.19828443933418072,0.12664710142913302,,,
"Malemba Nkulu Urban Center, Democratic Republic of the Congo",,,,,,,,,,,,,,
"Thanh Hóa Urban Center, Vietnam",,,,,,,,,,,,,,
"Cascavel Urban Center, Brazil",,,,,,,,,,,,,,
"Pamplona Urban Center, Spain",,,,,,,,,,,,,,
"Madaripur Urban Center, Bangladesh",,,,,,,,,,,,,,
"Mito Urban Center, Japan",,,,,,,,,,,,,,
"Sihui Urban Center, China",,,,,,,,,,,,,,
"Pare Urban Center, Indonesia",,,,,,,,,,,,,,
"Nashville Urban Center, USA",0.17471575560529765,,0.4089428417180123,0.2989872826848708,0.2920698755971169,,,,0.6652107466484702,0.22081060131340463,0.11397865203812503,,,
"Tacna Urban Center, Peru",,,,,,,,,,,,,,
"Cap-Haitien Urban Center, Haiti",,,,,,,,,,,,,,
"Kaluga Urban Center, Russia",,,,,,,,,,,,,,
"Banda (Southern Uttar Pradesh) Urban Center, India",,,,,,,,,,,,,,
"Modesto Urban Center, USA",0.1451663121065374,,0.3798575162893736,0.3234355130769764,0.29670697063365004,,,,0.7032604502585272,0.21294914183075145,0.08379040791072137,,,
"Vizianagaram Urban Center, India",,,,,,,,,,,,,,
"Caruaru Urban Center, Brazil",,,,,,,,,,,,,,
"Novi Sad Urban Center, Serbia",,,,,,,,,,,,,,
"Weinan Urban Center, China",,,,,,,,,,,,,,
"Eindhoven Urban Center, Netherlands",,,,,,,,,,,,,,
"Mirpur Khas Urban Center, Pakistan",,,,,,,,,,,,,,
"Smolensk Urban Center, Russia",,,,,,,,,,,,,,
"宝坻区 Urban Center, China",,,,,,,,,,,,,,
"Huddersfield Urban Center, United Kingdom",,,,,,,,,,,,,,
"Parakou Urban Center, Benin",,,,,,,,,,,,,,
"Makurdi Urban Center, Nigeria",,,,,,,,,,,,,,
"Shangyu Urban Center, China",,,,,,,,,,,,,,
"Gorgan Urban Center, Iran",,,,,,,,,,,,,,
"Kanggye Urban Center, North Korea",,,,,,,,,,,,,,
"Umuahia Urban Center, Nigeria",,,,,,,,,,,,,,
"Kamra Urban Center, Pakistan",,,,,,,,,,,,,,
"Manikgonj Urban Center, Bangladesh",,,,,,,,,,,,,,
"Campos dos Goytacazes Urban Center, Brazil",,,,,,,,,,,,,,
"Ulan-Ude Urban Center, Russia",,,,,,,,,,,,,,
"Lakhimpur Urban Center, India",,,,,,,,,,,,,,
"Leping (Jiangxi Sheng) Urban Center, China",,,,,,,,,,,,,,
"Ngaoundéré Urban Center, Cameroon",,,,,,,,,,,,,,
"Matadi Urban Center, Democratic Republic of the Congo",,,,,,,,,,,,,,
"Ghent Urban Center, Belgium",,,,,,,,,,,,,,
"Bhiwani Urban Center, India",,,,,,,,,,,,,,
"Jatiwangi Urban Center, Indonesia",,,,,,,,,,,,,,
"Suihua Urban Center, China",,,,,,,,,,,,,,
"Gojra Urban Center, Pakistan",,,,,,,,,,,,,,
"Dhamar Urban Center, Yemen",,,,,,,,,,,,,,
"Khammam Urban Center, India",,,,,,,,,,,,,,
"Bhusawal Urban Center, India",,,,,,,,,,,,,,
"Kongolo Urban Center, Democratic Republic of the Congo",,,,,,,,,,,,,,
"Bidar Urban Center, India",,,,,,,,,,,,,,
"Gongyi Urban Center, China",,,,,,,,,,,,,,
"Poltava Urban Center, Ukraine",,,,,,,,,,,,,,
"Kursk Urban Center, Russia",,,,,,,,,,,,,,
"Udupi Urban Center, India",,,,,,,,,,,,,,
"Jigani Urban Center, India",,,,,,,,,,,,,,
"Chonburi Urban Center, Thailand",,,,,,,,,,,,,,
"Yanjiao Urban Center, China",,,,,,,,,,,,,,
"Ranipettai Urban Center, India",,,,,,,,,,,,,,
"Hama Urban Center, Syria",,,,,,,,,,,,,,
"Białystok Urban Center, Poland",,,,,,,,,,,,,,
"Dera Ismail Khan Urban Center, Pakistan",,,,,,,,,,,,,,
"Oxnard Urban Center, USA",0.11015882072634067,,0.3077077127920619,0.31546463220588805,0.3768276550020501,,,,0.6966238048608391,0.21459876283343685,0.08877743230572416,,,
"Sirsa Urban Center, India",,,,,,,,,,,,,,
"Anlu Urban Center, China",,,,,,,,,,,,,,
"Camagüey Urban Center, Cuba",,,,,,,,,,,,,,
"Antioch Urban Center, USA",0.10536629677190637,,0.25395769188996425,0.2874822844993891,0.45856002361064674,,,,0.6179510013997458,0.2469354312778695,0.13511356732238472,,,
"Suizhou Urban Center, China",,,,,,,,,,,,,,
"Ratlam Urban Center, India",,,,,,,,,,,,,,
"Duri Urban Center, Indonesia",,,,,,,,,,,,,,
"Graz Urban Center, Austria",,,,,,,,,,,,,,
"Uberaba Urban Center, Brazil",,,,,,,,,,,,,,
"Kherson Urban Center, Ukraine",,,,,,,,,,,,,,
"Trabzon Urban Center, Turkey",,,,,,,,,,,,,,
"Xuanwei Urban Center, China",,,,,,,,,,,,,,
"Thái Nguyên Urban Center, Vietnam",,,,,,,,,,,,,,
"Siem Reap Urban Center, Cambodia",,,,,,,,,,,,,,
"Pratapgarh (Uttar Pradesh) Urban Center, India",,,,,,,,,,,,,,
"Huairou Urban Center, China",,,,,,,,,,,,,,
"Dehri Urban Center, India",,,,,,,,,,,,,,
"Dhubri Urban Center, India",,,,,,,,,,,,,,
"Mandi Bahauddin Urban Center, Pakistan",,,,,,,,,,,,,,
"Renqiu Urban Center, China",,,,,,,,,,,,,,
"Baicheng (Jilin Sheng) Urban Center, China",,,,,,,,,,,,,,
"Kilima Hewa Urban Center, Tanzania",,,,,,,,,,,,,,
"Mansa Nagar Urban Center, India",,,,,,,,,,,,,,
"Gaibandha Urban Center, Bangladesh",,,,,,,,,,,,,,
"Gonder Urban Center, Ethiopia",,,,,,,,,,,,,,
"Madison Urban Center, USA",0.1665438782431398,,0.37041427930119597,0.3054794974069998,0.3241062232918042,,,,0.6160172643599083,0.26412824416766684,0.11985449147242472,,,
"Jacobabad Urban Center, Pakistan",,,,,,,,,,,,,,
"Hafar Al-Batin Urban Center, Saudi Arabia",,,,,,,,,,,,,,
"惠来县 Urban Center, China",,,,,,,,,,,,,,
"Oryol Urban Center, Russia",,,,,,,,,,,,,,
"Semey Urban Center, Kazakhstan",,,,,,,,,,,,,,
"Singaraja (Bali) Urban Center, Indonesia",,,,,,,,,,,,,,
"Sarajevo Urban Center, Bosnia and Herzegovina",,,,,,,,,,,,,,
"Hosapete Urban Center, India",,,,,,,,,,,,,,
"Karaganda Urban Center, Kazakhstan",,,,,,,,,,,,,,
"Beed Urban Center, India",,,,,,,,,,,,,,
"Sikasso Urban Center, Mali",,,,,,,,,,,,,,
"Sri Ganganagar Urban Center, India",,,,,,,,,,,,,,
"Buôn Ma Thuột Urban Center, Vietnam",,,,,,,,,,,,,,
"Busto Arsizio Urban Center, Italy",,,,,,,,,,,,,,
"Nagano Urban Center, Japan",,,,,,,,,,,,,,
"Narowal Urban Center, Pakistan",,,,,,,,,,,,,,
"Pamekasan Urban Center, Indonesia",,,,,,,,,,,,,,
"Katni Urban Center, India",,,,,,,,,,,,,,
"Edendale Urban Center, South Africa",,,,,,,,,,,,,,
"津南区 Urban Center, China",,,,,,,,,,,,,,
"Gboko Urban Center, Nigeria",,,,,,,,,,,,,,
"Nicosia Urban Center, Cyprus",,,,,,,,,,,,,,
"Wazirabad Urban Center, Pakistan",,,,,,,,,,,,,,
"Barmer Urban Center, India",,,,,,,,,,,,,,
"A Coruña Urban Center, Spain",,,,,,,,,,,,,,
"Dumai Urban Center, Indonesia",,,,,,,,,,,,,,
"Valsad Urban Center, India",,,,,,,,,,,,,,
"Coatzacoalcos Urban Center, Mexico",,,,,,,,,,,,,,
"Kangson Urban Center, North Korea",,,,,,,,,,,,,,
"Pelotas Urban Center, Brazil",,,,,,,,,,,,,,
"Ponta Grossa Urban Center, Brazil",,,,,,,,,,,,,,
"Ikerre Urban Center, Nigeria",,,,,,,,,,,,,,
"Sincelejo Urban Center, Colombia",,,,,,,,,,,,,,
"Dessie Urban Center, Ethiopia",,,,,,,,,,,,,,
"Kismayo Urban Center, Somalia",,,,,,,,,,,,,,
"Burewala Urban Center, Pakistan",,,,,,,,,,,,,,
"Fukuyama Urban Center, Japan",,,,,,,,,,,,,,
"Khandwa Urban Center, India",,,,,,,,,,,,,,
"Tapachula Urban Center, Mexico",,,,,,,,,,,,,,
"Kolwezi Urban Center, Democratic Republic of the Congo",,,,,,,,,,,,,,
"Dhaulpur Urban Center, India",,,,,,,,,,,,,,
"Tukh Urban Center, Egypt",,,,,,,,,,,,,,
"Lexington Urban Center, USA",0.1680136436260848,,0.4322859647046644,0.2943807979294664,0.27333323736586923,,,,0.6855384892513521,0.2137488086617744,0.10071270208687368,,,
"Oshawa Urban Center, Canada",,0.03487646433882133,,,,0.1865450075215222,0.3261178305237505,0.4873371619547273,,,,0.5836411985707802,0.3015444642521679,0.11481433717705183
"Ningguo Urban Center, China",,,,,,,,,,,,,,
"Juba Urban Center, South Sudan",,,,,,,,,,,,,,
"Tagum Urban Center, Philippines",,,,,,,,,,,,,,
"Gaoan Urban Center, China",,,,,,,,,,,,,,
"Barinas Urban Center, Venezuela",,,,,,,,,,,,,,
"Chaohu Urban Center, China",,,,,,,,,,,,,,
"Nag Hammadi Urban Center, Egypt",,,,,,,,,,,,,,
"Hyesan Urban Center, China-North Korea",,,,,,,,,,,,,,
"Provo Urban Center, USA",0.14462054916931036,,0.36580578805450925,0.33004824181970976,0.304145970125781,,,,0.7556520801662914,0.1634966839121916,0.08085123592151704,,,
"Hezhou Urban Center, China",,,,,,,,,,,,,,
"Xinmi Urban Center, China",,,,,,,,,,,,,,
"Bafoussam Urban Center, Cameroon",,,,,,,,,,,,,,
"Kaesong Urban Center, North Korea",,,,,,,,,,,,,,
"Taishan Urban Center, China",,,,,,,,,,,,,,
"Cabimas Urban Center, Venezuela",,,,,,,,,,,,,,
"Shengzhou (Zhejiang Sheng) Urban Center, China",,,,,,,,,,,,,,
"Igbe Urban Center, Nigeria",,,,,,,,,,,,,,
"Bo'ai Urban Center, China",,,,,,,,,,,,,,
"Purnia Urban Center, India",,,,,,,,,,,,,,
"Gembongan Urban Center, Indonesia",,,,,,,,,,,,,,
"Hagen Urban Center, Germany",,,,,,,,,,,,,,
"Nankang Urban Center, China",,,,,,,,,,,,,,
"Guangfeng Urban Center, China",,,,,,,,,,,,,,
"Popayán Urban Center, Colombia",,,,,,,,,,,,,,
"Abéché Urban Center, Chad",,,,,,,,,,,,,,
"Habra Urban Center, India",,,,,,,,,,,,,,
"Chizhou Urban Center, China",,,,,,,,,,,,,,
"Bhind Urban Center, India",,,,,,,,,,,,,,
"Namibe Urban Center, Angola",,,,,,,,,,,,,,
"Thái Bình (Thái Bình) Urban Center, Vietnam",,,,,,,,,,,,,,
"Colima Urban Center, Mexico",,,,,,,,,,,,,,
"Sapele Urban Center, Nigeria",,,,,,,,,,,,,,
"Ulanqab Urban Center, China",,,,,,,,,,,,,,
"Cherkasy Urban Center, Ukraine",,,,,,,,,,,,,,
"Botou Urban Center, China",,,,,,,,,,,,,,
"Xintai Urban Center, China",,,,,,,,,,,,,,
"Kaunas Urban Center, Lithuania",,,,,,,,,,,,,,
"Quy Nhơn Urban Center, Vietnam",,,,,,,,,,,,,,
"Cherepovets Urban Center, Russia",,,,,,,,,,,,,,
"Ljubljana Urban Center, Slovenia",,,,,,,,,,,,,,
"Bangaon Urban Center, India",,,,,,,,,,,,,,
"Iași Urban Center, Romania",,,,,,,,,,,,,,
"Bayannur Urban Center, China",,,,,,,,,,,,,,
"Gamboru Urban Center, Cameroon-Nigeria",,,,,,,,,,,,,,
"Bijnor Urban Center, India",,,,,,,,,,,,,,
"Damoh Urban Center, India",,,,,,,,,,,,,,
"Karur Urban Center, India",,,,,,,,,,,,,,
"Volzhskiy Urban Center, Russia",,,,,,,,,,,,,,
"Quảng Ngãi Urban Center, Vietnam",,,,,,,,,,,,,,
"Kertosono Urban Center, Indonesia",,,,,,,,,,,,,,
"Los Teques Urban Center, Venezuela",,,,,,,,,,,,,,
"Murmansk Urban Center, Russia",,,,,,,,,,,,,,
"Naypyidaw Urban Center, Myanmar",,,,,,,,,,,,,,
"Spokane Urban Center, USA",0.15420950302420394,,0.45212130496049885,0.3265801878303753,0.22129850720912586,,,,0.723139260931681,0.21751172955182493,0.05934900951649414,,,
"Sanmenxia Urban Center, China",,,,,,,,,,,,,,
"Pavlodar Urban Center, Kazakhstan",,,,,,,,,,,,,,
"Lausanne Urban Center, Switzerland",,,,,,,,,,,,,,
"Tlemcen Urban Center, Algeria",,,,,,,,,,,,,,
"Porlamar Urban Center, Venezuela",,,,,,,,,,,,,,
"Modi'in Illit Urban Center, Israel-State of Palestine",,,,,,,,,,,,,,
"Orizaba Urban Center, Mexico",,,,,,,,,,,,,,
"Anantnag Urban Center, India",,,,,,,,,,,,,,
"Chernihiv Urban Center, Ukraine",,,,,,,,,,,,,,
"Kafr Al-Zaiyat Urban Center, Egypt",,,,,,,,,,,,,,
"Monclova Urban Center, Mexico",,,,,,,,,,,,,,
"Pinghu Urban Center, China",,,,,,,,,,,,,,
"Gaiyara Urban Center, Iraq",,,,,,,,,,,,,,
"Lashio Urban Center, Myanmar",,,,,,,,,,,,,,
"Hpa-An Urban Center, Myanmar",,,,,,,,,,,,,,
"Lipa Urban Center, Philippines",,,,,,,,,,,,,,
"Kosti Urban Center, Sudan",,,,,,,,,,,,,,
"Jinshan Urban Center, China",,,,,,,,,,,,,,
"Vitória da Conquista Urban Center, Brazil",,,,,,,,,,,,,,
"Leizhou Urban Center, China",,,,,,,,,,,,,,
"Kas Urban Center, Sudan",,,,,,,,,,,,,,
"Surendranagar Urban Center, India",,,,,,,,,,,,,,
"Jintan Urban Center, China",,,,,,,,,,,,,,
"周村区 Urban Center, China",,,,,,,,,,,,,,
"Laiyang Urban Center, China",,,,,,,,,,,,,,
"Taubaté Urban Center, Brazil",,,,,,,,,,,,,,
"Xianning Urban Center, China",,,,,,,,,,,,,,
"Constanța Urban Center, Romania",,,,,,,,,,,,,,
"Songnim Urban Center, North Korea",,,,,,,,,,,,,,
"Dewas Urban Center, India",,,,,,,,,,,,,,
"Limeira Urban Center, Brazil",,,,,,,,,,,,,,
"Jianhu Urban Center, China",,,,,,,,,,,,,,
"Purworejo (Jawa Tengah) Urban Center, Indonesia",,,,,,,,,,,,,,
"Hakodate Urban Center, Japan",,,,,,,,,,,,,,
"Juliaca Urban Center, Peru",,,,,,,,,,,,,,
"Rạch Giá Urban Center, Vietnam",,,,,,,,,,,,,,
"Sari Urban Center, Iran",,,,,,,,,,,,,,
"Plymouth Urban Center, United Kingdom",,,,,,,,,,,,,,
"Raichur Urban Center, India",,,,,,,,,,,,,,
"Charleroi Urban Center, Belgium",,,,,,,,,,,,,,
"Daloa Urban Center, Ivory Coast",,,,,,,,,,,,,,
"Shikarpur Urban Center, Pakistan",,,,,,,,,,,,,,
"Iligan Urban Center, Philippines",,,,,,,,,,,,,,
"La Ceiba Urban Center, Honduras",,,,,,,,,,,,,,
"Etmadpur Urban Center, India",,,,,,,,,,,,,,
"Biskra Urban Center, Algeria",,,,,,,,,,,,,,
"Pangkalpinang Urban Center, Indonesia",,,,,,,,,,,,,,
"Batala Urban Center, India",,,,,,,,,,,,,,
"Saidpur Urban Center, Bangladesh",,,,,,,,,,,,,,
"Lumajang Urban Center, Indonesia",,,,,,,,,,,,,,
"Baton Rouge Urban Center, USA",0.18862817983446145,,0.4644910135282814,0.2668493748876791,0.26865961158403934,,,,0.6807132564960853,0.21505023022390096,0.1042365132800139,,,
"Linqing Urban Center, China",,,,,,,,,,,,,,
"Kumba Urban Center, Cameroon",,,,,,,,,,,,,,
"Armenia Urban Center, Colombia",,,,,,,,,,,,,,
"Mainpuri Urban Center, India",,,,,,,,,,,,,,
"Kokand Urban Center, Uzbekistan",,,,,,,,,,,,,,
"Chernivtsi Urban Center, Ukraine",,,,,,,,,,,,,,
"Christchurch Urban Center, New Zealand",,,,,,,,,,,,,,
"Owo Urban Center, Nigeria",,,,,,,,,,,,,,
"Bishoftu Urban Center, Ethiopia",,,,,,,,,,,,,,
"Jaranwala Urban Center, Pakistan",,,,,,,,,,,,,,
"Pollachi Urban Center, India",,,,,,,,,,,,,,
"Erin-osun Urban Center, Nigeria",,,,,,,,,,,,,,
"射洪县 Urban Center, China",,,,,,,,,,,,,,
"Derby Urban Center, United Kingdom",,,,,,,,,,,,,,
"Shenmu Urban Center, China",,,,,,,,,,,,,,
