longname,Never Married % [StatCan],Married (not divorced) % [StatCan],Divorced % [StatCan]
"Toronto CDR, Ontario, Canada",0.4190024413015559,0.4770351263077461,0.10396243239069806
"Greater Vancouver Regional district, British Columbia, Canada",0.36911337133099564,0.5341754463018955,0.09671118236710878
"Montréal Territory, Quebec, Canada",0.4945103312539188,0.3914432971279535,0.1140463716181277
"Division No. 6, Alberta, Canada",0.3485615441343977,0.5492658102728646,0.10217264559273762
"Division No. 11, Alberta, Canada",0.3647641426008735,0.5294853331312066,0.1057505242679201
"Peel Regional municipality, Ontario, Canada",0.3466172688405015,0.5774707871951571,0.0759119439643413
"York Regional municipality, Ontario, Canada",0.3061847422302174,0.6131185633990851,0.08069669437069733
"Ottawa CDR, Ontario, Canada",0.38707094966476563,0.5106927790629912,0.10223627127224327
"Division No. 11, Manitoba, Canada",0.39403177534386197,0.5073627738155876,0.09860545084055035
"Durham Regional municipality, Ontario, Canada",0.34195130495708553,0.5542389210019264,0.10380977404098816
"Halton Regional municipality, Ontario, Canada",0.3033253985428844,0.6080316567224158,0.0886429447346998
"Québec Territory, Quebec, Canada",0.5446908702722639,0.3345904043578476,0.12071872536988845
"Waterloo Regional municipality, Ontario, Canada",0.3649442463466405,0.5358740235381421,0.09918173011521741
"Hamilton CDR, Ontario, Canada",0.3712777434457906,0.5179789050307423,0.11074335152346713
"Simcoe County, Ontario, Canada",0.3295480240257415,0.5480425139469091,0.12240946202734944
"Middlesex County, Ontario, Canada",0.3732064878353088,0.5145520418446182,0.11224147032007305
"Niagara Regional municipality, Ontario, Canada",0.3259862072356687,0.5502845833282117,0.12372920943611958
"Halifax County, Nova Scotia, Canada",0.40059197976257505,0.4909946565521827,0.10841336368524225
"Laval Territory, Quebec, Canada",0.4084256410963815,0.48063951002165745,0.11093484888196105
"Longueuil Territory, Quebec, Canada",0.4546428718625068,0.4208877715039356,0.12446935663355765
"Essex County, Ontario, Canada",0.3447728323859803,0.5444552707034415,0.11077189691057826
"Capital Regional district, British Columbia, Canada",0.3659336508026565,0.5010786078809423,0.13298774131640123
"Division No. 11, Saskatchewan, Canada",0.3714768028526992,0.5332688441257917,0.09525435302150918
"Fraser Valley Regional district, British Columbia, Canada",0.3179437111582588,0.5716190082799792,0.11043728056176191
"Gatineau Territory, Quebec, Canada",0.47622649437966147,0.39569282487656277,0.12808068074377568
"Division No. 6, Saskatchewan, Canada",0.3627573858549681,0.5380259623992839,0.09921665174574791
"Division No. 1, Newfoundland and Labrador, Canada",0.3647965373773519,0.5343949383079454,0.10080852431470272
"Wellington County, Ontario, Canada",0.3450822339599971,0.5525070718702277,0.10241069416977515
"Central Okanagan Regional district, British Columbia, Canada",0.3350749777940325,0.539343748367209,0.12558127383875836
"Division No. 8, Alberta, Canada",0.34293588627792293,0.5335364084711337,0.12352770525094342
"Roussillon CRM, Quebec, Canada",0.4591337350600931,0.4266404767453469,0.11422578819455989
"Division No. 2, Alberta, Canada",0.33892130857648156,0.5579133510167985,0.1031653404067199
"Sherbrooke Territory, Quebec, Canada",0.5485900962861079,0.3216987620357627,0.12971114167812942
"Les Moulins CRM, Quebec, Canada",0.507503560083251,0.38039945959761934,0.11209698031912964
"Nanaimo Regional district, British Columbia, Canada",0.30659968918617436,0.5493206048913216,0.144079705922504
"Le Saguenay-et-son-Fjord CDR, Quebec, Canada",0.49116200780369806,0.3858256606572019,0.12301233153909995
"Greater Sudbury / Grand Sudbury CDR, Ontario, Canada",0.3682935518346983,0.5102956893480589,0.12141075881724268
"Thérèse-De Blainville CRM, Quebec, Canada",0.48532966419991863,0.3907998958759434,0.12387043992413789
"Westmorland County, New Brunswick, Canada",0.3783774047121544,0.5052957705886598,0.11632682469918572
"Vaudreuil-Soulanges CRM, Quebec, Canada",0.42973051886812574,0.4510639939465806,0.11920548718529361
"Frontenac County, Ontario, Canada",0.3744287307927598,0.5048760300838461,0.1206952391233943
"Francheville CDR, Quebec, Canada",0.5224962105807981,0.3435247144071868,0.13397907501201523
"Lévis Territory, Quebec, Canada",0.5332154482980347,0.35313266085279144,0.11365189084917397
"Peterborough County, Ontario, Canada",0.33648333399233005,0.5397572258906327,0.12375944011703732
"Thunder Bay District, Ontario, Canada",0.3806107642071239,0.5006681260729501,0.11872110971992596
"Hastings County, Ontario, Canada",0.31981272954756385,0.5463534729789725,0.1338337974734636
"Brant CDR, Ontario, Canada",0.3424171605041312,0.5373090726984396,0.12027376679742921
"Thompson-Nicola Regional district, British Columbia, Canada",0.3484096039400782,0.5206238456802788,0.13096655037964305
"La Rivière-du-Nord CRM, Quebec, Canada",0.5310174770721577,0.3302907077349023,0.13869181519293997
