longname,PW Mean PM2.5 Pollution
"Toronto CDR, Ontario, Canada",7.066387934855703
"Greater Vancouver Regional district, British Columbia, Canada",5.530045698379601
"Montréal Territory, Quebec, Canada",7.7343205814623746
"Division No. 6, Alberta, Canada",8.737596160377977
"Division No. 11, Alberta, Canada",8.04920289212773
"Peel Regional municipality, Ontario, Canada",7.150158690714573
"York Regional municipality, Ontario, Canada",6.895950273537639
"Ottawa CDR, Ontario, Canada",6.142642917720197
"Division No. 11, Manitoba, Canada",5.707785757982341
"Durham Regional municipality, Ontario, Canada",6.290246488773497
"Halton Regional municipality, Ontario, Canada",7.009308277814895
"Québec Territory, Quebec, Canada",6.247371131675622
"Waterloo Regional municipality, Ontario, Canada",6.525216364374156
"Hamilton CDR, Ontario, Canada",6.842135726226322
"Simcoe County, Ontario, Canada",5.820788730960072
"Middlesex County, Ontario, Canada",6.580360940544741
"Niagara Regional municipality, Ontario, Canada",6.436036216623296
"Halifax County, Nova Scotia, Canada",4.522223466058561
"Laval Territory, Quebec, Canada",7.74396571969998
"Longueuil Territory, Quebec, Canada",7.520785676988413
"Essex County, Ontario, Canada",8.125906004804596
"Capital Regional district, British Columbia, Canada",4.971669822378491
"Division No. 11, Saskatchewan, Canada",5.794609966358279
"Fraser Valley Regional district, British Columbia, Canada",5.690061994599606
"Gatineau Territory, Quebec, Canada",6.143874177217486
"Division No. 6, Saskatchewan, Canada",5.3968240803340795
"Division No. 1, Newfoundland and Labrador, Canada",4.649360755438317
"Wellington County, Ontario, Canada",6.459538254879174
"Central Okanagan Regional district, British Columbia, Canada",9.323420802596166
"Division No. 8, Alberta, Canada",7.333661183331864
"Roussillon CRM, Quebec, Canada",7.348296298732942
"Division No. 2, Alberta, Canada",5.621468183468533
"Sherbrooke Territory, Quebec, Canada",5.831981676130843
"Les Moulins CRM, Quebec, Canada",7.42551386835662
"Nanaimo Regional district, British Columbia, Canada",4.726279088202331
"Le Saguenay-et-son-Fjord CDR, Quebec, Canada",4.904810356320846
"Greater Sudbury / Grand Sudbury CDR, Ontario, Canada",4.536398630253423
"Thérèse-De Blainville CRM, Quebec, Canada",7.383319403649176
"Westmorland County, New Brunswick, Canada",4.007741133424801
"Vaudreuil-Soulanges CRM, Quebec, Canada",6.902182379915791
"Frontenac County, Ontario, Canada",5.5253374985677235
"Francheville CDR, Quebec, Canada",6.443971125336356
"Lévis Territory, Quebec, Canada",6.34082474720283
"Peterborough County, Ontario, Canada",5.6458311018365155
"Thunder Bay District, Ontario, Canada",4.528631517850147
"Hastings County, Ontario, Canada",5.540129585475887
"Brant CDR, Ontario, Canada",6.654853869119883
"Thompson-Nicola Regional district, British Columbia, Canada",9.42831091670012
"La Rivière-du-Nord CRM, Quebec, Canada",6.5444636890462995
"La Vallée-du-Richelieu CRM, Quebec, Canada",7.31160847589473
"Lambton County, Ontario, Canada",6.839341783617727
"L'Assomption CRM, Quebec, Canada",7.1606956437429465
"Oxford County, Ontario, Canada",6.362333701824057
"Le Haut-Richelieu CRM, Quebec, Canada",6.864182170517261
"Division No. 19, Alberta, Canada",6.085211228519499
"Haldimand-Norfolk CDR, Ontario, Canada",6.396125816082636
"Stormont, Dundas and Glengarry United counties, Ontario, Canada",5.824558407808043
"Algoma District, Ontario, Canada",4.422900646345368
"Drummond CRM, Quebec, Canada",6.5369610904472175
"Renfrew County, Ontario, Canada",4.855099520060855
"York County, New Brunswick, Canada",4.014684081504149
"Chatham-Kent CDR, Ontario, Canada",6.90940853014121
"Leeds and Grenville United counties, Ontario, Canada",5.632964926821326
"Deux-Montagnes CRM, Quebec, Canada",7.397324281653543
"Grey County, Ontario, Canada",5.010237037580984
"Cape Breton County, Nova Scotia, Canada",4.244883061514517
"Fraser-Fort George Regional district, British Columbia, Canada",9.505803645670534
"Prescott and Russell United counties, Ontario, Canada",6.015752330363651
"Division No. 10, Alberta, Canada",6.332020878461341
"Elgin County, Ontario, Canada",6.3323675583927
