longname,Population [GHS-POP],PW Density (r=1km) [GHS-POP],AW Density [GHS-POP],Area,Compactness
"Tokyo 1BPC, Indonesia-China-Iran",1059307840.0,5312.6016,3.4850488420969805,303957817.5216065,0.13444280066312927
"Cairo 1BPC, Egypt-Turkey-Germany",979622000.0,5559.246,62.17524149755367,15755821.648695067,0.867823812345583
"São Paulo 1BPC, USA-Brazil-Mexico",976502700.0,3883.65,11.800953229867787,82747783.24928081,0.969635285826808
"Delhi [New Delhi] 1BPC, India",975438000.0,6362.161,448.15805547987094,2176549.108228206,0.9867199671117868
"Dhaka 1BPC, India-Pakistan-Bangladesh",966485060.0,7159.619,109.22111150589073,8848885.006520681,0.37921409328636724
"Lagos 1BPC, Nigeria-Ethiopia-Democratic Republic of the Congo",964361150.0,5125.7354,41.978297938210765,22972850.24322508,0.9270895363541503
"Shanghai 1BPC, China",964215200.0,6082.4424,385.3258262444937,2502337.248965488,0.9636919740159487
"Quezon City [Manila] 1BPC, China-Indonesia-Philippines",914561200.0,5944.912,46.56170409725404,19641918.9059263,0.4283852589228247
