longname,PW Mean PM2.5 Pollution,Utility gas heating %,Electricity heating %,"Bottled, tank, or LP gas heating %","Fuel oil, kerosene, etc. heating %",Other fuel heating %,No heating %,geoid
"Los Angeles County, California, USA",11.204911901144017,0.6470727860525981,0.2712257041041617,0.01569883053490424,0.0008625393819339215,0.007603868667597094,0.057536271258805026,06037
"Cook County, Illinois, USA",8.571222097987139,0.817917083399897,0.14863915152211074,0.013768534575869741,0.0010876469213674462,0.007457868947378994,0.011129714633376078,17031
"Harris County, Texas, USA",8.316926851062664,0.4234138317651428,0.5560634557512028,0.011081396463291813,0.0006288984933732379,0.0021821511481474156,0.006630266378841938,48201
"Maricopa County, Arizona, USA",9.29047741670886,0.27320327592238713,0.697111970644873,0.009763189802904247,0.000564286025006262,0.010684060482148997,0.008673217122680352,04013
"San Diego County, California, USA",8.74123693013697,0.5682460246159962,0.32633224097245495,0.03550932330449138,0.0010011680573864714,0.024864845789235306,0.04404639726043594,06073
"Orange County, California, USA",10.9661720276817,0.6904362182932491,0.24995590554140493,0.015160505581315454,0.000515363082441018,0.008207854544711159,0.035724152956878225,06059
"Kings County, New York, USA",7.671807871026962,0.7577189506125215,0.10050877670265614,0.027096521396638727,0.07857108053127165,0.014323302622656594,0.021781368134255324,36047
"Miami-Dade County, Florida, USA",7.011510656916656,0.02730532376091399,0.9216817015218669,0.0037765811177475754,0.0014999872666219235,0.001536311744588552,0.044200094588261074,12086
"Dallas County, Texas, USA",8.063670676690265,0.3625114302789955,0.6213774198930131,0.00795103933705436,0.0005786413753925367,0.002278664394337769,0.005302804721206803,48113
"Riverside County, California, USA",9.746181524796173,0.6977917802151508,0.23689612238118177,0.030685774321882752,0.000429436088296382,0.018311803010373977,0.015885083983114327,06065
"Queens County, New York, USA",7.721197432216036,0.7537044297133013,0.07783544416759608,0.026336781566928223,0.11614447372882018,0.011148486206408646,0.01483038461694552,36081
"King County, Washington, USA",5.6414353488131885,0.42508314428859295,0.5130636721878564,0.01521504286021185,0.02641560601510361,0.013901740085138845,0.006320794563096384,53033
"Clark County, Nevada, USA",6.859858982094048,0.5859858800354267,0.38683141183720215,0.012757705279122244,0.0008893887106436284,0.007336844336149683,0.006198769801455584,32003
"San Bernardino County, California, USA",10.557341884954972,0.7244726832509129,0.20101942023159455,0.031343643123132474,0.0010863177663588332,0.025023667304444126,0.017054268323557067,06071
"Tarrant County, Texas, USA",7.884919869951431,0.3199387945996513,0.660088347724532,0.011119161291368976,0.00048526366443003686,0.0035968986380176295,0.004771534082000087,48439
"Bexar County, Texas, USA",7.733277354612937,0.2945363111519538,0.683491155251973,0.010058310959964964,0.0005996146463410266,0.00466585767871132,0.006648750311055842,48029
"Broward County, Florida, USA",6.988693037319198,0.02436843312435851,0.9222965224229447,0.005041886017606359,0.0009747919351667869,0.001885416894209143,0.04543294960571453,12011
"Santa Clara County, California, USA",8.152587315500316,0.6142771561787611,0.3385929467543569,0.019048596782563203,0.0009521669845605241,0.012714418910046663,0.014414714389711777,06085
"Wayne County, Michigan, USA",8.39453912626611,0.8734579875443017,0.10148039029797466,0.011405568601140592,0.0011303472718521665,0.0063897437393346836,0.0061359625453962395,26163
"New York County, New York, USA",7.66415609765581,0.47714650299199873,0.2591079661058925,0.02040893467655002,0.17842893694449874,0.031018765323319538,0.033888893957740494,36061
"Alameda County, California, USA",8.439508177077048,0.6851183315361775,0.2667920517038742,0.016696970306993075,0.0006120388621591358,0.009900798655619913,0.02087980893517609,06001
"Middlesex County, Massachusetts, USA",6.212581946140495,0.596791786460796,0.15475826279160962,0.031340546341307174,0.20027709482889686,0.011860619699360104,0.004971689878030214,25017
"Philadelphia County, Pennsylvania, USA",7.555403668804743,0.7156986381664512,0.22463478972759823,0.014242119914286207,0.03258747242699273,0.005029035903269015,0.007807943861402504,42101
"Sacramento County, California, USA",9.47491618788361,0.595469701414575,0.36208580484977987,0.022123798825120406,0.0007405605363518659,0.011215735659242079,0.008364398714930731,06067
"Suffolk County, New York, USA",6.119556242568333,0.4005431637172194,0.07878664306925928,0.032605127579671024,0.4711673646933178,0.01331906409805752,0.0035786368424750264,36103
"Palm Beach County, Florida, USA",6.751785952168417,0.03276437356204134,0.9297338410893472,0.004317532209409754,0.0015057156967849897,0.0018085796540811664,0.029869957788335545,12099
"Bronx County, New York, USA",7.520356625986988,0.48904202561110804,0.1275976586623844,0.024401905617056963,0.3040526837925713,0.01595398545845946,0.03895174085841988,36005
"Hillsborough County, Florida, USA",7.723366724284931,0.05999177139856734,0.9161780330823582,0.0071872577465083775,0.0009555973946450751,0.0036519292143893795,0.012035411163531719,12057
"Orange County, Florida, USA",7.402167048921932,0.045818149684824866,0.9250523888472777,0.006484434831640316,0.0018535973675130064,0.0059752741472610315,0.014816155121483102,12095
"Nassau County, New York, USA",7.205455256596648,0.6045048397831254,0.06013100354908046,0.020085582068067896,0.3041909235654158,0.007701310446076998,0.003386340588233357,36059
"Franklin County, Ohio, USA",8.364882679121266,0.692040163169858,0.28271542647768083,0.015538745394324111,0.0033345186917366934,0.003338242330700108,0.003032903935700212,39049
"Travis County, Texas, USA",7.649587960680163,0.4059432896366779,0.5566685529931333,0.027668714400449684,0.0009198272358316511,0.004873334150093264,0.0039262815838141734,48453
"Hennepin County, Minnesota, USA",7.220167352760922,0.768146116349076,0.18770915786739345,0.018417353035558883,0.002551916993933479,0.013586665851683286,0.009588789902354834,27053
"Oakland County, Michigan, USA",8.117512808872174,0.8541928888359379,0.11519947424350405,0.016994848124398172,0.0018428380089662967,0.007576965870025134,0.004192984917168353,26125
"Cuyahoga County, Ohio, USA",7.779094605193764,0.8089876359493979,0.15866316824944954,0.01397082926152191,0.0016462962375211594,0.008535623980659428,0.008196446321449839,39035
"Allegheny County, Pennsylvania, USA",8.189396139963417,0.813739971788591,0.15050572237726542,0.013416583859243873,0.011917061963764908,0.006113001235487193,0.004307658775647503,42003
"Salt Lake County, Utah, USA",7.160248043482748,0.8480820052854964,0.12912428926083178,0.012963482021302103,0.0005405621846720584,0.006336590053655812,0.0029530711940417985,49035
"Contra Costa County, California, USA",8.332702350659913,0.6756062071498453,0.27098723264152647,0.01662722266432431,0.0007503972223804303,0.02336105037042236,0.012667889951501221,06013
"Fairfax County, Virginia, USA",6.928641027979914,0.5513339033987691,0.4105641469335598,0.014361112241193063,0.015767010941754013,0.0038946811218125437,0.004079145362911435,51059
"Wake County, North Carolina, USA",7.245710394185001,0.42320156155245725,0.5406685870224367,0.02648148499090343,0.0024422945724681547,0.0036551508489993823,0.003550921012734982,37183
"Mecklenburg County, North Carolina, USA",7.543220521392706,0.48025309829599416,0.4996418420339704,0.012255430914542557,0.0026333794040802453,0.0023234350104003585,0.0028928143410122975,37119
"Fulton County, Georgia, USA",8.181053626474249,0.5031966229148817,0.47587417338189547,0.012826794877104659,0.0009435086513519408,0.002384791651138957,0.004774108523627331,13121
"Collin County, Texas, USA",8.114765022877323,0.4727483800472091,0.5007334677233022,0.019911368896545534,0.0006988725296840291,0.00242980100436656,0.0034781097988925906,48085
"Montgomery County, Maryland, USA",7.203099589908327,0.5304294928747544,0.4118015720891614,0.014440211577478962,0.028601801279348183,0.009493581897310229,0.005233340281946777,24031
"Pima County, Arizona, USA",6.812515288488843,0.5218128642363881,0.432331376367421,0.0227290692076085,0.00017485741934402158,0.015128759733929232,0.007823073035309259,04019
"Honolulu County, Hawaii, USA",3.4455423264257434,0.033590548162773924,0.40377220150924087,0.008566879731878752,0.00034564337248525295,0.041687632420945225,0.512037094802676,15003
"Fresno County, California, USA",13.555417853180142,0.5499728071598251,0.35082262317084606,0.04860998470203972,0.0022740211372650034,0.03976833608442176,0.008552227745602258,06019
"Westchester County, New York, USA",7.262140275839432,0.5157637968347778,0.11462249507505982,0.02406889417433829,0.3244642934452658,0.013171895113079944,0.007908625357478391,36119
"St. Louis County, Missouri, USA",8.337284583851135,0.762846577498454,0.2178006010135054,0.01330324908222406,0.0008306658667714513,0.003266962840450978,0.0019519436985941355,29189
"Duval County, Florida, USA",7.35117125657795,0.026078692452147775,0.9507674347198606,0.007355514392466285,0.003333929887397646,0.002772196541642451,0.009692232006485212,12031
"Marion County, Indiana, USA",8.36765934679359,0.5853009789734439,0.39139111044736014,0.011988691080063606,0.0018951195521750117,0.004706900192086848,0.00471719975487041,18097
