longname,No internet access %,Uninsured %,Public Insurance %,Private Insurance %
"Central District of California, CA, USA",0.07619301878548422,0.11477758175292614,0.22761874786586345,0.6576036703812104
"Middle District of Florida, FL, USA",0.088107872295551,0.1699610068466818,0.14565367457210873,0.6843853185812094
"Southern District of Texas, TX, USA",0.11404237646080215,0.26327768857836636,0.10003086938164672,0.636691442039987
"Northern District of Illinois, IL, USA",0.090802907544018,0.1038926642147067,0.1511285305922011,0.7449788051930921
"District of New Jersey, NJ, USA",0.08519464282344993,0.10144535360160875,0.15171060427151556,0.7468440421268756
"Eastern District of New York, NY, USA",0.10167716591334468,0.08353775370959855,0.23414126794747603,0.6823209783429255
"Northern District of California, CA, USA",0.057208958086856096,0.06226285939578386,0.1645294031473914,0.7732077374568248
"Eastern District of California, CA, USA",0.09434830787098761,0.08863743513005228,0.28587003846293363,0.6254925264070142
"Western District of Texas, TX, USA",0.09841067371724177,0.20369291224310315,0.10283376313116409,0.6934733246257326
"Northern District of Texas, TX, USA",0.10177907308251749,0.23126243383598197,0.09520719919876192,0.673530366965256
"District of Arizona, AZ, USA",0.09337495886805837,0.13958070647709767,0.19427457973225515,0.6661447137906472
"Northern District of Georgia, GA, USA",0.08318634047077328,0.16825991958907147,0.10328265902832129,0.7284574213826074
"District of Massachusetts, MA, USA",0.08115711188285732,0.035775554420708455,0.2157476196061025,0.748476825973189
"Southern District of Florida, FL, USA",0.10430894015189168,0.19932618399905347,0.11799353286106257,0.682680283139884
"Eastern District of Michigan, MI, USA",0.10436022248734463,0.06929420138750206,0.23529594354500172,0.6954098550674962
"Eastern District of Virginia, VA, USA",0.07355340171143386,0.10483731680686624,0.10246803565341361,0.7926946475397201
"District of Maryland, MD, USA",0.07850818316014034,0.07737262576759692,0.16717991428143877,0.7554474599509643
"Southern District of Ohio, OH, USA",0.09959545536274585,0.08421198726963779,0.19594546653017153,0.7198425462001906
"Western District of Washington, WA, USA",0.05555444310876832,0.07795702130449406,0.16447395573503698,0.7575690229604689
