longname,PW Density (r=250m),PW Density (250m) [StatCan],PW Density (r=250m) (2010),PW Density (r=250m) Change (2010-2020),PW Density (r=250m) (2000),PW Density (r=250m) Change (2000-2020),PW Density (r=500m),PW Density (500m) [StatCan],PW Density (r=500m) (2010),PW Density (r=500m) Change (2010-2020),PW Density (r=500m) (2000),PW Density (r=500m) Change (2000-2020),PW Density (r=2km),PW Density (2km) [StatCan],PW Density (r=2km) [GHS-POP],PW Density (r=2km) (2010),PW Density (r=2km) Change (2010-2020),PW Density (r=2km) (2000),PW Density (r=2km) Change (2000-2020),PW Density (r=4km),PW Density (4km) [StatCan],PW Density (r=4km) [GHS-POP],PW Density (r=4km) (2010),PW Density (r=4km) Change (2010-2020),PW Density (r=4km) (2000),PW Density (r=4km) Change (2000-2020)
China,,,,,,,,,,,,,,,5486.877,,,,,,,4095.461,,,,
India,,,,,,,,,,,,,,,6138.1807,,,,,,,4633.5024,,,,
USA,3310.1006059245797,,3192.702853522625,0.036770647876743515,3418.303831446073,-0.031654069052053646,2434.1822631405307,,2322.9127653337623,0.04790085080563967,2420.7338559476043,0.0055555083677970045,1689.2067372542738,,1612.5834,1587.1435712529517,0.06430619626978644,1628.6054717530478,0.037210525539984905,1407.7866634008876,,1388.4847,1314.324364673818,0.07111052738512118,1341.1187958206644,0.04971063546941598
Indonesia,,,,,,,,,,,,,,,4504.267,,,,,,,3896.4768,,,,
Pakistan,,,,,,,,,,,,,,,8627.132,,,,,,,7061.9272,,,,
Brazil,,,,,,,,,,,,,,,4083.4058,,,,,,,3284.8655,,,,
Nigeria,,,,,,,,,,,,,,,4400.221,,,,,,,3110.162,,,,
Bangladesh,,,,,,,,,,,,,,,8954.971,,,,,,,7086.972,,,,
Russia,,,,,,,,,,,,,,,3575.9036,,,,,,,2707.6914,,,,
Mexico,,,,,,,,,,,,,,,3808.261,,,,,,,3097.6013,,,,
Japan,,,,,,,,,,,,,,,4584.373,,,,,,,4273.304,,,,
Ethiopia,,,,,,,,,,,,,,,2935.78,,,,,,,1829.2958,,,,
Philippines,,,,,,,,,,,,,,,5572.365,,,,,,,4522.368,,,,
Egypt,,,,,,,,,,,,,,,14022.863,,,,,,,11159.775,,,,
Vietnam,,,,,,,,,,,,,,,4711.648,,,,,,,4117.749,,,,
Democratic Republic of the Congo,,,,,,,,,,,,,,,8915.592,,,,,,,6609.9194,,,,
Iran,,,,,,,,,,,,,,,7765.4604,,,,,,,4664.7617,,,,
Turkey,,,,,,,,,,,,,,,8285.376,,,,,,,5843.307,,,,
Germany,,,,,,,,,,,,,,,1749.9011,,,,,,,1404.1611,,,,
Thailand,,,,,,,,,,,,,,,2983.1196,,,,,,,2749.5955,,,,
France,,,,,,,,,,,,,,,2767.644,,,,,,,2352.8127,,,,
United Kingdom,,,,,,,,,,,,,,,2922.687,,,,,,,2440.0884,,,,
Tanzania,,,,,,,,,,,,,,,2881.708,,,,,,,2379.263,,,,
Italy,,,,,,,,,,,,,,,2384.109,,,,,,,1715.3767,,,,
South Africa,,,,,,,,,,,,,,,3131.38,,,,,,,2352.6658,,,,
Myanmar,,,,,,,,,,,,,,,3865.3035,,,,,,,2431.3438,,,,
Kenya,,,,,,,,,,,,,,,3466.6643,,,,,,,2581.756,,,,
South Korea,,,,,,,,,,,,,,,9319.59,,,,,,,7764.8794,,,,
Colombia,,,,,,,,,,,,,,,9076.559,,,,,,,7375.969,,,,
Spain,,,,,,,,,,,,,,,5351.5137,,,,,,,3936.5825,,,,
Argentina,,,,,,,,,,,,,,,4378.813,,,,,,,3732.5776,,,,
Uganda,,,,,,,,,,,,,,,1288.0428,,,,,,,1129.167,,,,
Sudan,,,,,,,,,,,,,,,4246.8213,,,,,,,2500.4272,,,,
Ukraine,,,,,,,,,,,,,,,2813.7822,,,,,,,2031.3992,,,,
Algeria,,,,,,,,,,,,,,,3187.394,,,,,,,1955.1686,,,,
Iraq,,,,,,,,,,,,,,,6871.0986,,,,,,,5090.682,,,,
Afghanistan,,,,,,,,,,,,,,,5475.3228,,,,,,,3926.1077,,,,
Poland,,,,,,,,,,,,,,,1607.7068,,,,,,,1153.0337,,,,
Morocco,,,,,,,,,,,,,,,7032.0854,,,,,,,4568.5044,,,,
Canada,,4325.222580691903,,,,,,3245.134596869944,,,,,,2147.611619042384,2110.6921,,,,,,1687.9728817668517,1716.4294,,,,
Saudi Arabia,,,,,,,,,,,,,,,4915.9805,,,,,,,4242.39,,,,
Uzbekistan,,,,,,,,,,,,,,,3337.2893,,,,,,,2563.2087,,,,
Angola,,,,,,,,,,,,,,,7797.5566,,,,,,,6442.467,,,,
Peru,,,,,,,,,,,,,,,6234.6406,,,,,,,5052.423,,,,
Malaysia,,,,,,,,,,,,,,,3059.7715,,,,,,,2617.814,,,,
Yemen,,,,,,,,,,,,,,,6228.2544,,,,,,,3804.778,,,,
Ghana,,,,,,,,,,,,,,,4423.177,,,,,,,3655.2488,,,,
Mozambique,,,,,,,,,,,,,,,2113.2085,,,,,,,1469.1942,,,,
Nepal,,,,,,,,,,,,,,,3060.5527,,,,,,,2544.6235,,,,
Venezuela,,,,,,,,,,,,,,,4012.4036,,,,,,,2872.2537,,,,
Madagascar,,,,,,,,,,,,,,,2451.8672,,,,,,,1782.55,,,,
Ivory Coast,,,,,,,,,,,,,,,4569.38,,,,,,,3355.0532,,,,
Cameroon,,,,,,,,,,,,,,,7624.0747,,,,,,,6321.763,,,,
North Korea,,,,,,,,,,,,,,,6258.3916,,,,,,,3439.022,,,,
Australia,,,,,,,,,,,,,,,1737.7434,,,,,,,1465.7043,,,,
Niger,,,,,,,,,,,,,,,2417.5798,,,,,,,1330.9703,,,,
Sri Lanka,,,,,,,,,,,,,,,1887.9426,,,,,,,1609.4608,,,,
Burkina Faso,,,,,,,,,,,,,,,1895.4683,,,,,,,1478.0962,,,,
Mali,,,,,,,,,,,,,,,2642.9055,,,,,,,1947.4991,,,,
Syria,,,,,,,,,,,,,,,6151.9653,,,,,,,4842.547,,,,
Romania,,,,,,,,,,,,,,,2413.278,,,,,,,1730.0435,,,,
Malawi,,,,,,,,,,,,,,,1034.3987,,,,,,,770.2318,,,,
Chile,,,,,,,,,,,,,,,5128.273,,,,,,,4054.3235,,,,
Kazakhstan,,,,,,,,,,,,,,,2786.7744,,,,,,,2189.4294,,,,
Zambia,,,,,,,,,,,,,,,2672.7166,,,,,,,2124.7358,,,,
Netherlands,,,,,,,,,,,,,,,2242.1162,,,,,,,1662.9475,,,,
Ecuador,,,,,,,,,,,,,,,4384.5957,,,,,,,3426.5864,,,,
Guatemala,,,,,,,,,,,,,,,2307.048,,,,,,,1616.2594,,,,
Somalia,,,,,,,,,,,,,,,13822.353,,,,,,,9232.288,,,,
Chad,,,,,,,,,,,,,,,2616.4001,,,,,,,1446.8224,,,,
Senegal,,,,,,,,,,,,,,,5436.5586,,,,,,,4043.8367,,,,
Cambodia,,,,,,,,,,,,,,,2120.8877,,,,,,,1667.6354,,,,
Zimbabwe,,,,,,,,,,,,,,,883.6701,,,,,,,673.16785,,,,
Guinea,,,,,,,,,,,,,,,3039.3054,,,,,,,2102.4365,,,,
Rwanda,,,,,,,,,,,,,,,1395.8549,,,,,,,1225.0472,,,,
Benin,,,,,,,,,,,,,,,2643.7878,,,,,,,1842.3212,,,,
Burundi,,,,,,,,,,,,,,,1897.8422,,,,,,,1362.8795,,,,
Tunisia,,,,,,,,,,,,,,,2815.3428,,,,,,,2004.109,,,,
Bolivia,,,,,,,,,,,,,,,3663.7854,,,,,,,2956.1606,,,,
Belgium,,,,,,,,,,,,,,,2231.515,,,,,,,1857.7126,,,,
Haiti,,,,,,,,,,,,,,,3405.6482,,,,,,,2172.043,,,,
Cuba,,,,,,,,,,,,,,,3628.7793,,,,,,,2051.9646,,,,
Dominican Republic,,,,,,,,,,,,,,,5449.4893,,,,,,,4447.127,,,,
Jordan,,,,,,,,,,,,,,,12018.051,,,,,,,10115.456,,,,
South Sudan,,,,,,,,,,,,,,,3754.9453,,,,,,,1586.6664,,,,
Czech Republic,,,,,,,,,,,,,,,1407.4619,,,,,,,1043.0742,,,,
Greece,,,,,,,,,,,,,,,4605.7715,,,,,,,3666.0098,,,,
Portugal,,,,,,,,,,,,,,,2119.0442,,,,,,,1625.6342,,,,
Sweden,,,,,,,,,,,,,,,1860.6268,,,,,,,1354.9175,,,,
Azerbaijan,,,,,,,,,,,,,,,2974.9304,,,,,,,2032.3661,,,,
Honduras,,,,,,,,,,,,,,,3216.6917,,,,,,,2467.809,,,,
Hungary,,,,,,,,,,,,,,,1726.0283,,,,,,,1307.7434,,,,
Papua New Guinea,,,,,,,,,,,,,,,933.8437,,,,,,,549.34265,,,,
Belarus,,,,,,,,,,,,,,,4208.994,,,,,,,3331.9314,,,,
Tajikistan,,,,,,,,,,,,,,,2769.9998,,,,,,,2041.612,,,,
United Arab Emirates,,,,,,,,,,,,,,,4396.7456,,,,,,,3505.222,,,,
Serbia,,,,,,,,,,,,,,,2285.7341,,,,,,,1489.6335,,,,
Austria,,,,,,,,,,,,,,,2679.565,,,,,,,2246.967,,,,
Israel,,,,,,,,,,,,,,,6029.2764,,,,,,,4394.737,,,,
Switzerland,,,,,,,,,,,,,,,1858.4606,,,,,,,1312.5159,,,,
Togo,,,,,,,,,,,,,,,2847.517,,,,,,,2073.32,,,,
Sierra Leone,,,,,,,,,,,,,,,4388.6113,,,,,,,2944.0999,,,,
Laos,,,,,,,,,,,,,,,351.6209,,,,,,,235.09286,,,,
Bulgaria,,,,,,,,,,,,,,,2065.1252,,,,,,,1494.905,,,,
Nicaragua,,,,,,,,,,,,,,,2791.271,,,,,,,1831.3563,,,,
Libya,,,,,,,,,,,,,,,1668.7178,,,,,,,1317.2766,,,,
Paraguay,,,,,,,,,,,,,,,1571.7067,,,,,,,1207.1516,,,,
Kyrgyzstan,,,,,,,,,,,,,,,4159.0254,,,,,,,3099.9387,,,,
El Salvador,,,,,,,,,,,,,,,2867.4963,,,,,,,1980.8271,,,,
Turkmenistan,,,,,,,,,,,,,,,2414.4695,,,,,,,1826.023,,,,
Singapore,,,,,,,,,,,,,,,18528.912,,,,,,,12766.378,,,,
Denmark,,,,,,,,,,,,,,,2086.1626,,,,,,,1601.7977,,,,
Congo,,,,,,,,,,,,,,,17143.342,,,,,,,12665.131,,,,
Lebanon,,,,,,,,,,,,,,,6934.0234,,,,,,,4596.478,,,,
Slovakia,,,,,,,,,,,,,,,1014.944,,,,,,,582.0223,,,,
Finland,,,,,,,,,,,,,,,1189.7356,,,,,,,839.1857,,,,
Central African Republic,,,,,,,,,,,,,,,3478.6777,,,,,,,2307.734,,,,
Norway,,,,,,,,,,,,,,,1346.2029,,,,,,,954.1251,,,,
Costa Rica,,,,,,,,,,,,,,,2685.2046,,,,,,,2287.6953,,,,
State of Palestine,,,,,,,,,,,,,,,6048.866,,,,,,,4512.6777,,,,
Liberia,,,,,,,,,,,,,,,2834.6296,,,,,,,2173.8767,,,,
New Zealand,,,,,,,,,,,,,,,1440.5734,,,,,,,1118.9095,,,,
Ireland,,,,,,,,,,,,,,,1369.3466,,,,,,,1039.8833,,,,
Oman,,,,,,,,,,,,,,,2134.1382,,,,,,,1474.887,,,,
Mauritania,,,,,,,,,,,,,,,3711.1287,,,,,,,2443.6948,,,,
Kuwait,,,,,,,,,,,,,,,8554.291,,,,,,,7357.0127,,,,
Panama,,,,,,,,,,,,,,,2788.1284,,,,,,,2111.3357,,,,
Croatia,,,,,,,,,,,,,,,1555.9971,,,,,,,1098.6163,,,,
Georgia,,,,,,,,,,,,,,,2978.6118,,,,,,,2008.6886,,,,
Eritrea,,,,,,,,,,,,,,,3993.4275,,,,,,,1757.3595,,,,
Uruguay,,,,,,,,,,,,,,,3338.0757,,,,,,,2524.133,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,941.5392,,,,,,,572.2876,,,,
Mongolia,,,,,,,,,,,,,,,3909.2588,,,,,,,3142.5461,,,,
Moldova,,,,,,,,,,,,,,,1100.0002,,,,,,,756.7462,,,,
Albania,,,,,,,,,,,,,,,3996.1921,,,,,,,2785.2566,,,,
Lithuania,,,,,,,,,,,,,,,1399.2986,,,,,,,998.33966,,,,
Jamaica,,,,,,,,,,,,,,,2037.6683,,,,,,,1586.491,,,,
Armenia,,,,,,,,,,,,,,,2820.3948,,,,,,,2184.1228,,,,
Qatar,,,,,,,,,,,,,,,5916.6914,,,,,,,4314.946,,,,
The Gambia,,,,,,,,,,,,,,,4218.5195,,,,,,,3194.6055,,,,
Botswana,,,,,,,,,,,,,,,1035.2994,,,,,,,627.9635,,,,
Namibia,,,,,,,,,,,,,,,1248.2961,,,,,,,766.86926,,,,
Gabon,,,,,,,,,,,,,,,3504.4011,,,,,,,2555.4387,,,,
Lesotho,,,,,,,,,,,,,,,567.1103,,,,,,,417.0132,,,,
Slovenia,,,,,,,,,,,,,,,954.6868,,,,,,,655.64264,,,,
