longname,Not Cohabiting With Partner %,Cohabiting With Partner (Gay) %,Cohabiting With Partner (Straight) %,Living With Parents %,Other Living Situation %,Never Married %,Married (not divorced) %,Divorced %
"Princess Kahanu Estates Hawaiian Home Land, USA",0.06271725617075696,0.014127135749637806,0.29230352120993863,0.4957469521455725,0.13510513472409405,0.4183506694681792,0.5287680783255594,0.052881252206261324
"Panaewa (Residential) Hawaiian Home Land, USA",0.1039188243526942,0.019594121763470963,0.32400279916025193,0.37298810356892936,0.17949615115465364,0.32599667774086377,0.5386212624584716,0.13538205980066445
"Bay Mills Reservation and Off-Reservation Trust Land, USA",0.1817619523469831,0.00444623643829046,0.38399050516801925,0.36746133221404353,0.06233997383266383,0.40747800069974544,0.4751766167711884,0.11734538252906611
"Maluohai Hawaiian Home Land, USA",0.11198082431958481,0.0,0.35772630722915194,0.45880110744414543,0.07149176100711783,0.37784315018119297,0.5491757251754362,0.07298112464337086
"Pechanga Reservation and Off-Reservation Trust Land, USA",0.049212270649354926,0.011178242352337456,0.46910051386105417,0.3492490047817047,0.12125996835554875,0.2798902218339931,0.6233681350752637,0.0967416430907432
"Kealakehe Hawaiian Home Land, USA",0.09999999999999999,0.006792452830188679,0.3939622641509434,0.3935849056603774,0.10566037735849058,0.3469174503657262,0.5235109717868338,0.12957157784743992
"Bois Forte Reservation and Off-Reservation Trust Land, USA",0.17978297820175165,0.00045571500780152704,0.5054535305291383,0.258172541508083,0.056135234753225516,0.23247836289097992,0.6396638546729477,0.12785778243607246
"Paukukalo Hawaiian Home Land, USA",0.03721553010079656,0.002550853668311816,0.3494613208306086,0.48705589248715986,0.12371640291312308,0.3691141260973664,0.5853950518754988,0.04549082202713487
"Santee Reservation, USA",0.17109375000000004,0.0015624999999999997,0.3765624999999999,0.4007812499999999,0.04999999999999999,0.3382507903055848,0.5405690200210748,0.12118018967334036
"Puukapu Hawaiian Home Land, USA",0.11008773440675645,0.00227376501966058,0.3913022642652202,0.3769595655069585,0.11937667080140413,0.37048148976347506,0.5749556201864126,0.05456289005011234
"Reno-Sparks Indian Colony and Off-Reservation Trust Land, USA",0.26925104107025594,0.01311272581275625,0.2891928128903871,0.2967666167255676,0.13167680350103333,0.40243507978273285,0.46431896109098386,0.13324595912628331
"Santa Rosa Rancheria, USA",0.1112426035502959,0.0,0.2165680473372781,0.5603550295857989,0.11183431952662722,0.5306122448979592,0.4183673469387756,0.05102040816326533
"Mohegan Reservation, USA",0.15257593372701148,0.0,0.4669848729048199,0.2912533742361145,0.08918581913205396,0.3145094029352859,0.5224553504250893,0.16303524663962474
"Nooksack Reservation and Off-Reservation Trust Land, USA",0.07697022676548017,0.0018828460730757452,0.48971355209801204,0.3472582599147235,0.08417511514870857,0.34040455321786695,0.5529439203379185,0.10665152644421451
"Catawba Reservation and Off-Reservation Trust Land, USA",0.1551292874446243,0.003436206144046278,0.4587288511002088,0.3373194410897445,0.04538621422137613,0.2765026984702462,0.6074977049478614,0.1159995965818924
"Cocopah Reservation, USA",0.14197352209851932,0.007985484196142562,0.4061414394838825,0.3647140521045676,0.07918550211688807,0.45639890567645974,0.5067185416351612,0.036882552688378985
"Onondaga Nation Reservation, USA",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Shinnecock (state) Reservation, USA",0.6923076923076923,0.0,0.0,0.30769230769230765,0.0,0.3076923076923077,0.5128205128205128,0.17948717948717946
"Walker River Reservation, USA",0.22345337635338133,0.0,0.274893290039347,0.43398425928139356,0.06766907432587821,0.42254237142191947,0.37342106050584056,0.20403656807223988
"East Kapolei Hawaiian Home Land, USA",0.10233393177737884,0.0,0.2917414721723519,0.5184021543985637,0.08752244165170557,0.616030534351145,0.3290076335877862,0.054961832061068694
"St. Croix Reservation and Off-Reservation Trust Land, USA",0.14890029570246222,0.003852996942623972,0.5517491817233001,0.2501527433214533,0.04534478231016039,0.2600006001688839,0.6328056488203276,0.10719375101078857
"Indian Township Reservation, USA",0.24347014925373137,0.014925373134328354,0.3414179104477611,0.31996268656716415,0.08022388059701492,0.3711217183770883,0.4665871121718377,0.16229116945107394
"Zia Pueblo and Off-Reservation Trust Land, USA",0.13014981273408235,0.0,0.2940074906367041,0.4962546816479401,0.07958801498127342,0.558252427184466,0.33252427184466016,0.10922330097087378
"Chehalis Reservation and Off-Reservation Trust Land, USA",0.1836197319652928,0.0002761396868996638,0.4280520111997663,0.29928152205114245,0.0887705950968987,0.3365413250324614,0.5083020451312593,0.15515662983627937
"Barona Reservation and Off-Reservation Trust Land, USA",0.09740740740740739,0.0,0.38962962962962966,0.33,0.1829629629629629,0.31212814645308934,0.5551487414187642,0.13272311212814647
"Kalispel Reservation and Off-Reservation Trust Land, USA",0.092182018364197,0.0028276723258607995,0.2143198018302355,0.1338496414851215,0.5568208659945852,0.4761518753343537,0.37365525714141656,0.15019286752422972
"Port Gamble Reservation and Off-Reservation Trust Land, USA",0.12156954785188295,0.0,0.5962719254461336,0.21561121642446696,0.06654731027751654,0.22568065961839304,0.631033981649058,0.14328535873254905
"Stockbridge Munsee Community and Off-Reservation Trust Land, USA",0.18221270214537624,0.002258466234131864,0.4734010541038534,0.30219724798166026,0.03993052953497827,0.26310656314219727,0.5804654105936058,0.15642802626419694
"Skokomish Reservation and Off-Reservation Trust Land, USA",0.10111169506417017,0.008400900268395522,0.4208714630163805,0.3461981312610577,0.1234178103899959,0.40999391201256047,0.4872365877364436,0.10276950025099596
"Elko Colony, USA",0.2297830374753452,0.0,0.1696252465483234,0.4516765285996055,0.14891518737672582,0.43453070683661643,0.36152954808806487,0.20393974507531865
"Hannahville Indian Community and Off-Reservation Trust Land, USA",0.08991313534831982,0.00967971710791172,0.4791935382162787,0.33086873210597145,0.09034487722151825,0.27892741715073505,0.5841632553586512,0.1369093274906138
"Pleasant Point Reservation, USA",0.2218700475435817,0.0,0.3201267828843106,0.3629160063391442,0.09508716323296357,0.5384615384615383,0.32741617357001973,0.1341222879684418
"Santa Ana Pueblo, USA",0.17575718262775133,0.04104012102194974,0.3592965869373023,0.3278158374417437,0.09609027197125297,0.3773978064418977,0.48486286724586586,0.13773932631223634
"Lower Elwha Reservation and Off-Reservation Trust Land, USA",0.18884610749120329,0.005661570716971476,0.436852598231,0.2858387216658594,0.08280100189496593,0.26013617444652426,0.6276835994475564,0.11218022610591946
"Alabama-Coushatta Reservation and Off-Reservation Trust Land, USA",0.10725964682799222,0.0,0.329627207325049,0.4538914323086985,0.10922171353826034,0.3366045142296369,0.5554465161923455,0.10794896957801765
"Fallon Paiute-Shoshone Reservation and Off-Reservation Trust Land, USA",0.24291497975708504,0.0,0.2968960863697706,0.388663967611336,0.07152496626180838,0.3713355048859935,0.4218241042345277,0.2068403908794789
"Siletz Reservation and Off-Reservation Trust Land, USA",0.15352836097333383,0.009719691230742438,0.46309663134818124,0.3133604635894049,0.06029485285833755,0.2815578567245637,0.5674169643397863,0.15102517893565007
"Panaewa (Agricultural) Hawaiian Home Land, USA",0.06918234181776553,0.0061736279380731444,0.442688404919768,0.3844986698179656,0.0974569555064277,0.306515213406819,0.6050793074561709,0.0884054791370102
"Chitimacha Reservation, USA",0.21884272997032647,0.001483679525222552,0.41394658753709207,0.3071216617210683,0.05860534124629082,0.3032786885245902,0.6147540983606558,0.08196721311475413
"Nisqually Reservation, USA",0.2470059880239521,0.005988023952095809,0.29341317365269454,0.3383233532934132,0.11526946107784433,0.3475728155339806,0.5203883495145631,0.1320388349514563
"Grand Portage Reservation and Off-Reservation Trust Land, USA",0.2226123595505616,0.022471910112359553,0.4803370786516855,0.23946629213483153,0.035112359550561814,0.24922600619195043,0.6385448916408668,0.11222910216718265
"Waianae Kai Hawaiian Home Land, USA",0.09425133689839568,0.005347593582887701,0.24598930481283424,0.5421122994652406,0.1122994652406417,0.4196113074204947,0.5070671378091873,0.07332155477031803
"Grand Ronde Community and Off-Reservation Trust Land, USA",0.21548620167917804,0.0027473099585433865,0.41000415407652896,0.3194646440352671,0.05229769025048246,0.22656490457888204,0.6134312977269342,0.1600037976941838
"Grand Traverse Reservation and Off-Reservation Trust Land, USA",0.1360330794786733,0.0033864687572190974,0.5002967696925212,0.27410723733088993,0.0861764447406962,0.31334781666479095,0.6007563738328822,0.08589580950232703
"Forest County Potawatomi Community and Off-Reservation Trust Land, USA",0.1115326067233231,0.005256805636131745,0.4766960632236402,0.284334520522501,0.12218000389440394,0.35734698158588635,0.4910977120573592,0.15155530635675432
"Soboba Reservation and Off-Reservation Trust Land, USA",0.10910724273329594,0.0005762995200955325,0.39733857181612403,0.4241868331283288,0.06879105280215575,0.238137128564857,0.6848621279399346,0.07700074349520822
"Susanville Indian Rancheria and Off-Reservation Trust Land, USA",0.10632165491805065,0.00045100737374168264,0.2420216886190368,0.25315703816513857,0.39804861092403204,0.4543501218238402,0.41456035882009995,0.13108951935605992
"Big Pine Reservation and Off-Reservation Trust Land, USA",0.22675159235668793,0.017834394904458598,0.3592356687898089,0.34267515923566877,0.0535031847133758,0.2887612797374898,0.524200164068909,0.18703855619360132
"Karuk Reservation and Off-Reservation Trust Land, USA",0.14987259302622177,0.00023871182310399768,0.35172710572844906,0.4057472884865656,0.09241430093565946,0.4098414493015471,0.39293255997088444,0.19722599072756852
"Viejas Reservation and Off-Reservation Trust Land, USA",0.11621497473587501,0.0027560863573725313,0.4345429490124024,0.2990353697749196,0.14745062011943044,0.3226332970620239,0.5903155603917302,0.08705114254624591
"Miccosukee Reservation and Off-Reservation Trust Land, USA",-0.003021148036253779,0.0,0.45317220543806647,0.4290030211480363,0.12084592145015105,0.40827147401908803,0.5482502651113468,0.043478260869565216
"Lower Sioux Indian Community and Off-Reservation Trust Land, USA",0.17828054298642537,0.0,0.36018099547511306,0.379185520361991,0.0823529411764706,0.3088235294117648,0.5330882352941178,0.15808823529411764
"Squaxin Island Reservation and Off-Reservation Trust Land, USA",0.13806613903534568,0.0,0.47059284628881554,0.24637429698452612,0.14496671769131259,0.25786395685900576,0.580874802195614,0.16126124094538025
"Kawaihae Hawaiian Home Land, USA",0.20112254443405042,0.0,0.509822263797942,0.2507015902712815,0.03835360149672592,0.09168081494057725,0.7057159026598755,0.20260328239954725
"Sokaogon Chippewa Community and Off-Reservation Trust Land, USA",0.13910355486862439,0.0,0.46213292117465227,0.3261205564142195,0.07264296754250388,0.26245210727969354,0.574712643678161,0.16283524904214564
"Kekaha Hawaiian Home Land, USA",0.07599781301257524,0.002186987424822307,0.37944231820667024,0.49644614543466364,0.04592673592126845,0.34170471841704725,0.6133942161339422,0.04490106544901066
"Chemehuevi Reservation, USA",0.2574568288854002,0.006279434850863422,0.2668759811616954,0.335949764521193,0.1334379905808477,0.32251521298174435,0.5801217038539555,0.0973630831643002
"Leialii Hawaiian Home Land, USA",0.07267267267267272,0.0024024024024024027,0.36396396396396397,0.44384384384384395,0.11711711711711714,0.3665568369028007,0.556836902800659,0.07660626029654038
"Round Valley Reservation and Off-Reservation Trust Land, USA",0.17105699809502464,0.017794386255307666,0.3595012935901536,0.3859591970716663,0.06568812498784768,0.39281190095561647,0.47788782240398336,0.12930027664040006
"Brighton Reservation, USA",0.10830324909747291,0.0,0.6113116726835138,0.2515042117930205,0.028880866425992777,0.21313868613138684,0.6145985401459855,0.17226277372262766
"Poospatuck (state) Reservation, USA",0.12582573136206357,0.0,0.2636049072035231,0.5347593582887701,0.07581000314564328,0.5236698785085883,0.4000837871805614,0.07624633431085044
"Flandreau Reservation, USA",0.17276196758443427,0.012682060352293096,0.4388640726336622,0.3196070289196844,0.05608487050992602,0.29527394838322174,0.5748172572429681,0.12990879437381028
"Quileute Reservation, USA",0.17772511848341238,0.0,0.36255924170616105,0.27014218009478674,0.1895734597156398,0.3737517831669045,0.5235378031383737,0.10271041369472184
"Dresslerville Colony, USA",0.11499703615886184,0.0,0.4457617071724956,0.36455245998814456,0.07468879668049792,0.30798479087452474,0.5870722433460076,0.1049429657794677
"Campo Indian Reservation, USA",0.1085035316506905,0.00484651118268889,0.42467653789768184,0.3117897587673395,0.15018366050159931,0.29632243874718617,0.5674030542070841,0.13627450704572974
"Mashantucket Pequot Reservation and Off-Reservation Trust Land, USA",0.1704963235294118,0.0349264705882353,0.38327205882352944,0.3556985294117647,0.055606617647058834,0.32927610506085847,0.5714285714285714,0.09929532351057015
"Penobscot Reservation and Off-Reservation Trust Land, USA",0.24351610220891826,0.009915549780975648,0.31249988269801104,0.3527303563168451,0.08133810899525007,0.38559095959286743,0.3542546095267221,0.26015443088041046
"Kickapoo (TX) Reservation and Off-Reservation Trust Land, USA",0.05978602894902452,0.0,0.3234738829452486,0.5915670232850849,0.025173064820641914,0.4962686567164179,0.5018656716417911,0.0018656716417910447
"Kalamaula Hawaiian Home Land, USA",0.19199272065514106,0.0,0.26387625113739765,0.4422202001819836,0.1019108280254777,0.4188911704312115,0.5503080082135523,0.030800821355236138
"Coquille Reservation, USA",0.2260626550011105,0.0,0.5069527849380556,0.17489110254591697,0.09209345751491692,0.23223122950381409,0.6258848482086166,0.14188392228756944
"Kakaina-Kumuhau Hawaiian Home Land, USA",0.13970007892659828,0.0,0.34569850039463296,0.34017363851617993,0.17442778216258878,0.3895870736086176,0.4802513464991022,0.13016157989228005
"Prairie Island Indian Community and Off-Reservation Trust Land, USA",0.21921318947675053,0.00023111783220505165,0.5291037011822781,0.22014862008641475,0.03130337142235164,0.19086796689207322,0.6119901657386642,0.19714186736926245
"Kalawahine Hawaiian Home Land, USA",0.16717791411042948,0.006134969325153374,0.34049079754601236,0.321319018404908,0.16487730061349695,0.3347602739726027,0.5993150684931506,0.06592465753424658
"Campbell Ranch, USA",0.20696937697993667,0.006335797254487856,0.35691657866948256,0.36536430834213307,0.06441393875395988,0.3145743145743146,0.5223665223665224,0.16305916305916304
"Poarch Creek Reservation and Off-Reservation Trust Land, USA",0.19244082935965795,0.0,0.37418737549199643,0.32462982198277346,0.10874197316557219,0.23483537690907574,0.5930763675719575,0.17208825551896684
"Little River Reservation and Off-Reservation Trust Land, USA",0.14847040144029316,0.0,0.48329190708533354,0.2605724373839363,0.10766525409043703,0.18839871049227708,0.6486516998633424,0.16294958964438047
"Fort McDermitt Indian Reservation, USA",0.07675597393193338,0.001448225923244026,0.5865314989138305,0.3193338160753077,0.015930485155684286,0.17786187322611163,0.7814569536423842,0.04068117313150425
"San Manuel Reservation and Off-Reservation Trust Land, USA",0.12416437018046585,0.02369489004762484,0.3817610672647134,0.3922452546653045,0.07813441784189139,0.24703322027730837,0.6208158339935875,0.13215094572910405
"Upper Skagit Reservation and Off-Reservation Trust Land, USA",0.06143826750062806,0.0,0.41083460851783643,0.2699975993439918,0.2577295246375438,0.3370127573534605,0.48122073235284857,0.18176651029369098
"Santa Ynez Reservation, USA",0.24276377217553685,0.16059757236227823,0.32866479925303455,0.18300653594771238,0.08496732026143788,0.25078698845750264,0.6190975865687304,0.13011542497376707
"Santa Ysabel Reservation, USA",0.19981583793738492,0.0,0.4125230202578269,0.24217311233885822,0.14548802946593,0.3243823845327605,0.4769065520945221,0.1987110633727175
"Tonawanda Reservation, USA",0.3884057971014492,0.0,0.3652173913043479,0.2347826086956522,0.011594202898550725,0.504702194357367,0.4200626959247647,0.07523510971786833
"Hopland Rancheria, USA",0.12773067616914793,0.01054543647782542,0.4539572931738519,0.26810470802431585,0.13966188615485908,0.34519475820656775,0.5551104788262141,0.09969476296721817
"Kewalo Hawaiian Home Land, USA",0.12128279883381926,0.006997084548104956,0.22740524781341107,0.4565597667638483,0.1877551020408163,0.36876832844574775,0.5535190615835778,0.07771260997067449
"Lone Pine Reservation, USA",0.12732919254658392,0.004140786749482403,0.4244306418219462,0.3881987577639751,0.05590062111801244,0.3482142857142857,0.511904761904762,0.13988095238095238
"Ely Reservation, USA",0.23199791632747535,0.0,0.470580466868586,0.22542567965800678,0.07199593714593193,0.23312765360316057,0.5428514146134906,0.22402093178334886
"Big Cypress Reservation, USA",0.10160965794768609,0.002012072434607645,0.3118712273641851,0.22937625754527163,0.3551307847082495,0.40810810810810816,0.4351351351351351,0.15675675675675674
"Carson Colony, USA",0.18857142857142856,0.0,0.3733333333333334,0.3219047619047619,0.1161904761904762,0.34161490683229806,0.5300207039337475,0.12836438923395446
"Redwood Valley Rancheria, USA",0.1785445716863976,0.0,0.40790143569901227,0.3005682449796308,0.11298574763495936,0.2819214132648328,0.6455539828954725,0.07252460383969475
"Moapa River Indian Reservation, USA",0.3181818181818181,0.0,0.20279720279720279,0.3111888111888112,0.16783216783216784,0.5133928571428571,0.38392857142857145,0.10267857142857142
"Houlton Maliseet Reservation and Off-Reservation Trust Land, USA",0.20532057247094843,0.0,0.36085638871283554,0.4004141848332729,0.033408853982943285,0.3349992928417435,0.5856151530297774,0.07938555412847903
"Paiute (UT) Reservation, USA",0.0951934179007452,0.0007716364394469994,0.5144793045927171,0.3314979353935787,0.05805770567351189,0.2571704021210955,0.6871152674198054,0.05571433045909899
"Pokagon Reservation and Off-Reservation Trust Land, USA",0.2190850584814317,0.01765370999646772,0.39024860839481956,0.27109576671737157,0.1019168564099095,0.29499019605627397,0.5594315187771978,0.14557828516652827
"Cahuilla Reservation, USA",0.025821596244131384,0.0,0.4522691705790298,0.4882629107981221,0.033646322378716745,0.21041445270988307,0.6057385759829967,0.18384697130712005
"Woodfords Community, USA",0.1413690476190477,0.0,0.3630952380952381,0.35863095238095244,0.13690476190476192,0.3987455197132616,0.5,0.10125448028673835
"Anahola (Agricultural) Hawaiian Home Land, USA",0.19009741317546716,0.0004745338721536572,0.31919469420860763,0.3816475291190897,0.10858582962468179,0.34015691229221356,0.5136137505612698,0.14622933714651667
"Kaibab Indian Reservation, USA",0.1836027713625866,0.0,0.29792147806004615,0.43071593533487296,0.08775981524249424,0.4698972099853157,0.4508076358296623,0.079295154185022
"Lac Vieux Desert Reservation, USA",0.18586789554531494,0.0,0.48233486943164355,0.3072196620583717,0.024577572964669735,0.324577861163227,0.5741088180112571,0.10131332082551593
"Robinson Rancheria and Off-Reservation Trust Land, USA",0.15140031488272004,0.0005291511321195739,0.4287229281956014,0.30104768580622304,0.1182999199833358,0.4326890872839165,0.42210512121139976,0.14520579150468374
"Sycuan Reservation and Off-Reservation Trust Land, USA",0.11126187245590233,0.0,0.3582089552238806,0.4063772048846676,0.12415196743554953,0.3882845188284519,0.4912133891213389,0.1205020920502092
"Havasupai Reservation, USA",0.18530351437699683,0.0,0.6230031948881789,0.0,0.19169329073482427,0.29712460063897767,0.41693290734824284,0.2859424920127796
"Cow Creek Reservation and Off-Reservation Trust Land, USA",0.2200923134965271,0.0009271689583315267,0.4176268342373054,0.284143099171269,0.07721058413656687,0.24882955813004576,0.5950830161142833,0.15608742575567103
"Rohnerville (Rancheria) Trust Land, USA",0.135048231511254,0.0,0.432475884244373,0.34887459807073956,0.08360128617363344,0.34593572778827975,0.5056710775047258,0.14839319470699433
"Sherwood Valley Rancheria and Off-Reservation Trust Land, USA",0.20184792498244541,0.0,0.31911364208046156,0.403883730220515,0.07515470271657809,0.4615247436586081,0.42785553172594165,0.11061972461545028
"Aroostook Band of Micmac Trust Land, USA",0.2500965296786782,0.0025573373608298025,0.422157500240781,0.2285911029297603,0.09659752978995083,0.2888755505291002,0.5490135201243618,0.16211092934653806
"Quartz Valley Reservation and Off-Reservation Trust Land, USA",0.09510906633868928,0.00010967394789891845,0.4573650080845152,0.2742170252337915,0.17319922639510518,0.21266935894449998,0.6291295623562978,0.1582010786992022
"Yavapai-Prescott Reservation, USA",0.2885117493472585,0.03916449086161881,0.3785900783289817,0.19321148825065276,0.10052219321148828,0.1263318112633181,0.54337899543379,0.33028919330289186
"Immokalee Reservation, USA",0.13509602319481015,0.0,0.2865746163284724,0.3637913024529512,0.2145380580237662,0.4464138190965952,0.4313880048990726,0.12219817600433212
