longname,PW Density (250m) [StatCan],PW Density (500m) [StatCan],PW Density (2km) [StatCan],PW Density (4km) [StatCan]
"Toronto CDR, Ontario, Canada",11247.064398492816,8641.979906392718,5843.8325836540225,4942.461128127719
"Greater Vancouver Regional district, British Columbia, Canada",7016.811450592905,5626.4552557097095,3738.0465187192844,2872.5764547949175
"Montréal Territory, Quebec, Canada",9160.939500884524,8039.828265903875,5911.435825886669,5073.448066607914
"Division No. 6, Alberta, Canada",4480.428737620938,3275.3045216204596,2221.6590273514653,1699.0461058582493
"Division No. 11, Alberta, Canada",3860.886964498456,2778.016209020228,1927.2145557780768,1495.8543123582822
"Peel Regional municipality, Ontario, Canada",6629.209322490762,5009.265108522257,3540.392717180634,2801.886913098086
"York Regional municipality, Ontario, Canada",4744.2056951128725,3378.170685651702,2281.3598245264266,1842.6595832128899
"Ottawa CDR, Ontario, Canada",4779.316617090006,3579.629583345174,2345.1508807655578,1789.0625102196655
"Division No. 11, Manitoba, Canada",4240.128065692845,3408.412171878783,2476.7455448794153,2043.8775058780088
"Durham Regional municipality, Ontario, Canada",3751.4282009052745,2840.690061307969,1894.3206947214765,1421.7132144048087
"Halton Regional municipality, Ontario, Canada",4346.34429743042,3318.4098097743317,2107.5766990177835,1449.6014710140514
"Québec Territory, Quebec, Canada",4530.9898175005665,3523.758047866194,2347.9850798086536,1818.0595770024252
"Waterloo Regional municipality, Ontario, Canada",3939.4581043395638,2791.8825136419377,1840.6212075928022,1482.9025485974184
"Hamilton CDR, Ontario, Canada",4503.960333628364,3553.194480775918,2495.2330399402517,1944.9576222555322
"Simcoe County, Ontario, Canada",2464.7672576551713,1669.4361087734603,861.8455226214987,516.3018842946901
"Middlesex County, Ontario, Canada",3709.0707111044635,2581.780339635407,1846.6374639504418,1547.247376783076
"Niagara Regional municipality, Ontario, Canada",2467.222696382824,1812.187966394901,1167.9722465536574,825.2358266154138
"Halifax County, Nova Scotia, Canada",3802.2679937645557,2455.014762339616,1439.5408019731267,1041.4687811424403
"Laval Territory, Quebec, Canada",4627.195706211694,3619.2842738212435,2710.956054941209,2505.107264703011
"Longueuil Territory, Quebec, Canada",4499.566898298365,3680.8486035900128,2842.351559481333,2357.7915199192435
"Essex County, Ontario, Canada",2787.4846345555816,2107.1699633114695,1353.3416414353119,974.8732794379671
"Capital Regional district, British Columbia, Canada",3646.216773458172,2721.650508319542,1927.2481174120937,1455.8056284217244
