longname,High school diploma [25-64] %,Bachelor's degree [25-64] %,Graduate degree [25-64] %
"Toronto Population Center, ON, Canada",0.9201365832015199,0.4719093706894069,0.1411055181738286
"Montréal Population Center, QC, Canada",0.90387735457475,0.38515631681459894,0.11601160443214588
"Vancouver Population Center, BC, Canada",0.9335110744364153,0.4325041296427178,0.12054865465459871
"Calgary Population Center, AB, Canada",0.9245565830052788,0.4247430148254683,0.1105491745717431
"Edmonton Population Center, AB, Canada",0.9075627911085126,0.34482861246923924,0.09064021865210607
"Ottawa - Gatineau Population Center, QC-ON, Canada",0.9279708991144839,0.46346545923776616,0.16088538664245525
"Winnipeg Population Center, MB, Canada",0.9137988240578095,0.3584081837254265,0.0777550858128045
"Québec Population Center, QC, Canada",0.9331179802637067,0.34871609483967825,0.10903284569856928
"Hamilton Population Center, ON, Canada",0.9107953232206523,0.34010059501360623,0.09186927581497202
"Kitchener Population Center, ON, Canada",0.907826577259832,0.35476725812011983,0.10611891587395787
"London Population Center, ON, Canada",0.9101569336344597,0.34427559401750435,0.10603005179218365
"Victoria Population Center, BC, Canada",0.9431224102394071,0.39871520209534833,0.12109230638943679
"Halifax Population Center, NS, Canada",0.9355860740119158,0.4272424996078744,0.1243830347122601
"Oshawa Population Center, ON, Canada",0.9219051507982163,0.28697631317841527,0.06624779608168667
"Windsor Population Center, ON, Canada",0.9056105773933383,0.2953529545704477,0.08624831750638341
"Saskatoon Population Center, SK, Canada",0.9288629448353075,0.370145327309672,0.1035776118597169
"St. Catharines - Niagara Falls Population Center, ON, Canada",0.911093588475457,0.24853779874111775,0.05752744466720681
"Regina Population Center, SK, Canada",0.923559054824175,0.34380136544268897,0.08427404561161912
"St. John's Population Center, NL, Canada",0.934754648653151,0.3256310403505142,0.10297303254479094
"Kelowna Population Center, BC, Canada",0.9323192700926823,0.2786494849401194,0.07178424685857941
"Barrie Population Center, ON, Canada",0.9117862997449582,0.24910603958022984,0.04795980630741615
"Sherbrooke Population Center, QC, Canada",0.8945436890062077,0.31362599823137105,0.10960784626774243
"Guelph Population Center, ON, Canada",0.9183895571043017,0.40034505525748837,0.12589462900119286
"Kanata Population Center, ON, Canada",0.9728856476108014,0.5407087980529754,0.17940771700804695
"Abbotsford Population Center, BC, Canada",0.8692520313756232,0.23729818123155133,0.05870049291312019
"Trois-Rivières Population Center, QC, Canada",0.8854516645244626,0.24221110761423092,0.06306603399685794
"Kingston Population Center, ON, Canada",0.939063444577414,0.350041963282039,0.13633082975340263
"Milton Population Center, ON, Canada",0.9542967335549719,0.5077310600220858,0.1471958643284523
"Moncton Population Center, NB, Canada",0.9308847684018999,0.3163964736118527,0.07457798567449897
"White Rock Population Center, BC, Canada",0.9628680198153841,0.4255461786760577,0.1208964310653323
"Nanaimo Population Center, BC, Canada",0.912003237898769,0.2703477758545361,0.07262570382467928
"Brantford Population Center, ON, Canada",0.8781917027750182,0.18675309972635412,0.03268025770610934
"Chicoutimi - Jonquière Population Center, QC, Canada",0.9077319071882607,0.23034839744649774,0.05819788517873755
"Saint-Jérôme Population Center, QC, Canada",0.843569525969561,0.14679262738522933,0.02343900532147306
"Red Deer Population Center, AB, Canada",0.8908377520833303,0.20767025561407423,0.03417743529962803
"Thunder Bay Population Center, ON, Canada",0.8856286745030079,0.25070534735761296,0.05904920856957746
"Lethbridge Population Center, AB, Canada",0.8999169743563742,0.25892215666275314,0.059904090679013526
"Kamloops Population Center, BC, Canada",0.9288998074418969,0.2514730160549087,0.05692175933142155
"Sudbury Population Center, ON, Canada",0.9068420669342125,0.2654939488848051,0.064530269466517
"Saint-Jean-sur-Richelieu Population Center, QC, Canada",0.8675783567487234,0.18347244629095388,0.028141683002083556
"Peterborough Population Center, ON, Canada",0.9110900444790438,0.274448888397665,0.06365845737898905
"Chilliwack Population Center, BC, Canada",0.8896770041960712,0.17846892129194847,0.03876136904027359
"Châteauguay Population Center, QC, Canada",0.881546535250324,0.1995253119104593,0.036595550420766655
"Belleville Population Center, ON, Canada",0.8868366621470587,0.17080438374801618,0.03088715890498216
"Sarnia Population Center, ON, Canada",0.927544103443912,0.20570779447367976,0.040897258397037985
"Airdrie Population Center, AB, Canada",0.9329093456181741,0.2358563369842091,0.04101921098473615
"Drummondville Population Center, QC, Canada",0.8414170783210609,0.16743109986543137,0.031384390480736366
"Welland - Pelham Population Center, ON, Canada",0.9243225105573845,0.21116962662866,0.04519154968575674
"Fort McMurray Population Center, AB, Canada",0.9347926676108469,0.21990405382151446,0.044503699825910445
"Prince George Population Center, BC, Canada",0.8922916050965841,0.22122170716598544,0.05467608226147262
"Sault Ste. Marie Population Center, ON, Canada",0.9112021626558028,0.22954200120417936,0.03813258414887429
"Fredericton Population Center, NB, Canada",0.9495083191697954,0.4482589179141956,0.13964910839080955
"Medicine Hat Population Center, AB, Canada",0.8819832682082466,0.1772495657119421,0.03255242090567487
