longname,PW Mean Hilliness (Grade),PW Mean Elevation,geoid
"Los Angeles County, California, USA",0.04156361799327764,156.8806119061626,06037
"Cook County, Illinois, USA",0.03496861722128074,193.33427148522645,17031
"Harris County, Texas, USA",0.04302633558204032,29.51633327536277,48201
"Maricopa County, Arizona, USA",0.03207461224300592,382.4726782132978,04013
"San Diego County, California, USA",0.055294012435640146,126.37229329588365,06073
"Orange County, California, USA",0.042304769297992754,64.01864259166787,06059
"Kings County, New York, USA",0.043571144063376435,22.425102362597467,36047
"Miami-Dade County, Florida, USA",0.029317179554490893,11.919542469338115,12086
"Dallas County, Texas, USA",0.03738924380831234,166.070694842462,48113
"Riverside County, California, USA",0.042342856153560364,340.2401877519301,06065
"Queens County, New York, USA",0.04269057384888233,26.227958896959922,36081
"King County, Washington, USA",0.0729988043805045,88.76326868644925,53033
"Clark County, Nevada, USA",0.02993663648827851,676.8265552904303,32003
"San Bernardino County, California, USA",0.04130028918300409,540.4925307105422,06071
"Tarrant County, Texas, USA",0.04911268178568645,193.56371964054856,48439
"Bexar County, Texas, USA",0.07251063448799318,243.3917274685344,48029
"Broward County, Florida, USA",0.030756860655751526,12.280634082910101,12011
"Santa Clara County, California, USA",0.03376369733940624,59.67478410579177,06085
"Wayne County, Michigan, USA",0.034749883651610684,194.24562039108508,26163
"New York County, New York, USA",0.06487632036444502,27.943654882573732,36061
"Alameda County, California, USA",0.03987874214956765,58.998582723484766,06001
"Middlesex County, Massachusetts, USA",0.050544789737513196,46.66219139582991,25017
"Philadelphia County, Pennsylvania, USA",0.03593457352439212,36.38836098038129,42101
"Sacramento County, California, USA",0.02881056641127377,28.5725489137871,06067
"Suffolk County, New York, USA",0.027568744269626168,29.779097582212174,36103
"Palm Beach County, Florida, USA",0.02994914603162454,11.143702413990827,12099
"Bronx County, New York, USA",0.04765072414321343,27.93500830686838,36005
"Hillsborough County, Florida, USA",0.04756079807558246,17.421946175066054,12057
"Orange County, Florida, USA",0.05228322790939555,25.74688164049817,12095
"Nassau County, New York, USA",0.031507153483327555,26.93406813571921,36059
"Franklin County, Ohio, USA",0.04084154239234367,258.56802658138656,39049
"Travis County, Texas, USA",0.05742216528034834,212.69590341629475,48453
