longname,High School %,Undergrad %,Grad %,High school diploma [25-64] %,Bachelor's degree [25-64] %,Graduate degree [25-64] %,Undergrad STEM %,Undergrad Humanities %,Undergrad Business %,% of women with high school education - % of men with high school education,% of women with undergraduate education - % of men with undergraduate education,% of women with graduate education - % of men with graduate education
"Kamina Urban Center, Democratic Republic of the Congo",,,,,,,,,,,,
"Satna Urban Center, India",,,,,,,,,,,,
"At Taif Urban Center, Saudi Arabia",,,,,,,,,,,,
"Djelfa Urban Center, Algeria",,,,,,,,,,,,
"Sumgayit Urban Center, Azerbaijan",,,,,,,,,,,,
"Coventry Urban Center, United Kingdom",,,,,,,,,,,,
"Maringá Urban Center, Brazil",,,,,,,,,,,,
"兴安街道 Urban Center, China",,,,,,,,,,,,
"Santiago de Cuba Urban Center, Cuba",,,,,,,,,,,,
"Portsmouth Urban Center, United Kingdom",,,,,,,,,,,,
"Mykolaiv Urban Center, Ukraine",,,,,,,,,,,,
"Pizhou Urban Center, China",,,,,,,,,,,,
"Huludao Urban Center, China",,,,,,,,,,,,
"Al-Ubayyid Urban Center, Sudan",,,,,,,,,,,,
"Fatehpur (Southern Uttar Pradesh) Urban Center, India",,,,,,,,,,,,
"Cooch Behar (Southern West Bengal) Urban Center, India",,,,,,,,,,,,
"Vapi Urban Center, India",,,,,,,,,,,,
"Las Palmas de Gran Canaria Urban Center, Spain",,,,,,,,,,,,
"Jhang Urban Center, Pakistan",,,,,,,,,,,,
"Bozhou Urban Center, China",,,,,,,,,,,,
"Manjeri Urban Center, India",,,,,,,,,,,,
"Barnaul Urban Center, Russia",,,,,,,,,,,,
"Homna Urban Center, Bangladesh",,,,,,,,,,,,
"Bannu Urban Center, Pakistan",,,,,,,,,,,,
"Huzhou Urban Center, China",,,,,,,,,,,,
"Adama Urban Center, Ethiopia",,,,,,,,,,,,
"Hamedan Urban Center, Iran",,,,,,,,,,,,
"Chenzhou Urban Center, China",,,,,,,,,,,,
"Haifa Urban Center, Israel",,,,,,,,,,,,
"Songyuan Urban Center, China",,,,,,,,,,,,
"Tongling Urban Center, China",,,,,,,,,,,,
"Maturin Urban Center, Venezuela",,,,,,,,,,,,
"Allentown Urban Center, USA",0.8940279278428548,0.2893459126652138,0.10689876273353921,,,,0.1310995678740418,0.10189122021609458,0.05635512457507661,-0.002437935880921449,-0.009524553531472912,0.003451077216460957
"Anshun Urban Center, China",,,,,,,,,,,,
"Luena Urban Center, Angola",,,,,,,,,,,,
"Kurnool Urban Center, India",,,,,,,,,,,,
"Pukou Urban Center, China",,,,,,,,,,,,
"Belfast Urban Center, United Kingdom",,,,,,,,,,,,
"Zucheng Urban Center, China",,,,,,,,,,,,
"Pokhariya Urban Center, Nepal",,,,,,,,,,,,
"Luzhou Urban Center, China",,,,,,,,,,,,
"Rae Bareli Urban Center, India",,,,,,,,,,,,
"Melaka City Urban Center, Malaysia",,,,,,,,,,,,
"Dengzhou Urban Center, China",,,,,,,,,,,,
"Seeb Urban Center, Oman",,,,,,,,,,,,
"Baishan Urban Center, China",,,,,,,,,,,,
"Praia Grande Urban Center, Brazil",,,,,,,,,,,,
"Jiaozhou Urban Center, China",,,,,,,,,,,,
"Fengrun Urban Center, China",,,,,,,,,,,,
"Mbeya Urban Center, Tanzania",,,,,,,,,,,,
"Sousse Urban Center, Tunisia",,,,,,,,,,,,
"Palma de Mallorca Urban Center, Spain",,,,,,,,,,,,
"Chaoyang Urban Center, China",,,,,,,,,,,,
"Orenburg Urban Center, Russia",,,,,,,,,,,,
"Yangquan Urban Center, China",,,,,,,,,,,,
"Dimapur Urban Center, India",,,,,,,,,,,,
"Catania Urban Center, Italy",,,,,,,,,,,,
"Jingjiang Urban Center, China",,,,,,,,,,,,
"Zigong Urban Center, China",,,,,,,,,,,,
"Nantes Urban Center, France",,,,,,,,,,,,
"Kikwit Urban Center, Democratic Republic of the Congo",,,,,,,,,,,,
"Tsakane Urban Center, South Africa",,,,,,,,,,,,
"Tokushima Urban Center, Japan",,,,,,,,,,,,
"At Tarimiyah Urban Center, Iraq",,,,,,,,,,,,
"Kerman Urban Center, Iran",,,,,,,,,,,,
"Memphis Urban Center, USA",0.8851011255471428,0.3445566124352443,0.1482480330212613,,,,0.13753576867590472,0.12248972658260912,0.08453111717673034,0.023548979795429137,0.025880306231625017,0.01558002506155376
"Lucheng (Yunnan Sheng) Urban Center, China",,,,,,,,,,,,
"Niigata Urban Center, Japan",,,,,,,,,,,,
"Dera Ghazi Khan Urban Center, Pakistan",,,,,,,,,,,,
"Shillong Urban Center, India",,,,,,,,,,,,
"Jundiaí Urban Center, Brazil",,,,,,,,,,,,
"Hamamatsu Urban Center, Japan",,,,,,,,,,,,
"Nimule Urban Center, South Sudan-Uganda",,,,,,,,,,,,
"Yenagoa Urban Center, Nigeria",,,,,,,,,,,,
"Shibin Al-Kom Urban Center, Egypt",,,,,,,,,,,,
"Tétouan Urban Center, Morocco",,,,,,,,,,,,
"Enshi Urban Center, China",,,,,,,,,,,,
"Tulsa Urban Center, USA",0.8957490812381622,0.32030307097411526,0.11191449603257488,,,,0.12451237134763092,0.11553455618679441,0.08025614343968941,0.0185435981927089,-0.008883629537553617,-0.0038165113001481787
"Blantyre Urban Center, Malawi",,,,,,,,,,,,
"Zoucheng Urban Center, China",,,,,,,,,,,,
"Maroua Urban Center, Cameroon",,,,,,,,,,,,
"Al-Fashir Urban Center, Sudan",,,,,,,,,,,,
"Pematang Siantar Urban Center, Indonesia",,,,,,,,,,,,
"Malabo Urban Center, Equatorial Guinea",,,,,,,,,,,,
"中塘镇 Urban Center, China",,,,,,,,,,,,
"Ballia Urban Center, India",,,,,,,,,,,,
"Batman Urban Center, Turkey",,,,,,,,,,,,
"Penza Urban Center, Russia",,,,,,,,,,,,
"Al Hillah Urban Center, Iraq",,,,,,,,,,,,
"Gaomi Urban Center, China",,,,,,,,,,,,
"Zamboanga City Urban Center, Philippines",,,,,,,,,,,,
"Shanwei Urban Center, China",,,,,,,,,,,,
"Ndola Urban Center, Zambia",,,,,,,,,,,,
"Chișinău Urban Center, Moldova",,,,,,,,,,,,
"Long Xuyen Urban Center, Vietnam",,,,,,,,,,,,
"Rampur Urban Center, India",,,,,,,,,,,,
"Bhilwara Urban Center, India",,,,,,,,,,,,
"Hathras Urban Center, India",,,,,,,,,,,,
"Brighton Urban Center, United Kingdom",,,,,,,,,,,,
"Stavropol Urban Center, Russia",,,,,,,,,,,,
"Nha Trang Urban Center, Vietnam",,,,,,,,,,,,
"Meizhou Urban Center, China",,,,,,,,,,,,
"Annaba Urban Center, Algeria",,,,,,,,,,,,
"Gorontalo Urban Center, Indonesia",,,,,,,,,,,,
"Zhanghua City Urban Center, China",,,,,,,,,,,,
"Maradi Urban Center, Niger",,,,,,,,,,,,
"Murcia Urban Center, Spain",,,,,,,,,,,,
"Ad Da'ein Urban Center, Sudan",,,,,,,,,,,,
"MBour Urban Center, Senegal",,,,,,,,,,,,
"Lüliang Urban Center, China",,,,,,,,,,,,
"Strasbourg Urban Center, Germany-France",,,,,,,,,,,,
"Rajamahendravaram Urban Center, India",,,,,,,,,,,,
"Skopje Urban Center, North Macedonia",,,,,,,,,,,,
"Tamale Urban Center, Ghana",,,,,,,,,,,,
"Karnal Urban Center, India",,,,,,,,,,,,
"Barisal Urban Center, Bangladesh",,,,,,,,,,,,
"Kediri Urban Center, Indonesia",,,,,,,,,,,,
"Villahermosa Urban Center, Mexico",,,,,,,,,,,,
"Jinzhong Urban Center, China",,,,,,,,,,,,
"Hatisala Urban Center, India",,,,,,,,,,,,
"Alacant / Alicante Urban Center, Spain",,,,,,,,,,,,
"Wiesbaden Urban Center, Germany",,,,,,,,,,,,
"General Santos Urban Center, Philippines",,,,,,,,,,,,
"Silchar Urban Center, India",,,,,,,,,,,,
"Bologna Urban Center, Italy",,,,,,,,,,,,
"Irapuato Urban Center, Mexico",,,,,,,,,,,,
"Vung Tau Urban Center, Vietnam",,,,,,,,,,,,
"Neeleshwaram Urban Center, India",,,,,,,,,,,,
"Longyan Urban Center, China",,,,,,,,,,,,
"Yanji Urban Center, China",,,,,,,,,,,,
"Irkutsk Urban Center, Russia",,,,,,,,,,,,
"La Serena Urban Center, Chile",,,,,,,,,,,,
"Macapá Urban Center, Brazil",,,,,,,,,,,,
"Yazd Urban Center, Iran",,,,,,,,,,,,
"Manado Urban Center, Indonesia",,,,,,,,,,,,
"Sultanpur Urban Center, India",,,,,,,,,,,,
"Parbhani Urban Center, India",,,,,,,,,,,,
"Minna Urban Center, Nigeria",,,,,,,,,,,,
"Manizales Urban Center, Colombia",,,,,,,,,,,,
"Bryansk Urban Center, Russia",,,,,,,,,,,,
"Dire Dawa Urban Center, Ethiopia",,,,,,,,,,,,
"Jixi Urban Center, China",,,,,,,,,,,,
"Mariupol Urban Center, Ukraine",,,,,,,,,,,,
"Florence Urban Center, Italy",,,,,,,,,,,,
"Panzhihua Urban Center, China",,,,,,,,,,,,
"Thanjavur Urban Center, India",,,,,,,,,,,,
"Cusco Urban Center, Peru",,,,,,,,,,,,
"Azamgarh Urban Center, India",,,,,,,,,,,,
"Dhing Urban Center, India",,,,,,,,,,,,
"My Tho Urban Center, Vietnam",,,,,,,,,,,,
"Basel Urban Center, Switzerland-Germany-France",,,,,,,,,,,,
"Anantapur Urban Center, India",,,,,,,,,,,,
"Kaliningrad Urban Center, Russia",,,,,,,,,,,,
"Changle Urban Center, China",,,,,,,,,,,,
"Taizhou (Jiangsu Sheng) Urban Center, China",,,,,,,,,,,,
"Basti Urban Center, India",,,,,,,,,,,,
"Luhansk Urban Center, Ukraine",,,,,,,,,,,,
"Ichalkaranji Urban Center, India",,,,,,,,,,,,
"San Juan Urban Center, Argentina",,,,,,,,,,,,
"Sambhal Urban Center, India",,,,,,,,,,,,
"Ramadi Urban Center, Iraq",,,,,,,,,,,,
"Manono Urban Center, Democratic Republic of the Congo",,,,,,,,,,,,
"Bloemfontein Urban Center, South Africa",,,,,,,,,,,,
"惠东县 Urban Center, China",,,,,,,,,,,,
"São José do Rio Preto Urban Center, Brazil",,,,,,,,,,,,
"Tallinn Urban Center, Estonia",,,,,,,,,,,,
"淮安区 Urban Center, China",,,,,,,,,,,,
"Gresik Urban Center, Indonesia",,,,,,,,,,,,
"Thiès Urban Center, Senegal",,,,,,,,,,,,
"Vijayapura Urban Center, India",,,,,,,,,,,,
"Ziyang Urban Center, China",,,,,,,,,,,,
"Blitar Urban Center, Indonesia",,,,,,,,,,,,
"Heze Urban Center, China",,,,,,,,,,,,
"Daqing Urban Center, China",,,,,,,,,,,,
"Bremen Urban Center, Germany",,,,,,,,,,,,
"Gaozhou Urban Center, China",,,,,,,,,,,,
"Osh Urban Center, Kyrgyzstan",,,,,,,,,,,,
"Bahir Dar Urban Center, Ethiopia",,,,,,,,,,,,
"Jacksonville Urban Center, USA",0.8752603795334649,0.23837269522297774,0.07865839194018709,,,,0.09932970867100678,0.08310030632375055,0.0559426802282207,0.012845143441001738,0.03680589434625092,0.01623444637929615
"Mishima Urban Center, Japan",,,,,,,,,,,,
"Mazatlán Urban Center, Mexico",,,,,,,,,,,,
"Bonn Urban Center, Germany",,,,,,,,,,,,
"Ibagué Urban Center, Colombia",,,,,,,,,,,,
"Cuenca Urban Center, Ecuador",,,,,,,,,,,,
"Unnao Urban Center, India",,,,,,,,,,,,
"Kupang Urban Center, Indonesia",,,,,,,,,,,,
"Wanzhou Urban Center, China",,,,,,,,,,,,
"Feni Urban Center, Bangladesh",,,,,,,,,,,,
"Fuqing Urban Center, China",,,,,,,,,,,,
"Ondo Urban Center, Nigeria",,,,,,,,,,,,
"Haripur Urban Center, Pakistan",,,,,,,,,,,,
"Toril Urban Center, Philippines",,,,,,,,,,,,
"Yining/Qulja Urban Center, China",,,,,,,,,,,,
"Zhaodong Urban Center, China",,,,,,,,,,,,
"Wad Madanī Urban Center, Sudan",,,,,,,,,,,,
"Jalalabad Urban Center, Afghanistan",,,,,,,,,,,,
"Kumbakonam Urban Center, India",,,,,,,,,,,,
"Saurimo Urban Center, Angola",,,,,,,,,,,,
"Bahraich Urban Center, India",,,,,,,,,,,,
"Naogaon Urban Center, Bangladesh",,,,,,,,,,,,
"Seremban Urban Center, Malaysia",,,,,,,,,,,,
"Tripoli Urban Center, Lebanon",,,,,,,,,,,,
"Lishui (Zhejiang Sheng) Urban Center, China",,,,,,,,,,,,
"Vitebsk Urban Center, Belarus",,,,,,,,,,,,
"Phuket Urban Center, Thailand",,,,,,,,,,,,
"Porto Velho Urban Center, Brazil",,,,,,,,,,,,
"Mahilyow Urban Center, Belarus",,,,,,,,,,,,
"Kut Urban Center, Iraq",,,,,,,,,,,,
"Changji/Sanji Urban Center, China",,,,,,,,,,,,
"Ezhou Urban Center, China",,,,,,,,,,,,
"Grand Rapids Urban Center, USA",0.9021211907030051,0.33297268122582063,0.11072895536101691,,,,0.13058807781449255,0.1291474516914792,0.07323715171984942,0.011055462613991818,-0.003109556940892322,0.001812204004013801
"Navsari Urban Center, India",,,,,,,,,,,,
"Benguela Urban Center, Angola",,,,,,,,,,,,
"Osogbo Urban Center, Nigeria",,,,,,,,,,,,
"Hat Yai Urban Center, Thailand",,,,,,,,,,,,
"Lipetsk Urban Center, Russia",,,,,,,,,,,,
"Takamatsu Urban Center, Japan",,,,,,,,,,,,
"Jingdezhen Urban Center, China",,,,,,,,,,,,
"Bazhong Urban Center, China",,,,,,,,,,,,
"Cheboksary Urban Center, Russia",,,,,,,,,,,,
"Cenxi Urban Center, China",,,,,,,,,,,,
"Ulyanovsk Urban Center, Russia",,,,,,,,,,,,
"Al Mansurah Urban Center, Yemen",,,,,,,,,,,,
"Kai [Kofu] Urban Center, Japan",,,,,,,,,,,,
"Petrolina Urban Center, Brazil",,,,,,,,,,,,
"Raiganj Urban Center, India",,,,,,,,,,,,
"Karimnagar Urban Center, India",,,,,,,,,,,,
"Bathinda Urban Center, India",,,,,,,,,,,,
"Siuri Urban Center, India",,,,,,,,,,,,
"Jhelum Urban Center, Pakistan",,,,,,,,,,,,
"Mahesana Urban Center, India",,,,,,,,,,,,
"Xingyang Urban Center, China",,,,,,,,,,,,
"Buram Urban Center, Sudan",,,,,,,,,,,,
"Nowshera Urban Center, Pakistan",,,,,,,,,,,,
"Vinnytsia Urban Center, Ukraine",,,,,,,,,,,,
"Deoghar Urban Center, India",,,,,,,,,,,,
"Polokwane Urban Center, South Africa",,,,,,,,,,,,
"Xinxing (Heilongjiang Sheng) Urban Center, China",,,,,,,,,,,,
"Al Ghubra Urban Center, Oman",,,,,,,,,,,,
"Brest Urban Center, Belarus",,,,,,,,,,,,
"Sadiqabad Urban Center, Pakistan",,,,,,,,,,,,
"Hui'an Urban Center, China",,,,,,,,,,,,
"Beilun Urban Center, China",,,,,,,,,,,,
"Chengde (Western Hebei Sheng) Urban Center, China",,,,,,,,,,,,
"Resistencia Urban Center, Argentina",,,,,,,,,,,,
"Tula Urban Center, Russia",,,,,,,,,,,,
"Cuddalore Urban Center, India",,,,,,,,,,,,
"Aktobe Urban Center, Kazakhstan",,,,,,,,,,,,
"Jalna Urban Center, India",,,,,,,,,,,,
"Ardabil Urban Center, Iran",,,,,,,,,,,,
"Guarenas Urban Center, Venezuela",,,,,,,,,,,,
"Liège Urban Center, Belgium",,,,,,,,,,,,
"Myitkyina Urban Center, Myanmar",,,,,,,,,,,,
"Mbandaka Urban Center, Democratic Republic of the Congo",,,,,,,,,,,,
"Shihezi Urban Center, China",,,,,,,,,,,,
"Huangyan Urban Center, China",,,,,,,,,,,,
"Sariwŏn Urban Center, North Korea",,,,,,,,,,,,
"Daveyton Urban Center, South Africa",,,,,,,,,,,,
"Qingzhou Urban Center, China",,,,,,,,,,,,
"রামু Ramu Urban Center, Bangladesh",,,,,,,,,,,,
"Rochester (New York) Urban Center, USA",0.8780132388117572,0.31152371730499107,0.1348730660255236,,,,0.14093155985939093,0.12255963759520339,0.048032519850396145,-0.0009032175502932116,0.015578847114983307,0.029835421454898536
"Hrodna Urban Center, Belarus",,,,,,,,,,,,
"Jangipur Urban Center, India",,,,,,,,,,,,
"Irinjalakuda Urban Center, India",,,,,,,,,,,,
"Wuzhou Urban Center, China",,,,,,,,,,,,
"Probolinggo Urban Center, Indonesia",,,,,,,,,,,,
"Nazlet Rimeih Urban Center, Egypt",,,,,,,,,,,,
"Bijie Urban Center, China",,,,,,,,,,,,
"Colorado Springs Urban Center, USA",0.9326875332836989,0.3278787337071625,0.12041349186618483,,,,0.14963898025408354,0.11814253318894677,0.060097220264132625,-0.0061678311036201805,0.016535198086697567,0.004444542892369119
"Guang'an Urban Center, China",,,,,,,,,,,,
"Fuyang (Zhejiang Sheng) Urban Center, China",,,,,,,,,,,,
"Gonda Urban Center, India",,,,,,,,,,,,
"Shivamogga Urban Center, India",,,,,,,,,,,,
"Danzhou Urban Center, China",,,,,,,,,,,,
"Gemena Urban Center, Democratic Republic of the Congo",,,,,,,,,,,,
"Changping Urban Center, China",,,,,,,,,,,,
"Bunia Urban Center, Democratic Republic of the Congo",,,,,,,,,,,,
"Haicheng Urban Center, China",,,,,,,,,,,,
"Nizamabad Urban Center, India",,,,,,,,,,,,
"Hong Ngu Urban Center, Vietnam",,,,,,,,,,,,
"Deoria Urban Center, India",,,,,,,,,,,,
"Pingliang Urban Center, China",,,,,,,,,,,,
"Oron Urban Center, Nigeria",,,,,,,,,,,,
"Kanchipuram Urban Center, India",,,,,,,,,,,,
"Potengi Urban Center, Brazil",,,,,,,,,,,,
"Bharatpur Urban Center, India",,,,,,,,,,,,
"Ilesa Urban Center, Nigeria",,,,,,,,,,,,
"Mallawi Urban Center, Egypt",,,,,,,,,,,,
"Hapur Urban Center, India",,,,,,,,,,,,
"Piura Urban Center, Peru",,,,,,,,,,,,
"Moulvibazar Urban Center, Bangladesh",,,,,,,,,,,,
"Hue Urban Center, Vietnam",,,,,,,,,,,,
"Bharuch Urban Center, India",,,,,,,,,,,,
"Hindiya Urban Center, Iraq",,,,,,,,,,,,
"Yongkang Urban Center, China",,,,,,,,,,,,
"Xinyang Urban Center, China",,,,,,,,,,,,
"Dujiangyan Urban Center, China",,,,,,,,,,,,
"Ife Urban Center, Nigeria",,,,,,,,,,,,
"Bago Urban Center, Myanmar",,,,,,,,,,,,
"Wenling Urban Center, China",,,,,,,,,,,,
"Shuyang Urban Center, China",,,,,,,,,,,,
"Katihar Urban Center, India",,,,,,,,,,,,
"Americana Urban Center, Brazil",,,,,,,,,,,,
"Bayuquan Urban Center, China",,,,,,,,,,,,
"Ōita Urban Center, Japan",,,,,,,,,,,,
"Owerri Urban Center, Nigeria",,,,,,,,,,,,
"Port of Spain Urban Center, Trinidad and Tobago",,,,,,,,,,,,
"Raoping Urban Center, China",,,,,,,,,,,,
"Charlotte Urban Center, USA",0.8603742981850984,0.38650180421495206,0.1288788232175788,,,,0.15491101737081084,0.12488942889854762,0.10670135794559371,0.03801898050055774,0.0030497283365583105,0.013605937955448094
"Kinokawa [Wakayama] Urban Center, Japan",,,,,,,,,,,,
"Belgorod Urban Center, Russia",,,,,,,,,,,,
"Sa Dec City Urban Center, Vietnam",,,,,,,,,,,,
"Cardiff Urban Center, United Kingdom",,,,,,,,,,,,
"Laiwu Urban Center, China",,,,,,,,,,,,
"Kota Bharu Urban Center, Malaysia",,,,,,,,,,,,
"Dongtai Urban Center, China",,,,,,,,,,,,
"Tepic Urban Center, Mexico",,,,,,,,,,,,
"Korba Urban Center, India",,,,,,,,,,,,
"Haimen Urban Center, China",,,,,,,,,,,,
"Ivanovo Urban Center, Russia",,,,,,,,,,,,
"Yavatmal Urban Center, India",,,,,,,,,,,,
"Hafizabad Urban Center, Pakistan",,,,,,,,,,,,
"Xianyou Urban Center, China",,,,,,,,,,,,
"Qism Auwal Faqus Urban Center, Egypt",,,,,,,,,,,,
"Montes Claros Urban Center, Brazil",,,,,,,,,,,,
"Brick Urban Center, USA",0.9306829100707209,0.42865941551178033,0.15804607757955721,,,,0.17203431265188504,0.1602789386836158,0.09634616417627896,0.006531158710606055,0.010074618637768373,0.01039043223562286
"Palakkad Urban Center, India",,,,,,,,,,,,
"Pohang-si Urban Center, South Korea",,,,,,,,,,,,
"Tiruvannamalai Urban Center, India",,,,,,,,,,,,
"Bengkulu Urban Center, Indonesia",,,,,,,,,,,,
"Jiyuan Urban Center, China",,,,,,,,,,,,
"Eluru Urban Center, India",,,,,,,,,,,,
"Hosur Urban Center, India",,,,,,,,,,,,
"Tumakuru Urban Center, India",,,,,,,,,,,,
"Bournemouth Urban Center, United Kingdom",,,,,,,,,,,,
"Shizuoka Urban Center, Japan",,,,,,,,,,,,
"Aswan Urban Center, Egypt",,,,,,,,,,,,
"Heyuan Urban Center, China",,,,,,,,,,,,
"Volta Redonda Urban Center, Brazil",,,,,,,,,,,,
"Taixing Urban Center, China",,,,,,,,,,,,
"Corrientes Urban Center, Argentina",,,,,,,,,,,,
"Tây Ninh Urban Center, Vietnam",,,,,,,,,,,,
"Yixing Urban Center, China",,,,,,,,,,,,
"Elazig Urban Center, Turkey",,,,,,,,,,,,
"Qus Urban Center, Egypt",,,,,,,,,,,,
"Bergamo Urban Center, Italy",,,,,,,,,,,,
"Djibouti Urban Center, Djibouti",,,,,,,,,,,,
"Qidong (Jiangsu Sheng) Urban Center, China",,,,,,,,,,,,
"Toulon Urban Center, France",,,,,,,,,,,,
"Bandar Abbas Urban Center, Iran",,,,,,,,,,,,
"Yongnian Urban Center, China",,,,,,,,,,,,
"Dindigul Urban Center, India",,,,,,,,,,,,
"Temanggung Urban Center, Indonesia",,,,,,,,,,,,
"Danyang Urban Center, China",,,,,,,,,,,,
"Baoshan (Yunnan Sheng) Urban Center, China",,,,,,,,,,,,
"Caxias do Sul Urban Center, Brazil",,,,,,,,,,,,
"Hawassa Urban Center, Ethiopia",,,,,,,,,,,,
"Lixian Urban Center, China",,,,,,,,,,,,
"Werribee Urban Center, Australia",,,,,,,,,,,,
"Novokuznetsk Urban Center, Russia",,,,,,,,,,,,
"Canning Urban Center, India",,,,,,,,,,,,
"Zakiganj Urban Center, Bangladesh-India",,,,,,,,,,,,
"Haldwani Urban Center, India",,,,,,,,,,,,
"Stockton Urban Center, USA",0.7688783313982026,0.15827463121975346,0.05311885093735031,,,,0.0725099173384836,0.05456791588093867,0.031196798000331278,0.02887908550025442,0.01945538814109332,0.013056008602857189
"Santa Marta Urban Center, Colombia",,,,,,,,,,,,
"Dhupguri Urban Center, India",,,,,,,,,,,,
"Tver Urban Center, Russia",,,,,,,,,,,,
"Kaolack Urban Center, Senegal",,,,,,,,,,,,
"Sivas Urban Center, Turkey",,,,,,,,,,,,
"Kafr Al-Sheikh Urban Center, Egypt",,,,,,,,,,,,
"Chandrapur (Mahārāshtra) Urban Center, India",,,,,,,,,,,,
"Nagercoil Urban Center, India",,,,,,,,,,,,
"Zanjan Urban Center, Iran",,,,,,,,,,,,
"Granada Urban Center, Spain",,,,,,,,,,,,
"İskenderun Urban Center, Turkey",,,,,,,,,,,,
"Celaya Urban Center, Mexico",,,,,,,,,,,,
"Faridpur Urban Center, Bangladesh",,,,,,,,,,,,
"Hebron Urban Center, State of Palestine",,,,,,,,,,,,
"Posadas Urban Center, Argentina",,,,,,,,,,,,
"Limbe Urban Center, Malawi",,,,,,,,,,,,
"Campina Grande Urban Center, Brazil",,,,,,,,,,,,
"Munger Urban Center, India",,,,,,,,,,,,
"Boise Urban Center, USA",0.9514026674751622,0.38714372851555084,0.1317082641282635,,,,0.17769969579502212,0.1323100675359733,0.07713396518455548,0.008659370368270913,0.005188120114954009,-0.01467035536310718
"Payyanur Urban Center, India",,,,,,,,,,,,
"Manisa Urban Center, Turkey",,,,,,,,,,,,
"Dali (Yunnan Sheng) Urban Center, China",,,,,,,,,,,,
"Bihar Sharif Urban Center, India",,,,,,,,,,,,
"Simferopol Urban Center, Ukraine",,,,,,,,,,,,
"Linhai Urban Center, China",,,,,,,,,,,,
"Xinghua (Jiangsu Sheng) Urban Center, China",,,,,,,,,,,,
"Tima Urban Center, Egypt",,,,,,,,,,,,
"Franca Urban Center, Brazil",,,,,,,,,,,,
"Junagadh Urban Center, India",,,,,,,,,,,,
"Dhulian Urban Center, India",,,,,,,,,,,,
"Kadapa Urban Center, India",,,,,,,,,,,,
"Gonaïves Urban Center, Haiti",,,,,,,,,,,,
"Santa Fe Urban Center, Argentina",,,,,,,,,,,,
"Colina de Laranjeiras Urban Center, Brazil",,,,,,,,,,,,
"Jimeta Urban Center, Nigeria",,,,,,,,,,,,
"Madhubani Urban Center, India",,,,,,,,,,,,
"Changge Urban Center, China",,,,,,,,,,,,
"Bhiwadi Urban Center, India",,,,,,,,,,,,
"Utsunomiya Urban Center, Japan",,,,,,,,,,,,
"Gusau Urban Center, Nigeria",,,,,,,,,,,,
"Vilnius Urban Center, Lithuania",,,,,,,,,,,,
"Balyana Urban Center, Egypt",,,,,,,,,,,,
"Guiping Urban Center, China",,,,,,,,,,,,
"Bratislava Urban Center, Slovakia",,,,,,,,,,,,
"Liaoyuan Urban Center, China",,,,,,,,,,,,
"Zhoushan Urban Center, China",,,,,,,,,,,,
"Burao Urban Center, Somalia",,,,,,,,,,,,
"Arak Urban Center, Iran",,,,,,,,,,,,
"Southampton Urban Center, United Kingdom",,,,,,,,,,,,
"London Urban Center, Canada",,,,0.9014494823073421,0.3232867803281775,0.09886062070657856,,,,,,
"Taunggyi Urban Center, Myanmar",,,,,,,,,,,,
"Morena Urban Center, India",,,,,,,,,,,,
"Dayton Urban Center, USA",0.9086395438288103,0.3027322937362055,0.12224873898738763,,,,0.13714467790024018,0.1036123313790204,0.061975284456943204,0.00858578472399163,-0.0069260040951470425,-0.005022512772237475
"Zhaotong Urban Center, China",,,,,,,,,,,,
"Mansehra Urban Center, Pakistan",,,,,,,,,,,,
"Kendari Urban Center, Indonesia",,,,,,,,,,,,
"Batangas City Urban Center, Philippines",,,,,,,,,,,,
"Ganja Urban Center, Azerbaijan",,,,,,,,,,,,
"Fallujah Urban Center, Iraq",,,,,,,,,,,,
"Banda Aceh Urban Center, Indonesia",,,,,,,,,,,,
"Shuozhou Urban Center, China",,,,,,,,,,,,
"Safi Urban Center, Morocco",,,,,,,,,,,,
"Tawau Urban Center, Malaysia",,,,,,,,,,,,
"Santa Cruz de Tenerife Urban Center, Spain",,,,,,,,,,,,
"Neijiang Urban Center, China",,,,,,,,,,,,
"Kaiping Urban Center, China",,,,,,,,,,,,
"Wonosobo Urban Center, Indonesia",,,,,,,,,,,,
"Xuanhua Urban Center, China",,,,,,,,,,,,
"San Cristóbal Urban Center, Venezuela",,,,,,,,,,,,
"Wonsan Urban Center, North Korea",,,,,,,,,,,,
"Bida Urban Center, Nigeria",,,,,,,,,,,,
"Butembo Urban Center, Democratic Republic of the Congo",,,,,,,,,,,,
"Piracicaba Urban Center, Brazil",,,,,,,,,,,,
"Jiashan Urban Center, China",,,,,,,,,,,,
"Potiskum Urban Center, Nigeria",,,,,,,,,,,,
"As Samawah Urban Center, Iraq",,,,,,,,,,,,
"Budaun Urban Center, India",,,,,,,,,,,,
"Nagaon Urban Center, India",,,,,,,,,,,,
"Asaba Urban Center, Nigeria",,,,,,,,,,,,
"Middlesbrough Urban Center, United Kingdom",,,,,,,,,,,,
"Vladikavkaz Urban Center, Russia",,,,,,,,,,,,
"Xingping Urban Center, China",,,,,,,,,,,,
"Samastipur Urban Center, India",,,,,,,,,,,,
"Sitapur Urban Center, India",,,,,,,,,,,,
"Modinagar Urban Center, India",,,,,,,,,,,,
"珠海街道 Urban Center, China",,,,,,,,,,,,
