longname,Fair or poor self-rated health status %,Physical health not good for two weeks in last year %,Arthritis %,Current asthma %,High blood pressure %,Cancer (excluding skin cancer) %,Chronic kidney disease %,COPD %,Coronary heart disease %,Diagnosed diabetes %,Obesity %,Stroke %,Disability %,Hearing disability %,Vision disability %,Cognitive disability %,Mobility disability %,Self-care disability %,Independent living disability %,Binge drinking among adults %,Smoking %,No leisure-time physical activity %,Sleeping less than 7 hours %,Attended doctor in last year %,Attended dentist in last year %,Cholesterol screening in last year %
"New York-Jersey City-Newark [Urban Area], NY-NJ, USA",0.1559184417881747,0.1024048813488557,0.20462307495631263,0.10059686207510946,0.2837626273033828,0.059592598161150416,0.028696263661292583,0.053782862569919224,0.05041288429397241,0.10410290797984291,0.27916721569403447,0.02788994820198563,0.2613524563383605,0.052132018800920187,0.055020084957820944,0.11949455144609009,0.12573432846100333,0.0381942091962088,0.07608047315972455,0.16086762381851527,0.13201773019506793,0.25973245065857903,0.34569156019579234,0.7575913612820677,0.6437649948429898,0.8742009151236814
"Los Angeles-Long Beach-Anaheim [Urban Area], CA, USA",0.17994726837835445,0.11062112452168466,0.17280725186389173,0.09355160063616244,0.2615593837328507,0.0494844903813324,0.02798119494329395,0.046135730841460935,0.04322805329243003,0.10850894863689044,0.28218558032192675,0.0261560500414068,0.26398619732436374,0.05470346239699846,0.05858400181468384,0.13247222821033014,0.1154762796650607,0.039213383544652654,0.07451939562164152,0.15367706258620487,0.11019980502158609,0.2125649238934737,0.32861915356268917,0.6264995943008961,0.6060278627967629,0.8448270313628249
"Chicago [Urban Area], IL-IN, USA",0.15497429630887452,0.10426207862451685,0.19848936226255073,0.09573684693256691,0.2855900612227133,0.05800150356159111,0.02796595459933758,0.0554319881395817,0.0486655030134734,0.10126451128996468,0.3279642718332761,0.028451690754224497,0.2897364007244081,0.06098615657202952,0.05147447606209311,0.13675526752186343,0.13877318514706888,0.03766889990246471,0.07904673912924222,0.172744575772215,0.14039248413617186,0.26281156359587365,0.3316260391468454,0.7595340492418587,0.6378663683374756,0.8226405529845694
"Miami-Fort Lauderdale [Urban Area], FL, USA",0.17895230729346331,0.12323489349511689,0.26826403942410587,0.10427776663481508,0.3395216390932625,0.06957067636563889,0.031609705201864804,0.07570033914847957,0.06344030106625886,0.11329064190900663,0.35925843432691135,0.03319856531070323,0.3082986938889583,0.07226797181783999,0.054784103052383216,0.14369272355477922,0.14800279890633936,0.04237865245257485,0.08501597775378032,0.16555453666054956,0.17630184278569097,0.2610754203780298,0.3590889499710274,0.7343522688376889,0.5968045192582644,0.8355309634739957
"Houston [Urban Area], TX, USA",0.1917848570572176,0.11079976647057278,0.18089539646748445,0.09665622107922939,0.3021651333353074,0.04838127135382965,0.027270793025852724,0.056824329251122054,0.045315556757884644,0.1089257047297144,0.3616179090334312,0.027264742899523037,0.27768585443502863,0.05363020798438301,0.06426578498542704,0.14969041512061435,0.12267555362994961,0.04375382517699493,0.08387174734125673,0.1866414112080085,0.16067077775980051,0.2681236659499444,0.34047097900398915,0.6959242141180528,0.5250996565609728,0.8185576727644394
"Dallas-Fort Worth-Arlington [Urban Area], TX, USA",0.18277427226650808,0.11147661199373204,0.19361030329529205,0.09914903096090386,0.30507071764009636,0.05128330119988087,0.02697460495038923,0.058838014992569514,0.04587114724485303,0.10249077974418555,0.3438206260645955,0.027122238896562404,0.2881203625519526,0.05502506211507562,0.057708757695933505,0.14517436784360194,0.12469663157682676,0.040795307511142104,0.08272384591080481,0.18194077909638928,0.15807641686580845,0.2579575636602773,0.34476699280821005,0.6986927430253246,0.5546662098130826,0.8307093895431403
"Philadelphia [Urban Area], PA-NJ-DE-MD, USA",0.16077676628084975,0.11062269958344431,0.23931438032450755,0.10724077247961963,0.3086275857429811,0.06517843803078982,0.02907025942404916,0.0598321287407197,0.0537643652727787,0.09942894437165326,0.319189322921829,0.030418815814368092,0.27561379371548206,0.05712046665623397,0.05118623751442981,0.13229397096788903,0.1270018636413754,0.03780351378977571,0.07830389442657443,0.1712568380199692,0.15911242915225474,0.25023434755930996,0.3539990447205435,0.745925810436993,0.6571906393080416,0.8546316383845669
"Washington-Arlington [Urban Area], DC-VA-MD, USA",0.1255067376334669,0.08088037621106389,0.1960459705610831,0.0985543423505294,0.2846523846143728,0.05359857774061004,0.02439293951482303,0.04131455361107761,0.037581617930663204,0.08514998268422035,0.2957512357649871,0.023842087369428062,0.20503311384087433,0.04004218957925185,0.03951650114222609,0.10082796108018699,0.0901094878641793,0.027960084547901463,0.05699921249013577,0.16006020282354416,0.10452810775226469,0.1802471959466697,0.3333577779060939,0.7133115720915074,0.6850579345988433,0.8763597520105697
"Atlanta [Urban Area], GA, USA",0.15534499696590803,0.10259547323335848,0.20502054185565394,0.09905349444865146,0.32126610926904126,0.0510092175195707,0.026912026439868623,0.04976553054962842,0.042408356165335,0.10110619011927412,0.3275669439131536,0.026833086017343476,0.2532487388463124,0.044407314912396564,0.05066951616783555,0.1309835697989929,0.11598970555084363,0.03589916137778748,0.07363256779036578,0.15827141498633931,0.1455022899355877,0.22709756678952128,0.36635445885472145,0.7426683498887752,0.6085279139769715,0.861185054136942
"Boston [Urban Area], MA-NH, USA",0.12314754867882956,0.09196646714593319,0.21922235326269193,0.10854103261817159,0.26077206631584493,0.06587234020939672,0.02598002236276302,0.05362536475610367,0.047308459526750675,0.07904973860726068,0.2608277797059902,0.024889442043189602,0.2422957056108663,0.05468136594281968,0.03917679151329247,0.12403966580811812,0.10382441960219047,0.02959987287906373,0.06394941885985041,0.18143382999173235,0.11908966802604007,0.20508040365186922,0.30233285151648187,0.7262918081195257,0.7241985390323395,0.8716661076325138
