longname,PW Density (r=250m),PW Density (r=500m),PW Density (r=2km),PW Density (r=4km)
"77494, USA",3268.104247274589,2034.6309360889577,1570.4695554662783,1375.0874643623624
"08701, USA",6600.426095109329,4439.889521001341,2629.7996183749146,1835.1300132816257
"77449, USA",4422.502479558896,2856.076899984629,2182.562892433022,1938.7653444262244
"75034, USA",2598.5989046534423,1760.8143649871477,1359.0209966289099,1289.1353073510393
"11368, USA",36222.45839652513,31186.019288255324,20948.236914637837,13988.733777201036
"75070, USA",3112.126899364436,2361.001686946403,1827.2495862495423,1568.0656924322375
"60629, USA",7961.501813103481,7507.461901626603,5739.607960125494,4614.780381085818
"11211, USA",28580.76110855337,24884.697077590998,18271.388109384956,18277.14629445056
"78660, USA",2735.106945243364,1825.2298978442332,1310.1639897138944,1155.0040169223691
"77084, USA",3740.1788322265397,2702.8024169953824,2045.7408921239976,1797.800331102409
"77433, USA",3680.7319988739578,2063.6268828790417,1461.1516847806868,1221.4287980078948
"11220, USA",31966.361646828165,31898.692951293357,17819.768630529437,11790.694578416653
"11373, USA",36593.928848796946,32271.707719663147,25043.02807020336,14087.4620295893
"79936, USA",3271.9494495115277,2634.5235432310046,2166.9255389303758,1811.9794890500473
"10467, USA",25643.726395004003,21336.50452178708,15506.886664168496,14277.382139314795
"11208, USA",21006.15094551938,18596.44291095714,13580.74943879298,11277.023267444984
"90011, USA",9653.032483759136,9190.953635345537,7055.599100042567,6118.773155562165
"11219, USA",27275.83581663458,27452.409474694476,22699.979701607885,16210.334675080654
"90650, USA",5145.624105690272,4456.478956979712,3680.323791127247,3278.7058963991153
"11207, USA",21257.142778172216,17750.293184631868,15157.302243854876,14058.42911870863
"11226, USA",32756.392731747525,28695.62982881203,20642.395735670354,18526.36516311874
"11385, USA",20056.47019825015,17938.170379559175,12558.009356175227,13252.44807340795
"91331, USA",6020.934627837772,5103.597408874369,4127.597854739228,3579.5288843877156
"37013, USA",3681.147369427648,1762.433767631821,1230.3419700573838,1110.9515879178473
"11236, USA",15390.413275569063,13669.095290015786,10838.49881688982,10409.61809741025
"94565, USA",4131.96995050081,2925.1082897025267,1879.155668857525,1169.767263526807
"00926, USA",3505.1487193497683,2722.6440781033343,2282.7896327459625,2157.951696447738
"92336, USA",3326.559805715374,2858.1293096888176,2186.0007580584993,1914.008259695045
"11214, USA",21954.882304804174,20460.292065901365,14843.671128115297,12504.450454114343
"77573, USA",2518.7774309823762,1643.4336372178104,1150.087625680614,950.285275087548
"90250, USA",9010.567901018867,8145.840681433163,5555.482965101326,4313.2486219232815
"10025, USA",48429.99802808096,41125.72766220631,21620.528048214113,18773.892963781887
"91342, USA",4759.479802450777,3838.4825700047413,2674.9809522518267,1978.3067735002378
"90201, USA",8300.082634899592,6996.511505504067,5406.9602576429525,4282.1730790827505
"92335, USA",3853.610232194106,3558.438891834496,2768.532097121415,2315.826341250287
"29483, USA",2594.913279721884,1213.0919841582886,640.6585287131709,530.0624237394886
"90805, USA",6683.911482087533,5832.317274663852,4448.252727081719,3743.1840134942927
"90044, USA",8533.193046384538,7781.828728429496,6610.120003742089,5929.059699520602
"77429, USA",3103.7708273671087,1711.543398517274,1122.435927403701,1018.1213459802235
"75052, USA",3026.824552603284,2250.0065443040853,1572.5432518992495,1360.7504408177567
"78245, USA",4462.117348648818,2514.4432366996016,1764.352324025626,1505.0166933017722
"79938, USA",3279.705464256653,2367.729850694257,1641.580194318211,1320.4294164928447
"10456, USA",38289.89637780781,36120.33057756512,26830.697360259863,21187.206546828722
"77584, USA",3006.2845048546183,1825.5193370370287,1209.5546896774747,961.6390357168608
"11377, USA",24457.982326607707,20846.67080619412,16503.489393336167,14168.682151955474
"11206, USA",29711.427174806642,26973.609325566107,22372.09144563708,17964.60759604378
"90280, USA",6535.006875479592,6648.919035631272,5998.399634591419,5744.64943799641
"30044, USA",3808.825884431581,1889.768297639235,1532.9756666722697,1375.7088300977216
"10314, USA",6564.187108810682,5593.580138839543,3508.7275312814454,3257.2360104692643
"60632, USA",8708.350207051331,7595.057362344476,5258.225083145984,4766.768956991773
"11230, USA",19227.428422106404,18588.057140126853,18730.548068188178,17758.6346311939
"11234, USA",10537.50176851689,10342.958609765043,10119.826277074357,10670.654828902789
"77479, USA",2557.3069179910076,1584.9989359294834,1109.3523618368883,946.4748521942237
"11355, USA",30136.482026774247,26319.41056559362,12053.388162313056,10174.277631112824
"91710, USA",3680.070042148634,2843.885697035177,1997.8544266352847,1771.4321603345447
"92683, USA",4668.670596014397,4063.8911034310777,3523.0338343057206,3192.718900585648
"11212, USA",24725.027309200574,22275.726923680475,18451.85407632979,17036.44926128362
"60618, USA",8572.339092581815,8033.149355198709,7251.685849098932,7592.497193527848
"92503, USA",3698.661811983514,2594.256050826893,1948.6242831861455,1650.6614690797749
"93307, USA",3158.1482328249062,2536.18684113091,1800.8622169999053,1497.6214589063236
"93727, USA",3270.1407934534773,2543.954846108197,1762.5381085036947,1501.414382775644
"34787, USA",2445.1278573719087,1313.8126679796494,779.5208814395309,616.2891118222605
"60639, USA",9276.724420289214,8447.715957890101,7154.862988202225,6448.164898311765
"78521, USA",2807.418390720865,1932.6206392529762,1362.8486939207212,1118.7829486044627
"30043, USA",4074.3306954844843,1480.8022178173937,1056.1875852073254,989.3619209014781
"78130, USA",2410.2287221807837,1246.4517735339955,776.51453778084,610.5994356919143
"60623, USA",10071.744852121712,9318.220672447314,6113.07315837868,4737.189406632136
"11221, USA",25030.98167429513,24887.38263228356,22536.24008006561,18360.323986127172
"85142, USA",2273.1619767557145,1610.1911483786866,1009.9731881551596,736.5841978490694
"78613, USA",2860.7308391914867,1812.3831850885072,1271.9863781754143,1128.919739945479
"92804, USA",6006.628577832107,5102.617734430939,4511.974208640812,3989.6951481205797
"92345, USA",1448.2129155655782,1127.1323070050512,820.6901241039294,736.1366826946403
"78666, USA",3827.6671396165993,2126.542454221154,887.0262189868427,589.4953061675884
"91911, USA",4801.087074933498,3947.3010666581217,3136.3571614055636,2693.157496015481
"60804, USA",8603.204494153137,7380.659221389849,5157.944799658994,4671.664700897535
"93722, USA",3392.9207731680567,2587.3265460308935,1785.5531001089337,1449.4482444032376
"11235, USA",19977.66214655432,17784.693375900082,10654.582426981784,7904.596094012921
"99301, USA",2381.8842748680386,1816.3940351153644,1082.1849125125198,731.8706790016296
"77379, USA",3389.883558803935,1912.9764068643988,1370.4217970874483,1302.9916491296744
"92154, USA",5525.752931191612,3715.3947765073176,2724.584982320153,2139.619982134958
"92376, USA",4278.423698703081,3696.9363386226905,2833.9702046942753,2398.75253691019
"66062, USA",2115.0483739991864,1727.8863296885243,1298.2437764081706,1085.925698899053
"30024, USA",3518.5606630504353,1262.8156678674009,829.0243140162185,804.8616833019405
"11229, USA",14811.017781848108,15582.651461926787,13737.575871852969,11543.04700303325
"60647, USA",9313.504004619108,9036.205888803517,8030.268657249972,7222.421532007435
"73099, USA",2214.8438442352726,1382.7294716719293,831.2047650297475,597.6258145174767
"11223, USA",16447.659683524584,17309.996233586568,17170.90697669326,13073.464024353632
"95076, USA",3964.9874401618376,2708.794293351276,1618.5938369359612,873.3864126307411
"10002, USA",38952.66787267487,34265.3412909288,22661.116185821727,17931.1276059358
"37042, USA",1990.7705245065551,1164.725086276602,760.5619431570082,621.1929032240638
"11204, USA",21127.868252562603,22039.185498397736,20612.959879716287,17298.53159195638
"92704, USA",6983.610134893967,5594.5891100604,4762.704754612345,4156.226413846928
"11203, USA",19498.979269806136,17676.884421447347,19048.846013300663,17728.39272336643
"78542, USA",2307.8175997209655,968.3848138483354,597.0431769739932,542.6178647841617
"10462, USA",30990.537316057136,26592.15380951545,15732.640849186631,13960.11185763147
"75217, USA",2913.6571776103815,2174.466945130548,1663.7356820515863,1422.5559979343911
"28269, USA",2745.5196760458634,1434.7756927017936,1072.6317655465728,926.3557059047124
"22193, USA",3748.381254917045,2136.5787243339537,1726.668141142315,1490.8750712475648
"10453, USA",38166.27081731901,36337.7278062798,29035.17459144222,20104.085019809227
"93550, USA",3720.7205816844275,2881.2682422357466,2072.219888235298,1476.6949983127322
"93535, USA",3084.913806392291,2406.0736214814947,1779.873968866751,1266.895199822017
"91744, USA",5054.423346858031,4200.789558903869,3067.76729187519,2691.641525799865
"10458, USA",37393.28282680921,32591.8398494365,22656.71193401109,18450.83710771397
"30040, USA",3860.962871943509,1248.9325222990353,597.1271750026499,534.384239659823
"30349, USA",2912.7048229918078,1392.0858678288193,892.0974500712249,746.1780665944813
"92592, USA",2579.7582127428213,2000.8209411535886,1447.9315264752458,1044.0294242494788
"92126, USA",7631.713750326799,4245.465754090247,2519.12773724234,1788.5244065062316
"94544, USA",5463.538131581629,4869.979330714807,3591.028471855824,2667.751220276673
"95823, USA",4018.736065394447,3596.2127959976865,2945.7802319889092,2561.4609687753955
"78641, USA",2378.133266590586,1355.8140834783505,850.3703355353873,689.9172227219822
"95630, USA",4263.675522130574,2191.9092388684485,1293.5772562880766,1057.7734761315983
"95035, USA",5521.763984186912,3868.8040446950786,2412.600517526919,1956.4401315388277
"37211, USA",4121.5805451431725,2103.9091721998216,1523.9312886409173,1286.9333812430275
"96706, USA",6047.72435974378,4038.6217450213653,2420.8863718824196,1446.5455539459967
"76244, USA",3079.3435191096078,2349.9005560578175,1721.696388954755,1468.7813042975156
"75035, USA",2484.7826716115874,2003.4931683498246,1587.1699729304348,1436.5666327836589
"93257, USA",2352.446946376924,1835.1186265531333,1283.1080175833079,858.1005184038967
"93033, USA",5982.215878972245,5199.336665876701,3509.420462387724,2375.6054878249806
"78577, USA",3332.2199307229675,2106.7426114173377,1340.0242666133845,1042.1054286825438
"78572, USA",2440.515817015693,1459.0856375870983,1030.9452752137463,842.0284258111028
"87121, USA",3256.135865443161,2553.3712850784846,1795.656216200889,1313.451836334625
"90706, USA",6272.946655768469,5345.069160627482,4546.814886170264,4060.193983562028
"91910, USA",4810.447753195696,3799.4340956134447,2726.5522498097284,2282.3351669876088
"77459, USA",3115.1225084989615,1583.104771455063,1086.493018411371,942.5883270576279
"79912, USA",3242.457423737776,1974.2560096113855,1530.3481385624168,1178.7608278808434
"79928, USA",2897.6709851902756,1871.4456764758527,906.5579934558244,761.1313894825042
"93274, USA",2412.574566135168,1958.1873776892232,1302.3827942828814,865.875886450163
"10468, USA",37708.10819382958,34167.25450838448,23948.103530082102,16836.774953314198
"91709, USA",3374.100739285806,1938.523112001856,1222.9376162853375,974.602733151433
"96797, USA",6782.204280177761,5296.919291920822,2897.5615976556505,1713.5931092654102
"92509, USA",2652.6240111420966,1784.568056387893,1219.04984209981,1143.2952143150344
"94112, USA",10444.747067165248,9782.319882329442,7293.054991682825,5604.040777470363
"76063, USA",2735.1498114694,1586.5377503012505,1017.6041848943354,858.8295735643192
"94533, USA",3953.8318020876077,2935.396156403964,2198.771119860028,1555.2315399667366
"00725, USA",2856.101474249909,2099.922118171917,1393.8252574896103,1115.7092719765417
"60617, USA",4550.720580574345,3846.116531591064,2610.6789101971085,2034.587268258363
"11218, USA",20713.057170474654,21243.188494893322,20056.785285296923,18411.626911270832
"84095, USA",2652.212308356949,2047.4818046746611,1677.7751996603356,1502.9285534236499
"98052, USA",4596.623724624629,2877.8361857944105,1679.2084332482225,1387.3202380431792
"10029, USA",40792.502276750514,34188.107314934976,23994.377523163857,19543.371437382328
"34953, USA",1725.6665860981127,1366.884136991576,1137.0092198879586,964.6293798353167
"27610, USA",2682.6684167672547,1519.5995665104633,920.5127622405811,847.7752273970295
"10452, USA",41081.98825246628,34999.90985119769,29431.453117648136,20986.544637093033
"27587, USA",1744.4651303597786,890.2097196518162,594.9714669056095,545.0004433594214
"92553, USA",4337.631793605305,3617.369873942073,2787.4705946477525,2142.7710900650977
"91335, USA",5737.943469048403,5051.292989430526,4273.338218442296,3603.789672448825
"77450, USA",3013.740474017096,2160.0096826417116,1806.301151179695,1548.0634967740923
"28027, USA",2585.2366854782895,1196.977146057138,625.5543999768935,520.5069000212952
"11233, USA",22144.692740140872,21547.573130076322,21006.88766766353,18910.59949202807
"80134, USA",2374.380883947487,1679.7007366391822,1054.6265572144112,803.506718523215
"60608, USA",9912.777771248991,7498.736029408254,4583.662759252722,5020.155914812339
"10457, USA",33233.63263805854,30549.371782044444,26251.38827062082,22177.84851186086
"60625, USA",10290.60122694938,9514.887469019752,7401.308627877369,6794.360615015748
"78254, USA",5125.628286474636,2554.094263705273,1592.414706322982,1377.5074113262533
"60634, USA",5865.528341587048,5589.259569650705,5189.6698178621355,4773.85767091752
"63376, USA",2421.1934495430596,1589.7426573230578,1315.6298734647626,1130.5591457607904
"97006, USA",3977.183593978025,3217.076104493793,2517.2697780551753,2254.7817017052553
"33025, USA",5466.343458639322,3451.2152844736206,2743.894104670273,2466.2152512904568
"92880, USA",3601.065657234578,2961.1076348537563,2036.591262616842,1512.5602467172469
"95747, USA",2791.101479524102,2099.793775019627,1366.0645046395828,1119.5208124814876
"84043, USA",2293.101861626956,1677.162917272052,1065.8575670256105,920.8834531023746
"80013, USA",3200.2919552879175,2760.3980741881596,2424.402186661715,2138.9485975528723
"33024, USA",3551.410735844089,3034.1256348452243,2527.165939816831,2352.0560359796787
"85225, USA",3224.473625274577,2577.1444151614337,2170.123498231075,1950.0674280119165
"22191, USA",4743.073294972517,2805.729192462908,1819.5497342561825,1286.9094641664394
"92805, USA",5871.363911647282,5192.96196275299,4015.4808990770316,3493.987251644929
"77036, USA",7623.0762069193015,6275.286618701765,3458.9317819824564,3283.516331098399
"97229, USA",3390.8424389043175,2216.7768861270265,1761.0054919917498,1395.8433368473084
"93536, USA",2718.0416913832855,1727.2697821782283,1150.280449310736,962.1828628157355
"89108, USA",4468.7551148609655,3871.579009710757,2933.790301675073,2566.2936227551945
"33411, USA",2981.139106044962,1521.4979228627915,957.3356033139131,832.1988005594009
"23464, USA",3118.0552725691723,2208.3589869793445,1708.6197373017835,1571.4150552691356
"94536, USA",4680.304130449794,3821.3784896693073,3055.5616042842776,2700.804383754013
"89110, USA",4276.69316074186,3745.4078785892384,3309.0010687656318,2994.0783898440664
"45011, USA",2583.2615423144366,1288.1008395564143,853.4094705133274,739.6370458610411
"97701, USA",1853.1146079583243,1345.6072834084425,895.5664530008428,681.6516311706474
"93306, USA",2992.2772822559764,2460.070056376489,1681.9168440217347,1351.0258096585424
"76028, USA",1915.928901541388,1201.040386643728,756.1217939234959,593.0629813542316
"60614, USA",13907.04504816451,11958.001921645711,8732.957408052449,7264.64511845515
"93065, USA",3522.431290963151,2287.4384730880665,1617.5993513574992,1145.9424442670245
"11209, USA",18906.778731034698,17547.570907531262,10739.592762909904,9046.4544854076
"47906, USA",4452.140839130669,2973.023253538742,1308.510570398561,858.983375593567
"30041, USA",3631.3505966266116,1131.3159371301251,609.4118156416282,568.2170878509642
"78046, USA",3799.279344172682,2671.4508682455134,1636.7462867633524,1012.3413435348007
"97007, USA",3054.7043449272032,2610.69766136498,2146.9287892248312,1853.7046560844517
"77083, USA",4016.2399917517287,3076.0218102809763,2580.547166821641,2273.629812771927
"91706, USA",5023.035758808099,4363.553840078742,3395.5189276540787,2834.198110961326
"30052, USA",2382.655427647727,788.6459499770297,450.2706836630571,419.2186591590753
"85326, USA",3513.79185120603,1741.9288321656795,661.4582292649579,422.16315750449195
"28277, USA",3048.0666124659206,1523.4483470890088,1230.630460441628,1070.8686901751812
"11375, USA",22468.79063674141,18464.12931873034,12590.976647415418,13154.526012035782
"85364, USA",2588.001579784533,2023.7995013715906,1531.4807306114653,1088.2631219658601
"10472, USA",25760.22570218268,24921.316414255034,18368.741047805586,14251.228538075138
"60657, USA",17018.679753145756,14874.67598150924,9590.965935515307,6578.65347137249
"84118, USA",3110.6500317718323,2718.5972499385252,2342.8086900937333,2135.7613215902816
"77095, USA",3334.506929659063,2320.601851506108,1911.9681499967378,1806.0875383286088
"06902, USA",6504.336181390329,5185.15879509365,3457.0589016035947,2125.248445681732
"77407, USA",3498.743152842965,2029.67313702334,1523.632134767966,1359.8076012850654
"83646, USA",2130.9810220933036,1846.194003247163,1560.260130386717,1269.4196879995457
"20906, USA",5180.092135318802,3361.53341429149,2385.7752884192464,2014.666387734153
"07002, USA",10742.075934488457,8809.523513356598,3979.6994309510633,2706.109059669248
"91730, USA",5070.806370852402,3607.8566050533077,2380.011812295699,2114.503045976996
"60085, USA",3832.5863580470286,3003.011686311658,2187.0959205859936,1512.5552503995357
"80015, USA",3052.8948332132327,2528.148110248191,2097.338232163274,1737.353492137705
"98012, USA",3476.5885490419023,2375.138445292679,1963.7601746681917,1777.713497469845
"00956, USA",3141.669961773382,2474.7736258993655,2087.7973100517925,1847.9017016417956
"10463, USA",21500.802456209578,17988.93115722171,13557.95382708402,11865.947905496032
"10977, USA",6242.587996126268,5180.002656629044,3397.552684147134,2218.058562650035
"30096, USA",3878.060946153073,1911.723323425937,1272.854296343704,1164.8694820775406
"37075, USA",1944.6669563589628,1009.4562861634711,595.9409873286363,523.1719479951499
"10466, USA",15035.919815621648,14729.191147529256,11684.451351404063,8919.707649151584
"90255, USA",9040.783885191078,7643.996408509568,6353.56193155676,5582.631326229987
"91766, USA",4442.399795543466,3658.705915599949,2749.798429208873,2389.8901324546337
"10469, USA",13944.871422344318,13201.337221982167,13104.583694371275,11163.28282189953
"92021, USA",5021.092424401425,3588.2629439674183,2674.859760441226,1978.3271903422942
"89031, USA",3713.781885031967,3187.348208372855,2759.0322324060953,2357.4503479275654
"90003, USA",8314.996993818224,8083.750297936159,7599.116764435514,6887.957161497755
"91402, USA",11774.787920938748,10139.993273380163,6563.18926081433,4909.256330102705
"07055, USA",11116.640243889113,9717.217150687571,6839.9225574792745,4624.400089310487
"33186, USA",4493.49364266967,3295.8704893005606,2515.8699857265365,2342.54894577431
"33012, USA",6878.233416333792,5759.924578281048,4203.963209460056,3201.7959188258333
"30047, USA",2683.0438139878142,1332.6816967150319,1086.2629434364446,1052.327530593852
"21234, USA",3883.9575127071867,2756.295012486992,2224.3485896451016,1967.694758216207
"20002, USA",9564.249513049055,8236.735874237722,6074.080131645149,5011.007065090491
"95687, USA",4439.720129865265,2862.4991995524156,2045.0562865123686,1363.9493069521097
"95123, USA",5225.055117448493,4119.3334234906515,3145.0497547081764,2569.9439336821088
"94509, USA",3476.1458286068487,2748.3073293551442,2033.8158384552573,1457.9157000525756
"30281, USA",2454.0459486612394,980.6922441027408,581.7200535331455,535.5903624232379
"75002, USA",2290.2868141747545,1821.9965767114384,1352.5169655075717,1087.7220093572466
"60641, USA",7468.435707843581,7037.145022390304,6824.889774128757,6521.368336282966
"90631, USA",3913.920579067078,3571.985623368696,2718.7179786404413,2116.744566943077
