longname,Commute Car %,Commute Bike %,Commute Walk %,Commute Transit %,Commute Work From Home %,Commute Time < 15 min %,Commute Time 15 - 29 min %,Commute Time 30 - 59 min %,Commute Time > 60 min %,Households With no Vehicle %,Households With 1+ Vehicles %,Households With 2+ Vehicles %,Traffic Fatalities Per Capita Per Year,Pedestrian/Cyclist Fatalities Per Capita Per Year,Total Traffic Fatalities In Last Decade,Total Pedestrian/Cyclist Fatalities In Last Decade
"Tulsa Non-Community, Cherokee OTSA, USA",0.9053539289886191,0.0023313932748227576,0.011444298504307473,0.0066015490370122205,0.05629495737104051,0.2891430666334873,0.476172161647792,0.2070642586378088,0.027620513080911843,0.091141692285895,0.908858307714105,0.5776737878696492,0.0001488750330166404,3.7618959955817736e-05,186.0,47.0
"Cheyenne and Arapaho District 2, Cheyenne and Arapaho OTSA, USA",0.9242906431244702,0.0005267035559805934,0.008487088956918343,0.00022573009542025465,0.06293180386522769,0.2553602782952514,0.37923004272023614,0.31993942833061917,0.045470250653893374,0.033552191867107097,0.9664478081328929,0.7152565276270135,0.00014850396010560282,1.4667057788207686e-05,162.0,16.0
"Rogers Non-Community, Cherokee OTSA, USA",0.9114429829787474,0.003276251457916709,0.011187745340216333,0.00017460386176651753,0.06598518846533222,0.263565523045985,0.3475060817675288,0.3469800124959065,0.041948382690579926,0.025296228746160474,0.9747037712538394,0.731606635056669,0.00014515136384221465,8.12847637516402e-06,125.0,7.0
"Washington Non-Community, Cherokee OTSA, USA",0.9232967229216897,0.005670149120457171,0.014420930440217852,0.0011161710867041677,0.04531654612018904,0.4797268858438944,0.2844783239021656,0.17345554880044894,0.06233924145349125,0.048768521244235,0.951231478755765,0.6243253851437537,8.769421408826615e-05,9.53197979220284e-06,46.0,5.0
"Mayes Non-Community, Cherokee OTSA, USA",0.9046961974260467,0.00421133480599195,0.015768267553844792,0.0014636277002693333,0.0647077566808093,0.3602944166975864,0.295715517630753,0.2630996964821656,0.08089036918949505,0.041674242929463555,0.9583257570705365,0.6646353906014265,0.0003199371351594073,2.24517287831163e-05,114.0,8.0
"County District 4, Choctaw OTSA, USA",0.9487150553764854,0.001190885043486328,0.011321472292539391,7.26437000687385e-05,0.0315910782528954,0.33948488726730625,0.32398018945040646,0.2642475924485165,0.07228733083377079,0.05650910830070681,0.9434908916992932,0.6374329068253842,0.0002303086135421465,8.636573007830493e-06,80.0,3.0
"Cheyenne and Arapaho District 3, Cheyenne and Arapaho OTSA, USA",0.9398126049780923,0.004023668754101809,0.020775885407450616,0.00030482339046225765,0.02950557637088557,0.5940886677755651,0.20229083277344553,0.11662738621789889,0.08699311323309045,0.028057865406426137,0.9719421345935739,0.645034055867313,0.00025268289782692707,2.9727399744344358e-05,85.0,10.0
"Cheyenne and Arapaho District 4, Cheyenne and Arapaho OTSA, USA",0.8824337078167117,0.003519111000451145,0.0382854496794033,0.00665570993563584,0.04154625605620069,0.5150755030815267,0.2500224710875791,0.1599505188074538,0.07495150702344056,0.056597775254693956,0.943402224745306,0.6422220102495614,0.0003123851525174568,9.187798603454613e-06,102.0,3.0
"County District 9, Choctaw OTSA, USA",0.9202282875084604,0.00521995618321664,0.02647449226926278,0.0,0.04079469969642849,0.5482914206135786,0.27219330025817773,0.1375950412159213,0.04192023791232245,0.05847057169415632,0.9415294283058437,0.6147609457860531,0.00020659863519689476,3.130282351468102e-05,66.0,10.0
"County District 11, Choctaw OTSA, USA",0.9011006338656862,0.0016658503083944933,0.033018983982948086,0.0017979636803269572,0.05778354722660635,0.520671199916717,0.313975654530858,0.12053269968429876,0.04482044586812636,0.08929790623205988,0.9107020937679401,0.5747521557751764,0.00016189249017081308,2.973535533749628e-05,49.0,9.0
