longname,PW Mean % of parkland within 1km,Within 10km of Hospital %,Mean distance to nearest Hospital,Within 2km of Public School %,Mean distance to nearest Public School,Within 30km of Airport %,Mean distance to nearest Airport,Within 10km of Active Superfund Site %,Mean distance to nearest Active Superfund Site
"Wakpamni District, Pine Ridge Reservation, USA",0.0,0.8551536763457294,5.021566057515126,0.50042452029207,3.552700510278856,0.0,120.41819386074175,0.0,132.17486648179192
"Kayenta Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.0,85.0839750134746,0.6509926854754441,3.383846034505283,0.0,189.07089225165296,0.0,151.17669195626542
"Ronan District, Flathead Reservation, USA",0.0014327581503728458,0.8570907099835736,4.3868080001492205,0.4619456105128673,3.6207122431963,0.0,66.86796747306508,0.0,63.54941234555635
"Wagoner Non-Community, Cherokee OTSA, USA",0.00028728334324707664,0.6035315985130112,9.949380155444276,0.1117100371747212,5.625595172594498,0.0,59.80388687115744,0.0,66.06944505671513
"Fort Defiance Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.9513257575757575,3.766584715207633,0.6128787878787879,2.364635399724027,0.0,235.55257347640003,0.0,52.06380874063563
"St. Michaels Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0005183338461852891,0.44186937368320245,11.568226096930777,0.47404711741045774,2.8655205447627203,0.0,234.49851756905448,0.0,52.741644154535585
"Wolf Point District, Fort Peck Indian Reservation and Off-Reservation Trust Land, USA",0.01701344308011188,0.9252418645558487,3.4143165664564616,0.873570800351803,1.950571039308383,0.0,73.82463483946437,0.0,333.6679132684149
"Mission District, Flathead Reservation, USA",0.0,0.0,20.80080676105708,0.3865546218487395,3.6828678073739556,0.0,47.835349291797726,0.0,54.11745467302335
"Pablo District, Flathead Reservation, USA",0.002269780276394384,0.9170866935483871,8.138984394136846,0.5435987903225806,2.4975103779735384,0.0,75.8050804393906,0.0,68.61463976106913
"Antelope Segment, Rosebud Indian Reservation and Off-Reservation Trust Land, USA",0.0,0.0007934408886537953,17.471971032593014,0.5276381909547738,3.576425223700228,0.0,126.64991966676634,0.0,219.52103841205025
"Long Hollow District, Lake Traverse Reservation and Off-Reservation Trust Land, USA",0.0,0.9710303361574201,2.1842985796179732,0.7523913637605903,1.958960268780453,0.0,84.04040196674899,0.0,153.69606010435743
"Park Hill, Cherokee OTSA, USA",0.0008513296013788418,0.906989543203082,6.881174535187047,0.20803522289488166,3.0951687973130975,0.0,76.02982438727511,0.0,95.51542651426585
"Shell Creek Segment, Fort Berthold Reservation, USA",6.152154547195577e-05,0.0,37.75004764970947,0.7882552230378317,1.960586586666689,0.0,93.90729041300749,0.0,416.30714521555035
"District 3, Gila River Indian Reservation, USA",0.0023751023435457427,1.0,1.6567536868509687,0.8050898203592814,1.57798009509128,1.0,27.353129979276694,0.0,27.35317440773276
"Church Rock Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.04033349071115642,0.4188163884673748,11.700072750079203,0.34203338391502275,3.726071297981858,0.0,190.29317401694667,0.13657056145675264,15.137462417306065
"District 4, Cheyenne River Reservation and Off-Reservation Trust Land, USA",1.098820467842053e-06,0.5622721749696233,16.581157367371418,0.6704131227217497,5.660399882873248,0.0,109.499570466521,0.0,186.83306196413224
"Poplar District, Fort Peck Indian Reservation and Off-Reservation Trust Land, USA",0.0,0.9537704918032787,2.1281318688320883,0.619344262295082,2.3420934888012606,0.0,105.56968285976687,0.0,356.9609527020678
"Arlee District, Flathead Reservation, USA",0.0,0.0,29.53918778811585,0.26138681169272604,5.4173974040128705,0.871855880353501,25.292588308262758,0.0,34.003829221038906
"Crownpoint Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.9826530612244898,2.7759503139901844,0.7653061224489796,1.7767506078697592,0.0,158.12997821468326,0.0,31.523824630887084
"Piñon Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.0,36.92868368483976,0.38676470588235295,4.578873670986596,0.0,168.42476656419743,0.0,162.71628803186644
"Birdtown Community, Eastern Cherokee Reservation, USA",0.009357308931109573,1.0,3.763310846477084,0.1339712918660287,3.3497321639589988,0.0,68.68263021053448,0.0,27.212570063252915
"District 4, Gila River Indian Reservation, USA",0.0,0.47260529258292955,9.493301530490822,0.003354453969437197,5.626955607683917,1.0,22.349853134880583,0.0,22.486459589737002
"District 6, Gila River Indian Reservation, USA",0.0,0.5449459157030958,10.361772282565337,0.6158149944050727,2.1147713410731446,1.0,22.197620497647467,0.0,23.991565062318926
"Turley, Cherokee OTSA, USA",0.03456969088025622,0.0,11.002441414251578,0.3285874859497939,2.1410482707076053,1.0,9.125534830598376,0.0,15.361019525290422
