longname,Commute Car %,Commute Bike %,Commute Walk %,Commute Transit %,Commute Work From Home %,Commute Time < 15 min %,Commute Time 15 - 29 min %,Commute Time 30 - 59 min %,Commute Time > 60 min %,Households With no Vehicle %,Households With 1+ Vehicles %,Households With 2+ Vehicles %
"DE-00, USA",0.8493595113703867,0.0032530338076162332,0.020580062710658417,0.019970798853713573,0.09836129781905299,0.2510238508375426,0.4065188588859634,0.26063851609804833,0.08181877417844567,0.058704214412603616,0.9412957855873963,0.5989262576194512
"ID-01, USA",0.8646460033948523,0.007585007291869961,0.02182844984909308,0.003313064811232353,0.09446868444485657,0.3290539852926407,0.3620631713754709,0.2601652179651668,0.04871762536672169,0.03516728250951894,0.964832717490481,0.7277965516275094
"ID-02, USA",0.8557630269626196,0.011890409463641971,0.024126170982611547,0.009069337863566035,0.09056774621303502,0.4286199731137124,0.37433978544859065,0.14918104998726292,0.047859191450434005,0.041201532475960395,0.9587984675240395,0.6926883333795351
"WV-02, USA",0.8886152936348319,0.0020366702607906564,0.02867907021796705,0.0062655012528453485,0.06312913101219199,0.2925632786546263,0.3616440070631576,0.2497354036692505,0.09605731061296563,0.07392353147208695,0.926076468527913,0.6026190018868564
"WV-01, USA",0.9078063806780493,0.0014508424881797227,0.025221639664034554,0.00800537932413154,0.048913685473098836,0.2925472286977236,0.3759856562336786,0.2427803467471752,0.08868676832142265,0.09318153832376219,0.9068184616762378,0.5525265585295138
"SD-00, USA",0.8740826382083162,0.004760119770755522,0.033020508257949714,0.004202363801411778,0.07732033257610998,0.4852657211732602,0.3557004931412978,0.12741155884044492,0.031622226844997,0.04914410649576753,0.9508558935042324,0.6646933445929336
"UT-01, USA",0.8319133203606786,0.009130843935880852,0.02406267866527799,0.02016103505360003,0.1075878031253641,0.345242639475158,0.3951151235191636,0.20638423105032874,0.05325800595534976,0.04568573645189395,0.9543142635481061,0.7137203689128463
"UT-02, USA",0.8388592384673751,0.008249623929239879,0.019417912245931535,0.02132139671384643,0.10560120740604424,0.3517317616704763,0.40343836432630625,0.20148234467537351,0.04334752932784385,0.048347906394498055,0.9516520936055018,0.6893116180732032
"UT-03, USA",0.7986126355067905,0.009256596646945876,0.0324009001685227,0.020388767154161557,0.13094951663320362,0.37293808166768916,0.38272582056544047,0.20184510655376556,0.04249099121310477,0.03197788035188156,0.9680221196481185,0.7340048679552739
"UT-04, USA",0.8363608094741376,0.00412338738230937,0.010352504973009094,0.016593110887645746,0.1279172612951989,0.24127312578269236,0.4267768319206755,0.2793298421952332,0.05262020010139884,0.030654994138169682,0.9693450058618304,0.7661714854783565
"IA-04, USA",0.8764775142590638,0.004854962765876111,0.03232309331212951,0.010005555810409244,0.06999301700893518,0.475758937624343,0.32385631840577883,0.16159794803216065,0.038786795937717514,0.05816952152202769,0.9418304784779723,0.6563491561848176
"IA-02, USA",0.8703864803546979,0.004048182766307652,0.03163415104318556,0.003484699450850909,0.08277026192088496,0.44875314912363423,0.3628113759144247,0.14822369218747894,0.04021178277446212,0.05391667255701602,0.9460833274429841,0.6517543509193555
"IA-01, USA",0.8648215756663582,0.007182227736365208,0.035829782473838896,0.01103139332675704,0.07411296309479015,0.3953281472674302,0.3661915366260184,0.19992531186415546,0.038555004242395954,0.05622874116214456,0.9437712588378555,0.6467909971083261
"IA-03, USA",0.867272664036648,0.003115280275853845,0.019084197032782486,0.006754742480100961,0.0960271481521966,0.34981229972683153,0.43676451997647564,0.1790600146202848,0.03436316567640803,0.05667888185207084,0.9433211181479291,0.6449902457686871
"AZ-02, USA",0.8442999298544873,0.007789308646877312,0.040341454763146496,0.007297650935471195,0.0901772386538363,0.3886903739402012,0.28872455383273515,0.22943246090252262,0.09315261132454099,0.056497248917761776,0.9435027510822382,0.6172402969145895
"AZ-03, USA",0.8493661302679744,0.009259025460885237,0.015772933569915833,0.032855749868950596,0.07738296175168405,0.18671695966366308,0.4091060937079148,0.32160995284377025,0.08256699378465197,0.08937990470689405,0.9106200952931061,0.5686536531199399
"AZ-05, USA",0.8058385799022959,0.0069610271939058764,0.009237003024399969,0.004293377539617453,0.16153307052134178,0.19489331710749608,0.34631415900771606,0.374722547504923,0.08406997637986484,0.02407177850198171,0.9759282214980185,0.6860009284858949
"AZ-09, USA",0.8715861829142632,0.007395036848558972,0.010932830014261735,0.004980397505102739,0.09347501447128792,0.2812653825211047,0.3284785883981043,0.28433736069459625,0.10591866838619463,0.0353614125326567,0.9646385874673432,0.6623340569975522
"AZ-01, USA",0.7727803701121662,0.006901259037971425,0.015458110892502756,0.012656897902687543,0.17998857504704371,0.2454555084665531,0.43591855115438727,0.2827335155764794,0.03589242480258023,0.049070763583270345,0.9509292364167296,0.5755692661435017
"AZ-04, USA",0.8138547161770253,0.015768941069860695,0.020549825272312566,0.018227258449112622,0.12005714147260688,0.24804047632687734,0.446775779440029,0.26114746448047915,0.044036279752614364,0.06068813319272958,0.9393118668072703,0.5543894086109399
"AZ-06, USA",0.849098269347726,0.011015469923186859,0.01408821823633471,0.009954257338413095,0.10587421545713371,0.26076980852661436,0.3864474653592118,0.30117426436605255,0.051608461748121406,0.05509169158704538,0.9449083084129547,0.5909289509501614
"AZ-07, USA",0.8549409007825263,0.015529367821868754,0.02456192852317367,0.0181899272229156,0.07676381837876972,0.27044645991231087,0.3974786719810287,0.2699247529138966,0.062150115192763734,0.0827868320820883,0.9172131679179116,0.5697529168937385
"AZ-08, USA",0.8255303225653977,0.0063750546712558025,0.013311923144583052,0.013729211342717046,0.1304734199325397,0.19035194397650954,0.35884345698376025,0.3683198641450882,0.08248473489464202,0.05364026304791663,0.9463597369520833,0.5778280382230926
"OK-01, USA",0.896689035982994,0.00279643065347559,0.012340175546611433,0.0038003551497644917,0.07267210019071489,0.28710903317845454,0.49666641588838734,0.18954975658879855,0.026674794344359633,0.057476523653509054,0.942523476346491,0.6067395953951079
"OK-02, USA",0.9130239242987558,0.002913083146975961,0.01887156038288944,0.0019186575061170676,0.05283408270367478,0.36735825759261254,0.3111350513182235,0.244769522154996,0.07673716893416796,0.05718739352684574,0.9428126064731542,0.6313424830479883
"OK-03, USA",0.9093448509150167,0.004543952328685679,0.02125484597329291,0.0036795550405663846,0.047916504163230386,0.4223990424548321,0.32377474594552996,0.19712680427761625,0.056699407322021646,0.053338490383300206,0.9466615096166998,0.6298952483424511
"OK-04, USA",0.8959591042382202,0.00509883950434429,0.018522987558886886,0.003386461001275875,0.06738921057992384,0.33552585356682,0.37552702288261236,0.23963248697255352,0.04931463657801404,0.05191076451836375,0.9480892354816362,0.6335636995322135
"OK-05, USA",0.8975171221850369,0.002466120890682653,0.01564262077328411,0.003390021269795712,0.07404980836795083,0.25955763823136185,0.4445173416287613,0.2553186134444413,0.04060640669543557,0.050080165417737396,0.9499198345822626,0.6263238525942441
"VA-05, USA",0.8476624951231728,0.0039003192691779483,0.026536394190986426,0.012915358879672911,0.09474735952782713,0.28301921398006785,0.3720275052379622,0.2707001347073183,0.07425314607465182,0.06394022437398998,0.9360597756260101,0.657922391426826
"VA-04, USA",0.8520196968186197,0.007299864936508684,0.019348869341147972,0.019914314758070897,0.09002648764055728,0.22858023711271044,0.4463986223339271,0.2727211317907158,0.05230000876264673,0.09057057299240522,0.9094294270075949,0.5667162664602545
"OH-01, USA",0.8247515297953228,0.0024316765934478033,0.02822644688099876,0.028717332179713024,0.10768159224996919,0.25138665018792206,0.42988118664333885,0.2758999419609504,0.04283222120778862,0.10024636548687675,0.8997536345131233,0.5565098849753336
"OH-03, USA",0.8068760575450616,0.006005429565278298,0.03114135933522468,0.026043658583619907,0.12069347059752764,0.2592572244685122,0.5043778691961949,0.20225039265256775,0.03411451368272505,0.07889184462052468,0.9211081553794751,0.5192351886540214
"OH-04, USA",0.8778626793096737,0.0036350846624691882,0.017301430432438127,0.003981042603231641,0.08847618063339635,0.33511736039676265,0.3555340377384693,0.25021347549831613,0.05913512636645193,0.05874395217592801,0.941256047824072,0.6717880249948557
"OH-05, USA",0.9099305387822342,0.0030467180024044537,0.023697637259862937,0.0036387113283073546,0.05133324015882288,0.35153970458920275,0.3595451221639522,0.24209566367203353,0.046819509574811444,0.05256955624320731,0.9474304437567928,0.6352390708618463
"OH-06, USA",0.9066554065457499,0.0028627278307802916,0.019106676480673733,0.006670137200477201,0.05549584587563736,0.33664024679526094,0.3724369368015842,0.22377754094759245,0.06714527545556229,0.07407650024705328,0.9259234997529466,0.6037486341699184
"OH-07, USA",0.8688437190330237,0.004997402561897598,0.015801421065998612,0.006799119951840221,0.09462435767555591,0.25628359076436075,0.38004957504923925,0.31866045596843334,0.045006378217966714,0.054651662987610726,0.9453483370123894,0.6353882524059075
"OH-09, USA",0.9159104259152316,0.003158559857275371,0.016754315517060466,0.00915214653088992,0.047745058758478315,0.3576131321162879,0.42503005008785244,0.17426431813147886,0.04309249966438084,0.07139216256026229,0.9286078374397375,0.5831634194821682
"OH-10, USA",0.8786462589358333,0.0024739745011813463,0.024982635757914862,0.015346628932120406,0.07314779277831035,0.3080014074262221,0.4524729203660579,0.19534316789360834,0.04418250431411149,0.08079625393640016,0.9192037460635998,0.5709044402689533
"OH-11, USA",0.8120380658488598,0.005197095847134552,0.03293578264986228,0.054860691094341635,0.08549861916358535,0.24131587349783096,0.4615854116951224,0.25353264511614415,0.04356606969090246,0.16778100743189225,0.8322189925681077,0.39396454564587924
"OH-12, USA",0.8677400681068079,0.00947986497841162,0.030140556404770428,0.002354409471452016,0.08095625217354122,0.2930868193762382,0.327315912577994,0.2972583486518819,0.082338919393886,0.06600165187785562,0.9339983481221443,0.670235554982781
"OH-13, USA",0.8809163940574005,0.001687240368339182,0.011618754275084695,0.011897750371864428,0.08677405299580145,0.30248504339755905,0.4214623415891384,0.23233850098588535,0.0437141140274172,0.07605315017908887,0.9239468498209111,0.5776066598105078
"OH-14, USA",0.8930094318806027,0.0017318158262685697,0.016570146629457726,0.00570767469502599,0.07650101204965915,0.27392426265100706,0.3830167468707438,0.2886401524753295,0.054418838002919745,0.06864700032392902,0.931352999676071,0.6125366330565137
"OH-15, USA",0.8777958256430644,0.002280657207983791,0.012601843035170514,0.007946683559897822,0.09395814567564251,0.26367758587797374,0.4440074325298208,0.2560766450392339,0.03623833655297166,0.04956684070950582,0.9504331592904941,0.6197799614965563
