longname,PW Density (r=2km) [GHS-POP],PW Density (r=4km) [GHS-POP]
"Tokyo 500MPC, Indonesia-China-Japan",4069.9197,3227.6724
"São Paulo 500MPC, Brazil-USA-Argentina",4122.3174,3360.91
"Mexico City 500MPC, USA-Mexico-Colombia",2771.8098,2208.306
"Mumbai 500MPC, India",8008.7427,6038.495
"Cairo 500MPC, Egypt-Turkey-Iran",7951.231,5898.0894
"Guangzhou 500MPC, China",5224.3667,3701.7893
"Lagos 500MPC, Nigeria-Ethiopia-Tanzania",4930.856,3545.8958
"Dhaka 500MPC, India-Bangladesh",6699.7007,5198.6343
"Shanghai 500MPC, China",5498.148,4301.9683
"London 500MPC, Germany-France-Italy",2489.142,1913.7108
"Delhi [New Delhi] 500MPC, India-Pakistan",5838.465,4533.123
"Karachi 500MPC, Russia-Morocco-Algeria",5213.9224,4070.6047
"Chattogram 500MPC, India-Pakistan-China",3879.2974,2731.9617
"Seoul 500MPC, China-Japan-South Korea",5878.759,4566.563
"Kinshasa 500MPC, Nigeria-Democratic Republic of the Congo-Uganda",4202.8257,2990.915
"Jakarta 500MPC, Indonesia-Philippines-Vietnam",5067.0566,4327.776
