longname,Population [StatCan],PW Density (1km) [StatCan],Area-weighted Density [StatCan],Area,Compactness
"Toronto Population Center, ON, Canada",5647258.0,5297.072809504088,2991.3486491162594,1887.8635232534268,0.10220531938585993
"Montréal Population Center, QC, Canada",3659397.0,4911.098989139702,2339.6553095253284,1564.0752657460564,0.0361082319908677
"Vancouver Population Center, BC, Canada",2426160.0,4913.444569613604,2445.3386130705703,992.1570726573167,0.04753128366360072
"Calgary Population Center, AB, Canada",1305550.0,3046.2312972263353,2040.3954314511357,639.8514620626693,0.13336438506702822
"Edmonton Population Center, AB, Canada",1151635.0,2754.792815687421,1803.4190334144382,638.5842550522457,0.14209933626700588
"Ottawa - Gatineau Population Center, QC-ON, Canada",1068821.0,3010.7554369004006,1749.1716912663194,611.0440760827904,0.05346766334221897
"Winnipeg Population Center, MB, Canada",758515.0,2882.8504165439313,2050.236627028686,369.9646128648482,0.0879644090514281
"Québec Population Center, QC, Canada",733156.0,2621.82841265593,1490.271470691112,491.9613737623251,0.030300945424369057
"Hamilton Population Center, ON, Canada",729560.0,2975.733557493163,1865.0005725729934,391.1848664976461,0.07059210719514132
"Kitchener Population Center, ON, Canada",522888.0,2451.285763032344,1732.0910013025682,301.88252211158505,0.12251938927791409
"London Population Center, ON, Canada",423369.0,2472.6549114730515,1707.0436981653195,248.0129831796483,0.181802124734589
"Victoria Population Center, BC, Canada",363102.0,2564.8037415319504,1408.569968186088,257.7805918065904,0.05492521837846169
"Halifax Population Center, NS, Canada",348634.0,2362.957781788852,1268.3133393538146,274.8800230845348,0.042333386335804336
"Oshawa Population Center, ON, Canada",335949.0,2553.193793735249,2007.2590479811015,167.36703732280947,0.1900175310976565
"Windsor Population Center, ON, Canada",306519.0,2097.798206790588,752.7941860439771,407.1750362616292,0.1832105188231604
"Saskatoon Population Center, SK, Canada",264637.0,2357.311131479803,1918.1069399343999,137.9678027800946,0.1129017986807431
"St. Catharines - Niagara Falls Population Center, ON, Canada",242460.0,2000.246197745404,1591.8065430318927,152.31750432322616,0.08466277993795461
"Regina Population Center, SK, Canada",224996.0,2343.8507412317977,2116.483716101616,106.30651126124587,0.1648822587239533
"St. John's Population Center, NL, Canada",185565.0,1463.9633495878534,996.455228115238,186.22512558942566,0.039303145658021725
"Kelowna Population Center, BC, Canada",181380.0,1639.1933993906762,927.209423654309,195.61923700596878,0.07495590256088641
"Barrie Population Center, ON, Canada",154676.0,2024.560980694843,1499.9742799617884,103.11910148482036,0.18155540622845528
"Sherbrooke Population Center, QC, Canada",151157.0,1997.930048696279,1424.5242651994631,106.11051260599963,0.10755169099162448
"Guelph Population Center, ON, Canada",144356.0,2292.8880775684934,1799.1311785972641,80.23650621882426,0.21207657443888098
"Kanata Population Center, ON, Canada",137118.0,2273.036381334497,2197.1359142275746,62.40760943011812,0.15719008134275955
"Abbotsford Population Center, BC, Canada",132300.0,2802.6892046330677,1853.7576418809085,71.36855272286958,0.13190120111475312
"Trois-Rivières Population Center, QC, Canada",128057.0,1629.0430106536935,1028.8298996667488,124.46858323370978,0.059966393007107884
"Kingston Population Center, ON, Canada",127943.0,1890.9374745750024,1109.4782622115695,115.31816742850451,0.1094359139451149
"Milton Population Center, ON, Canada",124579.0,3927.3881496255244,2751.327914723888,45.2795900238966,0.46434001064982955
"Moncton Population Center, NB, Canada",119785.0,1523.3889724657147,983.4242979159876,121.80398659443438,0.13276378170198436
"White Rock Population Center, BC, Canada",109167.0,2723.894751140612,1707.5865438919413,63.93058108269343,0.22497489953888924
"Nanaimo Population Center, BC, Canada",105672.0,1394.7691067954413,1055.379717767487,100.12699526151101,0.07377026994845025
"Brantford Population Center, ON, Canada",104413.0,2056.5951597429644,1655.841818999087,63.05735173611868,0.18690932367706006
"Chicoutimi - Jonquière Population Center, QC, Canada",103934.0,1297.9081597117674,1012.7542707747912,102.62509179100967,0.09323965256698057
"Saint-Jérôme Population Center, QC, Canada",100859.0,1693.9038890864288,1023.4753389838473,98.54560843658176,0.10697377997583524
"Red Deer Population Center, AB, Canada",99846.0,1985.232997891136,1474.9193475840266,67.69590497511034,0.20015707359249593
"Thunder Bay Population Center, ON, Canada",95266.0,1752.318924777567,1018.007276676098,93.58086349937854,0.1738359182767466
"Lethbridge Population Center, AB, Canada",92563.0,1740.9123189819445,1414.427565562533,65.44202209689452,0.09644090196963362
"Kamloops Population Center, BC, Canada",92442.0,1418.632025445604,1173.2364692416866,78.79230012322175,0.0427171813868389
"Sudbury Population Center, ON, Canada",92093.0,1430.1072315324134,1087.380385484365,84.69253375301403,0.11451704781925422
"Saint-Jean-sur-Richelieu Population Center, QC, Canada",88083.0,1740.0920460679808,1458.0515683250146,60.41144354118304,0.17296485051603228
"Peterborough Population Center, ON, Canada",84793.0,1825.8343927834803,1479.2899779969432,57.32006655977981,0.2721237500121407
"Chilliwack Population Center, BC, Canada",81622.0,1996.2607571862422,1369.757233319127,59.588661417189726,0.10079618508526333
"Châteauguay Population Center, QC, Canada",75891.0,1953.5957858467534,1452.2029670995946,52.2592238959358,0.06483347999442755
"Belleville Population Center, ON, Canada",75052.0,1468.1070401305453,674.3090971069896,111.30207247981386,0.10675875678462461
"Sarnia Population Center, ON, Canada",73944.0,1634.7804454957125,852.6477254228831,86.72280215528211,0.08876730804590023
"Airdrie Population Center, AB, Canada",73578.0,2403.413154141573,2203.2692976845738,33.394919121926435,0.42050155872505074
"Drummondville Population Center, QC, Canada",72089.0,1529.2500013843198,1226.2949509885054,58.78602039573734,0.11218517014214505
"Welland - Pelham Population Center, ON, Canada",69302.0,1551.9908270114017,1185.57419206747,58.45437633822589,0.11248966165316421
"Fort McMurray Population Center, AB, Canada",68002.0,1744.64740992752,1181.5220445596476,57.55457573823288,0.13133088170186133
"Prince George Population Center, BC, Canada",67339.0,1285.9881017159628,865.6815904078283,77.78726121260839,0.06745730983246181
"Sault Ste. Marie Population Center, ON, Canada",64923.0,1447.2140602654301,1071.4280959436703,60.59482689113025,0.18160480141489593
"Fredericton Population Center, NB, Canada",64614.0,1032.7323113379919,657.3273048700019,98.29806174380442,0.053316186480272386
"Medicine Hat Population Center, AB, Canada",63382.0,1410.168410380032,1157.5114943019196,54.75712363290602,0.10085990553644866
"Grande Prairie Population Center, AB, Canada",63172.0,1599.8677230237784,1257.6814895217788,50.22893357842179,0.2039633256355832
"Granby Population Center, QC, Canada",62624.0,1800.3148331541122,1270.1281617859295,49.305260590351985,0.1479337272966242
"Saint John Population Center, NB, Canada",62369.0,1127.8750716256277,737.8123413942044,84.53233498662362,0.0329564869138894
"Bowmanville - Newcastle Population Center, ON, Canada",56742.0,2049.5615948180807,1795.008465320079,31.610992982075985,0.08122083848831385
"Beloeil Population Center, QC, Canada",52959.0,1625.646358700868,1856.2372603232534,28.53029681710919,0.1973236165658421
"Charlottetown Population Center, PE, Canada",52390.0,1139.2046165730649,732.8002658932742,71.49287798925299,0.14792884673471593
"Vernon Population Center, BC, Canada",51896.0,1297.1309846233391,825.0253771546086,62.90230753747441,0.07872081241832984
"North Bay Population Center, ON, Canada",51433.0,1407.7818797021314,417.9463026537678,123.06126330924327,0.1989129149864039
"Saint-Hyacinthe Population Center, QC, Canada",50616.0,2116.1677293390667,1600.1917145051548,31.631209898904242,0.14896813067728332
"Brandon Population Center, MB, Canada",50532.0,1760.4195152627806,1742.0105227701235,29.007861513743695,0.20985600392631024
"Joliette Population Center, QC, Canada",49246.0,1434.834019034939,1223.007682439526,40.26630470690855,0.2210012421014184
"Courtenay Population Center, BC, Canada",48917.0,1141.3750103891928,631.0292053207645,77.51939147592151,0.08963512885188808
"Cornwall Population Center, ON, Canada",47286.0,1834.471586138802,1452.642165992507,32.551719278844004,0.21530357582369097
"Victoriaville Population Center, QC, Canada",46322.0,1554.4002305041495,1293.6181441209783,35.808093918995,0.1060568125682226
"Woodstock Population Center, ON, Canada",46296.0,1829.3268677694825,1271.0190189829357,36.424317267137255,0.4709857246083532
"St. Thomas Population Center, ON, Canada",45732.0,1777.6944310983424,1606.1039822655778,28.473872492047636,0.20456268230027844
"Chatham Population Center, ON, Canada",45171.0,1665.9033111658166,1414.581324338583,31.932416484517525,0.2339665530282813
"Georgetown Population Center, ON, Canada",44058.0,1867.7942155390149,1702.9479550259528,25.871606862658677,0.23655717389379402
"Salaberry-de-Valleyfield Population Center, QC, Canada",41629.0,1471.5572398999134,882.2803921375015,47.183412859426,0.11313405055433456
"Spruce Grove Population Center, AB, Canada",39348.0,1827.5677659737307,1320.3073939953338,29.802150755916365,0.28745809161057373
"Shawinigan Population Center, QC, Canada",38930.0,1166.6976200072093,1120.4922187897466,34.743659391092095,0.05640108033436994
"Rimouski Population Center, QC, Canada",38708.0,1470.885231736463,1263.562819479457,30.63401312801078,0.0787315747038461
"Bradford Population Center, ON, Canada",38128.0,2562.261142077333,2358.4882618619868,16.166287793986555,0.42806536496268655
"Campbell River Population Center, BC, Canada",38108.0,1175.9945547578768,937.4266803310334,40.65171260811878,0.19785947449722782
"Penticton Population Center, BC, Canada",36893.0,1772.7396181108027,1320.137449208702,27.946332423274466,0.11394912562668291
"Prince Albert Population Center, SK, Canada",36768.0,1571.165140415815,1624.5060661773357,22.633341152440057,0.19608910744526936
"Stouffville Population Center, ON, Canada",36753.0,2452.8853041825387,2582.3741021106016,14.232252395174418,0.3946416110761398
"Sorel Population Center, QC, Canada",36650.0,1217.8961382333962,918.096004948938,39.91957246566864,0.13464074354021527
"Mission Population Center, BC, Canada",36193.0,1830.6317375390001,1282.7284073730727,28.21563769225352,0.19545208979111475
"Leamington Population Center, ON, Canada",35730.0,1328.8651550371524,810.1960133201907,44.10043916851446,0.13692667260294797
"Orangeville Population Center, ON, Canada",34177.0,1538.5895560371498,1704.7030549295243,20.048652990425328,0.1889327286606482
"Leduc Population Center, AB, Canada",33505.0,1579.458908948403,489.0716611665422,68.50734291184096,0.31426423578725393
"Orillia Population Center, ON, Canada",33379.0,1469.0605844487416,954.3863281668372,34.974306541160956,0.46462061674963173
"Stratford Population Center, ON, Canada",32878.0,1680.6519370948586,1399.2408668476326,23.497026694246905,0.3471938420862958
"Moose Jaw Population Center, SK, Canada",32813.0,1367.6181980216202,1473.68559011544,22.265943441456614,0.12772510845446422
"Cochrane Population Center, AB, Canada",31638.0,1157.7370326770513,1303.22690663025,24.276662674043685,0.13736468824202414
"Lloydminster Population Center, SK-AB, Canada",31582.0,1484.1165687093223,1275.5622545263327,24.759277634573518,0.3123758584954441
"Cape Breton - Sydney Population Center, NS, Canada",30960.0,1052.8347985204232,840.888616478711,36.818193745620555,0.05975110604642618
"Okotoks Population Center, AB, Canada",30214.0,1721.1257433658186,1740.1820095444068,17.36255163786589,0.1832471345335972
"Innisfil Population Center, ON, Canada",29464.0,1305.2085461418935,630.9832619540598,46.69537494347227,0.29264015270126803
"Timmins Population Center, ON, Canada",28874.0,1871.71049349085,1510.9561897596768,19.109753277884593,0.15541744484748599
"Saint-Georges Population Center, QC, Canada",27402.0,1218.0358959217144,967.3901119160096,28.325697836344112,0.15432481735913714
"Parksville Population Center, BC, Canada",27330.0,900.5898166846084,831.9048236580854,32.85231582120587,0.07080594331962554
"Keswick - Elmhurst Beach Population Center, ON, Canada",27145.0,1414.5756422864843,785.3059801121284,34.56614451875708,0.46932270589273706
"Fort Saskatchewan Population Center, AB, Canada",26831.0,1586.9955744450544,1226.742946660394,21.871737736942354,0.2797023125773963
"Bolton Population Center, ON, Canada",26795.0,1642.287931741042,1285.208363377474,20.84875944129702,0.5226104487558588
"Midland Population Center, ON, Canada",26246.0,1085.3370323563395,750.34132428702,34.97874787176242,0.15587530606213548
"Val-d'Or Population Center, QC, Canada",25473.0,1353.7652855867652,703.4593757992631,36.21104626128246,0.14593077133693413
"Quispamsis - Rothesay Population Center, NB, Canada",24881.0,656.242609038309,664.6692696300798,37.43365480676948,0.1761138720681716
"Whitehorse Population Center, YT, Canada",24513.0,815.3822694263666,670.6724785009902,36.54988207476268,0.07326668355457627
"Duncan Population Center, BC, Canada",24358.0,1165.4404087076455,971.5132706819767,25.072225707119088,0.07491436318680095
"Hudson Population Center, QC, Canada",24245.0,623.9942198096401,626.1214338913439,38.72252040521494,0.1007318697006749
"Tsawwassen Population Center, BC, Canada",23940.0,1646.3267330393207,1599.475086416094,14.967410373137973,0.3036701176472765
"Truro Population Center, NS, Canada",23583.0,804.6097280617465,741.5593348539471,31.801905648783666,0.14065999544019284
"Alliston Population Center, ON, Canada",23253.0,1619.8159045847212,1227.906082260729,18.937116067694944,0.23531924482682423
"Fergus Population Center, ON, Canada",23209.0,1292.0813532106395,1244.520782178754,18.648945306777872,0.12762799714481118
"Rouyn-Noranda Population Center, QC, Canada",23186.0,1293.74911587446,818.78206254749,28.317669695719786,0.12551737347538935
"Ladner Population Center, BC, Canada",23016.0,2067.85825704655,2973.405362119295,7.740619658933871,0.19582679243718318
"Collingwood Population Center, ON, Canada",22983.0,1245.0370921521608,1376.9724977756384,16.690965169694195,0.061685291190706024
"Lindsay Population Center, ON, Canada",22367.0,1508.3667338136238,1412.8929685527432,15.83064003985454,0.27620629640738353
"Owen Sound Population Center, ON, Canada",22318.0,1357.2703595682235,1046.809821355128,21.320013955456258,0.183824401078748
"Brockville Population Center, ON, Canada",22293.0,1431.9139174310017,922.3537569051612,24.169685256989986,0.2906562610110316
"Magog Population Center, QC, Canada",22222.0,1232.6392777497983,882.1964133623994,25.189401887617258,0.18780168905362768
"Squamish Population Center, BC, Canada",22221.0,906.6662676429324,841.42580920577,26.40874543766921,0.11491853246554302
"Wasaga Beach Population Center, ON, Canada",22194.0,594.459158953925,515.3145207956959,43.068842627858224,0.08597251348940924
"Port Alberni Population Center, BC, Canada",21711.0,944.9279018581931,724.1323769318625,29.98208710400323,0.1127346803352851
"Chestermere Population Center, AB, Canada",21425.0,1566.4487389918436,1809.2993712451425,11.841600312531762,0.5171107327434438
"Sept-Îles Population Center, QC, Canada",21352.0,1288.0966795436148,1609.525061751116,13.26602518184442,0.08602060069811968
"Fort St. John Population Center, BC, Canada",21123.0,1498.9599973390682,1417.9697585636252,14.8966505614317,0.22462759667221363
"Beaumont Population Center, AB, Canada",20779.0,1703.675011286461,1977.0487405055944,10.510110132482696,0.5970218664899456
"Varennes Population Center, QC, Canada",20591.0,1810.7113758729347,1978.6724544811755,10.406472255358269,0.24353050353063396
"Alma Population Center, QC, Canada",20274.0,1352.7329406452952,1224.5121073524433,16.55679831850341,0.16971035069852722
"Cranbrook Population Center, BC, Canada",20008.0,1340.257903084875,1225.6777667748995,16.324029481783484,0.15053881682606102
"Cobourg Population Center, ON, Canada",19830.0,1180.5217659502498,949.4311982322213,20.88618958058484,0.3219750413305659
"Yellowknife Population Center, NT, Canada",19673.0,1431.3549851102505,1009.1824772705318,19.493996817313203,0.08011585562973597
"Les Coteaux Population Center, QC, Canada",19582.0,855.0356383220849,752.5177381551323,26.021977964276438,0.1121720273060156
"New Glasgow Population Center, NS, Canada",19316.0,716.9872179932491,626.0772354480638,30.852423481227753,0.10398395312058448
"Corner Brook Population Center, NL, Canada",19129.0,855.4402387752317,881.4851073340657,21.700877122987492,0.11743428136940873
"Rivière-du-Loup Population Center, QC, Canada",19081.0,1216.2449760236595,928.5870476272627,20.54842359556491,0.14851437717657381
"Tillsonburg Population Center, ON, Canada",18573.0,1088.443337540249,969.9313127070327,19.14877863687443,0.41468228412945846
"Camrose Population Center, AB, Canada",18454.0,1186.636090516129,1060.8093068061137,17.396152052588352,0.3596669309914321
"Steinbach Population Center, MB, Canada",17589.0,1169.748348513458,986.6847975044974,17.826361614657216,0.4931169619947105
"Buckingham Population Center, QC, Canada",17407.0,1000.1296989621001,846.8237012492085,20.5556362845321,0.24151226143504048
"Stony Plain Population Center, AB, Canada",17253.0,1138.5245022297695,959.1668233953752,17.98748620070671,0.3937929193104644
"Valley East Population Center, ON, Canada",17251.0,663.4793809091626,667.1109515527781,25.859266677973576,0.1111547753188103
"Thetford Mines Population Center, QC, Canada",17046.0,1145.7231029739078,1127.8632329690256,15.113534603949745,0.15952868869666198
"Glace Bay Population Center, NS, Canada",16915.0,684.018551377502,538.2320437879663,31.426965739452662,0.3015370013760831
"Pembroke Population Center, ON, Canada",16571.0,1088.9070983387983,685.7511687755598,24.16474189841817,0.28342927745121954
"L'Assomption Population Center, QC, Canada",16443.0,1523.1080045105368,1314.529272610304,12.508660204537398,0.5049759179489078
"Swift Current Population Center, SK, Canada",16304.0,1139.623952489843,1100.1566591172018,14.819707597900475,0.10171072663266109
"Sylvan Lake Population Center, AB, Canada",16142.0,1321.9394586500302,1536.5504115755914,10.50535008704847,0.19690208279140503
"Simcoe Population Center, ON, Canada",16121.0,1309.9969815597651,967.4590327207605,16.663237878572822,0.32365455199855686
"Salmon Arm Population Center, BC, Canada",16065.0,892.0923743792108,449.9247541305461,35.705970503989484,0.138194602540747
"Strathroy Population Center, ON, Canada",16056.0,1054.7288877110389,1046.5917693487324,15.341225175114115,0.28189833732932174
"Bathurst Population Center, NB, Canada",15985.0,442.91756310681126,493.6044374601317,32.384230746084214,0.046752574543714905
"Yorkton Population Center, SK, Canada",15969.0,1167.3301574483241,1474.5260321950361,10.829920700842381,0.20099332879016765
"Laurentides Population Center, QC, Canada",15768.0,980.5740135276077,1226.6696829616444,12.85431621814447,0.1217881829227287
"Port Colborne Population Center, ON, Canada",15441.0,1079.9497676612368,797.9274140486826,19.351384258942034,0.3321938029394188
"Fort Erie Population Center, ON, Canada",15372.0,825.607798076128,992.0058261621886,15.495876732367845,0.14172909394439853
"Winkler Population Center, MB, Canada",15335.0,1216.7631926349845,805.6056586562498,19.03536778227052,0.23704541974524856
"Amherstburg Population Center, ON, Canada",15119.0,1055.0086531959712,809.2607885048908,18.68248185845301,0.3374646498755649
"Paris Population Center, ON, Canada",14956.0,1043.1117341903196,1039.8937018439797,14.382239236067537,0.24583068206135286
"Summerside Population Center, PE, Canada",14952.0,916.1561635597127,868.0767690250614,17.22428307440207,0.1920606830501733
"Kentville Population Center, NS, Canada",14905.0,586.5139735737904,518.3301888680104,28.7558014565026,0.08814295036262661
"Brooks Population Center, AB, Canada",14904.0,1123.3769479979253,1100.7418649381893,13.539959253604762,0.22678885814321703
"Terrace Population Center, BC, Canada",14633.0,755.5517487052964,619.798656527203,23.609279958737307,0.09514192891152741
"Angus - Borden CFB-BFC Population Center, ON, Canada",14503.0,1098.1219633200449,1011.4964615404552,14.338161873460935,0.18384510580321342
"Petawawa Population Center, ON, Canada",14382.0,888.5221423505546,882.813638298773,16.291094038504944,0.15217276500454288
"New Hamburg Population Center, ON, Canada",14379.0,908.4909491015278,893.6502577255596,16.090187269230103,0.18361770350743206
"High River Population Center, AB, Canada",14119.0,927.0162554994122,1360.2921137349276,10.379388263329512,0.1758040984395991
"Carleton Place Population Center, ON, Canada",13940.0,1223.5142657941938,1043.5251613253981,13.358566248938915,0.2460799461580429
"Strathmore Population Center, AB, Canada",13851.0,1181.5017438740397,1361.2070506442815,10.175527663806983,0.5066518609695225
"North Battleford Population Center, SK, Canada",13649.0,1317.0039241111335,1575.1895384083912,8.664988985256512,0.2452757131408876
"Rockland Population Center, ON, Canada",13625.0,1564.9041483876358,1617.8208635793196,8.421822407368147,0.3243164379814083
"Ingersoll Population Center, ON, Canada",13607.0,1179.6062600016505,1306.3677780918456,10.415902954890047,0.3698825134202448
"Port-Alfred-Bagotville Population Center, QC, Canada",13350.0,867.3400768140878,781.3123615231067,17.086636097725666,0.2079009177083593
"Cowansville Population Center, QC, Canada",13334.0,1000.9623432909235,754.2921136773285,17.677501538487547,0.30253869172526837
"Beamsville Population Center, ON, Canada",13323.0,1711.9486461601841,1346.830474648626,9.892113559040036,0.3380256098353901
"Canmore Population Center, AB, Canada",13268.0,1032.7891491695523,983.6103294562809,13.489081603417354,0.22101221828684317
"Edmundston Population Center, NB, Canada",13125.0,532.9697306755983,629.9424980811408,20.83523502538705,0.0491955860926472
"Powell River Population Center, BC, Canada",13116.0,647.8486656748855,557.77364130567,23.51491542213662,0.12724866869867887
"Aldergrove Population Center, BC, Canada",13105.0,2107.440615081231,1860.211135738746,7.044899231180878,0.2946537642552193
"Port Hope Population Center, ON, Canada",13012.0,991.9782432882943,726.6969775773775,17.905675132128238,0.5228397536594558
"Portage la Prairie Population Center, MB, Canada",12944.0,1004.9399434870074,1302.9509697705278,9.93437228284934,0.12993172644456247
"Trail - Fruitvale Population Center, BC, Canada",12863.0,478.3235211088959,558.3417832654993,23.037860295480456,0.044863074917841174
