longname,PW Mean PM2.5 Pollution
"Tokyo 200MPC, South Africa-China-Madagascar",18.11456871032715
"New Taipei [Taipei] 200MPC, Indonesia-China-Philippines",18.6163387298584
"Quezon City [Manila] 200MPC, Philippines-Vietnam-China",18.942798614501953
"New York 200MPC, USA-Canada",7.079530715942383
"Jakarta 200MPC, Indonesia",24.360328674316406
"Dhaka 200MPC, Bangladesh-India",66.91456604003906
"Paris 200MPC, Germany-France-Italy",11.134082794189453
"Cairo 200MPC, Turkey-Egypt-Syria",40.33501434326172
"Bogota 200MPC, Colombia-Peru-Venezuela",17.38296890258789
"Bengaluru 200MPC, India",31.416580200195312
"London 200MPC, Spain-United Kingdom-Algeria",11.921548843383789
"Lahore 200MPC, Pakistan-India",55.87864685058594
"Shanghai 200MPC, China",30.763437271118164
"Lucknow 200MPC, India",59.984039306640625
"Zhengzhou 200MPC, China",51.29943084716797
"Luanda 200MPC, Democratic Republic of the Congo-Angola-Malawi",22.787445068359375
"Dar es Salaam 200MPC, Ethiopia-Tanzania-Cameroon",27.282373428344727
"Varanasi 200MPC, India",74.61820983886719
"Guangzhou 200MPC, China",28.183195114135742
"São Paulo 200MPC, Brazil-Argentina-Bolivia",14.361044883728027
"Chongqing 200MPC, China",37.287879943847656
"Chengdu 200MPC, China-Vietnam",28.68244171142578
"Moscow 200MPC, Ukraine-Russia-Poland",15.29094123840332
"Baghdad 200MPC, Russia-Iraq-Uzbekistan",25.66057777404785
"Mumbai (Outer) 200MPC, India-Pakistan",56.774078369140625
"Nairobi 200MPC, Ethiopia-Kenya-Uganda",32.47896194458008
"Beijing 200MPC, China-North Korea",37.00725555419922
"Mexico City 200MPC, Mexico-USA-Guatemala",15.600183486938477
"Osaka [Kyoto] 200MPC, Japan-China-South Korea",22.400766372680664
"Delhi [New Delhi] 200MPC, India",77.11273956298828
"Bangkok 200MPC, Myanmar-Thailand-Bangladesh",41.45500946044922
"Saint Petersburg 200MPC, Morocco-United Kingdom-Russia",15.243041038513184
"Colombo 200MPC, India-Sri Lanka",34.463226318359375
"Karachi 200MPC, Iran-Afghanistan-Pakistan",42.45744705200195
"Kano 200MPC, Nigeria",53.23386764526367
"Riyadh 200MPC, Egypt-Ethiopia-Saudi Arabia",46.13211441040039
"Taiyuan 200MPC, China",37.51876449584961
"Abidjan 200MPC, Ghana-Ivory Coast-Burkina Faso",32.82917022705078
"Mumbai (Center) 200MPC, India",43.517024993896484
"Los Angeles 200MPC, USA-Brazil-Mexico",10.54710578918457
