longname,PW Density (r=250m),PW Density (r=500m),PW Density (r=2km),PW Density (r=4km)
"AZ-SD022, USA",3431.9744095914625,2555.430387669295,1615.693893589024,1349.393463948143
"NJ-SD022, USA",3809.2063516991007,3333.94577672758,2588.909825961227,2181.1382940743642
"NJ-SD035, USA",8692.154290150935,7468.178273800904,5666.947073029725,4337.820671824564
"AZ-SD009, USA",3501.181698724298,2983.637299952016,2385.1935781083394,2148.20445256241
"AZ-SD030, USA",1253.1499230054233,814.7173789290788,459.58809814486676,324.6635753964856
"NJ-SD023, USA",1931.123773592674,1264.3136923078994,647.6677030782874,476.20035521696883
"AZ-SD001, USA",1306.0069769114893,732.7010714868131,414.3261882482521,274.93212025880564
"AZ-SD013, USA",2656.2705290965796,1986.8656601006896,1587.6110814127946,1451.8481661835926
"AZ-SD011, USA",3081.653547684447,2263.6232801355013,1554.4940526816379,1231.7072700870754
"NJ-SD024, USA",1282.458208699387,671.8532706501114,327.7607139840471,257.05135691113867
"AZ-SD026, USA",4574.282688914545,3733.3674813656826,2953.665306561661,2674.8140429870964
"AZ-SD003, USA",1537.1058036315135,976.6721225813957,594.786532484467,436.918152803044
"AZ-SD016, USA",1977.8215058711983,1144.3773584755422,602.9616602835822,395.5115433324518
"NJ-SD001, USA",2039.2764395032884,1173.0901756651958,569.0982902847735,352.5319357100017
"NJ-SD033, USA",16761.9904911593,14929.451817906187,9077.009708722297,8693.931010035067
"NJ-SD005, USA",3483.1403502466105,2820.972198429856,1978.673001955662,1872.7704985831708
"NJ-SD031, USA",11097.369376513332,9952.395419668894,5929.540087929227,3991.288056404099
"NJ-SD003, USA",1628.7207223295798,992.248241368605,524.4041807497077,381.1155101001255
"AZ-SD010, USA",2271.569215042999,1737.7616861459003,1403.8759540662097,1284.6867398140164
"AZ-SD024, USA",4027.744060178465,3638.9749033750804,2978.4878638141226,2690.2701944148366
"NJ-SD018, USA",3098.822725701903,2262.08375806651,1661.1191332495657,1534.3807444363886
"NJ-SD006, USA",2535.4581430368326,1873.9457384562818,1398.5029063117079,1295.8842473994623
"NJ-SD015, USA",4156.311552939638,3102.471415719533,1953.0725130772014,1349.020730684422
"NJ-SD004, USA",1762.5929768412375,1063.953781537571,761.5946669173561,691.1264410361218
"NJ-SD034, USA",6194.189926376489,5636.437333586782,5154.343323954173,4825.958293763821
"NJ-SD036, USA",8157.553340403796,7026.468384064798,5111.534147857792,5142.1937442317785
"NJ-SD017, USA",4378.4287171110245,3161.9415147621576,2037.1092091993326,1534.8747506332268
"NJ-SD029, USA",11190.713912778392,9170.73764749893,6640.461496592573,5598.407057741267
"AZ-SD023, USA",2828.9347000697835,1771.856396666812,939.2243685413604,617.9465818169684
"NJ-SD002, USA",2614.9759924949203,1737.4931848822537,816.0703777343917,498.39079687003857
"NJ-SD039, USA",1899.3036007671656,1473.9849311681253,1202.9959950266853,1059.6043790183728
"NJ-SD032, USA",19457.59505930463,16068.090747224072,10068.5548272351,8991.090989100829
