longname,PW Mean PM2.5 Pollution
"Edmonton--Wetaskiwin (Riding), Alberta, Canada",7.791311820712664
"Calgary Shepard (Riding), Alberta, Canada",8.331645440133565
"Brampton West (Riding), Ontario, Canada",7.108042894397503
"Calgary Skyview (Riding), Alberta, Canada",8.967200509353903
"Banff--Airdrie (Riding), Alberta, Canada",8.235742590726165
"Simcoe--Grey (Riding), Ontario, Canada",5.775359889577528
"Durham (Riding), Ontario, Canada",6.081707227806807
"Oakville North--Burlington (Riding), Ontario, Canada",6.974719635291432
"King--Vaughan (Riding), Ontario, Canada",7.059295194611613
"Niagara Falls (Riding), Ontario, Canada",6.411065903529373
"Calgary Rocky Ridge (Riding), Alberta, Canada",9.282073464374543
"Guelph (Riding), Ontario, Canada",6.668975292833136
"Dufferin--Caledon (Riding), Ontario, Canada",6.461196025942359
"Etobicoke--Lakeshore (Riding), Ontario, Canada",7.072321232569317
"Brantford--Brant (Riding), Ontario, Canada",6.661900789232317
"Orléans (Riding), Ontario, Canada",6.202724279298228
"London West (Riding), Ontario, Canada",6.6275000419485535
"Whitby (Riding), Ontario, Canada",6.321540182968763
"London North Centre (Riding), Ontario, Canada",6.576542996422334
"Milton (Riding), Ontario, Canada",6.946130898811641
"North Okanagan--Shuswap (Riding), British Columbia, Canada",9.187945593204798
"Kelowna--Lake Country (Riding), British Columbia, Canada",9.290548151961312
"Markham--Stouffville (Riding), Ontario, Canada",6.772080213501901
"Spadina--Fort York (Riding), Ontario, Canada",7.154521957295436
"Kamloops--Thompson--Cariboo (Riding), British Columbia, Canada",9.51244872846845
"Essex (Riding), Ontario, Canada",7.951996630042164
"Edmonton West (Riding), Alberta, Canada",8.298479756943443
"Nanaimo--Ladysmith (Riding), British Columbia, Canada",4.782617443847661
"Langley--Aldergrove (Riding), British Columbia, Canada",5.589115186036487
"Mirabel (Riding), Quebec, Canada",7.052216979674259
"Nepean (Riding), Ontario, Canada",6.140117638726203
"Brampton South (Riding), Ontario, Canada",7.185029299848119
"Edmonton Manning (Riding), Alberta, Canada",8.044622361311848
"Coquitlam--Port Coquitlam (Riding), British Columbia, Canada",5.524085366019374
"Brampton East (Riding), Ontario, Canada",7.211968502427428
"Surrey Centre (Riding), British Columbia, Canada",5.522167182857725
"Red Deer--Lacombe (Riding), Alberta, Canada",7.243403515271406
"Carleton (Riding), Ontario, Canada",6.0561272473680665
"Oshawa (Riding), Ontario, Canada",6.215967013362123
"West Vancouver--Sunshine Coast--Sea to Sky Country (Riding), British Columbia, Canada",5.016819395966774
"St. Albert--Edmonton (Riding), Alberta, Canada",8.176067352210989
"Cloverdale--Langley City (Riding), British Columbia, Canada",5.61553459006161
"Windsor West (Riding), Ontario, Canada",8.427597280977219
"Calgary Centre (Riding), Alberta, Canada",9.009507293594453
"Pontiac (Riding), Quebec, Canada",5.460195313204227
"Vaudreuil--Soulanges (Riding), Quebec, Canada",7.013228301108608
"Calgary Midnapore (Riding), Alberta, Canada",8.37270517463867
"Esquimalt--Saanich--Sooke (Riding), British Columbia, Canada",4.93488404768708
"Markham--Unionville (Riding), Ontario, Canada",6.934411556276084
"Wellington--Halton Hills (Riding), Ontario, Canada",6.728897210894411
"Mississauga Centre (Riding), Ontario, Canada",7.080799597591735
"Waterloo (Riding), Ontario, Canada",6.440218993418696
"Newmarket--Aurora (Riding), Ontario, Canada",6.701707506166369
"London--Fanshawe (Riding), Ontario, Canada",6.644229913729279
"Vancouver Centre (Riding), British Columbia, Canada",5.605788548060179
"Ajax (Riding), Ontario, Canada",6.441576559433208
