longname,High school diploma [25-64] %,Bachelor's degree [25-64] %,Graduate degree [25-64] %
"Toronto CMA, ON, Canada",0.9205409939204274,0.46075545448890265,0.1356596497414993
"Montréal CMA, QC, Canada",0.8995716419851735,0.35764694433100863,0.10460822386743356
"Vancouver CMA, BC, Canada",0.9343996618034787,0.4272934254165823,0.11896687938167437
"Ottawa - Gatineau CMA, QC-ON, Canada",0.929539295392954,0.4317955357539527,0.14380279634178053
"Calgary CMA, AB, Canada",0.9255293967699059,0.40804670951609345,0.1046776278654798
"Edmonton CMA, AB, Canada",0.9077729997393795,0.31243158717748165,0.07890930414386224
"Québec CMA, QC, Canada",0.9322822770503281,0.3320728519019838,0.10117226293774484
"Winnipeg CMA, MB, Canada",0.914376260443676,0.3479227888216657,0.07386920195908978
"Hamilton CMA, ON, Canada",0.9120422939330672,0.33601943762743736,0.09031415210676053
"Kitchener - Cambridge - Waterloo CMA, ON, Canada",0.9068862324410066,0.34781115599090784,0.10238589720527869
"London CMA, ON, Canada",0.9114172525786074,0.3145365644741064,0.09177700845854586
"Halifax CMA, NS, Canada",0.9313454704262945,0.3881496335789653,0.10908423964072163
"St. Catharines - Niagara CMA, ON, Canada",0.9159885944780581,0.23304819528479076,0.05236803672021713
"Windsor CMA, ON, Canada",0.892125431911635,0.2625187722163001,0.0705880651371196
"Oshawa CMA, ON, Canada",0.9227237601709171,0.2769216782581026,0.06245738442656474
"Victoria CMA, BC, Canada",0.9393856897154411,0.38407747024314665,0.11652895922651924
"Saskatoon CMA, SK, Canada",0.9285822134984145,0.3459459459459468,0.09370375962554726
"Regina CMA, SK, Canada",0.9257235221674873,0.3364762931034485,0.08078048029556652
"Sherbrooke CMA, QC, Canada",0.8949650033867691,0.29690675095958435,0.09966132309776472
"Kelowna CMA, BC, Canada",0.9309546685300025,0.2677526421521527,0.06891431566075636
"Barrie CMA, ON, Canada",0.906439427216024,0.23341825529298077,0.04454010366335765
"St. John's CMA, NL, Canada",0.9338376289580574,0.3140718695551801,0.09840695233017648
"Abbotsford - Mission CMA, BC, Canada",0.8714810897920132,0.21161303318728908,0.0501082741602458
"Kingston CMA, ON, Canada",0.9404706700672386,0.3227451889635987,0.1188847669835382
"Greater Sudbury / Grand Sudbury CMA, ON, Canada",0.9113521494690214,0.22261343631097738,0.04724856607416664
"Guelph CMA, ON, Canada",0.9218376408971877,0.39183650233405476,0.12182625526585444
"Trois-Rivières CMA, QC, Canada",0.8840061318344408,0.23134900357690352,0.05723045477772105
"Saguenay CMA, QC, Canada",0.8975141015804642,0.20169774088386055,0.047621357152582165
"Moncton CMA, NB, Canada",0.9249741813984568,0.28534110928862155,0.06457687868294767
"Brantford CMA, ON, Canada",0.8874253123302556,0.1960211841390545,0.0362574687669744
"Saint John CMA, NB, Canada",0.9271768375641108,0.2550387380067094,0.05838013793769467
"Peterborough CMA, ON, Canada",0.915926725861931,0.2566994640428767,0.05535557155427573
"Lethbridge CMA, AB, Canada",0.8874347718048539,0.24277313012507257,0.05466743974157192
