longname,2020 Presidential Election,2016 Presidential Election,2016-2020 Swing
"Houston CCD [CCD], Harris County, Texas, USA",0.25227052775373376,0.2597015704073048,-0.0074310426535710294
"Phoenix CCD [CCD], Maricopa County, Arizona, USA",0.09139647925463053,0.03601557733768192,0.05538090191694861
"Chicago city [CCD], Cook County, Illinois, USA",0.6670312888221513,0.7060568177864062,-0.03902552896425482
"Brooklyn borough [CCD], Kings County, New York, USA",0.5457765367968253,0.6178990246555933,-0.07212248785876807
"Los Angeles CCD [CCD], Los Angeles County, California, USA",0.6336566925420916,0.7004974579472941,-0.06684076540520256
"San Diego CCD [CCD], San Diego County, California, USA",0.28983436494846204,0.2747317988924408,0.015102566056021227
"Queens borough [CCD], Queens County, New York, USA",0.45021847239546336,0.5345479851701694,-0.08432951277470607
"Las Vegas CCD [CCD], Clark County, Nevada, USA",0.11919641677604212,0.13456511518002226,-0.015368698403980141
"San Fernando Valley CCD [CCD], Los Angeles County, California, USA",0.3894585542573635,0.45808032952319266,-0.06862177526582919
"San Jose CCD [CCD], Santa Clara County, California, USA",0.4869127124316514,0.5443096508334754,-0.05739693840182397
"Manhattan borough [CCD], New York County, New York, USA",0.7419819299901215,0.7683167257610954,-0.026334795770973973
"Anaheim-Santa Ana-Garden Grove CCD [CCD], Orange County, California, USA",0.13514250293568736,0.16143220093946797,-0.026289698003780615
"Northeast Dallas CCD [CCD], Dallas County, Texas, USA",0.22299050609403573,0.15021489104862848,0.07277561504540725
"Philadelphia city [CCD], Philadelphia County, Pennsylvania, USA",0.6351856051822515,0.6715853516448317,-0.03639974646258015
"Bronx borough [CCD], Bronx County, New York, USA",0.671072809990003,0.7884091906561805,-0.11733638066617758
"Sacramento CCD [CCD], Sacramento County, California, USA",0.3031833646056723,0.29843400420227817,0.004749360403394132
"Seattle CCD [CCD], King County, Washington, USA",0.6897090448829294,0.6753033056289626,0.01440573925396682
"Salt Lake City CCD [CCD], Salt Lake County, Utah, USA",0.14020536876797607,0.10924534171488125,0.03096002705309482
"Southwest Dallas CCD [CCD], Dallas County, Texas, USA",0.48522965391205525,0.460680760762134,0.024548893149921258
"Miami CCD [CCD], Miami-Dade County, Florida, USA",0.27902925902242276,0.4507756365795289,-0.17174637755710614
"East San Gabriel Valley CCD [CCD], Los Angeles County, California, USA",0.29063077223842326,0.3401754786180284,-0.04954470637960512
"Fort Worth CCD [CCD], Tarrant County, Texas, USA",0.08488574930557956,0.03193793740711388,0.05294781189846568
"Austin CCD [CCD], Travis County, Texas, USA",0.5673980414229084,0.5056746331241053,0.06172340829880307
"Tucson CCD [CCD], Pima County, Arizona, USA",0.2040555973339462,0.15047246241072704,0.05358313492321917
"Columbus city [CCD], Franklin County, Ohio, USA",0.4357695995027356,0.3953802552216671,0.040389344281068496
"Township 1, Charlotte [CCD], Mecklenburg County, North Carolina, USA",0.43265353037950327,0.3843802911164135,0.048273239263089796
"Northwest Harris CCD [CCD], Harris County, Texas, USA",-0.10577782324881096,-0.1817134216043304,0.07593559835551944
"San Bernardino CCD [CCD], San Bernardino County, California, USA",0.2843014986868062,0.334093034300399,-0.049791535613592786
"Hempstead town [CCD], Nassau County, New York, USA",0.12593828948364144,0.09745348030967617,0.028484809173965273
"Fresno CCD [CCD], Fresno County, California, USA",0.10585881288685944,0.08219836412382979,0.023660448763029654
"Denver CCD [CCD], Denver County, Colorado, USA",0.6136637977103044,0.5480336564114957,0.06563014129880873
