longname,PW Density (r=250m),PW Density (r=500m),PW Density (r=2km),PW Density (r=4km)
"Historical Congressional District CA-1, 40th-42nd Congress, USA",4904.606264776457,3900.9492360954387,2871.161717996773,2392.6834700786894
"Historical Congressional District CA-1, 39th Congress, USA",4904.727115774409,3901.047319572403,2871.237307425741,2392.7474927940075
"Historical Congressional District CA-4, 48th Congress, USA",4659.690756341043,3666.690136938939,2699.205763733654,2268.970999979438
"Historical Congressional District CA-4, 43rd-47th Congress, USA",4659.690756341043,3666.690136938939,2699.205763733654,2268.970999979438
"Historical Congressional District CA-6, 49th-52nd Congress, USA",4736.1414188495355,3712.9676943795675,2736.105250398662,2309.8362738826527
"Historical Congressional District TX-2, 29th-31st Congress, USA",2831.0234852866597,1802.7568031501498,1205.055237002846,1024.402575380448
"Historical Congressional District TX-2, 32nd-36th Congress, USA",2810.7326614161334,1779.8288876411716,1188.2661281667372,1010.9700941887116
"Historical Congressional District CA-7, 53rd-57th Congress, USA",3773.3214150942736,2765.3287179366926,1934.8597363678543,1598.016697565973
"Historical Congressional District CA-8, 58th-62nd Congress, USA",3870.3733767485214,2832.1578869970494,1971.3709641524147,1615.1160844882763
"Historical Congressional District FL-2, 48th-57th Congress, USA",3582.2163859147145,2225.8490289727633,1516.2692611848627,1284.3991870306324
"Historical Congressional District FL-2, 44th-47th Congress, USA",3612.815099177742,2260.2333415012376,1547.4067951650552,1311.9115104481518
"Historical Congressional District FL-2, 63rd Congress, USA",3702.8278009457963,2322.845724212814,1594.6143781356607,1352.580140806708
"Historical Congressional District FL-2, 58th-62nd Congress, USA",3702.8278009457963,2322.845724212814,1594.6143781356607,1352.580140806708
"Historical Congressional District CA-6, 53rd-57th Congress, USA",5741.296771554323,4732.640218698923,3590.425806824822,3053.9917676186737
"Historical Congressional District FL-4, 69th-72nd Congress, USA",3764.1952293144445,2377.301559632484,1638.91799467004,1391.1328490840601
