longname,Population (2000),Population Change (2000-2020),PW Density (r=1km) (2000),PW Density (r=1km) Change (2000-2020),AW Density (2000),White % (2000),Hispanic % (2000),Black % (2000),Asian % (2000),Native % (2000),Hawaiian / PI % (2000),Other / Mixed % (2000),Racial Homogeneity (2000) %,Racial Homogeneity Change (2000-2020) %,Segregation (2000) %,Segregation Change (2000-2020) %,Mean Local Segregation (2000) %,Mean Local Segregation Change (2000-2020) %,Housing Units per Adult (2000),Vacancy % (2000),PW Density (r=250m) (2000),PW Density (r=250m) Change (2000-2020),PW Density (r=500m) (2000),PW Density (r=500m) Change (2000-2020),PW Density (r=2km) (2000),PW Density (r=2km) Change (2000-2020),PW Density (r=4km) (2000),PW Density (r=4km) Change (2000-2020),geoid
"Los Angeles County, California, USA",9517302.0,0.051744706640600456,4607.083916819872,-0.008477538649583354,897.9696629722505,0.3108108789654883,0.4457173892348903,0.09470908877326789,0.11814692861485325,0.0026899430111600956,0.0024438648684259466,0.025481906531914192,0.5385421905406025,-0.0312164386321514,0.3223777809195905,-0.05214272331023595,0.15481410090286601,-0.03290625224656839,0.47726911716097414,0.04175703496144116,6453.415053233143,-0.036823249701781,5308.900487455267,-0.018962025268553468,4066.328479182585,-0.0029749804363484044,3497.325199225378,0.0076746384896395495,06037
"Cook County, Illinois, USA",5375441.0,-0.018952491525811556,4844.730622975728,-0.030911458580272638,2167.5555421712734,0.47583909859674767,0.19936261973668765,0.25863794244974503,0.04793653209104146,0.0012562690205324548,0.00028704621630113694,0.016680491888944552,0.6772012456682933,-0.10315540476829799,0.5142440927928091,-0.11412153339212927,0.24626816035616717,-0.04402773698716797,0.5263188459282659,0.057385940535322526,7021.699165233736,-0.07446777865199522,5703.638331950977,-0.029954705205893828,4195.215628111175,-0.04346131431006978,3699.571085540755,-0.049813683922778455,17031
"Harris County, Texas, USA",3400617.0,0.3912160646141568,2023.8736593339709,0.050694513336787435,741.3582850969973,0.42117886254170933,0.32928583254156524,0.18223251839298574,0.05088076663734846,0.0020887386024359697,0.00040933748199223845,0.013923943801962995,0.5690666933091874,-0.0952225366311002,0.3645442122934932,-0.11934643261516736,0.1836512122875105,-0.05033196455058636,0.5370110150820492,0.07084533768650102,4106.144057549874,-0.05423244712094785,2583.0613371898057,0.014794076076865054,1673.410423600176,0.09985876028231273,1444.884753026845,0.13660774870323403,48201
"Maricopa County, Arizona, USA",3072149.0,0.43891881546109907,1946.2088409557969,-0.004913987307370817,128.57843982745527,0.6622497802027181,0.24847134693011308,0.035324133041724215,0.021015256746987208,0.014876557094073237,0.0012125062944538171,0.016850419689930403,0.6450061522199212,-0.12923345233182826,0.28647762571477586,-0.07373223855028765,0.08837429704992876,-0.016409290726494455,0.5565315269149155,0.09292054529528287,3116.5490827918543,-0.05202720051333029,2293.2396790450675,-0.008541869610282684,1695.56160225415,-0.008929372670542318,1497.1774757687122,-0.014526052666862278,04013
"San Diego County, California, USA",2813104.0,0.17235836286180675,2611.937817831727,0.02939833002125491,255.11556339127853,0.5503518533264323,0.26693431881651014,0.054914073564290546,0.08719514102571395,0.0054203470614666216,0.004322982726554013,0.030861283479032414,0.5373566645295693,-0.07994727501597038,0.24697398372629295,-0.04592476978032686,0.10238485553701651,-0.019783938982433427,0.49735893628089795,0.04320694821459329,5310.633818615707,-0.11205641374565772,3307.8002683846335,-0.022076758352145932,2145.601367113509,0.04608534113444559,1704.522552385309,0.06967159182144142,06073
"Orange County, California, USA",2844674.0,0.1200872226483597,3295.278421461615,-0.018381563593842565,1375.8058172413487,0.5123898204152743,0.307753718000727,0.014986954568432095,0.1349019254930442,0.0029574566365073818,0.0028425049759656113,0.024167619910049447,0.5560137818377848,-0.08469285333777499,0.2882276504760105,-0.05221278215974348,0.14537554919591167,-0.01872323398080969,0.4654150050108524,0.03300183872413033,5075.797830616562,-0.04775575799043354,3858.492951063432,-0.033324556430863815,2891.5436512164706,-0.00885338597677937,2565.121225049473,0.0060509518557327795,06059
"Kings County, New York, USA",2465322.0,0.10982419335080773,17145.692231893634,0.10802939922093627,12000.208406574233,0.34662084709421326,0.19789463607593652,0.3442077748870127,0.07475331822780149,0.0018228856108857179,0.00032571810092150234,0.034374820003228786,0.5795793998625487,-0.1153292290584596,0.41234765421136504,-0.12968386656049885,0.2811737790260339,-0.07801032823619874,0.5163080165850817,0.05380994893711197,20871.143441633514,0.07431437824648637,19186.99517055558,0.08829319945178138,15310.337692101131,0.11586975143346277,13696.232872063712,0.10454556670342909,36047
"Miami-Dade County, Florida, USA",2252700.0,0.19902827717849692,3203.20916794647,0.1016516388035121,430.8748418196377,0.2065450348470724,0.573348426332845,0.18960625027744485,0.01355440138500466,0.0008833843831846229,0.00023260975718027255,0.015829893017268167,0.6228402985601693,0.020744103808666092,0.3630057410091073,-0.09155491580359393,0.17122005631369475,-0.07609697116616111,0.5026356113100704,0.08789388544355176,5578.300168865392,0.012058009189423837,3844.4236802886817,0.10389307556790194,2690.670667139263,0.0865110784665651,2213.2951194981492,0.08402606636654775,12086
"Dallas County, Texas, USA",2218953.0,0.17782530770142496,2191.5653441572686,-0.013567665940045616,942.993486531315,0.4431689179536475,0.2986687865853851,0.2008663545374778,0.03943075856045621,0.0036530742201389575,0.00041731393139016464,0.013794794211504254,0.5668333831841781,-0.06820260353572233,0.35577940654578816,-0.06510906694560209,0.1934759118847866,-0.031906988242747764,0.5336504354946074,0.054053104393351994,4284.483136103067,-0.15991843136772893,2784.6946918864714,-0.05742133044069711,1766.8421142213583,0.03326133015732239,1477.0488209533269,0.06834752064436599,48113
"Riverside County, California, USA",1545387.0,0.5647763311067066,1447.3678498621318,0.20432596184594762,81.70712798417458,0.5104423681576201,0.36209376680404326,0.05979278976722335,0.035718561111229744,0.006558227809603678,0.002125034052958903,0.023269252297320995,0.5372643114591117,-0.05902979220042859,0.23255573193259468,-0.052331390355308954,0.0970723345739184,-0.016342782838393827,0.5418734721778478,0.1323459591761179,2972.363708053468,0.019873588531738724,1885.897557186863,0.13202064783493228,1116.9595164146986,0.25400439210512643,834.0347516687539,0.3041899082656913,06065
"Queens County, New York, USA",2229272.0,0.07904105017243297,13600.986753975252,0.030957121263766683,6991.595071974407,0.3287221119719801,0.2496765760302018,0.18967223380547552,0.17462561769043886,0.002814820264193871,0.0003862247406328165,0.054102415497077075,0.46839455996265317,-0.03691060115075878,0.30067305913053965,-0.041179707477353056,0.2525216616009919,-0.048981482601573645,0.4750139237871771,0.04214250833169127,18529.661650584967,0.0034482218025721953,15822.046007931707,0.021792487945113785,11226.72552938398,0.054252428040781404,9493.275565757245,0.0791416625082234,36081
"King County, Washington, USA",1737093.0,0.3065322351768155,1977.647620787732,0.38023788650680157,306.0189722916196,0.7340672030800884,0.05483068551885247,0.05285381957097288,0.10743984346261254,0.008219479325516825,0.005029667381078618,0.03755930166087826,0.6175852329431717,-0.18527425825165045,0.13555997966354574,-0.014528154108097116,0.051111892637002936,0.009098658367446645,0.5511273286874087,0.041939505016542124,3481.9860942538735,0.21636947190283584,2401.34793853883,0.35894618899891717,1653.3247472012017,0.3718971583396198,1325.824747931748,0.3254390732719597,53033
