longname,Within 10km of Hospital %,Mean distance to nearest Hospital
"NJ-01, USA",0.9993262014346727,1.0
"MD-03, USA",0.9292980862552204,1.0
"MD-08, USA",0.997011122099421,1.0
"MD-02, USA",0.8602540387544007,1.0
"MD-04, USA",0.9984258549113197,1.0
"WA-08, USA",0.625461942437913,1.0
"WA-07, USA",0.9947262633126446,1.0
"WA-10, USA",0.8874069358003196,1.0
"MO-07, USA",0.6527110019301632,1.0
"MO-04, USA",0.5354331629761725,1.0
"MO-06, USA",0.6256674344003619,1.0
"MO-01, USA",1.0,1.0
"MO-03, USA",0.6885570419203394,1.0
"MO-02, USA",0.8223051767433881,1.0
"MO-08, USA",0.5238508690294841,1.0
"MO-05, USA",0.9975707207511659,1.0
"CA-25, USA",0.7837371321617969,1.0
"WA-03, USA",0.6920076224347076,1.0
"FL-01, USA",0.7792649966654577,1.0
"FL-02, USA",0.595939268428709,1.0
"FL-07, USA",0.9337992592505925,1.0
"FL-04, USA",0.7814724246997937,1.0
"FL-06, USA",0.6654030506187428,1.0
"FL-03, USA",0.624564331967016,1.0
"FL-05, USA",0.8414941869761746,1.0
"FL-26, USA",0.9076377269991329,1.0
"FL-08, USA",0.8490264826363295,1.0
"FL-16, USA",0.8649620850184797,1.0
"FL-28, USA",0.952973202759675,1.0
"FL-17, USA",0.8230326525146869,1.0
"FL-19, USA",0.8238685631307517,1.0
"FL-25, USA",1.0,1.0
"FL-24, USA",1.0,1.0
"FL-21, USA",0.9038598790204636,1.0
"FL-18, USA",0.7451148629587596,1.0
"FL-09, USA",0.9528536012407357,1.0
"FL-20, USA",0.992492404653539,1.0
"FL-23, USA",1.0,1.0
"FL-15, USA",0.9428642743762846,1.0
"FL-14, USA",0.994705032753916,1.0
"FL-10, USA",0.9838589950092366,1.0
"FL-11, USA",0.7505164315586808,1.0
"FL-27, USA",1.0,1.0
"FL-12, USA",0.8114417053096574,1.0
"FL-13, USA",0.9999154989268364,1.0
"FL-22, USA",1.0,1.0
"WA-02, USA",0.7223135982733176,1.0
"WA-09, USA",1.0,1.0
"WA-04, USA",0.7987277386790858,1.0
"CA-13, USA",0.6275922048974575,1.0
"TN-04, USA",0.6967111706117687,1.0
"TN-07, USA",0.599342858370742,1.0
"TN-02, USA",0.7759597640749553,1.0
"TN-03, USA",0.6944291423950116,1.0
"TN-01, USA",0.6506900247567625,1.0
"TN-06, USA",0.7495100088426311,1.0
"TN-09, USA",0.9488156213739026,1.0
"TN-08, USA",0.6396178524778251,1.0
"TN-05, USA",0.6930552137012597,1.0
"MD-07, USA",0.9891964386957525,1.0
"TX-20, USA",1.0,1.0
"TX-03, USA",0.8032795862250599,1.0
"TX-25, USA",0.7801227400203654,1.0
"TX-21, USA",0.7106013530868189,1.0
"TX-31, USA",0.7466045708727788,1.0
"TX-29, USA",0.9792095563549317,1.0
"TX-30, USA",0.939975514578474,1.0
"TX-01, USA",0.645351224988168,1.0
"TX-36, USA",0.7711121570509017,1.0
"TX-34, USA",0.7900877068320584,1.0
"TX-26, USA",0.846927001370297,1.0
"TX-35, USA",0.9296141916355818,1.0
"TX-13, USA",0.7498406100755293,1.0
"TX-27, USA",0.6790349771247752,1.0
"TX-28, USA",0.7815008598581201,1.0
"TX-04, USA",0.7688096408413702,1.0
"TX-02, USA",0.8151741815702221,1.0
"TX-37, USA",0.9953636763074211,1.0
"TX-18, USA",0.9998174675711583,1.0
"TX-09, USA",0.970138998444563,1.0
"TX-10, USA",0.6597204385471983,1.0
"TX-11, USA",0.8105574149235906,1.0
"TX-14, USA",0.806520840640063,1.0
"TX-32, USA",0.9999817467571158,1.0
"TX-15, USA",0.697413385103007,1.0
"TX-08, USA",0.6820102557148948,1.0
"TX-07, USA",1.0,1.0
"TX-06, USA",0.7288376465311668,1.0
"TX-17, USA",0.6649760686947758,1.0
"TX-24, USA",1.0,1.0
"TX-19, USA",0.8023199871705778,1.0
"TX-23, USA",0.6510670976170392,1.0
"TX-12, USA",0.8562491932718547,1.0
"TX-33, USA",1.0,1.0
"TX-38, USA",0.9927169560892166,1.0
"TX-05, USA",0.6539080844916537,1.0
"TX-22, USA",0.7970239391280426,1.0
"TX-16, USA",0.8947660061591737,1.0
"CA-02, USA",0.853721507878674,1.0
"GA-09, USA",0.5464590001529138,1.0
"GA-05, USA",1.0,1.0
"GA-07, USA",0.9176173678700678,1.0
"CA-04, USA",0.8437848385321844,1.0
"GA-02, USA",0.7704071297035694,1.0
"GA-01, USA",0.6621441650318832,1.0
"GA-11, USA",0.7089593105548418,1.0
"GA-13, USA",0.8300160624829279,1.0
"GA-06, USA",0.7117558185734301,1.0
"GA-08, USA",0.683644476276113,1.0
"GA-03, USA",0.6365848685723845,1.0
"GA-12, USA",0.6856153677254763,1.0
"GA-14, USA",0.7102746574133977,1.0
"GA-10, USA",0.49686525907192847,1.0
"GA-04, USA",0.9458932083880622,1.0
"CA-05, USA",0.7383890406661351,1.0
"PA-14, USA",0.6900345942949484,1.0
"PA-05, USA",0.9981316988858179,1.0
"PA-08, USA",0.7047038304748806,1.0
"PA-01, USA",0.9196264443706479,1.0
"PA-16, USA",0.6654742993861662,1.0
"PA-04, USA",0.8571970216966392,1.0
"PA-02, USA",1.0,1.0
"PA-07, USA",0.8836565929935348,1.0
"PA-10, USA",0.8445697535771065,1.0
"PA-09, USA",0.6420540122165509,1.0
"PA-03, USA",1.0,1.0
"PA-06, USA",0.8721995021337127,1.0
"PA-17, USA",0.962840452681784,1.0
"PA-11, USA",0.6313253075056481,1.0
"PA-15, USA",0.5482007258806795,1.0
"PA-13, USA",0.5875436678939001,1.0
"PA-12, USA",0.9773371475190361,1.0
"CA-24, USA",0.8743306452351094,1.0
"CA-03, USA",0.7464080666466134,1.0
"CA-01, USA",0.6861811352144582,1.0
"CA-18, USA",0.832113575660562,1.0
"CA-23, USA",0.6549572243159231,1.0
"CA-20, USA",0.8309307743306595,1.0
