longname,PW Mean % of parkland within 1km,Within 10km of Hospital %,Mean distance to nearest Hospital,Within 2km of Public School %,Mean distance to nearest Public School,Within 30km of Airport %,Mean distance to nearest Airport,Within 10km of Active Superfund Site %,Mean distance to nearest Active Superfund Site,Within 0.5mi of a grocery store %,Within 1mi of a grocery store %,Within 10mi of a grocery store %,Within 20mi of a grocery store %
"LaCrosse Neighborhood, Renton City, Washington, USA",0.03215398094855152,1.0,8.747431463156312,1.0,0.721753691792978,1.0,8.320825219462911,1.0,1.0974672836320765,0.0867231683901788,0.585144660497041,1.0,1.0
"Maywood Neighborhood, Indianapolis City, Indiana, USA",0.011801538101471973,1.0,5.937549786566995,1.0,1.3292593141595654,1.0,7.1367747660065985,1.0,1.4187509528091211,0.03930734463923802,0.538987884801094,1.0,1.0
"Ridgeway Towers Neighborhood, Waterloo City, Iowa, USA",0.02181931905592269,1.0,1.314533181292517,1.0,0.45482402188833315,1.0,10.470005599268786,0.0,69.96868756318091,0.520242856281075,1.0,1.0,1.0
"Tanners Creek East Neighborhood, Norfolk City, Virginia, USA",0.0,1.0,4.388066456048778,1.0,0.3723583185945027,1.0,3.1118728854047495,1.0,7.074380421127797,0.39422755557448297,1.0,1.0,1.0
"West Downtown Neighborhood, Danville City, Illinois, USA",0.07995806074129318,1.0,1.372712946809209,1.0,0.8907920396074857,0.0,55.58216534459955,1.0,6.0948321939820955,0.6310992665605342,0.9949694173328117,1.0,1.0
"Breckingridge Neighborhood, Winston-Salem City, North Carolina, USA",0.0,1.0,3.695748825468801,0.0,2.313371740456368,0.0,38.012918516656924,0.0,29.745348989958803,0.311365114889537,0.711093069426489,1.0,1.0
"Brookhollow Neighborhood, Jackson City, Mississippi, USA",0.0,1.0,5.898904690927573,1.0,0.6413283667901412,1.0,22.71029448748548,0.0,16.340706978211667,0.0,0.0,1.0,1.0
"Downtown Neighborhood, Chico City, California, USA",0.045200751269894666,1.0,1.953698527581783,1.0,0.4398862300683914,0.0,95.15053609352458,0.0,36.89790104583309,0.784125527705694,1.0,1.0,1.0
"Emerald Beach Neighborhood, Golden City, Missouri, USA",0.0,0.0,20.589097322129522,0.0,7.171479760568609,0.0,57.84299212695035,0.0,44.53370155957317,0.0,0.019311374246290813,1.0,1.0
"Forest Hills Neighborhood, Greenville City, North Carolina, USA",0.005398576158162772,1.0,4.066108065135361,1.0,0.3516011452673596,0.0,64.69703592100528,0.0,26.35991461280849,0.25574543449468423,1.0,1.0,1.0
"Industrial Neighborhood, Philadelphia City, Pennsylvania, USA",0.027441876649621607,1.0,3.4380062236456124,1.0,0.57413797446294,1.0,5.764998628011392,1.0,5.638649498154639,0.7914331595098545,0.9810909743238797,1.0,1.0
"Kristin Manor Neighborhood, Gilbert City, Arizona, USA",0.02348667630854594,1.0,1.7302403875809165,1.0,0.9973581176339553,1.0,8.894622640531509,1.0,9.16008874891309,0.11337238123145998,0.673422965544537,1.0,1.0
"Lido Shores Neighborhood, Sarasota City, Florida, USA",0.00773323759460675,1.0,5.070343616388483,0.0,4.461420453476668,1.0,8.174027476724289,0.0,40.506568462872195,0.39904222755072905,0.739669438954179,1.0,1.0
"Peahala Park Neighborhood, Long Beach Township City, New Jersey, USA",0.0,0.0,14.521851460596782,0.0,4.47970315466198,0.0,35.32668396497777,0.0,30.701266211410218,0.20527970593477862,0.567187126813836,1.0,1.0
"Suburban Ranchettes Neighborhood, Gilbert City, Arizona, USA",0.16739664376912453,1.0,2.4814056046149275,1.0,1.213735508921174,1.0,8.727832641366655,1.0,9.007704230704295,0.25934822968577886,0.804638938201205,1.0,1.0
"Sun North Estates Neighborhood, Albuquerque City, New Mexico, USA",0.01575280162801295,1.0,2.2330388893456306,1.0,0.5106838933515608,1.0,15.678560008363487,0.0,11.447418242070865,0.3047103574102381,0.721082286008156,1.0,1.0
"Tanner Neighborhood, North Bend City, Washington, USA",0.04062909092661773,1.0,6.844925972256674,1.0,0.9248105186290005,0.0,41.68062222397266,0.0,21.989434764167378,0.41766628258031,0.696565658521775,1.0,1.0
"Thistle Down Farms Neighborhood, Pittsfield Township City, Michigan, USA",0.0,1.0,4.480430349020316,1.0,1.7519565415439358,0.0,31.915936652383028,0.0,31.31278735035893,0.054173819941666035,0.210335251376514,1.0,1.0
"Twin Gardens Neighborhood, Winston-Salem City, North Carolina, USA",0.0,1.0,2.786138376818224,1.0,1.254841499276038,0.0,30.72905027242587,0.0,37.68498861560823,,,,
"Westview Meadows Condominum Neighborhood, Madison City, Wisconsin, USA",0.02162722144651901,1.0,4.882561744482261,1.0,1.6445101647364035,1.0,17.19499300281602,1.0,5.762840472940101,0.603970953622344,0.9971572483242367,1.0,1.0
"Casselwood Terrace Neighborhood, Fort Wayne City, Indiana, USA",0.0,1.0,5.773310561371356,1.0,1.211598683347645,1.0,10.129350141073461,1.0,5.746537335403065,0.47281242320927896,1.0,1.0,1.0
"Fort Valley Neighborhood, Atlanta City, Georgia, USA",0.0,1.0,3.1694971420082423,1.0,1.4305975349701383,1.0,7.407536958880276,0.0,83.72796971858192,0.6602122137780231,0.9075577698203126,1.0,1.0
"Madera de la Mesa Neighborhood, Mesa City, Arizona, USA",0.023598519603425867,1.0,6.204631786141466,1.0,0.690425943299475,1.0,20.448723426134215,0.0,12.576315404068643,0.37677866158474094,0.9714724376366239,1.0,1.0
"Glenwood Heights Neighborhood, West Lafayette City, Indiana, USA",0.02109631926962289,1.0,0.7902042007153742,1.0,0.8627479612499989,0.0,96.9225152610481,1.0,2.4352839402827184,0.434960165674273,0.93467876332493,1.0,1.0
"Happy Hill Neighborhood, Mobile City, Alabama, USA",0.0012236753717337753,1.0,3.4373899190519874,1.0,1.0004773262676994,1.0,17.179324682044303,1.0,9.016402800834442,0.17880552247619486,0.6508149081439071,1.0,1.0
"Healy Heights Neighborhood, Portland City, Oregon, USA",0.022866008041698086,1.0,1.3060579067154638,1.0,1.0530322603782711,1.0,13.350844510166462,0.14883720930232558,10.238471334103354,0.13538768685038394,0.6326537263040319,1.0,1.0
"Jeffersonville Neighborhood, Chattanooga City, Tennessee, USA",0.058051316845188314,1.0,2.026672993729951,1.0,1.2300426517092524,1.0,8.169931446331116,1.0,4.008399175449982,0.41053434596410865,0.8579080198571779,1.0,1.0
"Lebanon Hills Neighborhood, Apple Valley City, Minnesota, USA",0.6083366411269217,1.0,8.093496444644995,0.9023255813953488,1.2185695954994265,1.0,12.824645669946523,0.9023255813953488,9.686512205600748,0.009968001136634985,0.142129881476999,1.0,1.0
"Newtowne West Neighborhood, Richmond City, Virginia, USA",0.0031744260084064133,1.0,1.4083696260300744,1.0,0.2532139018738128,1.0,13.400622136032334,1.0,9.561054239322747,0.9758099509966679,1.0,1.0,1.0
"Old Historic Downtown Neighborhood, Stuart City, Florida, USA",0.052752206945951216,1.0,0.4157826555817048,1.0,0.3639970630373475,0.0,59.157837593181654,1.0,8.223205200085319,0.004410070343070838,0.7219615506143859,1.0,1.0
"Pinecrest Neighborhood, Charlotte City, North Carolina, USA",0.030819947246714354,1.0,6.053444776825229,1.0,1.1475190778836892,1.0,3.5528069844591,0.0,14.155901714566903,0.29225521217946815,0.9885186391430727,1.0,1.0
"Reynolda Neighborhood, Winston-Salem City, North Carolina, USA",0.002237254014380845,1.0,3.7262492890176233,1.0,0.7608051617569519,0.0,31.50538290478667,0.0,35.187892830688206,0.24545524326090984,0.752347305882631,1.0,1.0
"Saguaro Shadows Neighborhood, Mesa City, Arizona, USA",0.0,1.0,5.409535894647094,1.0,0.22998243327817394,1.0,14.792794737878358,0.0,14.83600765500469,0.15061774781471593,0.536544894630776,1.0,1.0
"Sang Valley Neighborhood, Fayetteville City, Arkansas, USA",0.012854385115319597,1.0,2.736439583217323,1.0,0.769345991490144,1.0,25.201924319573482,0.0,82.82099539042663,0.24828036298635003,0.9558838670659716,1.0,1.0
"Stronghurst Neighborhood, Albuquerque City, New Mexico, USA",0.011861827840376631,1.0,2.9731375838554515,1.0,0.6335765987008883,1.0,8.83123089462606,1.0,3.3211540000354223,0.21972088815818003,0.762068385007376,1.0,1.0
"Tuscany at Lake Mary Neighborhood, Lake Mary City, Florida, USA",0.02063247509970103,1.0,5.49914318325647,1.0,1.246900790937361,1.0,8.827346117554026,1.0,6.775394862444589,0.31051917803422,0.784250380187813,1.0,1.0
