longname,No internet access %,Uninsured %,Public Insurance %,Private Insurance %,geoid
"Los Angeles County, California, USA",0.0867319276543245,0.12101319194051348,0.23868672539488783,0.6403000826645987,06037
"Cook County, Illinois, USA",0.10583723778882828,0.12159087377525024,0.17167884780142664,0.7067302784233231,17031
"Harris County, Texas, USA",0.09591335143230464,0.2666074778927003,0.10208707551261835,0.6313054465946815,48201
"Maricopa County, Arizona, USA",0.07431542792303052,0.13862385677273875,0.16197115403199155,0.6994049891952696,04013
"San Diego County, California, USA",0.052617896664509466,0.10093243187118749,0.17998097565834545,0.7190865924704671,06073
"Orange County, California, USA",0.05288217379892183,0.09488191837763914,0.1688805912714585,0.7362374903509024,06059
"Kings County, New York, USA",0.13070445067951897,0.08791433653186725,0.3031346004806174,0.6089510629875153,36047
"Miami-Dade County, Florida, USA",0.13132333473611107,0.21108030298205027,0.12175943431677048,0.6671602627011792,12086
"Dallas County, Texas, USA",0.10587764480289305,0.2657376972896608,0.09548466010006373,0.6387776426102755,48113
"Riverside County, California, USA",0.0699103045755204,0.11411588779941566,0.2535445060497635,0.6323396061508207,06065
"Queens County, New York, USA",0.10297890975719834,0.11830474223969945,0.2641235223640903,0.6175717353962101,36081
"King County, Washington, USA",0.044173501151286015,0.06937455717014773,0.12675040639601667,0.8038750364338356,53033
"Clark County, Nevada, USA",0.09479830109605557,0.15443733479198776,0.1767732056145632,0.668789459593449,32003
"San Bernardino County, California, USA",0.07352898305006722,0.11193604674513807,0.27095714185835607,0.6171068113965058,06071
"Tarrant County, Texas, USA",0.06808154592297447,0.21244521796835356,0.08450910844883679,0.7030456735828097,48439
"Bexar County, Texas, USA",0.09976484541058006,0.21099193946984193,0.12448192186767948,0.6645261386624787,48029
"Broward County, Florida, USA",0.08312900019659578,0.18598062323848571,0.10471184846029404,0.7093075283012203,12011
"Santa Clara County, California, USA",0.04272692875717844,0.05358197110465886,0.13204476206431492,0.8143732668310262,06085
"Wayne County, Michigan, USA",0.13028893134781122,0.08014587352803444,0.3199008562179757,0.5999532702539898,26163
"New York County, New York, USA",0.08748417975190731,0.058219352149678445,0.19576635549637056,0.746014292353951,36061
"Alameda County, California, USA",0.06116378464702501,0.0537073543713156,0.17139285135558158,0.7748997942731028,06001
"Middlesex County, Massachusetts, USA",0.05958820184676477,0.03284015187199097,0.15206648593690852,0.8150933621911005,25017
"Philadelphia County, Pennsylvania, USA",0.13480066996466925,0.09249830928474909,0.28946669446959383,0.618034996245657,42101
"Sacramento County, California, USA",0.0626274515415823,0.0729325293693702,0.2512572691300477,0.675810201500582,06067
"Suffolk County, New York, USA",0.07428805902117092,0.054629803367376537,0.1539456772757484,0.7914245193568751,36103
"Palm Beach County, Florida, USA",0.08745368848721163,0.19643634460785964,0.10878167487867123,0.6947819805134691,12099
"Bronx County, New York, USA",0.1461851839747377,0.10439431720234447,0.42016504757320533,0.47544063522445024,36005
"Hillsborough County, Florida, USA",0.06869327272737796,0.16462565260175419,0.13523833389512324,0.7001360135031226,12057
"Orange County, Florida, USA",0.07097321225688628,0.16887534615421484,0.12000438648324244,0.7111202673625427,12095
"Nassau County, New York, USA",0.06308019866004642,0.05412863743538453,0.13624473320919148,0.8096266293554241,36059
"Franklin County, Ohio, USA",0.07217343220835991,0.10049694176234268,0.17559658074225473,0.7239064774954026,39049
"Travis County, Texas, USA",0.05663452133007416,0.14970916708084556,0.0723360362752509,0.7779547966439037,48453
"Hennepin County, Minnesota, USA",0.06383230696352424,0.06146606352322191,0.1491753860492285,0.7893585504275495,27053
"Oakland County, Michigan, USA",0.06412461351324847,0.05425645709596805,0.1342448323694904,0.8114987105345416,26125
"Cuyahoga County, Ohio, USA",0.13499159640226532,0.07497214160260388,0.2467762989768971,0.6782515594204991,39035
"Allegheny County, Pennsylvania, USA",0.10423322905259344,0.05228244814385996,0.161403541430624,0.786314010425516,42003
"Salt Lake County, Utah, USA",0.046768639384960314,0.1179912237932721,0.07822590969386808,0.8037828665128598,49035
