longname,White %,White % (2010),White % (2000),Hispanic %,Hispanic % (2010),Hispanic % (2000),Black %,Black % (2010),Black % (2000),Asian %,Asian % (2010),Asian % (2000),Native %,Native % (2010),Native % (2000),Hawaiian / PI %,Hawaiian / PI % (2010),Hawaiian / PI % (2000),Other / Mixed %,Other / Mixed % (2010),Other / Mixed % (2000),Racial Homogeneity (2000) %,Racial Homogeneity Change (2000-2020) %,Racial Homogeneity (2010) %,Racial Homogeneity Change (2010-2020) %,Racial Homogeneity %,Segregation (2000) %,Segregation Change (2000-2020) %,Segregation (2010) %,Segregation Change (2010-2020) %,Segregation %,Mean Local Segregation (2000) %,Mean Local Segregation Change (2000-2020) %,Mean Local Segregation (2010) %,Mean Local Segregation Change (2010-2020) %,Mean Local Segregation %,geoid
"Los Angeles County, California, USA",0.25583829481830356,0.2777912524561294,0.3108108789654883,0.47994609667432986,0.4775182094064166,0.4457173892348903,0.07596666537459594,0.08301796304221135,0.09470908877326789,0.1472426145170939,0.13502714284651962,0.11814692861485325,0.001841600388100748,0.001923036372361695,0.0026899430111600956,0.0020479986956745866,0.0022881260194929755,0.0024438648684259466,0.03711672953190143,0.022434269856868354,0.025481906531914192,0.5385421905406025,-0.0312164386321514,0.5395042102956247,-0.03217845838717359,0.5073257519084511,0.3223777809195905,-0.05214272331023595,0.3116293718589373,-0.04139431424958273,0.27023505760935457,0.15481410090286601,-0.03290625224656839,0.14496445243892064,-0.023056603782623017,0.12190784865629763,06037
"Cook County, Illinois, USA",0.4046844609612135,0.43855699643431123,0.47583909859674767,0.26217796203439686,0.2396566818781412,0.19936261973668765,0.22478464749544094,0.2436991050831715,0.25863794244974503,0.07741786719908343,0.061357996190360295,0.04793653209104146,0.0010721404105725105,0.001286566890022021,0.0012562690205324548,0.00018222973727629688,0.00020082150049281173,0.00028704621630113694,0.029680692162016457,0.01524183202350093,0.016680491888944552,0.6772012456682933,-0.10315540476829799,0.6337239427028267,-0.059678101802831396,0.5740458408999953,0.5142440927928091,-0.11412153339212927,0.4667347714131363,-0.06661221201245643,0.40012255940067987,0.24626816035616717,-0.04402773698716797,0.23244236256288148,-0.030201939193882282,0.2022404233689992,17031
"Harris County, Texas, USA",0.2767903059674787,0.32978794890208984,0.42117886254170933,0.4300737709821173,0.40844412048801,0.32928583254156524,0.1871729677046658,0.18430444107293004,0.18223251839298574,0.07287117102054473,0.061052077028543,0.05088076663734846,0.001782289679988958,0.001991468694722999,0.0020887386024359697,0.0006761793982785432,0.000552235490806623,0.00040933748199223845,0.030633315246925964,0.013867708322897469,0.013923943801962995,0.5690666933091874,-0.0952225366311002,0.5269456102264467,-0.053101453548359545,0.47384415667808716,0.3645442122934932,-0.11934643261516736,0.31084444423006014,-0.06564666455173429,0.24519777967832584,0.1836512122875105,-0.05033196455058636,0.16506212555285765,-0.03174287781593352,0.13331924773692413,48201
"Maricopa County, Arizona, USA",0.5333188706531936,0.5868447312461211,0.6622497802027181,0.30571036831650555,0.2957051093796706,0.24847134693011308,0.05547674475684487,0.04649844372074526,0.035324133041724215,0.044770214178116725,0.033612016608346035,0.021015256746987208,0.015462475113520351,0.015522709940512696,0.014876557094073237,0.002166913655763631,0.0017612769008652342,0.0012125062944538171,0.04309441332605524,0.020055712203739105,0.016850419689930403,0.6450061522199212,-0.12923345233182826,0.583023404981834,-0.06725070509374109,0.5157726998880929,0.28647762571477586,-0.07373223855028765,0.26113684562730805,-0.048391458462819836,0.2127453871644882,0.08837429704992876,-0.016409290726494455,0.08404699306095079,-0.012081986737516481,0.0719650063234343,04013
"San Diego County, California, USA",0.4310726672136705,0.48454455415149916,0.5503518533264323,0.33946923649303845,0.3203248879905513,0.26693431881651014,0.04396770615585485,0.04736630361548566,0.054914073564290546,0.12146365365804257,0.10600448199366316,0.08719514102571395,0.003891792698893803,0.004554054556235772,0.0054203470614666216,0.0039387913641317105,0.004363723318484912,0.004322982726554013,0.056196152416368154,0.03284199437408005,0.030861283479032414,0.5373566645295693,-0.07994727501597038,0.5060076325120363,-0.048598242998437347,0.45740938951359894,0.24697398372629295,-0.04592476978032686,0.2377136673190915,-0.036664453373125405,0.2010492139459661,0.10238485553701651,-0.019783938982433427,0.09688787456697195,-0.01428695801238887,0.08260091655458308,06073
"Orange County, California, USA",0.37601901651548214,0.44123438396100967,0.5123898204152743,0.341073595785434,0.33657112022132096,0.307753718000727,0.01547226031083868,0.014619383658640482,0.014986954568432095,0.2194023569155659,0.17691554197515522,0.1349019254930442,0.0016627524924810507,0.002065081809137929,0.0029574566365073818,0.0024206889344104087,0.0027764800639029016,0.0028425049759656113,0.043949329045787834,0.025818008310832856,0.024167619910049447,0.5560137818377848,-0.08469285333777499,0.5195708084801357,-0.048249879980125865,0.47132092850000984,0.2882276504760105,-0.05221278215974348,0.271914773704503,-0.03589990538823598,0.23601486831626703,0.14537554919591167,-0.01872323398080969,0.14124862045482198,-0.014596305239719998,0.12665231521510198,06059
"Kings County, New York, USA",0.35394766369623043,0.3566518944384557,0.34662084709421326,0.18874708798080753,0.19814149399129635,0.19789463607593652,0.2666945411564161,0.31902662993572084,0.3442077748870127,0.13551387864509512,0.10385635006188366,0.07475331822780149,0.001448791224213965,0.0018517187687148162,0.0018228856108857179,0.0002624198029731652,0.0002527248772308061,0.00032571810092150234,0.05338561749426368,0.02021918792669781,0.034374820003228786,0.5795793998625487,-0.1153292290584596,0.5564149302253594,-0.09216475942127028,0.4642501708040891,0.41234765421136504,-0.12968386656049885,0.3844543911482973,-0.10179060349743113,0.2826637876508662,0.2811737790260339,-0.07801032823619874,0.26348643371400143,-0.06032298292416627,0.20316345078983516,36047
"Miami-Dade County, Florida, USA",0.13368759049718054,0.15349313169421414,0.2065450348470724,0.6873846513819991,0.6505726392853308,0.573348426332845,0.14022356482717283,0.17054409546872923,0.18960625027744485,0.015426957876767228,0.014358453280936224,0.01355440138500466,0.000588289521375198,0.0008069518056648498,0.0008833843831846229,0.0001425371087032418,0.00018751412365995517,0.00023260975718027255,0.022546408786801878,0.01003721434146482,0.015829893017268167,0.6228402985601693,0.020744103808666092,0.6553586757168708,-0.01177427334803538,0.6435844023688354,0.3630057410091073,-0.09155491580359393,0.34191671846475463,-0.07046589325924124,0.2714508252055134,0.17122005631369475,-0.07609697116616111,0.13518316654560508,-0.04006008139807145,0.09512308514753363,12086
"Dallas County, Texas, USA",0.2773966640635552,0.3313743961362856,0.4431689179536475,0.40475194745515564,0.3825340720376001,0.2986687865853851,0.2160828669478435,0.2190419167239161,0.2008663545374778,0.06937489740922174,0.04974515378388889,0.03943075856045621,0.0025800265463802145,0.003095058842008858,0.0036530742201389575,0.00044958196529686377,0.00036904248675521717,0.00041731393139016464,0.02936401561254682,0.013840359989545204,0.013794794211504254,0.5668333831841781,-0.06820260353572233,0.5345151986101782,-0.0358844189617224,0.49863077964845576,0.35577940654578816,-0.06510906694560209,0.3284741440402231,-0.03780380444003706,0.29067033960018607,0.1934759118847866,-0.031906988242747764,0.183605865370486,-0.022036941728447168,0.16156892364203884,48113
"Riverside County, California, USA",0.32596141320866684,0.39689976576068864,0.5104423681576201,0.4971890074580729,0.45452976081467233,0.36209376680404326,0.06069097277503582,0.05974632371242592,0.05979278976722335,0.06818709073127159,0.05750760056100521,0.035718561111229744,0.004945858153946038,0.0049921425475683,0.006558227809603678,0.0027983797765679633,0.0026712141396694707,0.002125034052958903,0.04022727789643886,0.02365319246397012,0.023269252297320995,0.5372643114591117,-0.05902979220042859,0.5031194946296856,-0.024884975371002538,0.4782345192586831,0.23255573193259468,-0.052331390355308954,0.2091872316468635,-0.02896289006957778,0.18022434157728573,0.0970723345739184,-0.016342782838393827,0.09343037783279128,-0.012700826097266707,0.08072955173552457,06065
