longname,PW Density (r=250m),PW Density (r=250m) (2010),PW Density (r=250m) Change (2010-2020),PW Density (r=250m) (2000),PW Density (r=250m) Change (2000-2020),PW Density (r=500m),PW Density (r=500m) (2010),PW Density (r=500m) Change (2010-2020),PW Density (r=500m) (2000),PW Density (r=500m) Change (2000-2020),PW Density (r=2km),PW Density (r=2km) (2010),PW Density (r=2km) Change (2010-2020),PW Density (r=2km) (2000),PW Density (r=2km) Change (2000-2020),PW Density (r=4km),PW Density (r=4km) (2010),PW Density (r=4km) Change (2010-2020),PW Density (r=4km) (2000),PW Density (r=4km) Change (2000-2020)
"DE-00, USA",2333.413458428312,2326.9722749104017,0.0027680534002745335,2604.447517981543,-0.10406585568799773,1440.4738846196765,1462.3959233236783,-0.014990494950353954,1591.4666596487318,-0.09487649277075175,868.0374254318547,870.515782760686,-0.0028469987309955765,916.8198396492403,-0.053208288158389926,658.0616617592324,656.4583849743259,0.0024423129045250723,685.3524701712884,-0.0398201065872503
"ID-01, USA",1542.1403626042559,1378.374307571238,0.11881101826511957,1339.9552794008137,0.15088942617088916,1088.241757246141,946.9488449493329,0.14920860091905833,854.3013785539976,0.2738382315244701,711.400197779148,577.8705070781816,0.23107199461712763,449.42135820089356,0.5829247649177114,520.5694755555452,407.20840034894485,0.27838589554994203,282.3388646261005,0.8437754796702607
"ID-02, USA",1930.334603742158,1588.431039295542,0.2152460862249631,2125.802559843765,-0.0919501932088993,1290.3877511971536,1113.1807670296846,0.1591897645162455,1234.8781741475539,0.04495146016158111,818.917455858313,709.3630196921051,0.15444057996392221,687.5504538538606,0.19106525385608217,590.2602171756193,518.7038530379774,0.13795225101673356,491.296931492998,0.2014327371878401
"WV-02, USA",1375.7704019635894,1224.6451747975818,0.12340327653761966,1297.4177972463037,0.06039119001110101,698.9747290683794,669.1797847965479,0.044524573139773024,678.4484914099302,0.030254673594737033,335.6744063495799,325.5556431668768,0.031081516770134196,318.9756293852662,0.052351262685791385,227.9405537000797,217.80727440331995,0.04652406272710465,205.20973759210395,0.1107687012063622
"WV-01, USA",1070.3162280156369,1072.7124045904925,-0.002233754885840426,1248.705276999765,-0.14285920967094756,512.2876118986981,527.14076617092,-0.028176827188140328,565.7165327993981,-0.09444468705256286,244.8868973202494,247.69151803669365,-0.011323038990898203,254.66593014602898,-0.03839945461166379,168.70492877921728,170.67128880141937,-0.011521328725008894,175.35302447147114,-0.03791263773346245
"SD-00, USA",1296.176578898653,1237.3982565832064,0.04750153962375015,1235.8833087186465,0.04878556879493579,887.1304307385583,845.4928774892065,0.04924648611233664,832.9914818484539,0.06499340037663665,511.8730434632487,469.1700541607819,0.09101814773504859,448.23495680690763,0.14197484085061063,344.617734682938,303.3215893199339,0.1361464096755945,274.83431282026845,0.25391087869113843
"UT-01, USA",2128.9683902230004,2023.6922796278466,0.05202179780737904,2145.6849729833543,-0.007790790806122517,1635.968571769125,1549.5415807126542,0.05577584501909391,1582.2033424975805,0.03398123858509465,1157.438521664594,1072.1999136469879,0.07949880142004018,1058.4738627660943,0.0934974989744922,897.5033592938738,818.275470171106,0.09682300400157517,770.7554519233297,0.16444633256146238
"UT-02, USA",2240.7907111489703,2187.7838987349564,0.024228541239682794,2240.12968738249,0.0002950828115906066,1797.2175283312135,1757.5750170885349,0.022555231416720656,1742.9896798027626,0.031111973385056085,1257.357527771893,1209.0509659705638,0.03995411538549267,1193.4260981240366,0.05356965944380737,972.3135033175663,917.5093508638408,0.05973143750756001,904.1946596432794,0.07533648086481845
"UT-03, USA",2465.01694617921,2360.4688474117215,0.04429124276820122,2493.383991770183,-0.01137692617126075,1923.817744856346,1839.5010713745867,0.04583670800406376,1877.4662859263876,0.0246883042733774,1435.2537272279412,1364.333026260516,0.05198195719252727,1395.3263950145572,0.028615048318474244,1153.5993114612781,1075.386559479841,0.07272989539618965,1080.1407932154796,0.06800828068637177
"UT-04, USA",2696.8413967902893,2405.1464222800273,0.12127950789529954,2488.782139980702,0.08359882268007615,2020.258733246615,1814.8097177764264,0.11320691831092496,1821.7494644817396,0.10896628358353788,1432.4884354855662,1290.4335976278676,0.1100830279983644,1327.218553369858,0.07931616224654488,1243.0313603492095,1121.618645826784,0.1082477676117163,1158.5322459027177,0.07293635092621086
