longname,PW Density (r=2km) [GHS-POP],PW Density (r=4km) [GHS-POP]
"Tokyo 1BPC, Indonesia-China-Iran",4821.6655,3827.8452
"Cairo 1BPC, Egypt-Turkey-Germany",4926.528,3764.8955
"São Paulo 1BPC, USA-Brazil-Mexico",3583.194,2810.9148
"Delhi [New Delhi] 1BPC, India",5689.724,4276.4873
"Dhaka 1BPC, India-Pakistan-Bangladesh",6527.863,5008.9414
"Lagos 1BPC, Nigeria-Ethiopia-Democratic Republic of the Congo",4484.6963,3232.1897
"Shanghai 1BPC, China",5293.0186,3963.5635
"Quezon City [Manila] 1BPC, China-Indonesia-Philippines",5374.8975,4224.3076
