longname,High School %,Undergrad %,Grad %,Undergrad STEM %,Undergrad Humanities %,Undergrad Business %,% of women with high school education - % of men with high school education,% of women with undergraduate education - % of men with undergraduate education,% of women with graduate education - % of men with graduate education,geoid
"Los Angeles County, California, USA",0.8040888491156064,0.3339498673711903,0.1170969270225679,0.14883496584041633,0.12235643250614826,0.06275846902462787,0.0014905113620427013,0.011040032347794992,0.0042912576997183455,06037
"Cook County, Illinois, USA",0.8830329888344365,0.3961482136365065,0.1648031831874151,0.1721536165942797,0.13919544282974247,0.08479915421248423,0.010644685230492668,0.0193018642487095,0.019052812265466068,17031
"Harris County, Texas, USA",0.8251211419617153,0.3136992088638179,0.11540340328491148,0.15202634267473564,0.08496545564854176,0.0767074105405424,0.028705924967968866,0.014502802547523952,0.003324937392848823,48201
"Maricopa County, Arizona, USA",0.8922507630053479,0.3317839669755119,0.12367963772502771,0.14365177516874567,0.11098465924623944,0.07714753256052415,0.01120691654714756,-0.004391921769664298,-0.0024657970882654145,04013
"San Diego County, California, USA",0.8858894141842175,0.3931130290772179,0.15348018170184413,0.20453958575850306,0.1153199932501109,0.07325345006860434,-0.010821776383233894,0.002252258197614987,-0.001442010420071499,06073
"Orange County, California, USA",0.868669678598394,0.41296540910733837,0.15189168722403007,0.20211807330564163,0.12286741757904557,0.08797991822265058,-0.001529579232938394,-0.015606951710019579,-0.012534546220283271,06059
"Kings County, New York, USA",0.8431156091177949,0.3803914892918824,0.15311060474922783,0.15725100189919913,0.16153958168401103,0.06160090570867194,0.0023534705086997176,0.01934041698180533,0.023721616735527445,36047
"Miami-Dade County, Florida, USA",0.8293665521160059,0.309190293869773,0.11590883786487305,0.13678624034431489,0.08862582326906879,0.08377823025638868,-0.002228492567681317,0.01606775376359426,-0.00040866011496902555,12086
"Dallas County, Texas, USA",0.8133141002774128,0.3191573243194257,0.11947006350602729,0.13677346438594593,0.09554649700941055,0.08683736292407115,0.030979588083828724,0.008442108613963217,-0.001349460516938808,48113
"Riverside County, California, USA",0.8347190919604988,0.22867303263050712,0.08159233118828081,0.1011542016349849,0.07844827160127722,0.04907055939424486,0.011826869838006848,0.010673093511488874,0.006049929015461766,06065
"Queens County, New York, USA",0.8332926739377732,0.32697055900638217,0.12453282702573315,0.14795459300640892,0.1109865743828946,0.06802939161707998,-0.0030047646336975875,0.025040114689932946,0.021636364444663228,36081
"King County, Washington, USA",0.938109215453585,0.5280696380630625,0.21602959515432035,0.2920263190410126,0.14958245689973396,0.08646086212231786,0.0005253718029640808,0.0007052213918070649,0.0013432676978021862,53033
"Clark County, Nevada, USA",0.8690479329007176,0.24806446793739376,0.08390862606411828,0.10198468145793511,0.08334117966081303,0.06273860681864704,0.0032000138182513016,0.007996466823063653,0.001719621724205589,32003
"San Bernardino County, California, USA",0.8169354810353132,0.2123025207720212,0.07354718931634245,0.0985615178781784,0.06946768074206176,0.04427332215178081,0.016082987014307992,0.020306729013654046,0.010868991040300688,06071
"Tarrant County, Texas, USA",0.8715594626031342,0.3213156849352262,0.10717858071670085,0.13178926520895382,0.10556887647931391,0.08395754324695809,0.013642452424405094,0.0053146618339802165,-0.0008001154932121834,48439
"Bexar County, Texas, USA",0.8601693122308709,0.2866966554221687,0.10854776540932495,0.12866297483961017,0.09114535761435735,0.06688832296820114,0.009056062977046309,0.01835752037810534,0.001018651453798411,48029
"Broward County, Florida, USA",0.9029661810050146,0.331624862611651,0.12652112297470888,0.14261790066382637,0.1009334667460387,0.08807349520178677,0.0009666805490563535,0.006025519682684,0.0039003281789453392,12011
"Santa Clara County, California, USA",0.8934702721739901,0.5356867318211251,0.26163588105531743,0.3511534476107246,0.105881099701223,0.078652184509178,-0.012785581793620326,-0.03955324544595529,-0.052151111878616235,06085
"Wayne County, Michigan, USA",0.8817841908556356,0.24628720578879826,0.09806396277864232,0.11296480383817645,0.08167240695645912,0.05164999499416248,0.015902269567309002,0.014177205072311905,0.007014969149850836,26163
"New York County, New York, USA",0.8866057026464158,0.6106675346772256,0.29855116434367174,0.2661295978387146,0.2322085786682845,0.11232935817022606,-0.0027602951863932024,0.0021988851006093935,-0.0028074717165396113,36061
"Alameda County, California, USA",0.8917682332726716,0.48862733836318334,0.2100837412050076,0.2841282933419628,0.13232863640792555,0.07217040861329264,-0.004759840701819229,0.005240724115628204,-0.0081104461352072,06001
"Middlesex County, Massachusetts, USA",0.9369383833683349,0.5666470338742932,0.28771513791321107,0.3148581888491479,0.16437369388985204,0.0874151511352967,0.0014927865733722623,-0.0049367774998024805,0.0015178102872490107,25017
"Philadelphia County, Pennsylvania, USA",0.8707509960161867,0.3124289548326951,0.13578701004057764,0.14208232013045652,0.11352503985900501,0.05682159484323471,0.004775552570356556,0.007533999055410856,0.019625519340954717,42101
"Sacramento County, California, USA",0.8840373613416019,0.310894146504788,0.10929629953125464,0.15244144321192565,0.10215866742364743,0.056294035869217454,0.011466870961577724,0.01327080556465371,0.00724367066383827,06067
"Suffolk County, New York, USA",0.9064662045253477,0.3728623627618542,0.17069112018325355,0.15791524343017938,0.13749169467392755,0.07745542465774614,0.021242107153332856,0.030327041851284986,0.0367400474441196,36103
"Palm Beach County, Florida, USA",0.893780403771922,0.368985046907719,0.14528299694610586,0.15183854843019867,0.12284039935686814,0.09430609912065363,0.02231639115974582,-0.009015605917537972,-0.011779906525780731,12099
"Bronx County, New York, USA",0.7545402782911101,0.19866135049453995,0.07177437913237782,0.08706875546907668,0.07257552002420296,0.03901707500125997,-0.005652971838303156,0.036502713619566224,0.021468445979335518,36005
"Hillsborough County, Florida, USA",0.895831250770726,0.3420164059599902,0.12503303122426218,0.15374634510018684,0.10306637350342594,0.08520368735637761,0.018784907586168464,-0.0017788422272050353,0.00020112151528026145,12057
"Orange County, Florida, USA",0.8982780295929499,0.3447989651172437,0.12232144122404395,0.14885448277118649,0.10750877079330899,0.08843571155274874,0.00940477394708894,0.01820007213971475,0.0007063738263294594,12095
"Nassau County, New York, USA",0.9188754254715715,0.4642506757901803,0.21013809784681875,0.1997014916612628,0.1532809810098736,0.11126820311904566,0.005711795756201288,0.019758092017346296,0.03972128875389205,36059
"Franklin County, Ohio, USA",0.9171788418659069,0.39957061174029296,0.15200785924012575,0.17920281696359594,0.1348864163189613,0.08548137845773458,0.006845283805870905,-0.0038932944301451333,0.007022998242597389,39049
"Travis County, Texas, USA",0.9087921653010138,0.5132220486774638,0.1914126273326367,0.23689669570288763,0.1750038108661596,0.1013215421084139,0.0020861971881770414,0.012287456866101776,0.0017036271337765863,48453
"Hennepin County, Minnesota, USA",0.939971203898549,0.5074105659541484,0.18894783475467986,0.22685236460294628,0.17389301140768648,0.10666518994351558,-0.0027624149403226994,0.009607333565559428,0.00638200144375714,27053
"Oakland County, Michigan, USA",0.9475804354609437,0.479140302673092,0.20814517387234271,0.2347449987865356,0.13840663245848225,0.10598867142807608,0.0024434128318345794,-0.022099780452389084,-0.021938255876510687,26125
"Cuyahoga County, Ohio, USA",0.9105751090453276,0.33118928510336565,0.1388663488439657,0.1447218340985003,0.11644951403973532,0.07001793696513015,0.01007649883471573,0.005924534071447385,0.010995295003274036,39035
"Allegheny County, Pennsylvania, USA",0.952526021832953,0.4195204861935079,0.17676707616939097,0.19309759104579227,0.14106152519274023,0.08536136995497329,0.0028837154047032243,-0.02206601877187947,0.003880688475031868,42003
"Salt Lake County, Utah, USA",0.9204525819229663,0.3601804299502281,0.12865637630453747,0.1699481757581038,0.12309589108724393,0.06713636310488132,0.014249353172799739,-0.01844575596053455,-0.024027339458167485,49035
"Contra Costa County, California, USA",0.899659640828799,0.4310432516631697,0.1657456931959468,0.22588045468969653,0.12500505674343743,0.08015774023003573,0.009768379004487349,0.011204994010157399,-0.009714165128324875,06013
"Fairfax County, Virginia, USA",0.9344852921355861,0.6272717705767945,0.31549252642542236,0.3366286874629116,0.17412680529194982,0.11651627782193273,-0.007432087870197335,-0.031239554606733666,-0.05177230416315243,51059
"Wake County, North Carolina, USA",0.9378553967854294,0.5365009547190411,0.20965918628561925,0.2736083133996396,0.15608738302068936,0.1068052582987114,0.011931542616887225,0.006830293771790896,0.006723273416684106,37183
"Mecklenburg County, North Carolina, USA",0.9103678982477851,0.4586546253574101,0.15992954888432726,0.18865505878149993,0.14455087413758466,0.12544869243832585,0.021519475649916076,-0.011665113684537265,-0.002239094037107342,37119
"Fulton County, Georgia, USA",0.933821380804705,0.5474666319196556,0.22677184788008237,0.24147022196604362,0.16371554302389202,0.14228086692971975,0.0038846260334961524,-0.013782068634843325,-0.00603540245414827,13121
"Collin County, Texas, USA",0.9401446690752071,0.5241171361148127,0.194313802708778,0.25724640191016607,0.13150430517748968,0.13536642902715693,-0.004617039446138782,-0.037735688099412634,-0.03628328816176768,48085
"Montgomery County, Maryland, USA",0.9134993180987581,0.5897694497966371,0.32097359131363673,0.3356232980810645,0.16529079410818462,0.08885535760738825,0.003423623753266991,-0.007463850181512632,-0.01945686780487782,24031
"Pima County, Arizona, USA",0.8976269490169339,0.330452367139664,0.14096984127420534,0.1588343978290333,0.1163938753234046,0.05522409398722627,0.00832079806645647,0.011480573842562236,-0.0013762796179297987,04019
"Honolulu County, Hawaii, USA",0.9292742579246429,0.3533041387101934,0.1267454227077937,0.16445190775714938,0.11571130708785426,0.07314092386518903,-0.01225118318984142,0.02605651636112788,0.005473687816358375,15003
"Fresno County, California, USA",0.7853915367399464,0.2198593795825927,0.07367280266874512,0.09972506402887063,0.08288386346990163,0.03725045208382013,0.022126912041019464,0.027780279308662503,0.0075011717716424176,06019
"Westchester County, New York, USA",0.8911000273121145,0.49476684068487264,0.2516455980361322,0.22119514641564064,0.1719111611325251,0.10166053313670778,0.02148995024893352,0.03174784668350811,0.024817305263242606,36119
"St. Louis County, Missouri, USA",0.9426034898839304,0.44032027780337796,0.19069248182419452,0.1883661018909174,0.14393305848212198,0.10802111743033632,0.006780407748158801,-0.02099937008646402,-0.006508954824595292,29189
"Duval County, Florida, USA",0.9088350881266468,0.3022220345352581,0.10055204914402112,0.12814026087345862,0.0956440444121828,0.07843772924961813,0.011372768856913296,0.017847083772865202,0.010280323249608841,12031
"Marion County, Indiana, USA",0.874800340711932,0.31314061253298997,0.11148735129406152,0.1324614940128413,0.11444088662945218,0.06623823189069677,0.0168711380729053,0.014013579672087495,0.008575124732540865,18097
"Capitol Planning Region, Connecticut, USA",0.9107570899056147,0.39114450825127484,0.17374767010709746,0.18555941368678372,0.12913378964366892,0.07645130492082207,0.013699665484412038,0.016208840545874903,0.015590742841944949,09110
"Prince George's County, Maryland, USA",0.8756651770675273,0.34000125209800885,0.14897432304724847,0.1592996598467068,0.10514045856599005,0.07556113368531173,0.043340780921027666,0.061346137262390577,0.043856161534800264,24033
"Pinellas County, Florida, USA",0.9247321033200266,0.32693751768855117,0.11606614409119054,0.139236675484093,0.1072625568373138,0.08043828536714545,0.011340572804477533,-0.0032982883951369057,0.0006159627076267188,12103
"Gwinnett County, Georgia, USA",0.882089947796731,0.3745015708323951,0.1315682218767015,0.1690716779002733,0.10801550564992995,0.09741438728219044,0.016223579520764808,0.012825648786977006,0.014531741178028607,13135
"Bergen County, New Jersey, USA",0.9301658023519103,0.5037353005624121,0.198594697246366,0.2275553283178732,0.15857716748228864,0.11760280476225143,-0.00022752713814622183,0.0009299660891883832,-0.011106601246697628,34003
"Erie County, New York, USA",0.9241162587750785,0.3445863550842075,0.15146799415926163,0.149734114582213,0.13045222731877745,0.06440001318321655,0.008009666793533099,0.015478405543190021,0.03401083857046655,36029
"Milwaukee County, Wisconsin, USA",0.8955541607771097,0.3124410643331565,0.11372413046939235,0.1341059556736114,0.11845240456692932,0.05988270409261663,0.01078613038215015,0.029851968555071107,0.01340927487827244,55079
"DuPage County, Illinois, USA",0.9362014002226932,0.49625387044126934,0.19847775354250255,0.2247952288708216,0.14749164899864273,0.12396699257180342,0.005711305333652383,-0.014279272451246217,-0.006459665876758891,17043
"Shelby County, Tennessee, USA",0.8965243293784672,0.32134238024841116,0.13054850081498087,0.1278524316743104,0.11268684533060418,0.0808031032434959,0.02014017461866302,0.03299025346081763,0.015201084216979383,47157
"Pierce County, Washington, USA",0.9241018363910171,0.2721054871233203,0.0947960828239551,0.12270177593188743,0.10140301015179269,0.048000701039639375,0.012682113292350472,0.02388121195502979,0.006757721291465041,53053
"Kern County, California, USA",0.7682014837981189,0.16969610236845759,0.058283841400096445,0.07839766557473178,0.06034670822651045,0.030951728567215085,0.03180204162762379,0.03285712227485321,0.007623445785760144,06029
"Denton County, Texas, USA",0.9342959228123163,0.4612523686145294,0.15252693664629283,0.19765365840863783,0.13274144590215592,0.1308572643037366,0.009441495619708973,-0.00401399468732111,-0.0032731696315844716,48121
"Macomb County, Michigan, USA",0.9068963318178215,0.2533756826415017,0.08911553303977111,0.11009057297556218,0.08010489853120235,0.06318021113473626,-0.0005797704920811331,0.008845875206652032,0.005431873489234254,26099
"San Francisco County, California, USA",0.8894939225557252,0.5864734098728246,0.23777636068251257,0.3085669655610473,0.17594678649611145,0.1019596578156666,-0.02671204051229681,-0.0023428072929989607,-0.0002015584087558253,06075
"Hidalgo County, Texas, USA",0.6852736357555972,0.18772671833812032,0.05671007593343054,0.07383247432820544,0.07467836487390325,0.03921587913601129,-0.019740123021321,0.02417996948482029,0.009947258842687191,48215
"El Paso County, Texas, USA",0.8091633154761061,0.23250394327369855,0.07617978486067112,0.09640060818779916,0.0837661461071718,0.05233718897872784,-0.043130443955036846,0.01674043323443275,0.0007189731197725785,48141
"Essex County, New Jersey, USA",0.8705781200937038,0.3556747965807891,0.14840202065915692,0.1582130970815517,0.12257282554814454,0.07488887395109359,0.006516497415943623,0.013638815609315125,-0.00021999928792140744,34013
"Middlesex County, New Jersey, USA",0.9016500768474727,0.43765625103067946,0.17879900263194418,0.2446503604905026,0.10783052658658719,0.08517536395358793,-0.005445649399877683,-0.010233950723826546,-0.014406924042547675,34023
"Worcester County, Massachusetts, USA",0.9185147251282303,0.36759740206956576,0.15016460604287027,0.17844270490403982,0.1211614277237212,0.06799326944180224,0.01156519063901773,0.016224171708209667,0.01388461933684762,25027
"Montgomery County, Pennsylvania, USA",0.9476809002429113,0.49692519444344607,0.21632344142830484,0.2232871158945052,0.16360875265224584,0.11002932589669578,0.014495081704279156,0.012044709692575983,0.010628051372731984,42091
"Baltimore County, Maryland, USA",0.918606949510515,0.3917743346184892,0.17292189991288462,0.18552307372368734,0.13019679050538557,0.0760544703894165,0.013483557892701503,0.01976191664987126,0.020682749884905788,24005
"Ventura County, California, USA",0.8590803613238571,0.3336091512693605,0.12204393160909986,0.16163391190594006,0.10776716387060231,0.06420807549281705,0.015767094864145292,0.011411502031938747,0.001295382966448072,06111
"Hamilton County, Ohio, USA",0.9221309490031071,0.38301303123205055,0.15067924345497188,0.16879009543318643,0.13607187592993797,0.07815105986892648,0.006154205562446946,-0.008729305938037002,0.0017187081770212997,39061
"Snohomish County, Washington, USA",0.9313122393867436,0.328169766168994,0.10796101856474975,0.16616652582627722,0.10334857017415032,0.058654670168566785,0.009021403241389447,0.01646216394813127,0.005852731515082948,53061
"Fort Bend County, Texas, USA",0.9126278354262931,0.4672471491154114,0.18935569820908604,0.2488860657980046,0.10537686389579035,0.11298421942161625,-0.0001480978594626814,-0.01944685794156381,-0.027345119233375292,48157
"Multnomah County, Oregon, USA",0.9261689974228178,0.456867780246872,0.1800028709686275,0.2186940081440369,0.17826884720246716,0.05990492490036872,0.005863318855244382,0.050106893000437025,0.03192531226130296,41051
"Essex County, Massachusetts, USA",0.900141391752282,0.40012700647409655,0.16187121818950315,0.1786721454008074,0.13911678713032702,0.08233807394296305,0.007875865658171555,0.009160310041007036,0.00653539707625081,25009
"Suffolk County, Massachusetts, USA",0.8738159551262499,0.46868721027860266,0.21374200935536902,0.2346173552551043,0.14667646535332196,0.08739338967017718,0.0017026512954624318,0.021447325535620787,0.02241599027619759,25025
"Oklahoma County, Oklahoma, USA",0.8885498485488801,0.3243157704645185,0.12049812245293107,0.1286170939629929,0.11363209013715314,0.08206658636437254,0.01437070222834047,0.0033461477528802797,-0.005129920398054252,40109
"Jefferson County, Kentucky, USA",0.9165648482965137,0.3337723882705244,0.13555144358438387,0.14300772642522186,0.12106439629357585,0.0697002655517262,0.005209119114995553,0.004654460034273944,0.01952954611403826,21111
"San Joaquin County, California, USA",0.8097426416064396,0.18801696607773122,0.0611273147919282,0.08787360469829818,0.06266770809645728,0.0374756532829756,0.025526428972468596,0.03266864635027297,0.011249807432728243,06077
"Cobb County, Georgia, USA",0.9308237830477702,0.4785525171148682,0.17560611218276045,0.2084817882673324,0.14327508604712783,0.12679564280040836,0.00898372669201497,0.00570834849130597,0.013718955537746241,13067
"DeKalb County, Georgia, USA",0.9093486414991081,0.4503870847526229,0.19533015673765972,0.20007325767091255,0.15044098511332074,0.09987284196838998,0.023308720685249917,0.036212981967388924,0.030312193307648033,13089
"San Mateo County, California, USA",0.9099365108817639,0.5151070813068706,0.22638596884997517,0.29644195893118713,0.12458067516398955,0.09408444721169384,0.008180045946740155,0.028998673463451863,-0.0044042895969745866,06081
