longname,Housing Units per Adult,Vacancy %,Rent/Income < 20%,Rent/Income 20%-40%,Rent/Income > 40%,1BR Rent < $750 %,1BR Rent $750 - $1500 %,1BR Rent > $1500 %,2BR Rent < $750 %,2BR Rent $750 - $1500 %,2BR Rent > $1500 %,% units built pre-1970,% units built in 1970s,% units built in 1980s,% units built in 1990s,% units built in 2000s,% units built in 2010s+,Renter %
"9th Circuit, USA",0.4968198884634702,0.07786845354632019,0.2338826891313351,0.40795140178360323,0.3581659090850617,0.17371156899030402,0.44989532562274204,0.37639310538695403,0.08073188676683067,0.418979681104055,0.5002884321291144,0.33309561701514323,0.16990062722815424,0.14618394934594767,0.13968606179564583,0.1429087979338908,0.06822494668121838,0.4072980276946629
"11th Circuit, USA",0.5614854701247325,0.1206587746447436,0.22442962365941355,0.40423489258132345,0.371335483759263,0.2513374201257967,0.5887479473787762,0.15991463249542714,0.16569169938712466,0.5841772152235729,0.25013108538930245,0.2101950242995621,0.15874457189684904,0.18146812260391668,0.1752900247624693,0.18692963670456908,0.08737261973263388,0.3368635963198896
"5th Circuit, USA",0.5399114747377461,0.09987040744564728,0.25837491171865523,0.40801819415857704,0.33360689412276767,0.23971683656463308,0.6589279943640529,0.10135516907131403,0.18159105115174223,0.6337723747982044,0.18463657405005343,0.23945060489469255,0.15123617834790024,0.15416771424721196,0.14569251228644325,0.176892475572368,0.1325605146513841,0.36464786665847887
"6th Circuit, USA",0.5700002108540915,0.096934253118376,0.29428157584604886,0.39616507794754685,0.3095533462064043,0.5362367831947845,0.413595536789392,0.050167680015823606,0.29364501612072896,0.6267199816104003,0.0796350022688707,0.43210831801726857,0.14925333220610348,0.10684440211443759,0.13929980654231888,0.11549577349523346,0.05699836762463802,0.31489878106471464
"4th Circuit, USA",0.5580566391831498,0.10352371910549023,0.268119768939775,0.40703876851601123,0.32484146254421375,0.2948416104661953,0.49705503129255896,0.20810335824124573,0.223933426345425,0.5369250878037382,0.23914148585083686,0.28956093027427554,0.14076164404788521,0.15159759473472983,0.16780002414335943,0.15852773635174394,0.09175207044800598,0.3245056636553981
"7th Circuit, USA",0.558081118729126,0.08829817508918694,0.29457747683813323,0.39594087263670585,0.30948165052516097,0.41320480946062016,0.4661304150321864,0.1206647755071934,0.20869452405062003,0.641609015170323,0.14969646077905716,0.47356579084454337,0.1421655196856179,0.09393740281343582,0.12635346716824541,0.11526137216405168,0.04871644732410575,0.3238243052813985
"2nd Circuit, USA",0.5308551865516803,0.09101862195718287,0.25855984583125846,0.38199253334254585,0.3594476208261957,0.22475957562741297,0.3984917235931046,0.3767487007794824,0.14792018827776326,0.4176382274213616,0.43444158430087515,0.6404201905448565,0.1056483962869182,0.08561105592781014,0.06601065777487768,0.06375406814282877,0.03855563132270871,0.43305075467746584
"3rd Circuit, USA",0.539524285318484,0.09256047398015019,0.271727720986216,0.39282318436148,0.3354490946523039,0.28469142400208364,0.5268056874544379,0.18850288854347846,0.14621774445174307,0.5328423488031552,0.3209399067451017,0.5389370917240144,0.12441345917189098,0.10564030022411122,0.09659051582191014,0.08797192581341172,0.04644670724466154,0.32764072728521654
"8th Circuit, USA",0.5756031199463035,0.10165475073261211,0.30719545757385874,0.4020804509197457,0.29072409150639555,0.49333170177323155,0.43714473349488214,0.06952356473188635,0.3001213596252689,0.6101401066282749,0.08973853374645623,0.3898707031899989,0.15389951800121762,0.1148016253472106,0.13325112629202554,0.1299845441035187,0.07819248306602858,0.3100906338612066
"10th Circuit, USA",0.5539038326689145,0.10154795807774573,0.2760110023170191,0.4116063802024682,0.31238261748051266,0.37034213007695266,0.4850509683402578,0.14460690158278955,0.21641736902803713,0.5745153518811991,0.2090672790907637,0.30302920597706795,0.16867302130322268,0.13756690728998863,0.14625190626641818,0.15081931346231706,0.09365964570098538,0.32729461135170324
"1st Circuit, USA",0.5602343066732656,0.12087422263015844,0.2556074911387733,0.4172621728909612,0.3271303359702656,0.3758231633402427,0.37093915126688753,0.2532376853928698,0.20888099536502697,0.407483519512412,0.383635485122561,0.48186434844951115,0.1482744971647901,0.13493410585774152,0.10272127190686187,0.09287013713449989,0.039335639486595485,0.3429782693873208
"DC Circuit, USA",0.6091610459930205,0.10822814799591247,0.28171422368096083,0.42283942304122774,0.2954463532778115,0.13254475703324792,0.30751918158567687,0.5599360613810752,0.13021791569565372,0.2988266077926329,0.5709554765117134,0.6696630678869281,0.06787544705525755,0.04677619819316455,0.0314596729802544,0.07944681374641588,0.10477880013797947,0.5849552303746625
