longname,"Agriculture, forestry, fishing and hunting %","Mining, quarrying, and oil and gas extraction %",Accommodation and food services %,"Arts, entertainment, and recreation %",Construction %,Educational services %,Health care and social assistance %,Finance and insurance %,Real estate and rental and leasing %,Information %,Manufacturing %,"Other services, except public administration %",Administrative and support and waste management services %,Management of companies and enterprises %,"Professional, scientific, and technical services %",Public administration %,Retail trade %,Transportation and warehousing %,Utilities %,Wholesale trade %,geoid
"Los Angeles County, California, USA",0.003951138274799431,0.0005588895636721977,0.07464718437777984,0.03280349104989112,0.06166467295845328,0.08419797518844604,0.1292288510800206,0.03681002654223891,0.022878867919321654,0.043863463965735254,0.08900251163051995,0.055512569577457635,0.04914773909411847,0.0011637422827742011,0.08309611031044278,0.03566379555149942,0.0995757423490767,0.058029133382420856,0.006038364294429711,0.03216573060690222,06037
"Cook County, Illinois, USA",0.001475716523164513,0.0003784381086480197,0.06858102854174156,0.02167985994502315,0.047564031267282036,0.093632779591098,0.1403438863359405,0.06143650712645448,0.02127360566382744,0.020196562344806275,0.09409007098372808,0.04829050915555533,0.04469158679508728,0.0017337429640891596,0.10675555553753192,0.036340688941751166,0.09172590503056197,0.06949190922503966,0.004686485329226937,0.02563113058944259,17031
"Harris County, Texas, USA",0.0018910551256484027,0.02827077624907106,0.07540078430832572,0.012805486430602971,0.10495143518623025,0.08881815794101589,0.10819875043395814,0.03891341844150173,0.020972782870342748,0.01242471351921726,0.09283870773089581,0.05340053389447935,0.05077567066351186,0.002895276716148509,0.07784269081794318,0.02568240366254194,0.10395127925362463,0.058924355565552845,0.009641050538899876,0.03140067065048781,48201
"Maricopa County, Arizona, USA",0.0036503828408201316,0.0016896751679245587,0.07275653669028188,0.021371887251256057,0.07453754177319111,0.0836034720248284,0.1238843925634545,0.07835664135583797,0.025535736386221992,0.018952716170317865,0.07635691288650642,0.04528016986545632,0.05734445661689694,0.0018892076032263668,0.07557467529457851,0.03780996283989269,0.11925458766861631,0.04908108434796747,0.008547054201817112,0.02452290645090714,04013
"San Diego County, California, USA",0.006547783149432016,0.00025433394000674554,0.08074553060759218,0.027872381728135283,0.06417003855088056,0.08648844642081703,0.12739857639252533,0.03732058511434442,0.025064530808315545,0.020086657631115334,0.09614163983343568,0.04955962490894056,0.04645232193094879,0.001911187151025742,0.11070808423659742,0.05009881331694123,0.10386554204903645,0.037124060922721795,0.00729341921270665,0.020896442094481205,06073
"Orange County, California, USA",0.005944230288105925,0.0008957059338241823,0.07443868561414098,0.027556128253715638,0.05956038168468929,0.08453242913824807,0.1187036444254563,0.05713448560748075,0.02937747198809218,0.01949777536793288,0.11888315336621871,0.051167098896139136,0.045784844753951656,0.001650905578996252,0.09994038509106222,0.030912861308943863,0.09993528139927493,0.03519280153356558,0.0051442129390056775,0.03374751683115561,06059
"Kings County, New York, USA",0.0006982795430043484,0.00012817518638480715,0.06300950619526498,0.030620501581744772,0.049449672366923915,0.10245286416497004,0.18725136569481557,0.048816659943367195,0.026883762405667422,0.04839832129823382,0.029779892537294614,0.048571318482311304,0.03667540302446257,0.0013596005966830145,0.10868783994929603,0.039245983909689176,0.08922015228470327,0.06420318676540092,0.003994662250520364,0.020552851819261916,36047
"Miami-Dade County, Florida, USA",0.006443843336577006,0.00038135036438012517,0.08413801254416692,0.019609080866646658,0.08516013438067851,0.07244338805791496,0.13259575603540533,0.046463345087895,0.03269257078586999,0.018088352097674416,0.044321877016687515,0.05865867823890391,0.058622850491784353,0.0012057290613438666,0.07568540244988559,0.034632733634290175,0.11008472269165996,0.07924269080654123,0.005375761448175063,0.03415372060351926,12086
"Dallas County, Texas, USA",0.0016231568335132133,0.0041963423132203035,0.07428657973624031,0.015172921276893413,0.10395088000036815,0.07137606524447969,0.1084983198567461,0.06326563550567584,0.026186981241906118,0.020037037348670326,0.08168334061280673,0.05018094144626171,0.05654506249000797,0.0022496249987570068,0.09017316987537224,0.024302987235806737,0.10622727714293823,0.06431892813515157,0.005280996596878065,0.030443752108306302,48113
"Riverside County, California, USA",0.012125010765241142,0.0005789307483995676,0.07973742380601534,0.029042228452771816,0.09315522042429396,0.08496598183784217,0.12359262413519279,0.029403940556730155,0.020586011884826304,0.015500990402189411,0.08352487488397464,0.04956986880759436,0.05179851296135029,0.000751174607427537,0.048105796005856356,0.051609044716419174,0.12540118465498576,0.06457517965991394,0.008884912394859447,0.027091088294115905,06065
