longname,"Agriculture, forestry, fishing and hunting %","Mining, quarrying, and oil and gas extraction %",Accommodation and food services %,"Arts, entertainment, and recreation %",Construction %,Educational services %,Health care and social assistance %,Finance and insurance %,Real estate and rental and leasing %,Information %,Manufacturing %,"Other services, except public administration %",Administrative and support and waste management services %,Management of companies and enterprises %,"Professional, scientific, and technical services %",Public administration %,Retail trade %,Transportation and warehousing %,Utilities %,Wholesale trade %,geoid
"Queens County, New York, USA",0.000705684278680137,0.00015624639746932467,0.08687473470865757,0.019867552410913064,0.07472448846041692,0.0824042185435706,0.17756559757761634,0.04987467359708357,0.026550150936842324,0.02551137181397699,0.03337263129052623,0.06145838959719545,0.04267943763143204,0.0007494676098391227,0.07506851731906622,0.044040176158638575,0.09396327771195738,0.08101777722061794,0.0038400556916499498,0.01957555104385022,36081
"King County, Washington, USA",0.004181701032353843,0.00020513373966536376,0.06498369201149064,0.023886020571603113,0.05302630559722076,0.07835844115033697,0.11760056379304182,0.03401983373639957,0.0243775225291496,0.0366741663558172,0.08283764983266557,0.0423332406138865,0.03834622243021876,0.002537308994194205,0.1722623424468987,0.028845870204656298,0.1200210478418945,0.046758462355961275,0.005040371795801024,0.02370410296674427,53033
"Clark County, Nevada, USA",0.0015355942247758552,0.0016166689670016137,0.15957632656134102,0.08780008512847895,0.07204262987160248,0.06430481786655702,0.09610155962709432,0.03485634810405734,0.025837748206945243,0.015568280858349878,0.03814566621721668,0.04561902013452613,0.06106086300202429,0.0011881310438083535,0.058405665194130645,0.036346579080206984,0.11604305068812218,0.06069506148650527,0.005867301880837535,0.017388601856418582,32003
"San Bernardino County, California, USA",0.0053057661697502615,0.0009798552039296873,0.0721455833775474,0.018074905437554488,0.07999833125096266,0.08641338764612333,0.1319691666524044,0.028310969243671512,0.017363547674876433,0.012592636965786344,0.07977262224656306,0.05116855221045109,0.047839611823300966,0.0007231245828127401,0.045217750355144415,0.05368023345371125,0.12548885789104422,0.10012387252468843,0.009741857360466868,0.033089367929210425,06071
"Tarrant County, Texas, USA",0.0013954941109384361,0.006897236807040677,0.07320947407733575,0.01611647647766197,0.07953647817785327,0.08436292016455527,0.11368262394920077,0.06022211375808226,0.01960186868218915,0.015454548059537205,0.10120245553474377,0.05038106254316146,0.044845889118871135,0.0016552986271432654,0.06331206820632677,0.03012968257045991,0.11466453219426864,0.08552344401451491,0.006462637340595136,0.03134369558552014,48439
"Bexar County, Texas, USA",0.0023698356278897916,0.008709625009778264,0.09202300450425295,0.01682682582832926,0.08185251779413343,0.0940668477131347,0.13748748497386862,0.07201632056611644,0.019532709869408697,0.015958596613687353,0.05469636914964486,0.048213319459378665,0.05055436416261236,0.0013893241214717788,0.06971433107619285,0.04700743333535461,0.11415202395108653,0.04490236312391706,0.005754505062249943,0.022772198057491894,48029
"Broward County, Florida, USA",0.002271788094643856,0.00012376693356681986,0.07606142931373823,0.02567192147652927,0.07329661921926592,0.0738980651443679,0.13491004905671083,0.04640544001702039,0.029431981375633562,0.022258613564856002,0.04846651746443499,0.05286177790688625,0.06504514935907119,0.0010555989705864314,0.08261800819112075,0.04337877591434122,0.12345700479929324,0.06149068577109899,0.005146044981608836,0.03215076244522539,12011
"Santa Clara County, California, USA",0.004865991403162675,0.00032841353044269975,0.057957677007263904,0.01740185744244634,0.051109645473158626,0.08398214478585031,0.10803124500181847,0.028204555977284638,0.017297887114815887,0.05552971085476949,0.16408636965760257,0.03602760598502226,0.040738104483211225,0.002407042975389697,0.17804140768917,0.02405021404847247,0.0816110448242177,0.02686766154304867,0.0035321817775710303,0.017929238425281328,06085
"Wayne County, Michigan, USA",0.0020892181842387327,0.0007724175747406302,0.07644561376221419,0.019770462804666784,0.042990442321101476,0.07371447175732909,0.15654109828288598,0.04564776967720604,0.014869697373121177,0.013162733620068125,0.17855236292553833,0.043314699528245806,0.047932069433222334,0.0018203219636805578,0.056664606007721524,0.03291342464381147,0.1032456037445111,0.058549515789085266,0.008090612753853223,0.022912857852758158,26163
"New York County, New York, USA",0.0006724192186024935,0.00012366330457057358,0.050754953433036785,0.04347538051309229,0.019375389898253784,0.10481679612668865,0.1375941966577784,0.1258329330837984,0.03581488044960442,0.05870473729828809,0.029235330164461146,0.04213275034918326,0.030410131557881588,0.0016506842886875677,0.17638693364690816,0.02881796651153546,0.0684553680363482,0.026121664817237742,0.002155274736801425,0.017468545907241464,36061
"Alameda County, California, USA",0.003105638347591777,0.0003716246181764816,0.058344539048405995,0.021665094986585292,0.053321507817207396,0.09178675199928595,0.12700707891545365,0.040404754267705165,0.020030734978728388,0.036239533331788275,0.09885556481994334,0.04517222197817748,0.04018149813917363,0.0017655028014291977,0.16264051419967673,0.03650508233256737,0.08770352318531802,0.04596796997952531,0.00646055105445271,0.022470313198807986,06001
"Middlesex County, Massachusetts, USA",0.00218239216973316,0.0003884769693438079,0.048181191016805035,0.01787105690294539,0.04983333444964648,0.13544673735161492,0.1431961831021448,0.053464701062506635,0.016984704277488553,0.02959904264985933,0.1018312000589409,0.04100999546776876,0.03216209759702415,0.001729169038832059,0.16313465192240356,0.03271467259652194,0.08295211239933603,0.025141604320578454,0.005471050651591967,0.01670562599491406,25017
"Philadelphia County, Pennsylvania, USA",0.001266768727219188,0.0004500722583748511,0.06452810968013692,0.02132601049741322,0.04015873040282661,0.10649475713588709,0.21186870703834323,0.046051010436694885,0.016480998649923598,0.02026282763236565,0.06434834952535619,0.047914227506319636,0.046476486614318926,0.001213416696591164,0.07838774022659827,0.056182757248232726,0.09286879964780662,0.05749078946609356,0.006388563667509281,0.019840876941988467,42101
"Sacramento County, California, USA",0.007599742353859497,0.000593623258022784,0.0729760858529337,0.02123397217203324,0.07158414166170828,0.08186132960692592,0.13612122469254467,0.04404957504762626,0.021081131241232065,0.015771273547055806,0.05618405323231285,0.0488190308793269,0.04859249878546062,0.0012159041905708042,0.07196897329104723,0.10710328225898816,0.10910522552225259,0.04978247460384204,0.011544948880167237,0.022811508922089264,06067
"Suffolk County, New York, USA",0.0038878730426095687,0.0001314472524215093,0.04723302689204895,0.01927136303998494,0.07680845088188132,0.12324378499187714,0.1589548252776186,0.053797650906320583,0.017297583133238262,0.02321286809742629,0.06689292795879542,0.03997062833694309,0.0412224971309961,0.0010348249381810961,0.08343317908758961,0.04916120997473476,0.11065723751872039,0.04651527804035314,0.007881595681370254,0.029391747816888768,36103
"Palm Beach County, Florida, USA",0.009209973487098509,0.000363646900308593,0.07667009547542172,0.03274415774451989,0.08162641438361103,0.07237587470843056,0.13892760384219727,0.044960375526998476,0.034033583008562344,0.01769555075844285,0.044928502093505046,0.05781695956420315,0.06915665792561881,0.0013604160931863275,0.08691160917375432,0.032055981339553286,0.12142474247714534,0.04055894412007579,0.010395085696072354,0.026783825681294532,12099
"Bronx County, New York, USA",0.0015777193020084905,0.0,0.08680470779767825,0.021147796370506174,0.051675682552029985,0.08421961053217071,0.2566470745544589,0.028165489941400727,0.03487713315977629,0.01518492087489827,0.031028009571957314,0.052617061581611634,0.05603628456724223,0.0011410440763200333,0.03930411648227314,0.03826907049819711,0.10265721546401393,0.0789379646516053,0.00340655626281578,0.016302541759035793,36005
"Hillsborough County, Florida, USA",0.009238271570419785,0.0006201191511321892,0.07359742557700229,0.023638524046553415,0.07510256332888174,0.07779768798966413,0.1337788420003056,0.08480873532234429,0.025717452499822654,0.01796021967164854,0.051447400928267974,0.04452397925375878,0.057847103981996495,0.0016751634987598033,0.09436003517320551,0.03389759336266021,0.11121878651144139,0.04755638991888527,0.0071945045407372475,0.02801920167251245,12057
"Orange County, Florida, USA",0.00363307099137913,0.0005566802325500277,0.11068309826731575,0.06313088682369962,0.06873954480578305,0.07073047887056687,0.12041035285713646,0.039549409905001526,0.030458361295237147,0.020626467563958886,0.04761359973993696,0.04546361418013851,0.06571617121195808,0.0014802950544751377,0.07701859367784328,0.03222187962592182,0.1140287604168266,0.05775662051847993,0.005548664874314424,0.024633449087476833,12095
"Nassau County, New York, USA",0.0015931445815233073,0.00011237359101816178,0.04714428820785393,0.019768062299575347,0.05868864813552926,0.1334509822708501,0.1725166149933709,0.07926400366487708,0.02379401298854307,0.02538535507527057,0.04261187055601055,0.036472858225045014,0.0342278475757899,0.001376932102602284,0.0956088903341497,0.05013569803456818,0.09166027616159231,0.048941455841193165,0.007675543001696216,0.02957114235894088,36059
"Franklin County, Ohio, USA",0.0022780264639435622,0.0005926926359751381,0.07147235574310443,0.01964435543588998,0.04484031353295512,0.09383237377023568,0.15511012634931765,0.08020334139530581,0.015423050671597587,0.020845681096582757,0.07411266376937978,0.03941623398172086,0.045746017438785216,0.001954871310343425,0.07938458506443516,0.04517940907529781,0.11430273116824297,0.060941555289238274,0.007899187185086757,0.026820428622562,39049
"Travis County, Texas, USA",0.0020369466713140425,0.003885674451028219,0.07206552805855705,0.020936911815963688,0.06787591495294483,0.10045451376786385,0.09708748692924371,0.04480446148483804,0.027247124433600552,0.03611153712094802,0.0748888114325552,0.0462767514813521,0.042007668177065055,0.001484837922621118,0.1539449285465322,0.05757964447542692,0.09116207737887758,0.03333705123736489,0.006750784245381645,0.0200613454165214,48453
"Hennepin County, Minnesota, USA",0.0038668004319464505,0.0004427309118412084,0.05619276957984534,0.023023426425075606,0.03699641132539748,0.09561001082704153,0.1482183628321723,0.0822855131918201,0.0196390891662895,0.0184045510467323,0.12093790840862395,0.04007991860562467,0.03506797764208908,0.0037461846386563752,0.11305389255545086,0.027042060855634147,0.10862374541837355,0.03362768316927221,0.003961874057245674,0.029179088910867793,27053
"Oakland County, Michigan, USA",0.00245198077403398,0.0003761734479418588,0.05530815763342724,0.01996308322114141,0.04704300256468058,0.07399499247653055,0.13905472333737393,0.05978111883425816,0.02085249736526293,0.016763324459498224,0.20063446906239926,0.041208506698019814,0.03592075685488563,0.0021778462775581286,0.10823134514751459,0.027166728600756668,0.09574908774131471,0.02578234939355358,0.005168958227994624,0.022370897881854302,26125
"Cuyahoga County, Ohio, USA",0.0016591453589899204,0.00040196642296565384,0.06881936209553065,0.022154410592066392,0.04487429529655122,0.08195294707176744,0.18477263442456685,0.05975538513661808,0.018125080908178562,0.016413998216424988,0.11831586406122886,0.04442936634855522,0.039503976345225456,0.0017484712307600666,0.07529514447694248,0.03993031886406559,0.10412404048787854,0.044131943202883384,0.00600137523670533,0.027590274222094993,39035
"Allegheny County, Pennsylvania, USA",0.0018411166037042542,0.0032602455308379146,0.060897510481097,0.01980528828704612,0.05070260079861604,0.10501350013250071,0.1729138787405391,0.07517024511058683,0.01719990511355283,0.01831791197024483,0.07735945813309145,0.04739967894205069,0.03753971112425502,0.0018770637020787823,0.09944334963050876,0.03092774598495214,0.10667197248154169,0.042313381593904756,0.009457212707143002,0.021888222931748035,42003
"Salt Lake County, Utah, USA",0.002585979360743313,0.0050488939554149395,0.06028878118922659,0.01896654743418056,0.07550833035117169,0.09660746063951577,0.11793652772762517,0.07052096877879302,0.022881950123145773,0.020568008666350415,0.09651840061143739,0.04538499030864953,0.04547243106349008,0.001603080505407564,0.08840260314365701,0.036296009624960185,0.1089414648917273,0.05396066137596144,0.005712795982906951,0.026794114265635268,49035
"Contra Costa County, California, USA",0.0049456351890847265,0.0013096027955499057,0.06401315579783613,0.02059543242464761,0.07389734939956842,0.08908999720832832,0.13937313917447117,0.053478457580307136,0.02315910700028678,0.02505187624627999,0.06458833602545623,0.04938474824975948,0.05136992570123569,0.0015603031968399138,0.11704519573175579,0.04207523336840373,0.0991982151609085,0.047347312850624226,0.010520651105883504,0.021996325792772747,06013
"Fairfax County, Virginia, USA",0.0009948038117636236,0.000250802532735911,0.05939684224019421,0.019624846309732998,0.0510952616590904,0.0870882094674466,0.09295899742529445,0.04802107453825845,0.02426844015193551,0.025537315085636128,0.0278452398225745,0.06179941229273047,0.03906210199894192,0.0015802169781642518,0.22612467871894515,0.11974747817562063,0.07223725122759558,0.029620377973362446,0.003048966164001429,0.00969768342597523,51059
"Wake County, North Carolina, USA",0.0025317489485074942,0.0016316849742061053,0.061818571603577004,0.018268406223202277,0.05886486449698462,0.09040623681380745,0.11832863734738068,0.06016646929914099,0.022727891434249258,0.02771312289871644,0.08519981760518297,0.040834660459798416,0.0388116433228523,0.0010617011719547527,0.1701886561313252,0.04449106401513595,0.09427532089237356,0.03174894850749321,0.007821538922237196,0.023109014931874096,37183
"Mecklenburg County, North Carolina, USA",0.0022045474925175635,0.00039590492191029174,0.06927151802467106,0.020587055939335148,0.06832236135291185,0.06864889831841903,0.11263664218485422,0.1148682600993825,0.023816895665517927,0.024234795305311994,0.0803991533725512,0.04949149904153778,0.049494882844289025,0.0015277869422435655,0.09735369705829114,0.019357043639212288,0.10578274971195423,0.05278393911862088,0.009325760382775758,0.029496608583692404,37119
"Fulton County, Georgia, USA",0.0014647026404436883,0.0004990838626697013,0.06843727276165935,0.024160656620778022,0.038648432891799034,0.08916329323764656,0.09727002082696186,0.062317737710555945,0.03143777041422458,0.04008776497146441,0.05987353125762395,0.0365172395492433,0.05533164946339422,0.0028843029338274004,0.16217298404989278,0.0384708672607273,0.09099852211451559,0.06335523481117766,0.00496733105345532,0.031941601567939154,13121
"Collin County, Texas, USA",0.002234712921453779,0.005313445516547533,0.060837750698850016,0.018280321071528455,0.053974577602034654,0.0855338677899183,0.10382313721697883,0.09823643191210102,0.026561505475118697,0.03609260849927282,0.08120639795518715,0.04530882620712446,0.0392514275014035,0.003475809684442974,0.14245420883377943,0.0245670671745272,0.10591548163691585,0.0338771397671295,0.005088127354219139,0.027967155181466412,48085
"Montgomery County, Maryland, USA",0.002142125568907527,0.00023801395210083635,0.05785417773817317,0.020026016965556264,0.06239582431825309,0.09566311398921604,0.1225865098169682,0.04052131493976128,0.02282845431765005,0.024494766781479653,0.029787268483067328,0.06994285211482679,0.04103695125161134,0.0011740837487959168,0.1810219973221547,0.11385460599254923,0.07441027182848392,0.026666226199950707,0.0023481674975918336,0.011007257172902109,24031
"Pima County, Arizona, USA",0.0037839892685015636,0.0060102508531453755,0.08218815952180177,0.02485373089981155,0.062261042825495355,0.11074941339427392,0.14830310365770974,0.03697473116635129,0.02191305563687688,0.016230517480195255,0.06764208530142996,0.04889691906370302,0.05890089531108683,0.0011732114533402672,0.06647979760463871,0.059724546554865685,0.11618507465295254,0.04069317789556024,0.008876644571548414,0.018159652886711883,04019
"Honolulu County, Hawaii, USA",0.0061746338092843345,0.00019253711816980438,0.11422098481375917,0.02088551833055012,0.07127042968580136,0.10230692789406562,0.12731597837105804,0.04089017039811499,0.02559952021607796,0.015150052802107914,0.031634801646064054,0.04070952959405448,0.041522379856017526,0.0010198119885477554,0.05984563055479957,0.0981718597410021,0.10901463399761824,0.059258492941139794,0.011235821315497115,0.02358028492627006,15003
"Fresno County, California, USA",0.08930904156913276,0.0006519610555514127,0.06695952789358849,0.014653486307614956,0.06115923968349786,0.09771236248072422,0.14921247434857993,0.027995833223069293,0.01527176671823016,0.011920542547074718,0.06441663920090251,0.04681609646136706,0.047114410745087945,0.0005797882449737654,0.04577440222869667,0.06251849428271056,0.1058149633482412,0.05108632108721132,0.008309496257839779,0.03272315231590517,06019
"Westchester County, New York, USA",0.0025762209603849614,9.057026813853378e-05,0.04984782603446891,0.03084420798273394,0.06460183431373075,0.1241237139749749,0.16440416385439174,0.07756948403854325,0.026780621952251865,0.03082005591123019,0.04068338810351875,0.04981138637338886,0.03938440686211669,0.0014430862723406363,0.10726538756540359,0.041017553866863427,0.07971786941278484,0.03803331350886381,0.006615468596729014,0.024369440147141444,36119
"St. Louis County, Missouri, USA",0.003991318534299209,0.0012251463373444873,0.05809565931311989,0.022187553509190445,0.04593261617542699,0.1010425674701026,0.15686996758621832,0.07924134241272536,0.020845873300828086,0.021548582586045723,0.100032570249104,0.046045511870672934,0.03816359652829573,0.003418457097370963,0.08851766464469042,0.03180390302919575,0.1022961355302503,0.042274347212519464,0.006922574832962743,0.029544611779636482,29189
"Duval County, Florida, USA",0.001563651679977715,0.0005534863954699054,0.08120631941750162,0.018876789186692146,0.07248554552102215,0.06977502280707096,0.13661712625547554,0.09020409949030438,0.018964988434679683,0.014423906117591917,0.05319703733046338,0.052350896296746025,0.05706925059918049,0.001247975028569027,0.06785754878366165,0.04373449598132001,0.12041036811689972,0.06858538983294774,0.006655381162647996,0.024220721561777948,12031
"Marion County, Indiana, USA",0.002182311109432412,0.0003902979484177199,0.07122937558623404,0.021025728188954564,0.058301280638913565,0.07747624113698394,0.1432519373257034,0.045522170392333285,0.018627284344645674,0.014008758621702642,0.10935057359109752,0.04352451637677612,0.05126962243919423,0.001724865126878309,0.07137206515877362,0.04230535988198734,0.11776506161881353,0.07710063182103383,0.006175520764480389,0.027396397927643864,18097
"Capitol Planning Region, Connecticut, USA",0.003021571533394106,0.0003799824322425675,0.05862487491190995,0.01812488785226738,0.05209637999563213,0.10709617218599997,0.15812061104040676,0.09068594798500659,0.013415208650617318,0.017824209253631734,0.10916372018312347,0.042447723446393595,0.03433904721822142,0.0010871155147046737,0.07377946854936218,0.04228527105338869,0.10412377616563444,0.043927055545121725,0.007051010908458341,0.022405965574483017,09110
"Prince George's County, Maryland, USA",0.0016784629733852276,0.00015312991581832038,0.06417734432951956,0.0204915669167788,0.09282258208857291,0.09207681951153542,0.12935898226278328,0.023635701941568082,0.024413283721892148,0.01987109245268382,0.021086188278203192,0.057244735413381195,0.06335402244447084,0.0011693557207944477,0.09237711324255556,0.1364785289982314,0.08470073044958565,0.05798850929021307,0.0049200443082405764,0.012001805739786504,24033
"Pinellas County, Florida, USA",0.002770436914331418,0.00014615690807890156,0.08419990459555171,0.022988247628454975,0.058584389269753005,0.06998734450590123,0.1538061786498118,0.0668481671482774,0.028543167971951916,0.01842273083680209,0.07231209000407257,0.05123733683846721,0.046867355421467895,0.002214168085075898,0.09889355639483326,0.035294685106685285,0.12007070423596623,0.034468408143786884,0.007018087505900024,0.02532688383483047,12103
"Gwinnett County, Georgia, USA",0.00218754928039013,0.0003895058872686947,0.0800637547447154,0.01458436368167702,0.08501275037746713,0.07985028596800392,0.11011094571397796,0.05025583167763261,0.020875590586421716,0.026951859869557393,0.08593584173320082,0.053998374181372134,0.052612124232466535,0.002821285886162437,0.08669979963155443,0.03436202138937746,0.11771840926036238,0.05499371963113582,0.004316146318382827,0.03625983994887292,13135
"Bergen County, New Jersey, USA",0.0009457286288769266,0.0003668774853401873,0.046968470956551475,0.0181991614811251,0.05287927488703214,0.10375702927070851,0.14660831955844222,0.07548300440049174,0.022988950873066523,0.03175936098094885,0.07973063039743031,0.04784082408836043,0.030218475542520114,0.0015245797724136674,0.1117040032448275,0.032069168635236074,0.10495957213932405,0.044987332535714776,0.0065569159463298825,0.04045231917525952,34003
"Erie County, New York, USA",0.0034738782402454265,0.0009237895134851777,0.06994805295247435,0.018501570442172932,0.04874815779184238,0.11481844313538458,0.17126198240932874,0.06657729540210644,0.01711803451965091,0.016280178914396978,0.10154595100907841,0.04312593184581735,0.036805492895414044,0.0011579594134151414,0.06431723361562618,0.04494343400490695,0.10963233177363331,0.0414222921151342,0.006924124655727281,0.0224738653501591,36029
"Milwaukee County, Wisconsin, USA",0.0038436713875681567,0.0002430168778731354,0.06881948341305984,0.01990698357210336,0.04286010132348197,0.09357503422075139,0.1710924530040901,0.0497991309231742,0.014023248668834231,0.016530844442495158,0.150060129128928,0.04485094080633452,0.05139831349981126,0.0022490107424986533,0.058910505314474275,0.0329666913781853,0.10135551253087102,0.04872847495922039,0.006689591874544114,0.02209686193170096,55079
"DuPage County, Illinois, USA",0.002149421427044849,0.0008202810938438221,0.05896864409367073,0.022715476444905756,0.05004528847230257,0.08915213873538295,0.12486388015347188,0.0703447012487405,0.01929594235642536,0.020932433670198217,0.12132221984754606,0.04326524796710726,0.036979818642567185,0.0034317467102250206,0.11306648754821443,0.021887053603232155,0.1001842070446475,0.056711344507882164,0.005003104041360084,0.038860562391231486,17043
"Shelby County, Tennessee, USA",0.002265548466137181,8.183095594922745e-05,0.0774705350107899,0.014357825728120157,0.04718139117301171,0.08655377112115419,0.14488989060370183,0.03542345181676397,0.01877435932206561,0.012199826518373398,0.09186109312129007,0.05014834783299938,0.054373163187292455,0.00135605584144434,0.050473333629483474,0.04689381381353297,0.10007224504396688,0.13202372630117043,0.005475659966659735,0.028124130546093015,47157
"Pierce County, Washington, USA",0.00582052915312887,0.0008714893494364067,0.06583275971013344,0.023756151041330453,0.08881059256092956,0.08433652537269114,0.14291377763668583,0.029293075827288583,0.02027772289497562,0.011254914631567909,0.08990697265750298,0.04796180585572759,0.043004052208207744,0.003268662971095699,0.0525294291878353,0.0625642057277446,0.11951483123309993,0.06833568810165129,0.005644905548820745,0.034101908330146334,53053
"Kern County, California, USA",0.11626328692981779,0.027652649468240083,0.06925745891973985,0.01304727729281723,0.07203997319285044,0.09915534856364022,0.12006944974649099,0.020506903972152237,0.014441362187780176,0.00930898067792684,0.054270339359286254,0.04542511106021156,0.039221009113865626,0.0009161937240729914,0.03938501910150804,0.06667571549357129,0.10222346643592117,0.05533074876214901,0.00943057428945504,0.025379131708503283,06029
"Denton County, Texas, USA",0.0025975620907950176,0.005867874075608891,0.06653787146245094,0.01964263579450107,0.05666487263726934,0.10033550778580705,0.11122025816393173,0.08798953636694537,0.025944679132002536,0.025081569298413264,0.08325749630190123,0.04516609866865872,0.03606283402587026,0.002400305177425296,0.10062434839859967,0.02700343324603448,0.1119409443137166,0.05450104696977415,0.005143214467545354,0.03201791162274913,48121
"Macomb County, Michigan, USA",0.002207792207792208,0.0001855287569573285,0.07725881261595562,0.016115491651205967,0.058121521335807065,0.05885667903525064,0.14257189239332096,0.04718460111317284,0.01282003710575141,0.011212894248608525,0.2122217068645638,0.042585807050092725,0.03885899814471242,0.0015213358070500934,0.061189703153988605,0.035308441558441594,0.11705705009276414,0.03749072356215208,0.005292207792207801,0.021938775510204102,26099
"San Francisco County, California, USA",0.0016040954110025322,9.964539093925601e-05,0.07209502805957085,0.02445822478661998,0.03183648076041401,0.07391393201000084,0.11420150789437611,0.06056978941945988,0.023902586530745833,0.06246992563691657,0.05038963929746563,0.04073359554698184,0.03553036062629245,0.0021667987951300943,0.22419458839082165,0.03331379075200875,0.0858049702646373,0.04102065670989301,0.005267374963201003,0.016427008753522626,06075
"Hidalgo County, Texas, USA",0.01552825788792882,0.016722739263923404,0.07847862688663557,0.011101473893979238,0.08900686976851716,0.12831971284427593,0.15865893955263927,0.026035492303398296,0.012316963736385729,0.010417198130846734,0.05379367885257747,0.05624566700380252,0.05869165273605255,0.0009003628462270289,0.0310265036809834,0.045417303173178825,0.12908202005408242,0.0450121398923764,0.006278530247689819,0.02696586724449955,48215
"El Paso County, Texas, USA",0.002529854191880975,0.007865496996139658,0.08004557015974145,0.013149231345057355,0.07258441271046813,0.12184007278111883,0.14104073720934684,0.03081449830477915,0.01524469372645331,0.017077881807179323,0.06698376358157418,0.04309221400490133,0.06086129787530473,0.0012239467364607722,0.0445975592097895,0.06986604886498077,0.11545533277417873,0.06369987077526644,0.008062202721642254,0.02396531422373641,48141
