longname,Commute Car %,Commute Bike %,Commute Walk %,Commute Transit %,Commute Work From Home %,Commute Time < 15 min %,Commute Time 15 - 29 min %,Commute Time 30 - 59 min %,Commute Time > 60 min %,Households With no Vehicle %,Households With 1+ Vehicles %,Households With 2+ Vehicles %,Traffic Fatalities Per Capita Per Year,Pedestrian/Cyclist Fatalities Per Capita Per Year,Total Traffic Fatalities In Last Decade,Total Pedestrian/Cyclist Fatalities In Last Decade
"New York NY Media Market, USA",0.5658425007980405,0.007128288357649956,0.05285069820979358,0.2574766269109171,0.10623149307600406,0.16343749872903382,0.26889364922068126,0.3573142374172249,0.21035461463306007,0.28276089085052775,0.7172391091494723,0.3934518408996967,4.439557226474724e-05,1.6961373731393932e-05,9839.0,3759.0
"Los Angeles CA Media Market, USA",0.8231374517562341,0.007371903496451088,0.020520337117445525,0.03276364803064589,0.1050345377881416,0.18668595716737477,0.3384009413371772,0.3359411193582726,0.13897198213717546,0.06778418243148582,0.9322158175685141,0.6330302037284851,8.647005818536781e-05,2.9325958575881626e-05,15828.0,5368.0
"Chicago IL Media Market, USA",0.7486650729429473,0.006558585871121365,0.027738778089828366,0.09901818718699235,0.10794307440639389,0.190097134456984,0.3076330886245977,0.37097140313958454,0.13129837377883363,0.11794932614295982,0.8820506738570402,0.5280364278509533,6.761480788835334e-05,1.539024287234903e-05,6612.0,1505.0
"Philadelphia PA Media Market, USA",0.7778515266587358,0.005781340457307657,0.03150824014530819,0.06589227081005707,0.10905196660941292,0.22267020716350952,0.35455585706878123,0.31905077586601643,0.10372315990169284,0.11667034061415629,0.8833296593858436,0.5388155133981299,8.086871174812936e-05,2.1890715989275947e-05,6753.0,1828.0
"Dallas-Ft.Worth TX Media Market, USA",0.8578077966047141,0.002391858528459166,0.012465511769820914,0.009785302947952929,0.10778969690939476,0.21065809933114987,0.3492554768562244,0.35021396702628965,0.08987245678633612,0.04554217188081284,0.9544578281191871,0.6418340806525294,0.0001083401113442891,2.074827800098987e-05,9023.0,1728.0
"San Francisco-Oakland-San Jose CA Media Market, USA",0.6846598294576447,0.017381013287292857,0.03559311010322208,0.09732514895246708,0.1539747572666584,0.18833700213660112,0.3310952777918881,0.3360568721956677,0.14451084787584295,0.09401352350318143,0.9059864764968185,0.593968227309499,6.18136181103544e-05,2.0608909367863654e-05,4715.0,1572.0
"Houston TX Media Market, USA",0.8684528138156167,0.0034795962407081537,0.012154474961429134,0.017792246835342147,0.0850452247036049,0.18240637965037423,0.33512748121691394,0.37689448046693463,0.10557165866577713,0.05443991732477292,0.9455600826752271,0.6320073868837415,0.0001062790654814196,2.5721724065998256e-05,7958.0,1926.0
"Atlanta GA Media Market, USA",0.829394867469386,0.0026093266101466267,0.01274240012708716,0.02136126955026575,0.12309545802336976,0.1841380879703534,0.3342056918585475,0.3552873519852751,0.12636886818582405,0.05499732510535874,0.9450026748946412,0.628465232793646,0.00012087396579460387,2.4658842221027308e-05,8740.0,1783.0
"Washington DC (Hagerstown MD) Media Market, USA",0.7150787486794411,0.00786063151705335,0.027815422322399568,0.09207724187083116,0.14662475436345412,0.15404326535264568,0.29968887578711884,0.3841047982453908,0.16216306061484484,0.09613668703256398,0.903863312967436,0.578216682981201,6.722019992813478e-05,1.5581025797826635e-05,4819.0,1117.0
"Boston MA (Manchester NH) Media Market, USA",0.7315933606071879,0.008155836480333396,0.04369446556397317,0.0815740527851896,0.12448220721335657,0.2189420291008633,0.315756478557354,0.33826058247534874,0.12704090986643404,0.11068353482552598,0.8893164651744738,0.5480048969530805,5.096670512114332e-05,1.107207731942079e-05,3480.0,756.0
