longname,Fair or poor self-rated health status %,Physical health not good for two weeks in last year %,Arthritis %,Current asthma %,High blood pressure %,Cancer (excluding skin cancer) %,Chronic kidney disease %,COPD %,Coronary heart disease %,Diagnosed diabetes %,Obesity %,Stroke %,Disability %,Hearing disability %,Vision disability %,Cognitive disability %,Mobility disability %,Self-care disability %,Independent living disability %,Binge drinking among adults %,Smoking %,No leisure-time physical activity %,Sleeping less than 7 hours %,Attended doctor in last year %,Attended dentist in last year %,Cholesterol screening in last year %
"Central District of California, CA, USA",0.17950787689870779,0.11203530052529134,0.1834056041324397,0.09477090649777778,0.2669674472544583,0.05200360347486095,0.028152901404960528,0.04949212858363138,0.04540754313960074,0.10663257312510746,0.29849504710370384,0.026619253645368688,0.26816817996941533,0.056484676882540864,0.057704735395777106,0.13510494540280943,0.1179427212033678,0.03932513474956749,0.07555169364456629,0.1576669767246848,0.11514357933689522,0.21347244329285683,0.330867261868237,0.6249481686540719,0.6088376932980166,0.8421052731977305
"Middle District of Florida, FL, USA",0.17895230729343978,0.12323489349512394,0.26826403942388144,0.10427776663483954,0.3395216390932024,0.06957067636563675,0.03160970520188159,0.0757003391485085,0.06344030106625202,0.11329064190902735,0.3592584343267246,0.033198565310703684,0.3082986938889524,0.072267971817781,0.05478410305237914,0.14369272355477847,0.14800279890624143,0.04237865245259127,0.08501597775377191,0.16555453666059788,0.17630184278589425,0.26107542037810827,0.3360372134433114,0.7343522688375818,0.5755511286148073,0.8355309634737229
"Southern District of Texas, TX, USA",0.21257714132998365,0.12123107351311763,0.1945137099114308,0.09720591100311644,0.312927913445307,0.05061913115886269,0.02979630921407051,0.06249131379848222,0.05155522316265143,0.12113785950350299,0.37838163741416114,0.029401802957582504,0.30809287969653915,0.061583164647866964,0.07293099391202416,0.15950383240356084,0.13907225902518658,0.04920449433839197,0.09217806311985408,0.1818590576320659,0.16316904346083325,0.28384279249168004,0.34440853448393605,0.6959133190998444,0.5115602941132639,0.8125950781777121
"Northern District of Illinois, IL, USA",0.1529404271321566,0.1042459674507337,0.19990789968599876,0.09536944562493592,0.28565752418252505,0.05905614054214439,0.027752268192087513,0.05566493417396741,0.049058482717197906,0.09933525380982554,0.3280086323569805,0.02814734630886656,0.29364935389705327,0.06294785872104186,0.05016059908559467,0.13735806667587286,0.13893456953140554,0.036885178374683,0.07842327116588878,0.1728444263417609,0.14055072673028052,0.2642406730301567,0.32845116803632946,0.7623153794420554,0.6430806691416819,0.8220509653002983
"District of New Jersey, NJ, USA",0.15115335995046014,0.10433210160167426,0.22333764964100586,0.09495739875355444,0.2947527913180231,0.06492138797183881,0.028106085443915328,0.05463023512289271,0.05186238496360638,0.0966302562120586,0.2942925450936849,0.027863400120996976,0.24994492842036867,0.05231468378933486,0.04855491975173436,0.11469366439867586,0.11643489307490257,0.03416935024115939,0.06736433639350592,0.16286226524366615,0.13396176859152503,0.24662921862751974,0.34306582695370336,0.7440562625200627,0.6598903270094272,0.879459996316661
"Eastern District of New York, NY, USA",0.15507499595843074,0.1007474374540221,0.2052516653305662,0.10092723732109062,0.28873664350849004,0.05857988380463635,0.028694701680015745,0.054809632942801154,0.05081250295262999,0.10824686283380783,0.28180611214411894,0.02810318646441363,0.2632739342129279,0.052502911206439115,0.053842818122929806,0.11883481694621406,0.12759948689193096,0.03791709754596957,0.07817216480079031,0.15764472396934867,0.1342337198174507,0.26975915932702454,0.35422952337388186,0.7724260687171505,0.6301178719585551,0.8755855368316425
"Northern District of California, CA, USA",0.13891972694906665,0.09370787569135029,0.17978026731740615,0.09021354047373681,0.2534643936624518,0.057084528142606006,0.025812930597138694,0.04396774540333954,0.0434124336265592,0.09132601179287923,0.23916259696557285,0.024341482403467965,0.22828144913474874,0.052620615014189194,0.04159416390750985,0.10988750372470614,0.09752309534772938,0.02936625822908067,0.05941865347238749,0.15766297473391516,0.09870925117182412,0.17880202645279303,0.29432195396399913,0.5988600766008534,0.6569760171462787,0.8516850832406753
"Eastern District of California, CA, USA",0.19347823295880628,0.12484043313397862,0.2177289240526374,0.103370861339979,0.29018282648355476,0.058087346984240625,0.030003939147245015,0.06391119836488575,0.05441843488083473,0.10992857264342323,0.32930011707735896,0.03020442138669402,0.3014475549214672,0.06487390685647797,0.06290652217221056,0.1542276291812923,0.1351623225939094,0.04507889653420551,0.08711427064800144,0.15872004924299507,0.14384997454978268,0.22826171373619786,0.33394686615934066,0.612271844377731,0.5980720952588463,0.8196315608146865
"Western District of Texas, TX, USA",0.19637924449269956,0.11834039309854075,0.21607289500772553,0.09499915248735154,0.30587150258961743,0.05432716627290964,0.02967343201429636,0.060735464149859864,0.05244053725140951,0.11402926194382514,0.3594892900155952,0.0282803422061465,0.30322907914896396,0.06333431707936747,0.06380812529050368,0.14831295144502407,0.1361643416429331,0.04392213134761809,0.08489015779258358,0.1806215336077292,0.1467076519745843,0.25525864210593374,0.341942311982453,0.6929018837137728,0.5500765389595067,0.8182883765531992
"Northern District of Texas, TX, USA",0.1941733310608563,0.11950842926289135,0.21390099110678387,0.10033528917150752,0.3191256081647642,0.055924451823470986,0.028991457941875923,0.06728600940435972,0.052585428536836426,0.10978469008688209,0.3605090164825311,0.029672469841717432,0.3092243053456022,0.0626097512678552,0.06094250616730477,0.152907016434655,0.13765478997763303,0.04379817155238428,0.08834183579254887,0.18147378158062097,0.16873435268543677,0.27044505860668067,0.3448518250491159,0.7030255380541449,0.536315003769587,0.8235850236016422
