longname,Housing Units per Adult,Vacancy %,Rent/Income < 20%,Rent/Income 20%-40%,Rent/Income > 40%,1BR Rent < $750 %,1BR Rent $750 - $1500 %,1BR Rent > $1500 %,2BR Rent < $750 %,2BR Rent $750 - $1500 %,2BR Rent > $1500 %,% units built pre-1970,% units built in 1970s,% units built in 1980s,% units built in 1990s,% units built in 2000s,% units built in 2010s+,Renter %
"Historical Congressional District CA-1, 40th-42nd Congress, USA",0.4579122613788833,0.05998009850882779,0.21931282554273207,0.3989586080365662,0.3817285664207018,0.12078704654489071,0.39158906988058517,0.4876238835745242,0.055757206909777486,0.29818154931964774,0.6460612437705747,0.42401594339064297,0.1718841025683872,0.14700614212265112,0.10159737463797826,0.10379714314253123,0.05169929413780943,0.46328388222029815
"Historical Congressional District CA-1, 39th Congress, USA",0.4579070454433558,0.05997476547997116,0.21930933874103714,0.3989582618187344,0.38173239944022835,0.12078227078998646,0.391586445423472,0.4876312837865416,0.055755940227014335,0.298172769822865,0.6460712899501208,0.4240145005600936,0.17188253132762757,0.147006473893347,0.10159897620680612,0.10379781104376318,0.051699706968362465,0.4632892770071501
"Historical Congressional District CA-4, 43rd-47th Congress, USA",0.4558405842547337,0.059706097595181695,0.21064463298089942,0.40089457315219595,0.38846079386690463,0.12127327157542771,0.4056247917431915,0.4731019366813807,0.05507307123349782,0.3034888325374844,0.6414380962290178,0.4126232078929651,0.17589316358962873,0.15073492279948114,0.10391812366995094,0.10532824497626733,0.05150233707170667,0.4574125155290574
"Historical Congressional District CA-4, 48th Congress, USA",0.4558405842547337,0.059706097595181695,0.21064463298089942,0.40089457315219595,0.38846079386690463,0.12127327157542771,0.4056247917431915,0.4731019366813807,0.05507307123349782,0.3034888325374844,0.6414380962290178,0.4126232078929651,0.17589316358962873,0.15073492279948114,0.10391812366995094,0.10532824497626733,0.05150233707170667,0.4574125155290574
"Historical Congressional District CA-6, 49th-52nd Congress, USA",0.4559294683034311,0.06108202651225682,0.20081399472468725,0.40166215358870017,0.3975238516866127,0.12274257732130102,0.4349295916876169,0.4423278309910819,0.055879921243588815,0.3161480393503098,0.6279720394061015,0.4112715837019973,0.17237306434569027,0.15443719339694825,0.10483647644682333,0.1063521507160866,0.05072953139245413,0.46224245170506956
"Historical Congressional District TX-2, 29th-31st Congress, USA",0.5255846493935104,0.09411081666661983,0.25501959116173634,0.41369272825263853,0.33128768058562513,0.2104269333694879,0.6884336188328932,0.10113944779761887,0.14471705620895914,0.6561115629804759,0.19917138081056499,0.22268200552075998,0.14237827445969387,0.15626222309475007,0.1441203979781081,0.18738219138754136,0.14717490755914672,0.3798011919095393
"Historical Congressional District TX-2, 32nd-36th Congress, USA",0.5269826880221258,0.09563057575880847,0.25470507208728516,0.41334797432868864,0.3319469535840262,0.21584326123553946,0.6834954562799479,0.10066128248451259,0.14828148514731893,0.6551029782452242,0.1966155366074569,0.21878637780727786,0.14241935518324145,0.15523899196271,0.14439282091577083,0.18918483256239063,0.1499776215686092,0.3755565726428839
"Historical Congressional District CA-7, 53rd-57th Congress, USA",0.4572103615244489,0.0661625226037596,0.20452243286991964,0.406934231644021,0.38854333548605935,0.16385919092328102,0.4059533634411511,0.43018744563556793,0.0744169326141932,0.3722128372047581,0.5533702301810487,0.2883319823780162,0.19172135640217802,0.17784045394648165,0.1340584674778697,0.1470170398972364,0.06103069989821789,0.4142857553012739
"Historical Congressional District CA-8, 58th-62nd Congress, USA",0.4593247335069377,0.06887072942785366,0.19742836565284722,0.4094730110260593,0.3930986233210934,0.13871989609139868,0.38939417070732707,0.47188593320127414,0.06022881683452133,0.3141006198482728,0.6256705633172058,0.2945686118629699,0.19548996401334565,0.18206190618107299,0.12802252633177835,0.13999381729617374,0.05986317431465939,0.4089922358017791
"Historical Congressional District FL-2, 48th-57th Congress, USA",0.543636785360688,0.11138623708088367,0.18309379738080955,0.4048012534200663,0.41210494919912427,0.15943011697130505,0.6333710712224262,0.20719881180626873,0.07594587764212359,0.5391781997824364,0.38487592257544007,0.2089821981737431,0.1687138350238563,0.19717331678698954,0.1629051798188814,0.17762545805647784,0.08460001214005185,0.355135234314161
