longname,LICO-AT %,Household income < C$50k %,Household income C$50k - C$100k %,Household income > C$100k %,Individual income < C$50k %,Individual income C$50k - C$100k %,Individual income > C$100k %
"Division No. 14, Alberta, Canada",0.026231832683445564,0.19608714984437534,0.30413517118719435,0.4997776789684304,0.5415055719808961,0.2908801455537871,0.1676142824653168
"Sunbury County, New Brunswick, Canada",0.017120765832106026,0.17996289424860865,0.41929499072356213,0.4007421150278293,0.5696085244382673,0.37989344452165863,0.05049803104007419
"Division No. 18, Manitoba, Canada",0.036885245901639434,0.360663507109005,0.3848341232227489,0.25450236966824613,0.7126579142927937,0.24052514243249737,0.04681694327470894
"Carleton County, New Brunswick, Canada",0.028817878847284834,0.342250922509225,0.37869003690036923,0.2790590405904057,0.7057984790874525,0.24928707224334595,0.044914448669201544
"Charlotte County, New Brunswick, Canada",0.031676971301780064,0.33345341358701114,0.37978114616750114,0.28676544024548783,0.6928788070064577,0.2482551477816312,0.05886604521191128
"Prince Edward CDR, Ontario, Canada",0.024773960694343993,0.24860498359613759,0.3657535157131052,0.38564150069075726,0.6139458380444345,0.2828440689773792,0.10321009297818634
"Division No. 12, Manitoba, Canada",0.016810168101680997,0.1595159515951594,0.3179317931793179,0.5225522552255226,0.5353878297205539,0.3470880125359096,0.11752415774353657
"Abitibi CRM, Quebec, Canada",0.02084704849681807,0.2880038853812529,0.33899951432734343,0.3729966002914037,0.5764550264550264,0.3325396825396826,0.09100529100529105
"Yarmouth County, Nova Scotia, Canada",0.03586744118694181,0.3819871306592432,0.36025745866185693,0.25775541067889984,0.7108607617202186,0.23976379382534818,0.04937544445443325
"Division No. 9, Manitoba, Canada",0.0346277516695524,0.2865362485615652,0.3855005753739928,0.32796317606444203,0.6302241066020591,0.30981223500908595,0.05996365838885512
"Division No. 10, Newfoundland and Labrador, Canada",0.02021660649819495,0.13693901035673184,0.2514384349827386,0.6116225546605295,0.47951398700197806,0.2907601017236506,0.2297259112743714
"Papineau CRM, Quebec, Canada",0.027511463109628955,0.3765486725663716,0.36769911504424785,0.25575221238938045,0.6942534381139489,0.2605599214145384,0.045186640471512746
"Maria-Chapdelaine CRM, Quebec, Canada",0.021830209481808138,0.35282745287578526,0.36926051232479484,0.27791203479941984,0.6657739689341189,0.2873594001071237,0.04686663095875733
"Nicolet-Yamaska CRM, Quebec, Canada",0.026990854338612553,0.3636803874092007,0.36803874092009714,0.26828087167070214,0.6755888650963598,0.2837259100642398,0.04068522483940041
"L'Érable CRM, Quebec, Canada",0.023115143659537696,0.38931297709923685,0.37166030534351135,0.2390267175572519,0.7029520295202951,0.2675276752767528,0.029520295202952036
