longname,Architecture and engineering occupations %,Computer and mathematical occupations %,"Life, physical, and social science occupations %","Arts, design, entertainment, sports, and media occupations %",Community and social service occupations %,"Educational instruction, and library occupations %",Legal occupations %,Health diagnosing and treating practitioners and other technical occupations %,Health technologists and technicians %,Business and financial operations occupations %,Management occupations %,Construction and extraction occupations %,"Farming, fishing, and forestry occupations %","Installation, maintenance, and repair occupations %",Material moving occupations %,Production occupations %,Transportation occupations %,Office and administrative support occupations %,Sales and related occupations %,Building and grounds cleaning and maintenance occupations %,Food preparation and serving related occupations %,Healthcare support occupations %,Personal care and service occupations %,"Firefighting and prevention, and other protective service workers including supervisors %",Law enforcement workers including supervisors %,geoid
"Los Angeles County, California, USA",0.018597157172269754,0.025751127933158514,0.008827583590048243,0.04849756936029712,0.01736164356567589,0.05284098800626224,0.015102192905443535,0.03368764748688687,0.01620647957923594,0.055292090638406934,0.10268718701062655,0.04902185998814172,0.00292162642555792,0.024461883906489092,0.038647514356759345,0.05375829924761073,0.03947307022855359,0.11532090018672417,0.09797109158809188,0.04173317445549135,0.0550250792388697,0.039224261019160246,0.028645750143767,0.013310644748975612,0.005633177217496032,06037
"Cook County, Illinois, USA",0.01614472058902794,0.03897595367800496,0.009628132640450532,0.02493658197148823,0.019204669087145788,0.06156474368786927,0.018795975231530954,0.04428355337313037,0.015529704464660387,0.07475909024850172,0.11221205634153716,0.035846872211699986,0.0008913466112318838,0.021678986874343574,0.03750881107342593,0.05105272326126895,0.04511583461890974,0.10790902750816805,0.09481205357816036,0.03248818494382833,0.04966468911215606,0.0336111798471395,0.028196067515288782,0.014677533645924295,0.010511507885107059,17031
"Harris County, Texas, USA",0.028085305840439823,0.02817483382949518,0.011415877639513886,0.01615331811752317,0.012536552248334132,0.0580075832331381,0.01272176438357856,0.034217344559405304,0.016402080258433035,0.058869782212979456,0.10020286606753896,0.08022026964127764,0.0010994609561628807,0.03348568486575648,0.03856396547435097,0.05284587245605928,0.04422732603685041,0.10474468474377863,0.1014827479497234,0.04219574806886261,0.056311271639154975,0.025297347415209274,0.024351984068264214,0.011607943301742049,0.0067783849924272456,48201
"Maricopa County, Arizona, USA",0.02340797449313609,0.03948025447845363,0.007552588189292333,0.01906897798435099,0.01549059443526454,0.05231729063985602,0.010636758824562975,0.041072503466021454,0.017940838121754187,0.06696269323183938,0.11060020770655618,0.05002914408257055,0.002576823885184395,0.030857952972929707,0.035827507792589065,0.03820808534684504,0.03409132370888727,0.12948236934522261,0.10987303966243175,0.03798498852965595,0.05380801512807738,0.027699826366312234,0.025399745248483093,0.012328282743634053,0.007302213616089038,04013
"San Diego County, California, USA",0.03314139805939687,0.04487578847878754,0.019181968953960737,0.024062640194066058,0.016666814176580537,0.05491034811452341,0.013716708823465555,0.03960708062295252,0.017623324186414612,0.06519663206767257,0.11417732933099302,0.04568588091189788,0.0038754134108527883,0.024280827822460684,0.02727405730465331,0.042172902745491896,0.028553256450544247,0.10023183122227508,0.1023078249606403,0.03853786734519069,0.06041380425535492,0.03228224483068548,0.030467886700308807,0.012270429328655526,0.008485739702175024,06073
"Orange County, California, USA",0.0307310036070959,0.03876529401910592,0.009819110049108662,0.02707860991968589,0.01591007707887837,0.05513445700190924,0.014446362215097338,0.03977474155493722,0.016111926724793644,0.07303022097160308,0.12875743899948972,0.03842280446162498,0.00387533749130784,0.020352925773638286,0.02675331566348553,0.0511826580613728,0.024832487253965647,0.10994138998160416,0.11205513194446723,0.034532965966022795,0.05348794403681581,0.02796367774493009,0.030690724171372138,0.010652010566862961,0.0056973847408246505,06059
"Kings County, New York, USA",0.0120689126419265,0.03654644148724109,0.008793761407001811,0.06745238842271377,0.021733950776010327,0.07532454664908367,0.020337391690001615,0.035672805707648934,0.014884834988208698,0.05977367250217651,0.10204396172987734,0.041041222869913276,0.0005425820773344597,0.014517609147462014,0.01982547729529911,0.021207882066246943,0.0435371004256518,0.10796361082867999,0.0815241366457576,0.03442565328061634,0.048053899631751926,0.07153669466861992,0.03323197271048062,0.01861371065591882,0.009345779694376877,36047
"Miami-Dade County, Florida, USA",0.010498041490440637,0.019602430268789717,0.005394565706773685,0.01921886358154051,0.012771774236194012,0.04785046505120133,0.01738000531599239,0.03923752047992161,0.017361002288912925,0.05085898838974696,0.11126650775423558,0.0618286401427577,0.004386657445887376,0.034359893481752495,0.02965055495831279,0.03162951513323212,0.05450574754458599,0.11794561531114917,0.11957347431734726,0.0544857153746896,0.05334015994086079,0.03044935986358251,0.029470034075765934,0.018403351805302857,0.008531116041024418,12086
"Dallas County, Texas, USA",0.016737179394016363,0.041219922452573145,0.006195074078521964,0.01934325636469474,0.012175971006533205,0.04812331096456978,0.013732579939709208,0.031597249047485156,0.014187706384544325,0.06819400472260638,0.09727467225159113,0.0832529531586926,0.0009790955451917623,0.03025022775445213,0.04715798395048209,0.05074086171116817,0.040160510475940076,0.11907025698963229,0.09665738310708362,0.043445834981094916,0.05334693868184659,0.027015387863345727,0.023518945881258614,0.010586470582385923,0.005036222710580122,48113
"Riverside County, California, USA",0.014495277647531618,0.017509545180521238,0.0055213725921743825,0.016636842961446015,0.018194692975321395,0.053698936872626064,0.006513688602241082,0.03229476665741661,0.01958795441279198,0.042582509593025744,0.08958020343913613,0.06693874816990925,0.008476311684832026,0.035720505631417494,0.055304632402897284,0.0499497622077833,0.042806426609762596,0.11556988794579957,0.10722850061720685,0.04568672669684128,0.06073318469326254,0.038610374821775616,0.02784896127383902,0.015384247342181601,0.013125938968259365,06065
