longname,Architecture and engineering occupations %,Computer and mathematical occupations %,"Life, physical, and social science occupations %","Arts, design, entertainment, sports, and media occupations %",Community and social service occupations %,"Educational instruction, and library occupations %",Legal occupations %,Health diagnosing and treating practitioners and other technical occupations %,Health technologists and technicians %,Business and financial operations occupations %,Management occupations %,Construction and extraction occupations %,"Farming, fishing, and forestry occupations %","Installation, maintenance, and repair occupations %",Material moving occupations %,Production occupations %,Transportation occupations %,Office and administrative support occupations %,Sales and related occupations %,Building and grounds cleaning and maintenance occupations %,Food preparation and serving related occupations %,Healthcare support occupations %,Personal care and service occupations %,"Firefighting and prevention, and other protective service workers including supervisors %",Law enforcement workers including supervisors %
"Standing Rock Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.007568184232134976,0.0,0.019924111728594804,0.009962055864297402,0.024171610672630642,0.01150674529085858,0.0,0.03413366653692805,0.027878865296377474,0.07969644691437922,0.051972844518672665,0.1327513679896595,0.0,0.027260989525752996,0.0033983167384345906,0.020850925384531514,0.030350368378875357,0.16341067425384712,0.02942355472293865,0.05313255252561574,0.028728047501978726,0.18588233259924564,0.03807222759565165,0.019924111728594804,0.0
"Ashland District, Northern Cheyenne Indian Reservation and Off-Reservation Trust Land, USA",0.014816873563387113,0.0,0.0,0.0,0.04148724597748392,0.1601628417185526,0.0,0.00022848675520415764,0.029633747126774225,0.0534110484451795,0.17827703217530014,0.009364673552687056,0.015203543456809535,0.012169865127146216,0.04150482188173039,0.008890124138032267,0.050974950859896284,0.11281914993269974,0.00022848675520415764,0.044450620690161334,0.07780350641221136,0.01788570370154338,0.10384114627343509,0.012029257893174427,0.014816873563387113
"Newcomb Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.005775063206040208,0.00041181602601307506,0.009439016436536062,0.0,0.015072092938734063,0.12247105558710131,0.0,0.003918678141695651,0.01878165012013746,0.029184032690713683,0.08263437940534918,0.12454649117158961,0.01817260459751748,0.009076017308716247,0.03186726275437011,0.05203727879461682,0.05870728158187648,0.08069992894632676,0.04176369916782678,0.06658577782543774,0.05258657628081572,0.1199905205891657,0.004269785805830114,0.03341814410548775,0.018590846518101993
"Tenkiller, Cherokee OTSA, USA",0.0,0.010401188707280835,0.0,0.0074294205052005974,0.06686478454680536,0.09063893016344728,0.0,0.031203566121842503,0.0074294205052005974,0.02674591381872215,0.07578008915304608,0.07429420505200597,0.004457652303120358,0.08618127786032692,0.02971768202080239,0.08766716196136703,0.016344725111441315,0.08172362555720655,0.16939078751857362,0.08023774145616644,0.005943536404160477,0.037147102526002986,0.0,0.0,0.010401188707280835
"Dry Creek, Cherokee OTSA, USA",0.011583011583011584,0.0,0.0,0.04247104247104247,0.011583011583011584,0.07722007722007722,0.0,0.003861003861003861,0.015444015444015444,0.011583011583011584,0.11969111969111969,0.12741312741312744,0.0,0.02702702702702703,0.011583011583011584,0.12355212355212356,0.05791505791505792,0.10810810810810811,0.08494208494208494,0.0501930501930502,0.10810810810810811,0.007722007722007722,0.0,0.0,0.0
"Wakpala District, Standing Rock Reservation, USA",0.0,0.0003571805223709119,0.0005938264412172746,0.025096309818863863,0.10250678285797686,0.05016956424071609,0.00023812034824727464,0.0012820890377723845,0.020640740645427227,0.018762929585019548,0.17732453617572322,0.06624361868508985,0.04883216912237761,0.08725591488869237,0.0034762190510515675,0.0508507485834017,0.06533926002946358,0.049198459088315945,0.04900418223487871,0.0816764326871735,0.03799371339846145,0.012432744797398091,0.02284552655449972,0.022141272994652038,0.00573765821120902
"Fairfield, Cherokee OTSA, USA",0.005237613622842353,0.0,0.008729356038070587,0.0,0.010475227245684705,0.043733235380494194,0.0,0.03268325566478322,0.019247810878825922,0.043646780190352945,0.04487193342177907,0.069368164822215,0.02269632569898353,0.06946542691112392,0.06814301159078887,0.16149749673601949,0.04835286893823966,0.12978002873223865,0.029180706350787334,0.03441831997362969,0.11361131128012954,0.008729356038070587,0.0,0.02914828565448436,0.006983484830456472
"Eldon, Cherokee OTSA, USA",0.0,0.0,0.0,0.04593037048803171,0.041482806120401144,0.06435941515104157,0.0,0.04210283961402907,0.01703509942050843,0.05296539874240907,0.07164853495979256,0.08722438709592939,0.02904914932276887,0.07453663874392348,0.030951277674017563,0.01652691631176117,0.03496759806052367,0.09990049836218266,0.12045537214620257,0.057655417578660634,0.06991192194954209,0.01642670301263313,0.018960501943262376,0.0,0.007909153302378912
"Ojo Encino Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.001868200828401478,0.004188427289944102,0.012098363392358041,0.001868200828401478,0.022133177965166305,0.08441252509588064,0.0,0.004188427289944102,0.005327757178342251,0.0,0.10399524279940636,0.05292445150086318,0.023709640642372482,0.040158072381361425,0.0886000732490687,0.045118695569567255,0.05043818829885357,0.034647627344707,0.05761573691424004,0.025394274475705747,0.075125869991189,0.21398759763809133,0.018544403657473073,0.03365504566866254,0.0
"Pisinemo District, Tohono O'odham Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.0,0.0,0.0167910447761194,0.013059701492537313,0.10634328358208954,0.0,0.014925373134328356,0.013059701492537313,0.026119402985074626,0.0503731343283582,0.04291044776119403,0.0,0.039179104477611935,0.011194029850746268,0.05223880597014925,0.11940298507462685,0.16417910447761194,0.0708955223880597,0.039179104477611935,0.018656716417910443,0.0708955223880597,0.046641791044776115,0.0,0.083955223880597
"Snowbird Community, Eastern Cherokee Reservation, USA",0.0,0.003177285973389604,0.0,0.0,0.05730614058997534,0.11645384194293978,0.0,0.0,0.022568452919120463,0.0002793218438144707,0.034209881914821515,0.03723573285587361,0.004797395037152338,0.007964552018765393,0.00944650957900328,0.09107859408806421,0.044326526404562,0.053520338592899286,0.05599581673292667,0.1298176565480138,0.11269264992399079,0.17155750338291145,0.008988732112751785,0.0,0.03858306753902419
"District 3, Cheyenne River Reservation and Off-Reservation Trust Land, USA",0.0,0.0,0.013363028953229395,0.0,0.05790645879732738,0.10467706013363028,0.033407572383073486,0.0,0.013363028953229395,0.008908685968819597,0.37639198218262804,0.0044543429844097985,0.02672605790645879,0.015590200445434297,0.008908685968819597,0.017817371937639194,0.013363028953229395,0.10913140311804007,0.02672605790645879,0.04008908685968819,0.06013363028953229,0.02895322939866369,0.013363028953229395,0.0,0.02672605790645879
"Winslow Tract Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.001061859903317109,0.0,0.0,0.03535611569690111,0.0,0.02252771951512162,0.0,0.09506592733141643,0.004282468246696863,0.004370039830267933,0.03960273479277663,0.17373971578571482,0.0004904008679979881,0.03772350177838535,0.026431049348253726,0.0010074834697637544,0.19935649787903256,0.24412684595769182,0.01973632286567482,0.00031525770085584953,0.0011614453533702535,0.06392809984424153,0.0001926574838563525,0.00017514316714213864,0.029348713181521456
"Coppermine Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.009987009769164517,0.0,0.0,0.0005813116894221084,0.012509939973702816,0.019881047140467845,0.0,0.0014532792235552713,0.001598607145910798,0.0097487094489478,0.021241353966161926,0.11822837051295151,0.0008719675341331626,0.03433260562928685,0.061398815140797335,0.22124966470306706,0.03671020791146962,0.07428064470594492,0.10994467893868648,0.0935515019347513,0.06837455541386264,0.06633996450088527,0.027292771180599727,0.009551026002097935,0.0008719675341331626
"Tolani Lake Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.014710187556574978,0.00015779920941935837,0.00012623936753548666,0.0,0.03365810919573243,0.02271225809348184,0.0,0.026034756761432028,0.0005049574701419466,0.0003471582607225884,0.03682280865426325,0.09771494860301484,0.010819611734715101,0.14827830498559672,0.014867986765994337,0.02989377274140803,0.02296473682855281,0.052385111941702776,0.03372122887950017,0.13498831031379593,0.019389759425531648,0.20512206990306905,0.014647067872807234,0.0797225374905172,0.00041027794449033166
"Keys, Cherokee OTSA, USA",0.0,0.013745704467353953,0.02920962199312715,0.01632302405498282,0.05326460481099656,0.05326460481099656,0.0,0.03264604810996564,0.03350515463917526,0.0,0.06786941580756015,0.08419243986254296,0.04209621993127148,0.0,0.0627147766323024,0.05154639175257733,0.013745704467353953,0.1512027491408935,0.03608247422680413,0.09707903780068729,0.09192439862542956,0.04295532646048111,0.02663230240549828,0.0,0.0
"Forest Lake Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.0,0.0,0.022711292198006397,0.04912127720181088,0.11030343043328761,0.0,0.0017269733833327804,0.005731862508031133,0.07080747643493894,0.09268820445510213,0.19180226832122774,0.0,0.000597606136993052,0.04457901258717257,0.024820208415756287,0.06247361701608681,0.05119766132357341,0.08944085725098845,0.019216929819891343,0.013961487053574605,0.1436748363265761,0.0033184247274850817,0.0,0.001826574406164956
"Texanna, Cherokee OTSA, USA",0.009286339767275666,0.00769775694807729,0.007589291940282055,0.0,0.018391762652376152,0.06602661417616634,0.045979406630940384,0.10773019655743657,0.018551602520689464,0.035277140158378385,0.03571146899398479,0.0586018075479186,0.0071975237132373615,0.033635860058859504,0.02743408091099598,0.05831911881886921,0.08782245989588072,0.0932690105060465,0.06371958556442357,0.1415562763324138,0.02739992558343934,0.013918971143982568,0.015488942397604927,0.019394857180720804,0.0
"Zeb, Cherokee OTSA, USA",0.011848341232227486,0.004739336492890995,0.0,0.0,0.0,0.11492890995260661,0.010663507109004738,0.048578199052132696,0.01777251184834123,0.0829383886255924,0.0829383886255924,0.07109004739336491,0.00947867298578199,0.049763033175355444,0.03436018957345971,0.08056872037914689,0.09123222748815166,0.05568720379146919,0.08412322274881515,0.020142180094786723,0.07701421800947866,0.030805687203791465,0.00947867298578199,0.003554502369668246,0.00829383886255924
"Shady Grove, Cherokee OTSA, USA",0.015764807799301714,0.012379546716248906,0.00017811574431612025,0.013222918434458246,0.02822428117726214,0.061247698198165584,0.005200586552405231,0.04167681464263818,0.03286345684592342,0.03214632749311702,0.10970600995623883,0.08750387361112298,0.017048264997678347,0.03775010331089087,0.01960826761008955,0.08565084897113541,0.0263191664949197,0.12452582364324344,0.04243073163769963,0.06160843665414992,0.02638196164685892,0.08016239499043576,0.029141326878997852,0.005602169401382545,0.0036560665913197192
"Scraper, Cherokee OTSA, USA",0.0036684256616178476,0.005187143667071755,0.0,0.06508085336486563,0.062355819833867336,0.04399832834991677,0.0013411723345051324,0.06356979459548613,0.004694103170767964,0.025897873256085543,0.08155220201811854,0.10390634648688865,0.016838704797338365,0.0928409167283629,0.039167111916433364,0.018878220308315468,0.07974380442981711,0.07452008655583207,0.07204892236012142,0.04512170372300832,0.039132200687624956,0.0466270270738074,0.01215277326201608,0.0,0.0016764654181314154
"Casamero Lake Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0017607358384953262,0.0,0.025736585882229237,0.0,0.022302551255274382,0.041769522656809256,0.014172051506573939,0.0,0.0035214716769906523,0.07018712943859337,0.022902175580914452,0.04230319463072522,0.014005949725339077,0.0154193791675404,0.035487144447140066,0.05630914435606429,0.1177319526425305,0.09058198866759982,0.04485108992490729,0.0663196236167332,0.0230225888068123,0.2519403064753077,0.013198526473265231,0.026476887230154247,0.0
