longname,Population,Population (2010),Population Change (2010-2020),Population (2000),Population Change (2000-2020),PW Density (r=1km),PW Density (r=1km) (2010),PW Density (r=1km) Change (2010-2020),PW Density (r=1km) (2000),PW Density (r=1km) Change (2000-2020),AW Density,AW Density (2010),AW Density (2000),Area,Compactness,geoid
"Los Angeles County, California, USA",10009772.0,9816767.0,0.01966074981712411,9517302.0,0.051744706640600456,4568.027184853157,4554.18367142593,0.003039735422636833,4607.083916819872,-0.008477538649583354,944.4348397549084,926.2245702056224,897.9696629722505,10598.6899028393,0.27643719123188526,06037
"Cook County, Illinois, USA",5273563.0,5193667.0,0.015383350530559623,5375441.0,-0.018952491525811556,4694.972932991035,4488.161448333631,0.04607933271522343,4844.730622975728,-0.030911458580272638,2126.474964126546,2094.2582552839945,2167.5555421712734,2479.955366963902,0.3530519796178393,17031
"Harris County, Texas, USA",4730993.0,4092457.0,0.1560275404237601,3400617.0,0.3912160646141568,2126.4729495490496,2009.3097835031622,0.058310155560790396,2023.8736593339709,0.050694513336787435,1031.3895558617446,892.1842428456961,741.3582850969973,4587.008830089587,0.34993413412923563,48201
"Maricopa County, Arizona, USA",4420573.0,3817117.0,0.1580920888723086,3072149.0,0.43891881546109907,1936.6451954138472,1795.6688254961098,0.07850911477442857,1946.2088409557969,-0.004913987307370817,185.01393633035815,159.7575340580345,128.57843982745527,23893.189279031878,0.4294610401530923,04013
"San Diego County, California, USA",3297966.0,3094605.0,0.06571468733489412,2813104.0,0.17235836286180675,2688.7244277953405,2612.2477702225447,0.029276188286795082,2611.937817831727,0.02939833002125491,299.0868642379668,280.6444049165859,255.11556339127853,11026.783166832736,0.5879222736400612,06073
"Orange County, California, USA",3186283.0,3009566.0,0.05871843315614278,2844674.0,0.1200872226483597,3234.706051598101,3218.129278748988,0.0051510587093497,3295.278421461615,-0.018381563593842565,1541.022516737319,1455.5546295188049,1375.8058172413487,2067.6420788101505,0.563075047894038,06059
"Kings County, New York, USA",2736074.0,2504700.0,0.09237593324549846,2465322.0,0.10982419335080773,18997.931062932177,17431.02096749688,0.08989204352155103,17145.692231893634,0.10802939922093627,13318.12161486783,12191.88487181248,12000.208406574233,205.4399320806287,0.44254979255621374,36047
"Miami-Dade County, Florida, USA",2701051.0,2495812.0,0.08223335732018278,2252700.0,0.19902827717849692,3528.8206292986633,3287.9280568939503,0.07326576744878055,3203.20916794647,0.1016516388035121,516.6311192665576,477.3749725713826,430.8748418196377,5228.200352767336,0.28210657616190193,12086
"Dallas County, Texas, USA",2613539.0,2368291.0,0.10355484186698341,2218953.0,0.17782530770142496,2161.8309176819616,2055.5694992187146,0.05169439345331557,2191.5653441572686,-0.013567665940045616,1110.6815934341857,1006.4579949240631,942.993486531315,2353.0947262023456,0.7643806602161852,48113
"Riverside County, California, USA",2418185.0,2189641.0,0.10437510075852617,1545387.0,0.5647763311067066,1743.102677930113,1658.769933967276,0.05084053082704395,1447.3678498621318,0.20432596184594762,127.8533799523428,115.76988639505574,81.70712798417458,18913.73541240267,0.3186708708587894,06065
