longname,"Agriculture, forestry, fishing and hunting % [StatCan]","Mining, quarrying, and oil and gas extraction % [StatCan]",Accommodation and food services % [StatCan],"Arts, entertainment, and recreation % [StatCan]",Construction % [StatCan],Educational services % [StatCan],Health care and social assistance % [StatCan],Finance and insurance % [StatCan],Real estate and rental and leasing % [StatCan],Information % [StatCan],Manufacturing % [StatCan],"Other services, except public administration % [StatCan]",Administrative and support and waste management services % [StatCan],Management of companies and enterprises % [StatCan],"Professional, scientific, and technical services % [StatCan]",Public administration % [StatCan],Retail trade % [StatCan],Transportation and warehousing % [StatCan],Utilities % [StatCan],Wholesale trade % [StatCan]
"Toronto City, Toronto CDR, Ontario, Canada",0.0003152405604610763,0.0003258666467687531,0.05624983294115136,0.02056405729121286,0.05732314975823129,0.07526827554605313,0.11537104317121984,0.08635466139371988,0.025809637698426847,0.04059052375240514,0.06748635624005943,0.041119494081944305,0.0510655929659343,0.0038360171570712923,0.1453356448159574,0.03665532978979546,0.09978249245785357,0.04536630447624117,0.0019162375641510344,0.02926424169134164
"Montréal Ville, Montréal Territory, Quebec, Canada",0.0009523137259658472,0.0002366696833761276,0.05830313822739443,0.019820264336182843,0.03451959442262074,0.09376965190730704,0.14341536447195474,0.04992742676658561,0.014006562367728322,0.04176585549907658,0.08452139671631352,0.041918438839342,0.04893273781006021,0.0004386728397125887,0.12617012587125911,0.040647247910853196,0.11041036261333302,0.05300364500269395,0.0026507110237891205,0.03458981996445095
"Calgary City, Division No. 6, Alberta, Canada",0.0013526328557461162,0.04590865317464405,0.06153744367092796,0.018142923304246796,0.08577456609155278,0.0674552124148175,0.13352103564628673,0.03700627062948886,0.017584227124699495,0.01561408796524324,0.0467908050370872,0.04241680205247343,0.04428402349464451,0.0014114429799089898,0.12294991582800947,0.033382096727951706,0.11744381795326027,0.0676757503804281,0.009497835052304249,0.030250457616278665
"Ottawa City, Ottawa CDR, Ontario, Canada",0.0028583055577087037,0.00024222928455158529,0.051662661809162104,0.015124796527401013,0.05317417254476402,0.08087551352608317,0.1216281683590415,0.03259437252926136,0.013216029765134462,0.02137431206883186,0.028602433919851185,0.0373808231920006,0.04119835671653358,0.0004360127121928536,0.11952561816913397,0.22531199131850266,0.10295713510580601,0.0330400744128363,0.0011627005658476077,0.017634291915355423
"Edmonton City, Division No. 11, Alberta, Canada",0.0019170697054329941,0.016572435067778606,0.06708770837185324,0.014986230184603103,0.09840309066669257,0.07486303169490385,0.1499985403022546,0.0326874981753778,0.015638228510816324,0.011181284728642197,0.05609131869094296,0.04744990803904203,0.044043946633450314,0.0003600587771625421,0.07879448428878649,0.06904370335049295,0.12235186500715285,0.059448623505026194,0.0068897733575967665,0.032191200941991564
"Winnipeg City, Division No. 11, Manitoba, Canada",0.0031835305353637225,0.00023876479015227895,0.06430731681434712,0.01652782936276331,0.0662572292672573,0.08600838329707647,0.1605295272457158,0.04724889902902314,0.01160662174351356,0.015586034912718183,0.09012044357192112,0.0426327797527457,0.04731522258184331,0.000583647264816682,0.06107072743672737,0.06753064148140284,0.11617233511964746,0.07115190746537926,0.005451796041810367,0.02647636228577487
"Mississauga City, Peel Regional municipality, Ontario, Canada",0.0003617491964993812,0.00037566262713397265,0.04805698941187932,0.008765461299792684,0.06316697508104571,0.06368177201452557,0.10049670947365479,0.07873610396115359,0.021524077191713176,0.024473724486246583,0.0946391551764919,0.03283569629763617,0.04596997481669055,0.002852253280091274,0.12861575278616458,0.03258525454621348,0.11799980521197102,0.07927872775590274,0.002587898098034033,0.05299625728715941
"Vancouver City, Greater Vancouver Regional district, British Columbia, Canada",0.001821469229223867,0.0012991361414317294,0.08084109020290622,0.026813098506663142,0.05384048751088194,0.09056452152949838,0.12294917297261086,0.04851001138418262,0.028540815643206374,0.058193263242483015,0.04192057858434348,0.043367039442844764,0.03724636710640862,0.0011384182682649166,0.1552132860108486,0.0385321100917432,0.10269872095359271,0.036898145047880554,0.0018214692292238676,0.0277907989017612
"Brampton City, Peel Regional municipality, Ontario, Canada",0.0006434139845281389,0.00017955739103110843,0.0475677455073244,0.006434139845281384,0.059972168604390044,0.04704403645015047,0.09078122428214451,0.05620146339273695,0.01928745641992488,0.017102841495713075,0.12691714922715522,0.03158713770555576,0.053612844338705015,0.0020200206490999678,0.08319492451108029,0.02663434633628107,0.12010893148389233,0.16411545540243275,0.0017207583307147878,0.04487438464185779
"Hamilton City, Hamilton CDR, Ontario, Canada",0.007029453223532899,0.00029675791972698276,0.05686623636768293,0.01391052748720231,0.07971659618666069,0.09106758661621761,0.15366496030862853,0.03854143482454194,0.014504043326656285,0.01600638029527415,0.11584687291342102,0.041564656131760525,0.04833444617553239,0.0005193263595222198,0.07311373247273521,0.042176719341197426,0.12096594702871125,0.048649751465242266,0.002448252837747607,0.034776318718005836
