longname,High school diploma [25-64] %,Bachelor's degree [25-64] %,Graduate degree [25-64] %
"Toronto CDR, Ontario, Canada",0.9149481339954275,0.4899600277075958,0.1519066578482401
"Greater Vancouver Regional district, British Columbia, Canada",0.9343996618034787,0.4272934254165823,0.11896687938167437
"Montréal Territory, Quebec, Canada",0.9061165846163897,0.4484198337388968,0.1519208292649317
"Division No. 6, Alberta, Canada",0.9254371720141539,0.3965858133479206,0.10064785217346733
"Division No. 11, Alberta, Canada",0.9054932934405031,0.30673318289003193,0.07699865615253923
"Peel Regional municipality, Ontario, Canada",0.913066659814609,0.41890910959652033,0.1217824771473169
"York Regional municipality, Ontario, Canada",0.9300896103067797,0.46217871037693675,0.12452962561387804
"Ottawa CDR, Ontario, Canada",0.9458789544798025,0.4910310767367111,0.17072170712388732
"Division No. 11, Manitoba, Canada",0.9136690647482011,0.3582963416500839,0.07786111536302877
"Durham Regional municipality, Ontario, Canada",0.9269685677252104,0.3035212788939291,0.06875135018362517
"Halton Regional municipality, Ontario, Canada",0.960724879645989,0.5023260337477511,0.14740732335921433
"Québec Territory, Quebec, Canada",0.9314631867031571,0.3538148321206872,0.11589680261664786
"Waterloo Regional municipality, Ontario, Canada",0.903307233467852,0.34495232889046096,0.10129105905429515
"Hamilton CDR, Ontario, Canada",0.8955425709515858,0.3014190317195324,0.08180300500834725
"Simcoe County, Ontario, Canada",0.8965099767773652,0.2139560283603017,0.03945542940426774
"Middlesex County, Ontario, Canada",0.910879786390109,0.3253487607143545,0.0968983998606891
"Niagara Regional municipality, Ontario, Canada",0.9172284880179784,0.2360279755528955,0.053178753701720156
"Halifax County, Nova Scotia, Canada",0.933678381798922,0.4005759939121512,0.11379227881405381
"Laval Territory, Quebec, Canada",0.8897862548125858,0.3139133513298229,0.0688586980572643
"Longueuil Territory, Quebec, Canada",0.9075418183442391,0.3830537999419348,0.10746588650423242
"Essex County, Ontario, Canada",0.8921386251545906,0.262488844358205,0.0705579765870021
"Capital Regional district, British Columbia, Canada",0.9397255493580752,0.3831563432360915,0.11707057637902649
"Division No. 11, Saskatchewan, Canada",0.9273723168023684,0.3412287194670628,0.09166543301258344
"Fraser Valley Regional district, British Columbia, Canada",0.8751237011380506,0.19408708560118723,0.043728352300841156
"Gatineau Territory, Quebec, Canada",0.8839104525688517,0.3409244644870353,0.10372040586245763
"Division No. 6, Saskatchewan, Canada",0.9223120820642084,0.31831390260126835,0.07495711234814295
"Division No. 1, Newfoundland and Labrador, Canada",0.9172458722618624,0.26833411902165155,0.08203817952457937
"Wellington County, Ontario, Canada",0.8996310850910256,0.33394819151495747,0.09724115807201844
"Central Okanagan Regional district, British Columbia, Canada",0.9309546685300025,0.2677526421521527,0.06891431566075636
"Division No. 8, Alberta, Canada",0.8827267739575706,0.17168068763716207,0.02651792245793726
"Roussillon CRM, Quebec, Canada",0.9057176676444856,0.28217796304873627,0.0650506921928876
"Division No. 2, Alberta, Canada",0.8455351862803075,0.20609107037256108,0.04316972205795375
"Sherbrooke Territory, Quebec, Canada",0.897204045211184,0.3089232599643069,0.10606781677572873
"Les Moulins CRM, Quebec, Canada",0.8869666796462146,0.19847583022751286,0.03254158090893919
"Nanaimo Regional district, British Columbia, Canada",0.9126479678361169,0.24757716971314558,0.0661749862691627
"Le Saguenay-et-son-Fjord CDR, Quebec, Canada",0.8936312991021762,0.19744408155950557,0.04608276679182399
"Greater Sudbury / Grand Sudbury CDR, Ontario, Canada",0.9136299929922915,0.2266993693062369,0.048353188507358105
"Thérèse-De Blainville CRM, Quebec, Canada",0.9004772847799188,0.27706086854045087,0.06145778092039353
"Westmorland County, New Brunswick, Canada",0.9162087100395908,0.2786149027950124,0.06765939845181114
"Vaudreuil-Soulanges CRM, Quebec, Canada",0.9090922342281034,0.2722520661062909,0.055233353968204044
"Frontenac County, Ontario, Canada",0.9374189964821327,0.32790224032586557,0.12182929087206068
"Francheville CDR, Quebec, Canada",0.8840115138034801,0.22608923197697245,0.05665314667015582
"Lévis Territory, Quebec, Canada",0.9350966295099268,0.30301431304003673,0.07057581953696974
"Peterborough County, Ontario, Canada",0.9119286510590856,0.24358974358974378,0.05190914158305464
"Thunder Bay District, Ontario, Canada",0.8846651101031229,0.23489952497630137,0.05371093298780397
"Hastings County, Ontario, Canada",0.8818075681615277,0.14676189822127603,0.024105487260490336
"Brant CDR, Ontario, Canada",0.8873258487758693,0.19599621263357192,0.036115244149871426
"Thompson-Nicola Regional district, British Columbia, Canada",0.9120536949903129,0.2091752006642681,0.04760586769997243
"La Rivière-du-Nord CRM, Quebec, Canada",0.8506260575296108,0.15099830795262267,0.02423011844331645
"La Vallée-du-Richelieu CRM, Quebec, Canada",0.9248169361270209,0.3029072718045387,0.07105053287899654
"Lambton County, Ontario, Canada",0.9219139525532769,0.17683956574185816,0.031765178930438336
"L'Assomption CRM, Quebec, Canada",0.8864628048216228,0.19028442117534178,0.028914247055107537
"Oxford County, Ontario, Canada",0.8782786885245906,0.15729508196721337,0.02590163934426231
"Le Haut-Richelieu CRM, Quebec, Canada",0.8605157131345686,0.16720386784850963,0.025705076551168462
"Division No. 19, Alberta, Canada",0.8567649575974485,0.15747296351046347,0.019295106200886963
"Haldimand-Norfolk CDR, Ontario, Canada",0.8734132807489454,0.1326972610661594,0.018994146389283886
"Stormont, Dundas and Glengarry United counties, Ontario, Canada",0.8742810935939245,0.13486636612036287,0.02379565670072033
"Algoma District, Ontario, Canada",0.892961153915607,0.19462993615867902,0.03168966813594341
"Drummond CRM, Quebec, Canada",0.8369054333521337,0.1496521902613273,0.026320736980635504
"Renfrew County, Ontario, Canada",0.9100729650336397,0.15948071638396696,0.03354496351748315
"York County, New Brunswick, Canada",0.9412587412587412,0.38983682983682955,0.1137529137529139
