longname,Population [GHS-POP],PW Density (r=1km) [GHS-POP],AW Density [GHS-POP],Area,Compactness
"Tokyo 500MPC, Indonesia-China-Japan",615107300.0,4456.4946,4.9222690986874,124964181.28867194,0.4088415901914009
"São Paulo 500MPC, Brazil-USA-Argentina",503672580.0,4322.0464,6.690280034664592,75284229.2684765,0.4068363810173045
"Mexico City 500MPC, USA-Mexico-Colombia",491389950.0,3006.9075,31.192319787405655,15753555.854425605,0.9797600505135605
"Mumbai 500MPC, India",490590050.0,8745.177,244.93032915356238,2002977.9476286008,0.9014862902329583
"Cairo 500MPC, Egypt-Turkey-Iran",489133700.0,9108.13,59.331113532684,8244134.769703061,0.8979737167557207
"Guangzhou 500MPC, China",489074300.0,6235.2812,282.32805634417406,1732290.833341021,0.8667549615227966
"Lagos 500MPC, Nigeria-Ethiopia-Tanzania",488394080.0,5765.083,38.57228318239506,12661788.198809812,0.21421138307498552
"Dhaka 500MPC, India-Bangladesh",487052770.0,7338.716,773.0335471696026,630053.8570199221,0.9842018301158575
"Shanghai 500MPC, China",485911580.0,6077.098,543.2311287230985,894484.0571676517,0.9521274577034168
"London 500MPC, Germany-France-Italy",480203970.0,2855.1907,98.79185358223744,4860764.836244956,0.8102950250946668
"Delhi [New Delhi] 500MPC, India-Pakistan",477265470.0,6484.1567,465.7159025376487,1024799.6029326434,0.9775021337755719
"Karachi 500MPC, Russia-Morocco-Algeria",475086370.0,5745.8843,16.288342669589294,29167262.602290228,0.14708412511704888
"Chattogram 500MPC, India-Pakistan-China",459379040.0,4530.6055,60.35865914300458,7610822.482183004,0.3455481444759215
"Seoul 500MPC, China-Japan-South Korea",449771940.0,6703.3105,106.64968899222598,4217283.146815226,0.5554009082528472
"Kinshasa 500MPC, Nigeria-Democratic Republic of the Congo-Uganda",432819700.0,4744.328,47.58130159040777,9096424.383801535,0.9988364770953684
"Jakarta 500MPC, Indonesia-Philippines-Vietnam",401624420.0,5181.73,54.762107174749865,7333983.966657588,0.9884983848579809
