longname,Within 10km of Hospital %,Mean distance to nearest Hospital
"Historical Congressional District NY-1, 48th Congress, USA",0.9592155448148961,1.0
"Historical Congressional District NY-1, 43rd Congress, USA",0.9592155448148961,1.0
"Historical Congressional District NY-1, 49th-52nd Congress, USA",0.9592155448148961,1.0
"Historical Congressional District NY-1, 38th-42nd Congress, USA",0.9592155448148961,1.0
"Historical Congressional District CA-22, 78th-82nd Congress, USA",0.9376850095401521,1.0
"Historical Congressional District TX-8, 66th-72nd Congress, USA",0.946524336294954,1.0
"Historical Congressional District TX-8, 73rd Congress, USA",0.946524336294954,1.0
"Historical Congressional District TX-1, 55th-57th Congress, USA",0.9069751848932471,1.0
"Historical Congressional District TX-1, 53rd-54th Congress, USA",0.9069751848932471,1.0
"Historical Congressional District NY-6, 1st-2nd Congress, USA",0.6815156764998297,1.0
"Historical Congressional District FL-6, 83rd-87th Congress, USA",0.9224919227328341,1.0
"Historical Congressional District CA-3, 49th-52nd Congress, USA",0.953543143905415,1.0
"Historical Congressional District NY-1, 53rd-57th Congress, USA",0.9554188465587166,1.0
"Historical Congressional District NY-1, 18th-22nd Congress, USA",0.9554153942792422,1.0
"Historical Congressional District NY-1, 28th-32nd Congress, USA",0.9554153942792422,1.0
"Historical Congressional District NY-1, 8th Congress, USA",0.9554153942792422,1.0
"Historical Congressional District NY-1, 9th-10th Congress, USA",0.9554153942792422,1.0
"Historical Congressional District NY-1, 23rd-27th Congress, USA",0.9554153942792422,1.0
"Historical Congressional District TX-6, 51st-52nd Congress, USA",0.9233840285862046,1.0
"Historical Congressional District TX-6, 50th Congress, USA",0.9233840285862046,1.0
"Historical Congressional District TX-6, 48th-49th Congress, USA",0.9233840285862046,1.0
"Historical Congressional District IL-1, 38th-42nd Congress, USA",0.9986447719647319,1.0
"Historical Congressional District FL-6, 79th-82nd Congress, USA",0.9331384368241432,1.0
"Historical Congressional District NC-4, 1st Congress, USA",0.7296971993360225,1.0
"Historical Congressional District NC-1, 2nd Congress, USA",0.7304832109769924,1.0
"Historical Congressional District CA-8, 63rd-72nd Congress, USA",0.9163581665069042,1.0
"Historical Congressional District MI-3, 28th-32nd Congress, USA",0.6898434176839301,1.0
"Historical Congressional District FL-5, 79th-82nd Congress, USA",0.8294287063305276,1.0
"Historical Congressional District FL-5, 78th Congress, USA",0.8294287063305276,1.0
"Historical Congressional District FL-5, 75th-77th Congress, USA",0.8294287063305276,1.0
"Historical Congressional District NY-2, 9th-10th Congress, USA",1.0,1.0
"Historical Congressional District NY-3, 9th-10th Congress, USA",1.0,1.0
"Historical Congressional District FL-5, 83rd-87th Congress, USA",0.8367005504452856,1.0
"Historical Congressional District CA-28, 83rd-87th Congress, USA",0.975088087275935,1.0
"Historical Congressional District FL-1, 79th-82nd Congress, USA",0.9050249997263218,1.0
"Historical Congressional District GA-5, 29th-31st Congress, USA",0.8205901557916949,1.0
"Historical Congressional District NY-10, 3rd-5th Congress, USA",0.6706260730438036,1.0
"Historical Congressional District FL-6, 88th-89th Congress, USA",0.9302117554160363,1.0
"Historical Congressional District TX-8, 83rd-85th Congress, USA",0.9711912097426029,1.0
"Historical Congressional District TX-8, 74th-82nd Congress, USA",0.9711912097426029,1.0
"Historical Congressional District MN-2, 38th-42nd Congress, USA",0.728622300612535,1.0
"Historical Congressional District MI-4, 33rd-37th Congress, USA",0.6982442939821618,1.0
"Historical Congressional District TX-10, 48th-49th Congress, USA",0.8416104720607834,1.0
"Historical Congressional District NJ-1, 6th Congress, USA",0.9766469535432808,1.0
"Historical Congressional District TX-10, 50th Congress, USA",0.8406708821098251,1.0
"Historical Congressional District TX-10, 51st-52nd Congress, USA",0.8407325811251831,1.0
"Historical Congressional District VA-2, 1st-2nd Congress, USA",0.6688037915213622,1.0
"Historical Congressional District OH-6, 13th-17th Congress, USA",0.8131178999010014,1.0
"Historical Congressional District AZ-1, 81st-87th Congress, USA",0.9206199293846402,1.0
"Historical Congressional District AZ-1, 88th-89th Congress, USA",0.9206199293846402,1.0
"Historical Congressional District NJ-1, 13th Congress, USA",0.9688204067425064,1.0
"Historical Congressional District CA-3, 63rd-72nd Congress, USA",0.9294216304443339,1.0
"Historical Congressional District NY-1, 58th-62nd Congress, USA",0.9451475768755299,1.0
"Historical Congressional District TX-7, 48th-49th Congress, USA",0.7890409058719602,1.0
"Historical Congressional District TX-7, 51st-52nd Congress, USA",0.7890409058719602,1.0
"Historical Congressional District TX-7, 50th Congress, USA",0.7890409058719602,1.0
"Historical Congressional District NY-2, 1st-2nd Congress, USA",0.9998231742994772,1.0
"Historical Congressional District MN-3, 43rd-47th Congress, USA",0.7441154409490253,1.0
"Historical Congressional District OH-5, 13th-17th Congress, USA",0.7981373657157986,1.0
"Historical Congressional District MA-1, 3rd Congress, USA",0.9708964454102251,1.0
"Historical Congressional District MD-5, 38th-42nd Congress, USA",0.863835023312454,1.0
"Historical Congressional District NY-10, 6th-7th Congress, USA",0.7055278607827132,1.0
"Historical Congressional District WA-1, 63rd Congress, USA",0.8576104426053288,1.0
"Historical Congressional District WA-1, 61st-62nd Congress, USA",0.8576104426053288,1.0
"Historical Congressional District CO-2, 64th-67th Congress, USA",0.8821911277595269,1.0
"Historical Congressional District GA-4, 20th Congress, USA",0.8290285665881334,1.0
"Historical Congressional District CA-6, 58th-62nd Congress, USA",0.8117264413420142,1.0
"Historical Congressional District NC-5, 1st Congress, USA",0.7263975699389003,1.0
"Historical Congressional District NY-3, 6th-7th Congress, USA",0.9986384535615896,1.0
