longname,PW Density (r=250m),PW Density (r=250m) (2010),PW Density (r=250m) Change (2010-2020),PW Density (r=250m) (2000),PW Density (r=250m) Change (2000-2020),PW Density (r=500m),PW Density (r=500m) (2010),PW Density (r=500m) Change (2010-2020),PW Density (r=500m) (2000),PW Density (r=500m) Change (2000-2020),PW Density (r=2km),PW Density (r=2km) (2010),PW Density (r=2km) Change (2010-2020),PW Density (r=2km) (2000),PW Density (r=2km) Change (2000-2020),PW Density (r=4km),PW Density (r=4km) (2010),PW Density (r=4km) Change (2010-2020),PW Density (r=4km) (2000),PW Density (r=4km) Change (2000-2020)
"Central District of California, CA, USA",5025.256259824173,5091.081263694402,-0.012929474204161953,5372.848532741611,-0.06469422519530281,4052.431105257737,4084.26324567373,-0.007793851302241993,4219.714057600606,-0.03964319621173306,3057.4446935868036,3052.570792575338,0.001596654538961094,3124.601363406466,-0.021492876053298447,2623.7690445088406,2610.5474671376255,0.005064676102485147,2659.464522240558,-0.013422054489993517
"Middle District of Florida, FL, USA",2620.5839747416844,2436.153912665856,0.07570542284580403,2601.311579662149,0.007408722288484302,1388.3799302480795,1287.5911626338227,0.07827699547742242,1320.5938590484152,0.05132999122721134,888.0852007137631,799.0052501859604,0.11148856719911442,798.710975660295,0.11189808050350421,750.5160680936918,673.2644331001385,0.11474189218319107,663.4713644448858,0.13119587116112347
"Southern District of Texas, TX, USA",3141.259210866271,3080.3699120658653,0.019766878829033285,3152.7063181953185,-0.003630882858635561,1987.47583322085,1926.3225321749092,0.03174613805554979,1941.710849495967,0.023569412375052008,1341.4462680652387,1253.5892250315574,0.07008439549364315,1206.097984879567,0.112219972906419,1151.5715888632947,1056.9111919851703,0.08956324580150023,986.17483760699,0.16771544451250595
"Northern District of Illinois, IL, USA",4524.569129198198,4407.116166517121,0.026650752610839067,5080.500134634129,-0.10942446426604918,3755.320026217949,3631.588300079309,0.03407096727785404,4043.8568510582404,-0.07135188891881375,2689.429734959208,2614.2164089176727,0.02877088743876213,2922.4879721722646,-0.07974651715669032,2330.962505056775,2275.5913326801247,0.024332652168891845,2540.6193458567495,-0.08252194140845359
"District of New Jersey, NJ, USA",4516.265154219065,4179.068999094688,0.0806869078250262,4246.848240524127,0.06343926093805706,3621.6150389937957,3296.1711323304835,0.09873392296631589,3322.8799566961884,0.08990245997168916,2488.9155164862586,2225.2162586725713,0.1185050022827868,2226.659996452054,0.11777977798679669,2146.2068274120866,1904.657557020977,0.1268203144973263,1881.4761472116836,0.14070371319494507
"Eastern District of New York, NY, USA",13782.16134047353,12832.644443592817,0.07399230151309896,13099.307935236766,0.05212896808081813,12371.78006086545,11463.04047004084,0.07927561567977028,11561.154576224224,0.07011630882509748,9666.772261714761,8830.065869332284,0.09475652897318053,8793.442428186274,0.0993160347225494,8477.177099608738,7712.0866427725505,0.09920667288576157,7689.379987505406,0.10245261820633605
"Northern District of California, CA, USA",5172.912000230396,4854.134204101518,0.06567140147454638,5167.074238684931,0.0011298002071964324,4199.26183315517,3924.57691065104,0.06999096431481659,3978.6300835886727,0.05545420029788006,3039.2938967592236,2789.6467494937506,0.08949059493313179,2758.0229238277934,0.1019828263577523,2370.078586537162,2169.826436288387,0.09228947850378212,2127.6592246183836,0.11393711883643343
"Eastern District of California, CA, USA",2803.2287479984875,2812.7759004776153,-0.003394210138641578,2907.180683997113,-0.03575695744362923,2100.0612770667817,1987.025872634533,0.05688673005670466,1952.582460984366,0.07553013459317177,1401.3215787851414,1288.503631682516,0.08755733730863352,1230.955109006893,0.13840185440693784,1081.8827619214214,984.554257727654,0.09885539921222943,929.4680510029243,0.16398058088606382
"Western District of Texas, TX, USA",2700.646677182699,2544.1020347484764,0.06153237578370141,2658.0103458132585,0.016040694287213286,1648.1148498354505,1594.9169737109146,0.033354636637140875,1603.984729462005,0.027512805803486272,1080.153643082065,1039.5791787428639,0.03902970083362648,1020.2293014292318,0.058736150362360295,909.7785612876609,858.1668525872155,0.06014181105322991,824.0054332178016,0.10409291566793302
"Northern District of Texas, TX, USA",2633.779906481777,2533.4466008811396,0.039603481504501034,2841.653775076792,-0.0731524263857224,1835.0857637225383,1757.641945054552,0.04406120307147238,1851.4493979212316,-0.008838283248284293,1234.5192713803647,1152.2886410129595,0.07136287509969506,1164.6611368650226,0.05998151076233446,1047.9599037088406,962.7512676150824,0.08850534812053391,950.1262211174242,0.10296914285383703
