longname,Population [StatCan],PW Density (1km) [StatCan],Area-weighted Density [StatCan],Area,Compactness
"Toronto CMA, ON, Canada",6201827.0,4986.273021153894,981.8205864309601,6316.660177746336,0.39318706439028234
"Montréal CMA, QC, Canada",4275744.0,4386.279519792968,846.5470899099749,5050.80467579742,0.09313575950518896
"Vancouver CMA, BC, Canada",2642744.0,4669.972182729539,814.1183916888438,3246.1421176320227,0.1995360473075113
"Ottawa - Gatineau CMA, QC-ON, Canada",1488307.0,2460.5669306566274,173.39494143766805,8583.335751666182,0.35124893553244607
"Calgary CMA, AB, Canada",1481806.0,2859.728683524417,282.67849192097543,5242.018909646115,0.3220160180135243
"Edmonton CMA, AB, Canada",1418118.0,2416.87642539734,143.84937943231554,9858.353269207235,0.19081825416820952
"Québec CMA, QC, Canada",839274.0,2325.1866578977338,223.7313936740102,3751.2571938065676,0.15154265238245512
"Winnipeg CMA, MB, Canada",834678.0,2643.3741990897256,154.0659038360438,5417.668538057976,0.13218783779089513
"Hamilton CMA, ON, Canada",785184.0,2801.0293139657047,553.5900004162214,1418.349318827386,0.3665699214730774
"Kitchener - Cambridge - Waterloo CMA, ON, Canada",575847.0,2290.2944491107232,520.3513466571394,1106.650350190074,0.4294422791088181
"London CMA, ON, Canada",543551.0,2128.2148902869944,201.0094804037456,2704.1062884607677,0.3009258539239765
"Halifax CMA, NS, Canada",465347.0,1818.5833267377045,56.35894101367692,8256.844284690726,0.15566336564052613
"St. Catharines - Niagara CMA, ON, Canada",433604.0,1551.3238871289705,286.21776990546675,1514.9443731016863,0.29719591042039806
"Windsor CMA, ON, Canada",422572.0,1710.7678614050935,188.4546049337312,2242.30127010478,0.5646239561049388
"Oshawa CMA, ON, Canada",415311.0,2354.068595112874,454.3441812589841,914.0889597159064,0.45578939640210664
"Victoria CMA, BC, Canada",397117.0,2380.160144009109,474.989118458926,836.0549422446193,0.15477053125422782
"Saskatoon CMA, SK, Canada",317480.0,2078.7336031188884,51.04682411458273,6219.387895461734,0.33181097901168605
"Regina CMA, SK, Canada",249217.0,2146.4405405064267,56.46425548081791,4413.712673226768,0.21680176628267173
"Sherbrooke CMA, QC, Canada",227398.0,1489.0572072386608,149.36354002099162,1522.4465084855472,0.22793073974562458
"Kelowna CMA, BC, Canada",222162.0,1392.9219973002948,70.64195136087126,3144.9018001370787,0.25531780535773946
"Barrie CMA, ON, Canada",212856.0,1679.4140809710052,219.96626660727117,967.6756499215134,0.3902047846450545
"St. John's CMA, NL, Canada",212532.0,1301.9707876733692,212.48592792329407,1000.2168241311612,0.09902771307983275
"Abbotsford - Mission CMA, BC, Canada",195726.0,2291.0863481398405,300.25943113468406,651.8562939400406,0.31882882429701404
"Kingston CMA, ON, Canada",172546.0,1428.3659250261082,72.2820764143298,2387.1201348857912,0.28723086570557177
"Greater Sudbury / Grand Sudbury CMA, ON, Canada",170605.0,953.2088149116485,36.17057211193005,4716.679611040207,0.2303026762079594
"Guelph CMA, ON, Canada",165588.0,2036.9275825493958,274.1510492748751,604.0027949481772,0.4916364318741796
"Trois-Rivières CMA, QC, Canada",161489.0,1332.8305599011194,142.26735875396105,1135.1092858853247,0.1436152138709571
"Saguenay CMA, QC, Canada",161401.0,947.6992706184864,47.09799653910272,3426.91859230144,0.11834633423822281
"Moncton CMA, NB, Canada",157717.0,1189.9326523835127,59.71186561758499,2641.300826372987,0.38400466756628054
"Brantford CMA, ON, Canada",144162.0,1630.1914875748103,132.71271992296943,1086.271158361279,0.4600158589627071
"Saint John CMA, NB, Canada",129498.0,709.2787982753009,33.22763682540298,3897.29792342611,0.1654322123766728
"Peterborough CMA, ON, Canada",128624.0,1252.3619214114415,78.57387764357424,1636.9817025381192,0.4473972314815446
"Lethbridge CMA, AB, Canada",123847.0,1426.1915252175243,40.6370333394247,3047.6388117596116,0.32598487209164373
"Thunder Bay CMA, ON, Canada",123258.0,1385.7501946518241,40.591990286487814,3036.5103837007446,0.16560351789426386
"Nanaimo CMA, BC, Canada",115052.0,1294.2670014179894,86.1578238850493,1335.363346148354,0.12036328529833135
"Kamloops CMA, BC, Canada",114142.0,1190.4338556537195,19.58012498645233,5829.482706518775,0.18722719669380153
"Chilliwack CMA, BC, Canada",113767.0,1509.7009821387587,74.18341066385375,1533.5908524819763,0.262420978434188
"Belleville - Quinte West CMA, ON, Canada",111184.0,1032.062819709356,80.12371003283941,1387.6541657198632,0.31498074376040197
"Fredericton CMA, NB, Canada",108610.0,669.8593723532063,17.50186139907297,6205.625648809721,0.28961495128091824
"Chatham-Kent CMA, ON, Canada",104316.0,955.2038207762846,39.00101570041595,2674.6995719623646,0.3743429346823001
"Drummondville CMA, QC, Canada",101610.0,1145.3742441687261,90.94212344747162,1117.304018733301,0.3339199747429079
"Red Deer CMA, AB, Canada",100844.0,1967.3699157019805,936.2719361873299,107.7080238148066,0.42680848203910415
"Cape Breton CMA, NS, Canada",98318.0,624.2665010306852,33.39286408664859,2944.2817407001126,0.14080266914126413
"Sarnia CMA, ON, Canada",97592.0,1339.204813247699,83.53271455244683,1168.3087341633786,0.4554946831568955
"Granby CMA, QC, Canada",90833.0,1317.2073308545978,180.23286626928052,503.9757835526465,0.23869149752391147
"Prince George CMA, BC, Canada",89490.0,1002.7442567356228,4.963818332879024,18028.459947303436,0.15057703287800803
"Kawartha Lakes CMA, ON, Canada",79247.0,500.4255411611556,23.761545482057173,3335.094514784025,0.4832148597037948
"Charlottetown CMA, PE, Canada",78858.0,781.6280736037347,61.24701049375963,1287.5403936333305,0.12134102012207515
"Sault Ste. Marie CMA, ON, Canada",76731.0,1241.9411094517948,84.51225279649907,907.9275189215946,0.10869810965093406
"Medicine Hat CMA, AB, Canada",76376.0,1240.4636788758219,5.603296575626678,13630.547476680375,0.3192316239677557
"Wood Buffalo CMA, AB, Canada",73837.0,1621.5130880453999,1.109426449104125,66554.20921289938,0.21253732658210667
"North Bay CMA, ON, Canada",71736.0,1031.9518297736902,11.908250619462573,6024.05863735823,0.24254632182775165
"Vernon CMA, BC, Canada",67086.0,1035.8165819822057,59.39418252926936,1129.5045599279042,0.2115488165542415
"Norfolk CMA, ON, Canada",67027.0,547.2401590400024,40.040529836907616,1673.9788477578393,0.33316787517880864
"Grande Prairie CMA, AB, Canada",64141.0,1581.3551425559886,472.3647429076008,135.78701832229382,0.25930142372908377
"Courtenay CMA, BC, Canada",63282.0,953.0760248261886,85.67088748111891,738.6639949766691,0.1115657319320994
"Cornwall CMA, ON, Canada",61410.0,1454.2596246458977,110.14497201785721,557.537932735086,0.4073713236974318
"Saint-Hyacinthe CMA, QC, Canada",59980.0,1814.7947004050461,229.00974158311487,261.9102558055652,0.42542341155430596
"Brandon CMA, MB, Canada",54268.0,1644.7437240836664,43.78177833655436,1239.5110948403496,0.20036273730953194
"Rimouski CMA, QC, Canada",53894.0,1088.467814145585,65.59272595167768,821.645986167793,0.408436798746949
"Victoriaville CMA, QC, Canada",52936.0,1375.069472582779,138.7007040622787,381.65631788163773,0.22644208950234723
"Joliette CMA, QC, Canada",52706.0,1351.115556752316,473.91315715225056,111.21446873665829,0.1902183568104332
"Shawinigan CMA, QC, Canada",49620.0,951.4614151018509,61.75555538735635,803.4904663841636,0.20697068890083925
"Duncan CMA, BC, Canada",47582.0,740.9408102455952,113.90497288340072,417.73417608998955,0.28300949202550546
"Penticton CMA, BC, Canada",47380.0,1429.1276932167602,26.252860848140855,1804.755690211008,0.16690334240424143
"Woodstock CMA, ON, Canada",46705.0,1815.01942322135,794.0723309325649,58.81706008462639,0.4374469110122949
"Truro CMA, NS, Canada",46157.0,455.6146213721783,16.443202343912898,2807.0566203965036,0.3258406652623583
"Prince Albert CMA, SK, Canada",45718.0,1279.7407794298856,17.177254465782774,2661.5429195085057,0.3231120606127257
"Salaberry-de-Valleyfield CMA, QC, Canada",42724.0,1438.7663403865074,330.2278353358854,129.37734324105065,0.44307950550216174
"Rouyn-Noranda CMA, QC, Canada",42313.0,780.0388868561392,6.526432418911061,6483.327687174603,0.4165004924330495
"Sorel-Tracy CMA, QC, Canada",41934.0,1084.002396942917,207.66504682917585,201.93094909464799,0.32304729469269416
"Timmins CMA, ON, Canada",41145.0,1422.3117040270247,12.94483207981653,3178.4885077152085,0.5588449813868178
"Campbell River CMA, BC, Canada",40704.0,1109.9781272794903,21.807444350137818,1866.5185771638924,0.18721305334919405
"Moose Jaw CMA, SK, Canada",34872.0,1297.2592624189372,40.79422190341654,854.8269429568271,0.6445422180871324
"Saint-Georges CMA, QC, Canada",34833.0,986.5668448539541,94.50531219892054,368.582455202956,0.18726067733640753
"New Glasgow CMA, NS, Canada",34397.0,428.5394235856594,15.793943050179154,2177.8602018961838,0.4139749988603424
"Val-d'Or CMA, QC, Canada",34037.0,1050.0726864674693,8.548460158611721,3981.6527618381792,0.31052342159373664
"Orillia CMA, ON, Canada",33411.0,1467.666226157651,418.96631193869393,79.74626848969406,0.23974763195990742
"Stratford CMA, ON, Canada",33232.0,1669.5877852775113,1098.626109829483,30.248689433712727,0.3441039878236139
"Owen Sound CMA, ON, Canada",32712.0,948.5436297092061,49.693790903462755,658.2713736520465,0.554435137007574
"Winkler CMA, MB, Canada",32655.0,889.584250426425,37.365748336243556,873.9287035320986,0.6491318854558823
"Whitehorse CMA, YT, Canada",31913.0,645.6261078725231,3.600498473839111,8863.494938791644,0.3571088627910864
"Brockville CMA, ON, Canada",31661.0,1023.738763249999,52.590473521289915,602.0291866583565,0.4719912664210978
"Bathurst CMA, NB, Canada",31387.0,269.7529690658055,14.479172373402088,2167.7343974202013,0.45185004391239153
"Centre Wellington CMA, ON, Canada",31093.0,984.018726854373,74.72972526623273,416.07271924562576,0.5658029406814155
"Parksville CMA, BC, Canada",31054.0,820.1714246754838,297.197326876857,104.48949970827681,0.13751424038875437
"Okotoks CMA, AB, Canada",30405.0,1713.0373796068266,780.0575056437254,38.977895578235525,0.3411336605603129
"Alma CMA, QC, Canada",30331.0,970.8601495579126,129.81102177556056,233.65504396415128,0.3680839425591041
"Rivière-du-Loup CMA, QC, Canada",30020.0,812.3321735844255,51.94514515621499,577.9173377939487,0.31510088262810226
"Corner Brook CMA, NL, Canada",29511.0,647.9767942756781,23.115715843862066,1276.6639025732823,0.15737236547983685
"Fort St. John CMA, BC, Canada",28729.0,1138.7757717651286,44.41384938246451,646.8477828301636,0.20709027326892207
"Thetford Mines CMA, QC, Canada",28287.0,787.4649785838141,68.0424463049579,415.72579376733654,0.27989118460760276
"Midland CMA, ON, Canada",27894.0,1027.8381648286445,360.96754703668046,77.27564494091624,0.5635628576754357
"Sept-Îles CMA, QC, Canada",27603.0,1042.2927779604822,14.085960717480495,1959.6107467306106,0.17374372750686032
"Miramichi CMA, NB, Canada",27593.0,229.89421354771378,3.575038538602983,7718.238475488578,0.3578004245712617
"Cranbrook CMA, BC, Canada",27040.0,1023.1612661453187,5.87049349210199,4606.086359925092,0.1691333723627417
"Kentville CMA, NS, Canada",26929.0,380.01147215783215,37.903900005100795,710.4545969247522,0.18067429127077916
"Baie-Comeau CMA, QC, Canada",26610.0,702.1147288899311,32.33477765903482,822.9529295236941,0.21174111477750282
"Port Alberni CMA, BC, Canada",25786.0,811.216497603837,14.471180351749453,1781.8864372651312,0.15759727536590723
"Wasaga Beach CMA, ON, Canada",24862.0,560.7378424955743,334.06344141720666,74.42298952117372,0.2818677602725252
"Collingwood CMA, ON, Canada",24811.0,1170.4791553059308,538.310680990713,46.09048431723026,0.347130920847506
"Squamish CMA, BC, Canada",24232.0,847.4783976777713,202.61393929322884,119.59690475654165,0.10653602933188752
"Pembroke CMA, ON, Canada",23814.0,775.2308023928816,40.32684866921626,590.5246947346659,0.35157612587049925
"Williams Lake CMA, BC, Canada",23608.0,388.61462723984465,1.8081845721206022,13056.18926518824,0.21045181793194978
"Quesnel CMA, BC, Canada",23113.0,322.0238779544892,1.0427407250435652,22165.62511168282,0.17099383496341652
"Essa CMA, ON, Canada",22970.0,735.8127268866749,81.56740345140929,281.6075911216607,0.6553693225472994
"Edmundston CMA, NB, Canada",22144.0,354.6682809506726,13.866563377774934,1596.9349720415935,0.26436811037919883
"Cobourg CMA, ON, Canada",20519.0,1156.7361252234512,733.7668759860105,27.963922427579302,0.48434276516014835
"Yellowknife CMA, NT, Canada",20340.0,1389.8720116028605,148.7642014378124,136.72644227181692,0.4453791573274866
"Sainte-Agathe-des-Monts CMA, QC, Canada",19892.0,438.06372363959696,87.85607629341713,226.41575676070187,0.30611644399763605
"Yorkton CMA, SK, Canada",19859.0,952.8898241666894,11.41294427368159,1740.0417914766422,0.42667255453982406
"Lloydminster (Alberta part / partie de l'Alberta) CMA, AB, Canada",19739.0,1455.7278651452593,810.5006896452602,24.3540816833103,0.3299599129084422
"Salmon Arm CMA, BC, Canada",19705.0,743.8112444213814,105.78967619299544,186.26581259263472,0.5669097596839064
"Terrace CMA, BC, Canada",19606.0,589.1978012223776,1.9757911967918502,9923.113349140756,0.20090306198750846
"North Battleford CMA, SK, Canada",19374.0,1071.2258365158734,16.462428639475444,1176.8615934068723,0.18649666040778
"Nelson CMA, BC, Canada",19119.0,741.9353594277985,14.520612497724676,1316.679995626622,0.2818467207032119
"Amos CMA, QC, Canada",18873.0,487.02601631156534,7.972029641518092,2367.402135801149,0.30837755348013157
"Camrose CMA, AB, Canada",18772.0,1172.0219861783726,430.2837296326246,43.627027254847626,0.29764626129650673
"Swift Current CMA, SK, Canada",18745.0,1000.6124507796585,16.43478232640051,1140.5688026599782,0.6869428576265804
"Tillsonburg CMA, ON, Canada",18615.0,1086.0212974402564,829.6477310731492,22.437233662920406,0.47108640331986623
"Matane CMA, QC, Canada",18474.0,669.0004373954561,20.1126715232279,918.5254171065532,0.2832123466724541
"Petawawa CMA, ON, Canada",18160.0,733.0538207000977,91.84839251314831,197.71712387236775,0.5291903590778266
"Summerside CMA, PE, Canada",18157.0,780.6530411621992,114.40599177506726,158.70672259629842,0.26711200650350664
"Dawson Creek CMA, BC, Canada",17878.0,614.0753740828604,1.5089316003957696,11848.118228361627,0.28056301239619474
"Powell River CMA, BC, Canada",17825.0,514.8439815321198,18.638797828038463,956.3385023247442,0.4305423488237921
"Steinbach CMA, MB, Canada",17806.0,1157.26028260135,473.6003608601743,37.5970997312163,0.3259214624625619
"Port Hope CMA, ON, Canada",17294.0,758.0448155399058,58.75538788609926,294.3389640031894,0.7166590683985077
"Lloydminster (Saskatchewan part / partie de la Saskatchewan) CMA, SK, Canada",16769.0,1104.937667432221,8.139822183564574,2060.118712895096,0.5319584964304068
"Sylvan Lake CMA, AB, Canada",16514.0,1294.780242039036,669.4725622310176,24.667179704821788,0.20105293418219192
"Canmore CMA, AB, Canada",15990.0,895.688943922597,230.01803222762507,69.51628898457992,0.1494162338098887
"Ladysmith CMA, BC, Canada",15446.0,507.1473807217022,32.24510844543193,479.0183920807433,0.06570827907292338
"Dolbeau-Mistassini CMA, QC, Canada",15306.0,577.4171698135874,20.655311980418546,741.0200346772903,0.21490190786527047
"Cowansville CMA, QC, Canada",15234.0,899.0946485310689,314.80148627202095,48.39240176533428,0.3603903066974811
"Kenora CMA, ON, Canada",14967.0,514.326526254281,59.72453421768262,250.60053118955472,0.2278977845200387
"Brooks CMA, AB, Canada",14924.0,1122.3959577232872,760.5230292275951,19.62333739605119,0.3917770566639683
"Strathmore CMA, AB, Canada",14339.0,1156.5463057819147,506.0023211029853,28.337814673940244,0.45135758981620405
"High River CMA, AB, Canada",14324.0,921.5309426326234,628.1569653852321,22.803217649931604,0.39418480891117724
"Trail CMA, BC, Canada",14268.0,447.3260052821346,49.693084294972074,287.1224477697318,0.23015801846731648
"Lachute CMA, QC, Canada",14100.0,863.693714933651,126.49326633150565,111.4683841197333,0.2828149457388955
"Grand Falls-Windsor CMA, NL, Canada",13853.0,826.6516475713784,239.1460999966775,57.92693253284274,0.29250468464965834
"Ingersoll CMA, ON, Canada",13693.0,1174.8421784206894,1065.542141066452,12.850735294519003,0.5201263164339864
"Prince Rupert CMA, BC, Canada",13442.0,1061.509290016783,3.603737584018345,3730.0163196154554,0.12622714009697297
"Gander CMA, NL, Canada",13414.0,898.6006735353001,5.058159409821646,2651.9527980777866,0.19238071109262286
