longname,Housing Units per Adult,Housing Units per Adult (2010),Housing Units per Adult (2000),Vacancy %,Vacancy % (2010),Vacancy % (2000),Rent/Income < 20%,Rent/Income 20%-40%,Rent/Income > 40%,1BR Rent < $750 %,1BR Rent $750 - $1500 %,1BR Rent > $1500 %,2BR Rent < $750 %,2BR Rent $750 - $1500 %,2BR Rent > $1500 %,% units built pre-1970,% units built in 1970s,% units built in 1980s,% units built in 1990s,% units built in 2000s,% units built in 2010s+,Renter %,geoid
"Los Angeles County, California, USA",0.45107148378727946,0.4642642173643836,0.47726911716097414,0.04752593608145727,0.05876180726545533,0.04175703496144116,0.20093283932447653,0.39291567981063846,0.40615148086488495,0.09994560968744091,0.46257199519518827,0.4374823951173708,0.039028333595692445,0.2789468702471239,0.6820247961571836,0.5885168918640756,0.13878350918496046,0.11797636740761176,0.06453072111913956,0.05395190503287486,0.03624060539133778,0.5375250764386948,06037
"Cook County, Illinois, USA",0.542718504334432,0.549428429705752,0.5263188459282659,0.07857114770930429,0.09685068383890733,0.057385940535322526,0.2708338727341107,0.3991061180884803,0.33006000917740885,0.19517214280673567,0.5501671651369013,0.2546606920563631,0.10457964273374654,0.5857923376718155,0.3096280195944381,0.6319755462892599,0.12340628662826142,0.07242212991885029,0.06570914881786041,0.07522349276718211,0.031263395578585894,0.42524664034642995,17031
"Harris County, Texas, USA",0.5235345897010278,0.5424645336481219,0.5370110150820492,0.08134777846884603,0.10154236414868849,0.07084533768650102,0.2440246347387114,0.4069563890525459,0.3490189762087426,0.1556591318722948,0.7231795378098202,0.12116133031788494,0.07145016113773843,0.6940738211037439,0.2344760177585176,0.22310764713592612,0.17648660961032303,0.16143473021670157,0.12518390591947165,0.18197112121642994,0.13181598590114763,0.45089067418180917,48201
"Maricopa County, Arizona, USA",0.5358061797113344,0.5828721198780032,0.5565315269149155,0.09318956070332493,0.13793141354446004,0.09292054529528287,0.24670132375797257,0.42989263447487575,0.3234060417671516,0.15262346460910445,0.7218454367133043,0.12553109867759124,0.06890470311777618,0.6615299551471171,0.26956534173510677,0.14396945217088403,0.16195528565832884,0.17542232523275783,0.19763936470075047,0.22434856785827945,0.09666500437899941,0.3618409081022515,04013
"San Diego County, California, USA",0.4706761497613251,0.49098799425762796,0.49735893628089795,0.05631259194815224,0.06623036064413135,0.04320694821459329,0.18953377014153605,0.4146417896093775,0.39582444024908653,0.08309335623664371,0.4050833274410154,0.5118233163223409,0.034385767061757846,0.19847833739592585,0.7671358955423164,0.2993843101640632,0.22205756215268233,0.1859574864076845,0.12181133525159105,0.11822152391205873,0.05256778211192005,0.4594242079141609,06073
"Orange County, California, USA",0.4482650751444811,0.4610362099344697,0.4654150050108524,0.04913982284583762,0.052938498930752254,0.03300183872413033,0.19780605827731282,0.4149457156874154,0.38724822603527187,0.07138652185831422,0.25127680191420876,0.6773366762274771,0.026542024076914233,0.11503137882223036,0.8584265971008553,0.36047311814254307,0.231360103360214,0.14493713645920148,0.11483853925759503,0.08199780561680213,0.06639329716364441,0.43037619795170806,06059
"Kings County, New York, USA",0.503455709313946,0.5235954985599286,0.5163080165850817,0.06290101356555695,0.08336032696283677,0.05380994893711197,0.25426642922882475,0.37768135493218696,0.3680522158389883,0.1627833001988073,0.34805389882924587,0.48916280097194687,0.1391733328092142,0.3015939778690612,0.5592326893217247,0.7853046393586937,0.051629488115974585,0.0312084433706055,0.030743009121387534,0.05242550242550232,0.048688917607836446,0.693125017764548,36047
"Miami-Dade County, Florida, USA",0.4931973163927411,0.5068893408282797,0.5026356113100704,0.09974715267472625,0.1229185466346718,0.08789388544355176,0.14699741961274426,0.39273113901952555,0.46027144136773024,0.17723828668625313,0.5435286840884488,0.27923302922529797,0.050218066718205265,0.42706802560758134,0.5227139076742136,0.3489589812789016,0.1786376417912703,0.14486605243788864,0.12545882006684028,0.12918808687524957,0.07289041754984957,0.48107831127414225,12086
"Dallas County, Texas, USA",0.5265444509672115,0.5501400534075773,0.5336504354946074,0.07039522457035575,0.09218142521109643,0.054053104393351994,0.259989523592065,0.42619504922568674,0.31381542718224814,0.09594000069283273,0.7349915128000827,0.1690684865070846,0.060880354871731164,0.6243695132921788,0.31475013183609,0.3093572520671799,0.1752644056231567,0.17844281344495713,0.12116732130203917,0.12138893505842209,0.09437927250424495,0.4947088103428982,48113
"Riverside County, California, USA",0.4651629691171672,0.5088175909649558,0.5418734721778478,0.10025028677464877,0.14067763077161954,0.1323459591761179,0.19162126198054402,0.3990397583211962,0.4093389796982598,0.18971750867720805,0.5658503663709988,0.24443212495179312,0.06994331231979681,0.4772638420563944,0.4527928456238087,0.1713414453622293,0.13986203629688757,0.20811913432217252,0.15646978713325646,0.24933416229978914,0.07487343458566492,0.3187509621799149,06065
"Queens County, New York, USA",0.45977752038746705,0.4718567383713567,0.4750139237871771,0.054804714345641325,0.06530871445859644,0.04214250833169127,0.24193701578797655,0.3956259809167315,0.3624370032952921,0.09586609971086367,0.3558105567381348,0.5483233435510015,0.06341824871604872,0.2569052303446869,0.6796765209392645,0.7949591456297557,0.059311537916226675,0.037695957050537854,0.030802099921938855,0.03985634315969116,0.037374916321849874,0.5461202911425467,36081
"King County, Washington, USA",0.5344063156919534,0.5603876033858304,0.5511273286874087,0.05305824250892078,0.07206406426178777,0.041939505016542124,0.2708277921975917,0.4306353906811601,0.2985368171212482,0.09576464793494285,0.3329268082901038,0.5713085437749534,0.04066502078424314,0.1946926907874061,0.7646422884283508,0.3568098518652557,0.1286809402931941,0.1384685518602313,0.12881525452795742,0.13231059555164715,0.11491480590171436,0.43418509638464103,53033
"Clark County, Nevada, USA",0.5239624494643795,0.57411029698814,0.546080894869093,0.07817267955849273,0.14809407387912443,0.0839296029300518,0.23063339686468295,0.40353109776920354,0.36583550536611353,0.17670590266785652,0.7584107980545077,0.06488329927763566,0.0686220501749422,0.7422764832874256,0.18910146653763227,0.08154644054470474,0.1062044080166122,0.14235954402251486,0.2759012978513368,0.2905851696408858,0.10340313992394567,0.4455175911531529,32003
"San Bernardino County, California, USA",0.44854890174716183,0.48372508541449455,0.5172811527738058,0.08673541305999001,0.12232928903015648,0.1170917472566017,0.19381720978635555,0.4050972310078137,0.4010855592058307,0.21171050277330422,0.5332796564680625,0.25500984075863325,0.07486144023814649,0.5474138775190491,0.3777246822428045,0.2874481592591488,0.16868311480854467,0.22281294515791555,0.12854307962133826,0.1418343456744714,0.05067835547858139,0.3950851792807909,06071
"Tarrant County, Texas, USA",0.5135523358275426,0.5488983408113415,0.5439550881024031,0.05891347242238868,0.08047453169373679,0.05599424685175925,0.23961472158764527,0.4316933189443739,0.32869195946798074,0.10497406856792675,0.8009464688993041,0.09407946253276907,0.07013213890327732,0.6909310663538405,0.2389367947428822,0.23007290446680764,0.13404189687039994,0.18922684148356972,0.1471117843412147,0.18873905617932413,0.1108075166586838,0.40228087439376,48439
"Bexar County, Texas, USA",0.525103841713623,0.5300942062100388,0.5230566204363447,0.08472535968550655,0.08064630579951053,0.06189886896710507,0.23000614835882,0.42748352347702245,0.3425103281641575,0.19859818299515605,0.752740016518226,0.048661800486618084,0.11004250771285112,0.7185298648983086,0.17142762738884035,0.25991529648059164,0.13226921888799212,0.1495896802238528,0.12782095820027162,0.1786563304122632,0.15174851579502865,0.4130916635264748,48029
