longname,PW Density (r=250m),PW Density (r=250m) (2010),PW Density (r=250m) Change (2010-2020),PW Density (r=250m) (2000),PW Density (r=250m) Change (2000-2020),PW Density (r=500m),PW Density (r=500m) (2010),PW Density (r=500m) Change (2010-2020),PW Density (r=500m) (2000),PW Density (r=500m) Change (2000-2020),PW Density (r=2km),PW Density (r=2km) (2010),PW Density (r=2km) Change (2010-2020),PW Density (r=2km) (2000),PW Density (r=2km) Change (2000-2020),PW Density (r=4km),PW Density (r=4km) (2010),PW Density (r=4km) Change (2010-2020),PW Density (r=4km) (2000),PW Density (r=4km) Change (2000-2020),geoid
"Los Angeles County, California, USA",6215.779339298707,6263.777225171774,-0.007662770265867992,6453.415053233143,-0.036823249701781,5208.232982263904,5224.916803711631,-0.003193126718472317,5308.900487455267,-0.018962025268553468,4054.2312315092504,4035.1373316452305,0.004731908308120669,4066.328479182585,-0.0029749804363484044,3524.1659058101395,3492.943208667431,0.008938793240391695,3497.325199225378,0.0076746384896395495,06037
"Cook County, Illinois, USA",6498.80882603621,6232.133215787047,0.042790421997660165,7021.699165233736,-0.07446777865199522,5532.787527116349,5282.733310913238,0.04733424942851868,5703.638331950977,-0.029954705205893828,4012.886043099318,3866.527852951945,0.03785261498520805,4195.215628111175,-0.04346131431006978,3515.2818208357776,3416.5077102226232,0.02891084083247045,3699.571085540755,-0.049813683922778455,17031
"Harris County, Texas, USA",3883.457817077806,3841.1358963952434,0.011018074294710564,4106.144057549874,-0.05423244712094785,2621.2753431234005,2526.3617026230563,0.03756929991528837,2583.0613371898057,0.014794076076865054,1840.5151139443894,1720.354732624525,0.06984628172385768,1673.410423600176,0.09985876028231273,1642.2672062734705,1519.8357016255513,0.0805557498859723,1444.884753026845,0.13660774870323403,48201
"Maricopa County, Arizona, USA",2954.403758751807,2813.8395290012813,0.04995460057397664,3116.5490827918543,-0.05202720051333029,2273.651124721538,2116.291334905345,0.07435639281830311,2293.2396790450675,-0.008541869610282684,1680.421300821761,1553.9137617380807,0.08141220072739384,1695.56160225415,-0.008929372670542318,1475.429396904056,1366.5111615322692,0.07970533899602893,1497.1774757687122,-0.014526052666862278,04013
"San Diego County, California, USA",4715.543238185223,4582.6366745658315,0.029002203983797964,5310.633818615707,-0.11205641374565772,3234.7747611823424,3182.8388442454716,0.01631748243577279,3307.8002683846335,-0.022076758352145932,2244.4821380554677,2174.0722011924645,0.032386199880750866,2145.601367113509,0.04608534113444559,1823.2793519055397,1749.2754290938553,0.042305472071953364,1704.522552385309,0.06967159182144142,06073
"Orange County, California, USA",4833.39925780927,4816.8387022724855,0.0034380548240014294,5075.797830616562,-0.04775575799043354,3729.9103849776284,3766.0907470183765,-0.009606874733274082,3858.492951063432,-0.033324556430863815,2865.9436992035453,2857.872566370841,0.0028241752020992526,2891.5436512164706,-0.00885338597677937,2580.642650086366,2561.210243746851,0.0075871968679488925,2565.121225049473,0.0060509518557327795,06059
"Kings County, New York, USA",22422.16948979174,20849.42331042184,0.07543355784731676,20871.143441633514,0.07431437824648637,20881.07636202981,19315.615082912216,0.08104641102019561,19186.99517055558,0.08829319945178138,17084.342714847266,15603.240559805763,0.09492272770932271,15310.337692101131,0.11586975143346277,15128.113299375747,13865.681597231373,0.09104721562310003,13696.232872063712,0.10454556670342909,36047
"Miami-Dade County, Florida, USA",5645.563363562936,5129.115979793769,0.10068935578835009,5578.300168865392,0.012058009189423837,4243.832680219945,3916.211386225449,0.08365771448059307,3844.4236802886817,0.10389307556790194,2923.443488351833,2775.659149234632,0.05324297083017251,2690.670667139263,0.0865110784665651,2399.269602097857,2293.3316125772076,0.04619392544002741,2213.2951194981492,0.08402606636654775,12086
"Dallas County, Texas, USA",3599.315313755977,3549.9991159615147,0.013891890162092368,4284.483136103067,-0.15991843136772893,2624.793817807203,2557.2544266361156,0.02641090009175614,2784.6946918864714,-0.05742133044069711,1825.6096331183364,1703.3594183605715,0.07177006416850465,1766.8421142213583,0.03326133015732239,1578.0014457361708,1456.679262944834,0.08328681946502832,1477.0488209533269,0.06834752064436599,48113
"Riverside County, California, USA",3031.435241353996,3088.120059164284,-0.018355768792754912,2972.363708053468,0.019873588531738724,2134.874974436989,2086.8176506174627,0.02302900006874418,1885.897557186863,0.13202064783493228,1400.67213938765,1310.613480624467,0.06871488817608751,1116.9595164146986,0.25400439210512643,1087.7397062692708,1005.8239945791055,0.08144139743300069,834.0347516687539,0.3041899082656913,06065
