longname,PW Density (r=250m),PW Density (r=250m) (2010),PW Density (r=250m) Change (2010-2020),PW Density (r=250m) (2000),PW Density (r=250m) Change (2000-2020),PW Density (r=500m),PW Density (r=500m) (2010),PW Density (r=500m) Change (2010-2020),PW Density (r=500m) (2000),PW Density (r=500m) Change (2000-2020),PW Density (r=2km),PW Density (r=2km) (2010),PW Density (r=2km) Change (2010-2020),PW Density (r=2km) (2000),PW Density (r=2km) Change (2000-2020),PW Density (r=4km),PW Density (r=4km) (2010),PW Density (r=4km) Change (2010-2020),PW Density (r=4km) (2000),PW Density (r=4km) Change (2000-2020),geoid
"Queens County, New York, USA",18593.5560338828,17933.975293126714,0.03677827865687278,18529.661650584967,0.0034482218025721953,16166.847754826595,15535.381930959906,0.040646945577067745,15822.046007931707,0.021792487945113785,11835.802648300489,11180.999428747447,0.058563925678189195,11226.72552938398,0.054252428040781404,10244.589176679969,9512.717179308702,0.07693616698320181,9493.275565757245,0.0791416625082234,36081
"King County, Washington, USA",4235.381586640602,3288.465843918266,0.28795060908830034,3481.9860942538735,0.21636947190283584,3263.302629537749,2544.174356437799,0.28265683571578426,2401.34793853883,0.35894618899891717,2268.191522497899,1793.4939271078167,0.264677559380186,1653.3247472012017,0.3718971583396198,1757.2999252196857,1436.4161710757978,0.22339191148451315,1325.824747931748,0.3254390732719597,53033
"Clark County, Nevada, USA",4042.8453147969735,3896.418229044738,0.03757992010732746,4327.95755827069,-0.06587685753268759,3065.8782581539294,2888.765111652484,0.06131102379595343,2944.5369836573705,0.04120894903681685,2242.045557102654,2085.0391602780287,0.07530141390902675,2116.149106931586,0.05949318493611146,1919.3430466416899,1790.8633500254612,0.07174176444808146,1802.863369076578,0.06460815587194077,32003
"San Bernardino County, California, USA",3135.8375291807265,3078.372568578718,0.01866731830596449,3330.6235318626545,-0.05848334428028069,2396.147211313431,2322.2196631407833,0.03183486443856102,2256.7516143462094,0.06176824958541352,1681.160916463,1615.3648441030548,0.04073140046357698,1489.05009930763,0.12901568405569191,1416.6435188224934,1357.200835058411,0.04379800117167193,1233.9636164254919,0.14804318374165937,06071
"Tarrant County, Texas, USA",2842.911471905266,2621.9893723235514,0.08425743518019603,2719.659020852412,0.045319082321659286,2044.0301066109048,1879.860161538757,0.08733093473174447,1895.6481786977915,0.07827503519932885,1440.9258514105836,1325.971438058536,0.086694486813654,1278.4038102403517,0.12712887732998562,1266.421374937417,1150.7400513155153,0.10052776340725779,1080.8671601699793,0.17167161849774135,48439
"Bexar County, Texas, USA",3571.4427431690397,3369.1022789958006,0.06005767929181092,3446.81121595002,0.03615850112193285,2075.9053659043752,2060.53229006182,0.007460730373749293,2092.8736946469685,-0.008107669749012503,1466.2757560879975,1445.2486633291905,0.014549117596393513,1437.6951088742996,0.019879491164212264,1318.362595096696,1289.4601298033822,0.022414392368782135,1264.5775339638058,0.0425320391105648,48029
"Broward County, Florida, USA",4307.564626600776,3994.5395093255124,0.07836325477429532,4243.311193591889,0.015142286313085144,2794.587285851318,2545.402285597536,0.09789611711426814,2623.4272788179246,0.06524290130524046,2165.2784069013014,1940.8059614372676,0.11565939610871782,1914.4137208852665,0.13103995404923743,1957.3885790919105,1756.492526190157,0.11437341742495105,1715.3828178237434,0.14107973960890716,12011
"Santa Clara County, California, USA",4663.168890892573,4455.927513182069,0.04650914475099004,4583.19492423847,0.017449392394627627,3831.6392404120215,3626.537791319284,0.056555718124234475,3581.058892594645,0.06997381370509084,2980.4957939451033,2790.2456552715253,0.06818401036272355,2730.1722420317283,0.09168782396201137,2598.4505634208817,2439.6566940019316,0.06508861259428679,2371.067627972194,0.09589896667905354,06085
"Wayne County, Michigan, USA",2524.3515734449475,2505.723999173561,0.007434008804453423,3025.3004276623,-0.16558648180420354,2185.119331873654,2168.6885462840664,0.0075763694227744096,2632.0421883313456,-0.16980079515405883,1673.4924451767527,1711.3871175315821,-0.022142665424224318,2132.268894454506,-0.21515881532151757,1483.9535839857,1542.6979778730356,-0.03807899843644585,1931.9036298320325,-0.2318697676888153,26163
"New York County, New York, USA",43183.806937239904,41719.37685417149,0.035101916507220984,42125.05678588071,0.025133500869583623,36545.8343302798,34988.80462404039,0.0445007974113409,35236.18154853797,0.037167840673592294,22219.8412873632,20872.607480051603,0.06454554413477938,20543.77772386443,0.08158497361231626,18332.188920301913,16704.45474682421,0.09744311910492995,16146.370998063854,0.13537518260296166,36061
"Alameda County, California, USA",5457.382328231846,5058.280951337569,0.07890059503095466,5174.582283927478,0.05465176294186297,4480.720741890674,4146.645193210889,0.08056526013528979,4193.283846259703,0.0685469684785009,3351.238328847218,3056.618214600608,0.09638760668221243,3077.4565791181535,0.08896364341475668,2663.695582739195,2417.829591331789,0.10168871796791026,2411.9109890923514,0.10439215824527372,06001
"Middlesex County, Massachusetts, USA",3888.25933796833,3637.6258413114497,0.06890029584970205,3794.058426430099,0.024828534764254038,3184.902063288537,2969.515590382427,0.07253252806743869,2971.3190183589754,0.07188155953968253,2512.2112752392254,2299.494434516779,0.0925059167482382,2261.7237930413335,0.11075069509750443,2190.8602044450527,1989.9888845469616,0.1009409255789995,1941.7455775914525,0.1282941646570416,25017
"Philadelphia County, Pennsylvania, USA",9380.12288472726,8944.231305122446,0.04873438138335867,8943.702464642953,0.04879639297143473,8188.183769761317,7650.580099773216,0.07026966099002578,7645.190817715432,0.07102412025971444,6203.439194588998,5765.639808448075,0.07593248983390183,5712.904490116889,0.08586432791248584,5082.142389736397,4738.680557472968,0.07248047807776037,4685.17480830077,0.08472844614726341,42101
"Sacramento County, California, USA",3323.324402955556,3211.8731558795316,0.03469976604524553,3346.0043033999236,-0.006778204206528502,2689.277463616537,2494.922028962747,0.07790040426016531,2492.858662777434,0.07879259412976976,2027.897913711521,1851.130635334038,0.09549152015713092,1849.2493765738618,0.09660597397017623,1734.8039916545677,1572.2511407044265,0.1033886042387042,1565.2822150072238,0.10830109421933314,06067
"Suffolk County, New York, USA",2168.4220650908583,2111.447936236301,0.02698344007293638,2068.8577328695915,0.0481252676969561,1618.3199189253419,1603.0641288940415,0.00951664363036146,1556.875989928387,0.0394661677580249,1260.071487188635,1253.6466839361183,0.005124891514365585,1208.6842502974412,0.04251502150255384,1096.0531336394872,1094.4095962414117,0.0015017571151788231,1057.198028525907,0.03675291105844901,36103
"Palm Beach County, Florida, USA",3201.107116975696,2930.9938865610347,0.0921575550372737,3041.9282926454744,0.05232826319906069,1997.8126874874379,1780.928105235447,0.12178177300611343,1773.1528017637136,0.12670080407072665,1434.1715172935071,1265.277850516658,0.1334834611290191,1181.0653998366647,0.21430321935757807,1245.953489349529,1094.2453889550245,0.1386417543320715,992.9192117678551,0.25483873670966234,12099
"Bronx County, New York, USA",27031.192043263334,26190.070753951994,0.03211603730335163,28018.19377633961,-0.035227172063809604,23953.047708119117,22741.76266414304,0.05326258398984663,22295.217133611295,0.07435812643459518,18347.63693717774,17237.64801611466,0.06439329310039299,16556.737515172932,0.10816741041908717,15210.275286510201,14391.315436307905,0.05690653184740426,13883.24192619017,0.0955852651257655,36005
"Hillsborough County, Florida, USA",3171.684313686288,2826.668374681857,0.12205745183789472,3021.3239206916855,0.04976639279385172,1818.6509394299894,1644.7681565411294,0.10571871919901912,1631.341240765554,0.11481944671277665,1246.3529702274877,1108.51867287549,0.12434097929487872,1077.4348952014186,0.15677798795860526,1076.7275077411637,955.0374468307281,0.12741915127439404,917.4340696552626,0.17362930302529261,12057
"Orange County, Florida, USA",3665.464443643509,3712.1653825349467,-0.012580511394011928,3895.806739840616,-0.05912569888067152,2038.0630476649326,1955.74677780937,0.04208943140776377,1880.986077992495,0.08350777898371256,1353.8955970851919,1187.59936559655,0.14002721482181726,1148.4362926829785,0.17890352796341796,1176.490152270796,1052.110344109261,0.11821935679839517,1015.0098887456683,0.15909230571603816,12095
"Nassau County, New York, USA",3777.103550657,3584.523323972885,0.05372547735877751,3655.089566410432,0.03338194099752117,3289.1637780667015,3138.6440174408426,0.04795693929908887,3150.358793397577,0.04406005594030363,2698.968721320259,2571.803172559381,0.04944606574784138,2570.0446678363155,0.050164129478917976,2430.39012644058,2320.8953656767167,0.04717781007414665,2311.8473677735155,0.05127620461433406,36059
"Franklin County, Ohio, USA",3169.509822504898,2769.04026923607,0.14462395426965405,2987.9616954591993,0.0607598575716673,2314.910422877393,2091.4441313827333,0.10684784170969833,2178.0144727059774,0.06285355395335616,1613.9812598036926,1442.0027937047407,0.1192636150566055,1472.1104280180787,0.09637241139349614,1387.6705135098482,1232.2775490779115,0.12610224421293245,1242.558709967426,0.11678466568893661,39049
"Travis County, Texas, USA",3462.387175321935,3232.5521431324128,0.07110017782011929,3384.3198186049244,0.023067369782206738,2206.4772658616344,2025.866224890486,0.08915250116325518,2047.2449247654981,0.07777884276077789,1471.7325729026873,1350.55523014958,0.08972409276419324,1383.7827801858164,0.06355751348854108,1286.748041664627,1156.242243613346,0.1128706365574745,1160.7291685414518,0.10856871399340108,48453
"Hennepin County, Minnesota, USA",3244.7222867550286,2910.455724687226,0.11485024810117145,3003.464612250828,0.08032645815773391,2434.649374307025,2158.258745985697,0.12806185951309468,2227.7649566947293,0.09286635782225613,1883.1558460613999,1676.4967379420636,0.12326842244442109,1701.9025572868743,0.10650039157557559,1680.690209361702,1499.6160719692525,0.12074699703282601,1501.1701784762201,0.11958672871300025,27053
"Oakland County, Michigan, USA",2053.1494384005255,1923.3248586957898,0.06750007889606854,2167.7832933754084,-0.05288068015156122,1329.8737626104355,1271.6238593427242,0.04580749475542195,1397.0701202046846,-0.04809805651301465,1004.5322506364063,976.8050361307462,0.028385617886954425,1037.9013995786252,-0.03215059634351234,937.0623610981623,914.8040520958406,0.02433123131814664,973.9202055309574,-0.03784482981611528,26125
"Cuyahoga County, Ohio, USA",2796.0717175491386,2966.3207964071803,-0.057394021261708464,3416.5597202400213,-0.18161192939641985,2105.600545140341,2165.588057713545,-0.027700334031459013,2544.7677008095434,-0.17257652065038942,1545.0934714712416,1606.9152866744137,-0.03847235489999922,1906.8969346316608,-0.18973414692194976,1350.3534462380546,1398.2951547405987,-0.03428582895392917,1639.326356797021,-0.17627540078326606,39035
"Allegheny County, Pennsylvania, USA",2682.87345391478,2688.688011359286,-0.0021626002793706596,2924.488986119166,-0.08261803458696314,1887.8801003502915,1922.451999353037,-0.01798323131832683,2082.925333305904,-0.09364005028737521,1332.7096545956347,1342.0775811550977,-0.006980167682556981,1467.1598646487287,-0.09163978193016098,1192.1555479548547,1200.1428624335363,-0.006655303071574047,1309.7799272441785,-0.08980468920210853,42003
"Salt Lake County, Utah, USA",3013.237832172626,2761.92810893733,0.09099068235052259,2851.496953283671,0.056721392846904785,2381.7677586888326,2232.820958549238,0.06670790130721976,2230.47020464556,0.06783213410703912,1871.2413974379992,1735.6240607728882,0.07813750669296404,1722.6743293532206,0.08624210946508865,1633.9990952227881,1499.3484610553928,0.08980609755827848,1478.9477200384342,0.10483898320646824,49035
"Contra Costa County, California, USA",3516.42298931354,3158.8972089280437,0.1131805680080425,3652.2952949428072,-0.037201894878928485,2535.032273276495,2325.4397232689066,0.09013028714971838,2387.598010739066,0.061750035757397646,1803.5224617563606,1639.455704840167,0.10007391869863824,1612.0652826062117,0.11876515251331621,1375.6876420734477,1246.7223186944618,0.10344350257083336,1206.3703522733535,0.1403526615860734,06013
"Fairfax County, Virginia, USA",4158.02105719593,3977.6173540819905,0.04535471541243193,4105.50960478303,0.012790483391324221,2577.7206929226754,2400.381496508528,0.0738795881705037,2294.0444157851593,0.1236577091470241,1802.705710028383,1690.2124118902354,0.0665557165163292,1526.2498244240498,0.18113409821924623,1602.2778851684388,1497.970191818782,0.06963268956841533,1363.1715032529237,0.175404475038495,51059
"Wake County, North Carolina, USA",2399.604192929157,2264.0875402943893,0.0598548643649825,2306.8577184519536,0.0402046791769377,1370.9913645498361,1255.014118653618,0.09241110850660296,1178.4044234354133,0.1634302598364086,917.458592945224,809.5444624615666,0.13330228972912123,718.1086097795219,0.2776042237216844,806.158157431754,697.7841828939412,0.15531159518169388,618.7282234105062,0.3029277264711006,37183
"Mecklenburg County, North Carolina, USA",2798.4106386951944,2596.2767630918756,0.0778552881868418,2878.7960368030804,-0.027923269686432675,1571.5811446056268,1363.845143951414,0.1523164133226648,1306.6307087061189,0.2027737708398673,1108.7200041106369,939.9764947295923,0.1795188606600081,857.339408400048,0.2932101257070534,1000.2129524364691,852.6151471135246,0.1731118733025418,777.450202776608,0.2865299267583697,37119
"Fulton County, Georgia, USA",3501.4327914073474,3391.0013610833703,0.03256602359153759,3670.238811855976,-0.0459931980184326,2018.983741567103,1738.2008747212178,0.16153648921095992,1754.4553940503463,0.15077519121535765,1419.599523135792,1170.8170401626319,0.21248621641055296,1164.3403300767657,0.219230740759617,1268.1026250430705,1061.088166590812,0.19509637838802651,1052.5013269075564,0.20484658082948984,13121
"Collin County, Texas, USA",2788.596568998313,2572.9568635954233,0.0838100741034411,2527.2883495169135,0.10339469951315537,1949.5707115899163,1793.7283601749036,0.08688180154536707,1653.5593855374527,0.17901463270171677,1353.1768610447584,1214.298618660279,0.11436910184226513,1151.406701735834,0.17523795806011927,1228.7814627434366,1062.1990735690824,0.15682784265158756,970.8119467257297,0.2657255268517904,48085
"Montgomery County, Maryland, USA",4196.308507055268,3776.503040695005,0.11116248599206859,3896.067319359902,0.07706262830815093,2896.633455199948,2605.4781564908467,0.11174735738381315,2406.050971419013,0.20389529964596093,2031.6713451168239,1840.8893162702734,0.10363579556922176,1714.2605553323,0.1851590114450224,1786.4594432493943,1620.415212217567,0.10247017540929705,1510.1242781424946,0.18298836003537508,24031
"Pima County, Arizona, USA",2475.643304221069,2501.3811051549687,-0.01028943605628836,2986.502802606484,-0.17105609207517236,1625.2916778605424,1614.63723038384,0.00659866332586027,1731.174381847039,-0.061162356084271154,1082.0022677434924,1087.674882268614,-0.005215358575983644,1112.4413824919573,-0.0273624437453763,908.0783383252726,919.1118569592178,-0.012004543897897658,962.5628082265812,-0.056603547774394435,04019
"Honolulu County, Hawaii, USA",6364.705050788796,6339.88952773714,0.003914188558505235,6773.230606734988,-0.06031472714659576,4505.292046245378,4416.965095201841,0.019997203767692522,4200.9651163127055,0.07244214638939626,2605.4321098236396,2475.5277150925863,0.05247543541486662,2289.938652561575,0.1377737595324428,1671.873321453921,1587.9150104099836,0.05287330272308489,1483.4236291127177,0.12703700321527245,15003
"Fresno County, California, USA",2988.3880845992567,2956.3587873000993,0.010834035921738792,2966.4494832603045,0.007395575573678845,2280.596306521218,2202.8050454576883,0.03531463722762936,2142.9331781769483,0.06424051377158833,1590.2653910819727,1519.908257343603,0.04629038193485128,1461.293808422824,0.08825848841332452,1302.5033799035675,1240.4670423757939,0.05001046816121699,1195.4439703779829,0.08955619182364019,06019
"Westchester County, New York, USA",5188.974726889792,4908.784264995808,0.05707940026861675,4985.5314056694315,0.040806747499175164,4188.834465336367,3926.0897416190214,0.06692275037223083,3850.110712191309,0.08797766569997463,2753.818607083773,2541.270550311251,0.08363849994109802,2509.7986886445906,0.0972268889705112,2135.935165862561,1975.4649088219292,0.08123164138426962,1973.9547391271221,0.08205883525326736,36119
"St. Louis County, Missouri, USA",2212.2028261258047,2291.861756338504,-0.03475730156602604,2896.303136176471,-0.2361977589658572,1551.1742904237728,1568.8730990617457,-0.011281223859697476,1715.1218059279674,-0.09558942982215232,1230.8537386890555,1237.146635137422,-0.005086621318472468,1282.3188476923922,-0.040134408923296394,1090.110432060807,1099.2293532491742,-0.008295740248759698,1146.6146858039322,-0.04927919940560336,29189
"Duval County, Florida, USA",3367.8393530014982,3395.7489988295033,-0.008218995525766297,4133.764483218178,-0.18528513981048067,1621.293543240733,1547.1914251338706,0.04789460237633542,1745.6818842566795,-0.07125487303141241,1025.2100943636278,928.7649096286393,0.10384240805733229,963.397394478635,0.06416116572377098,876.0954866725787,785.6605706073087,0.11510685332644928,794.8855846919317,0.10216552362327828,12031
"Marion County, Indiana, USA",2431.6864472926122,2335.402141794407,0.04122814815277395,2426.8218052150137,0.0020045320456347,1707.452962068389,1613.449891585676,0.058262156744346275,1693.7706592583709,0.008078013829811583,1242.6259880999303,1159.0486208627046,0.07210859469813892,1222.5109256236397,0.016453891785081047,1098.7789381560287,1022.2043944006266,0.0749111862313035,1077.1127957786944,0.020115017166489915,18097
"Capitol Planning Region, Connecticut, USA",2365.701473411472,2448.2282426228926,-0.033708772644092305,2477.2984914516373,-0.045047869049793965,1598.436926746477,1650.1682599873925,-0.03134912632564559,1641.9489051914888,-0.026500202477334336,1092.152799448524,1108.1408527591143,-0.014427816888784677,1109.0052057359703,-0.015195966800049823,875.5820502139397,881.8311239893897,-0.0070864745022598055,876.8265574209114,-0.0014193311053810258,09110
"Prince George's County, Maryland, USA",4293.022982486717,3914.620720882879,0.09666383759356789,4896.8389402521025,-0.12330729377313336,2567.1982732118904,2451.8688471929117,0.04703735526107633,2511.528928358245,0.022165520064320193,1773.626199825902,1635.2547661189608,0.084617661158295,1594.6587839592469,0.11222928545397758,1590.3990033022353,1452.537469344719,0.0949108280282157,1422.1119324603,0.11833602334718697,24033
"Pinellas County, Florida, USA",2575.7756846327384,2423.9444888878384,0.06263806635875711,2646.4722239890007,-0.02671350136057809,1819.7156538908175,1736.506956040361,0.04791728450094529,1791.0026856988502,0.01603178399521132,1383.3004663871918,1321.0955853770065,0.04708582913963311,1331.1025537770572,0.03921404287146841,1230.0018293158896,1174.0735801752285,0.047636068203079696,1183.8659894303635,0.038970491844034776,12103
"Gwinnett County, Georgia, USA",3500.276230114736,3879.5143117410958,-0.09775401020654072,4173.70683611376,-0.16135072070037187,1509.4750213401674,1493.0904164564126,0.010973618679196063,1480.728516251824,0.019413758006842176,1041.6386081532953,915.9048154981564,0.1372782308025675,832.2227874569719,0.25163432659208546,958.0375345271417,839.2345628265737,0.14156110456227536,737.3791668161426,0.29924681580544005,13135
"Bergen County, New Jersey, USA",4101.097214441833,3882.3563889672555,0.05634228379861967,3741.4264157458024,0.09613199852931893,3516.9730454100527,3284.044202727257,0.07092743833635318,3185.4118026916963,0.10408740321681006,2776.882948677095,2583.1622706077264,0.0749936154896661,2508.219823472858,0.10711306987130362,2964.07311904064,2760.964585135464,0.07356433870925973,2684.809847776181,0.10401603357339138,34003
"Erie County, New York, USA",2681.0393030112627,2605.95730330698,0.028811676848658662,2920.4629569765634,-0.08198140414462447,2078.6619709346205,1998.6245466599091,0.04004625301358852,2221.949075086044,-0.06448712338102297,1526.5933695793674,1458.1480797256897,0.04693987586401632,1620.4296990517985,-0.05790830020416179,1312.3151172180787,1247.5081255407395,0.05194915395781356,1390.5765561954097,-0.05627984926730875,36029
"Milwaukee County, Wisconsin, USA",3725.5471295811903,3923.046350194194,-0.05034333091762408,3997.596603237002,-0.06805325815904564,3044.5054979687498,3187.368850240902,-0.04482171941328799,3262.3597759280747,-0.06677812777327718,2273.365162561203,2369.2353413489886,-0.040464607763785715,2427.249286224441,-0.0633985658319436,1976.116489906601,2050.8884146770074,-0.0364583095966156,2099.582865677851,-0.05880519306457035,55079
"DuPage County, Illinois, USA",2459.5074316916475,2479.016188386296,-0.007869555990010584,2504.6538219847967,-0.018025002056920248,1893.0915945354425,1883.7385235739594,0.004965164137397281,1907.0310989365014,-0.007309531768429255,1397.2265290891478,1380.562235971524,0.012070656927608139,1377.028337332149,0.014667956504170923,1263.0151696903129,1241.2860029494054,0.017505366764208254,1224.266878374152,0.03165019980579671,17043
"Shelby County, Tennessee, USA",2051.775678297134,2191.781869384268,-0.06387779415588707,2522.8058279445668,-0.18670883998678572,1470.3183001030964,1511.8304204474073,-0.027458185642293083,1688.29020454074,-0.12910807860603432,1046.4503781197534,1066.3054802033203,-0.018620463321431063,1174.4737890046313,-0.10900491103626753,901.8050083414741,915.6163200726786,-0.015084169458783957,993.1791685805887,-0.09200168824493446,47157
"Pierce County, Washington, USA",2721.353025634487,2529.80021111939,0.07571855424517433,2957.191819961818,-0.07975092881542464,1661.0103925833027,1510.2223861794173,0.09984490217056784,1580.3411785307808,0.05104544205291095,1173.93863399101,1038.7176556524878,0.1301806873144761,994.7071439866007,0.1801851842403412,987.5362934031741,868.7558126075583,0.1367248184954273,822.7669577665356,0.2002624608114035,53053
"Kern County, California, USA",3019.000610866991,3388.4648845340394,-0.10903588682692071,3212.9703887646483,-0.06037085762630905,2237.6727906235146,2222.2013058627663,0.006962233673398717,2065.1027339183333,0.08356487736459786,1429.8455107033178,1336.5325632174308,0.06981718968466806,1200.117171260081,0.1914215919450849,1073.5878767064637,981.548212676639,0.0937698860240768,876.8248713955257,0.22440399643064002,06029
"Denton County, Texas, USA",2853.468732121346,2660.0656192752945,0.072706143579549,2906.6451647019335,-0.018294779571430962,1860.1303644789593,1753.0063562364662,0.06110873920188055,1693.7095353831814,0.098258187498559,1267.3936384023152,1165.0179671936794,0.08787475737841242,1109.7296158645781,0.1420742677169184,1054.8879450851443,916.2036364491986,0.1513684328665459,853.7561591698629,0.23558457968941493,48121
"Macomb County, Michigan, USA",2253.596314993417,2235.0655675919575,0.008290918919852664,2389.852827716373,-0.05701460405541225,1755.35994267622,1724.8778341110778,0.017672039122035136,1782.8013563826453,-0.015392300217958465,1377.2328835445978,1345.322803476475,0.023719273906354213,1371.2393095346004,0.00437091758405883,1258.585494544891,1230.8512404500952,0.022532580041641652,1268.4562055093145,-0.007781672651804508,26099
"San Francisco County, California, USA",13174.550465078695,12241.41350822649,0.0762278764805321,12592.431321675718,0.046227700475996114,11823.602150780227,10988.054440712103,0.07604146071321925,11114.655496539952,0.0637848518526709,8675.304387927148,7890.082674489142,0.09952008690312575,7762.764730901525,0.1175534347180513,6555.965398841643,5962.1795163203,0.0995920838840848,5811.9581736844775,0.12801317609715415,06075
"Hidalgo County, Texas, USA",2428.5826472472772,2371.5180444518905,0.024062478853529263,2143.2187622804163,0.13314734360725247,1399.4100327688477,1381.344760200801,0.013078033151854655,1267.9863760077285,0.10364753064217322,931.4199991172404,890.9353970529864,0.04544055853900061,771.1942812587139,0.20776310425566463,791.2456380197162,740.1128467467669,0.06908783099456817,603.9981468653522,0.31001335372657474,48215
"El Paso County, Texas, USA",2844.1258144368453,3026.473224582057,-0.06025079246170863,3163.3931143034633,-0.10092558475360923,2033.4701253115907,2173.032110794831,-0.06422453897020088,2195.2564454783387,-0.07369814150869985,1396.092961258699,1458.4082557040547,-0.042728292439124065,1444.0620424318424,-0.033218158059443274,1116.8213592796253,1142.33388499458,-0.022333685492552675,1102.9107762526428,0.012612609584110217,48141
"Essex County, New Jersey, USA",7054.335615422563,6324.711691852178,0.11536081945210634,6717.04729936247,0.05021377712973764,6098.778549030065,5507.188370689156,0.1074214532935758,5776.730847220469,0.055749127028231316,4952.797507197733,4399.01594463195,0.12588760066704308,4595.415007090369,0.07776936349730117,4389.208882110094,3909.233177350188,0.12278001413188926,4052.6844531966403,0.0830374120659735,34013
"Middlesex County, New Jersey, USA",3802.385670713366,3725.7914607079465,0.020557836049918256,3615.3384092118044,0.051737137808446666,2768.838560064303,2659.275652143524,0.04120028242745915,2507.6493951547322,0.10415697083262077,1744.327103818835,1655.2668497686618,0.05380416702154105,1564.0019281433365,0.11529728476074626,1376.909003598672,1307.0255928246133,0.053467515217535656,1246.015667080439,0.10504951099445752,34023
