longname,Population,Population [StatCan],Population [GHS-POP],Population (2010),Population Change (2010-2020),Population (2000),Population Change (2000-2020),PW Density (r=1km),PW Density (1km) [StatCan],PW Density (r=1km) [GHS-POP],PW Density (r=1km) (2010),PW Density (r=1km) Change (2010-2020),PW Density (r=1km) (2000),PW Density (r=1km) Change (2000-2020),AW Density,Area-weighted Density [StatCan],AW Density [GHS-POP],AW Density (2010),AW Density (2000),Area,Compactness
"Uttar Pradesh, India",,,229313620.0,,,,,,,5773.1626,,,,,,,954.622318895346,,,240213.968876564,0.12167229472409227
"Mahārāshtra, India",,,127438744.0,,,,,,,11417.03,,,,,,,411.9489572435075,,,309355.6659367136,0.1729870529424621
"Punjab, Pakistan",,,123974630.0,,,,,,,7463.19,,,,,,,607.133673829675,,,204196.60009630726,0.2913664325425774
"Bihār, India",,,123797180.0,,,,,,,4315.5347,,,,,,,1315.2598881489482,,,94123.7432354361,0.1983374426638979
"Guangdong Sheng, China",,,117430910.0,,,,,,,8509.888,,,,,,,650.8100659680977,,,180438.06963144973,0.10030746149325359
"West Bengal, India",,,101855280.0,,,,,,,11298.568,,,,,,,1176.8036903454633,,,86552.48180781901,0.06313056333402445
"Shandong Sheng, China",,,99014000.0,,,,,,,3646.4849,,,,,,,635.0266987188011,,,155921.00332122386,0.16334958943493713
"Henan Sheng, China",,,98581976.0,,,,,,,3830.691,,,,,,,593.796415343476,,,166019.82338168236,0.19826321516238263
"Jiangsu Sheng, China",,,89734100.0,,,,,,,7274.029,,,,,,,876.5544235548481,,,102371.39142608539,0.12095861181660301
"Tamil Nādu, India",,,82612840.0,,,,,,,5930.604,,,,,,,626.3231661179914,,,131901.3002697026,0.1722178049380982
"Madhya Pradesh, India",,,81802296.0,,,,,,,4027.6782,,,,,,,264.3151792666175,,,309487.6965710893,0.10407259278880683
"Rājasthān, India",,,80812010.0,,,,,,,3093.0293,,,,,,,235.67771472146828,,,342892.02140094707,0.19231446084495982
"Hebei Sheng, China",,,77336470.0,,,,,,,3474.5208,,,,,,,408.6313444260291,,,189257.3172736619,0.10137289562697208
"Sichuan Sheng, China",,,76802056.0,,,,,,,4905.3267,,,,,,,162.04816596067596,,,473945.8514984827,0.18154053250241264
"Karnātaka, India",,,70700330.0,,,,,,,9225.909,,,,,,,369.93949800815733,,,191113.2181901837,0.1551220664858025
"Gujarāt, India",,,70606390.0,,,,,,,14963.319,,,,,,,375.7263084912571,,,187919.744783171,0.12412881934051821
"Hunan Sheng, China",,,68691784.0,,,,,,,4566.3657,,,,,,,323.773941944775,,,212159.7049700699,0.2428922454031526
"Anhui Sheng, China",,,62215028.0,,,,,,,6104.208,,,,,,,446.4470069960425,,,139355.90792425562,0.17685536837930718
"Zhejiang Sheng, China",,,60510536.0,,,,,,,6006.0537,,,,,,,574.0905609691497,,,105402.42274293672,0.10324658550477604
"England, United Kingdom",,,56474164.0,,,,,,,3504.9626,,,,,,,423.3704925503701,,,133391.82818292666,0.1017433100053953
"Hubei Sheng, China",,,56253830.0,,,,,,,6350.0283,,,,,,,303.8185284135466,,,185156.02815187545,0.17087299624606114
"Jawa Barat, Indonesia",,,53724276.0,,,,,,,7201.5654,,,,,,,1411.739249914197,,,38055.38168841397,0.39728316605559616
"Andhra Pradesh, India",,,52189944.0,,,,,,,4562.0044,,,,,,,323.8013063542894,,,161178.91736636794,0.0961671450599252
"Sindh, Pakistan",,,52169790.0,,,,,,,17697.285,,,,,,,371.1677285371031,,,140555.8403625733,0.2887091246642176
"Jiangxi Sheng, China",,,49565576.0,,,,,,,4940.8115,,,,,,,296.3576226592905,,,167249.20234963347,0.2609261333173756
"Yunnan Sheng, China",,,47785090.0,,,,,,,3901.99,,,,,,,123.25438115256209,,,387694.84340562683,0.12590117169207876
"Guangxi Zhuangzu Zizhiqu, China",,,47410884.0,,,,,,,4370.6367,,,,,,,200.58548527806167,,,236362.4862201602,0.1896898200218011
"Dhaka, Bangladesh",,,45981430.0,,,,,,,22223.277,,,,,,,2327.624303352867,,,19754.66226820421,0.12825706636717257
"Liaoning Sheng, China",,,45673080.0,,,,,,,8325.92,,,,,,,306.49933262106117,,,149015.26737243397,0.12474667346309148
"São Paulo, Brazil",,,45334496.0,,,,,,,6442.796,,,,,,,181.92446336584212,,,249194.06198183648,0.19568761707562002
"Odisha, India",,,45288756.0,,,,,,,2511.388,,,,,,,292.4063191906858,,,154882.95918278708,0.19046719125337866
"Oromīya, Ethiopia",,,44052490.0,,,,,,,2638.1306,,,,,,,135.68441001304737,,,324668.75152247725,0.09346579067137903
"Kerala, India",,,41934284.0,,,,,,,5994.977,,,,,,,1067.718699798797,,,39274.65540118589,0.17911644008068422
"Heilongjiang Sheng, China",,,39568604.0,,,,,,,5438.7827,,,,,,,87.41457173644174,,,452654.5542006525,0.11490956409882165
"California, USA",39531994.0,,40201116.0,37250190.0,0.06125617077389404,33866447.0,0.16729085870743984,3071.1959579821337,,2597.5144,2994.7043389539654,0.025542294120055417,3053.480470556895,0.0058017359521568435,96.46199244118934,,98.0947165913102,90.89416400834388,82.63749494963344,409819.3806654134,0.25293696264920984
"Shanxi Sheng, China",,,39181100.0,,,,,,,5625.3677,,,,,,,250.75460901542195,,,156252.76103136464,0.29649780282973287
