longname,PW Density (r=250m),PW Density (r=250m) (2010),PW Density (r=250m) Change (2010-2020),PW Density (r=250m) (2000),PW Density (r=250m) Change (2000-2020),PW Density (r=500m),PW Density (r=500m) (2010),PW Density (r=500m) Change (2010-2020),PW Density (r=500m) (2000),PW Density (r=500m) Change (2000-2020),PW Density (r=2km),PW Density (r=2km) [GHS-POP],PW Density (r=2km) (2010),PW Density (r=2km) Change (2010-2020),PW Density (r=2km) (2000),PW Density (r=2km) Change (2000-2020),PW Density (r=4km),PW Density (r=4km) [GHS-POP],PW Density (r=4km) (2010),PW Density (r=4km) Change (2010-2020),PW Density (r=4km) (2000),PW Density (r=4km) Change (2000-2020)
"New Taipei [Taipei] 50MPC, China",,,,,,,,,,,,7226.5566,,,,,,5486.3457,,,,
"Riyadh 50MPC, Iran-Saudi Arabia-United Arab Emirates",,,,,,,,,,,,6565.596,,,,,,4184.7925,,,,
"Kaohsiung 50MPC, China-Russia-India",,,,,,,,,,,,2638.062,,,,,,1712.9379,,,,
"Davao City 50MPC, Indonesia-Philippines-Malaysia",,,,,,,,,,,,1790.2196,,,,,,1180.453,,,,
"Baghdad 50MPC, Iran-Iraq",,,,,,,,,,,,8080.9746,,,,,,6061.952,,,,
"Khartoum 50MPC, Sudan-Ethiopia-Yemen",,,,,,,,,,,,4059.2617,,,,,,2415.1257,,,,
"Abidjan 50MPC, Ivory Coast-Burkina Faso-Nigeria",,,,,,,,,,,,5551.192,,,,,,4264.8096,,,,
"Dalian 50MPC, China-North Korea",,,,,,,,,,,,4291.2505,,,,,,2548.115,,,,
"Chennai 50MPC, India",,,,,,,,,,,,6766.017,,,,,,5365.6133,,,,
"Pune 50MPC, India",,,,,,,,,,,,4926.263,,,,,,3347.9102,,,,
"Antananarivo 50MPC, Madagascar-Mozambique-Tanzania",,,,,,,,,,,,1922.6724,,,,,,1343.1746,,,,
"Sapporo 50MPC, Japan-China-Russia",,,,,,,,,,,,2277.323,,,,,,1646.8497,,,,
"Naples 50MPC, Italy-Serbia-Croatia",,,,,,,,,,,,2169.8286,,,,,,1481.065,,,,
"Lima 50MPC, Brazil-Peru-Chile",,,,,,,,,,,,4778.009,,,,,,3898.5767,,,,
"Saint Petersburg 50MPC, Ukraine-Russia-Bulgaria",,,,,,,,,,,,2887.6511,,,,,,2162.1384,,,,
"Kolkata 50MPC, India-Bangladesh",,,,,,,,,,,,17073.262,,,,,,13941.952,,,,
"Wenzhou 50MPC, China",,,,,,,,,,,,4739.356,,,,,,3322.1724,,,,
"Chattogram 50MPC, India-Bangladesh",,,,,,,,,,,,5342.186,,,,,,3982.0327,,,,
"Dublin 50MPC, United Kingdom-Algeria-Ireland",,,,,,,,,,,,2196.249,,,,,,1378.6981,,,,
"New York 50MPC, USA",7382.00513507917,6939.345205266065,0.06378987018504043,7227.493652982047,0.021378293709517396,6120.681107104362,5687.123022086436,0.07623504596861459,5789.336052872351,0.05723368814764455,4346.497246402186,3907.5593,3977.8418220733147,0.09267724580780891,3994.1794932560683,0.08820779179828667,3677.3260455715654,3394.6797,3340.4983875040457,0.10083155834695393,3346.003112362256,0.09902050957011735
"São Paulo 50MPC, Brazil",,,,,,,,,,,,7667.783,,,,,,6699.7188,,,,
"Quezon City [Manila] 50MPC, Philippines",,,,,,,,,,,,10138.997,,,,,,8472.823,,,,
"Beni 50MPC, Rwanda-Uganda-Democratic Republic of the Congo",,,,,,,,,,,,2793.7417,,,,,,1994.2069,,,,
"Atlanta 50MPC, USA",1774.5262170850174,1768.14903796446,0.0036066977294510394,1840.1994282461792,-0.03568809453644507,902.9834086313775,854.1001727772323,0.057233609607166135,857.303439415771,0.0532833150030708,558.2445119816421,558.2348,500.77617266873114,0.11475853375101945,482.14896182831234,0.1578258094029174,466.85980620626833,481.98932,413.92424313523355,0.12788708066500024,392.475526760311,0.189525905118116
"Bhubaneshwar 50MPC, China-India",,,,,,,,,,,,2388.22,,,,,,1402.2063,,,,
"Seoul 50MPC, South Korea",,,,,,,,,,,,9708.775,,,,,,8102.305,,,,
"Beijing 50MPC, China",,,,,,,,,,,,10926.807,,,,,,9425.811,,,,
"Harbin 50MPC, China",,,,,,,,,,,,5829.971,,,,,,4366.7095,,,,
"Asansol 50MPC, India",,,,,,,,,,,,4742.091,,,,,,3143.948,,,,
