longname,Utility gas heating %,Electricity heating %,"Bottled, tank, or LP gas heating %","Fuel oil, kerosene, etc. heating %",Other fuel heating %,No heating %
"77494, USA",0.662802608121873,0.31513852512561574,0.010553237840008056,0.005471257345939734,0.004857954767950808,0.0011764167986126784
"08701, USA",0.7166254737188996,0.2369418355577522,0.012984017136266264,0.028538474213214687,0.003394298896028997,0.0015159004778381936
"77449, USA",0.6460123869542003,0.3375677786302357,0.007177163873640821,0.00013109955379348386,0.006056799385258954,0.0030547716028708326
"75034, USA",0.5125915365017664,0.4714848526502598,0.0115321401070829,0.0,0.0012066531442213862,0.00318481759666973
"11368, USA",0.6887650609873526,0.10892304217385437,0.03841472460722886,0.13064456937368876,0.014753598046216405,0.01849900481165909
"75070, USA",0.5673568309321436,0.4182819176745551,0.006818705614673498,0.001673114826595187,0.002521634529200011,0.003347796422832729
"60629, USA",0.9276640284458261,0.0481271545246347,0.015039699671038843,0.0,0.0012854041532927264,0.00788371320520775
"11211, USA",0.6273178858984647,0.2494862238037911,0.029701994860387066,0.06661295649253478,0.01284474217985339,0.014036196764968886
"78660, USA",0.5312977061803372,0.45507618102199016,0.007815301409303473,0.001479809069930631,0.002190564199431555,0.002140438119006806
"77084, USA",0.47772079191305483,0.5001938077749077,0.013005189490616853,0.0006112951407685891,0.0004757332653291709,0.007993182415322885
"77433, USA",0.684442489391084,0.28907004276974774,0.018257070238835316,0.0028098223205209284,0.0033066124299980563,0.0021139628498139584
"11220, USA",0.8141105907987004,0.04429820159205424,0.04440811801320082,0.06396029009197776,0.01807441530473141,0.015148384199335499
"11373, USA",0.6697244652191728,0.062289601679016295,0.03407408630481866,0.2161550736380948,0.00618884853392781,0.011567924624969644
"79936, USA",0.7766337930204199,0.19804442001952638,0.014578356189696814,0.0003665737533192622,0.007528860933557149,0.002847996083480421
"10467, USA",0.4118704759990928,0.11663728257388946,0.036507654879994626,0.38344014526639836,0.024531209485286153,0.027013231795338485
"11208, USA",0.8643405283815178,0.05529497809758475,0.018193810631141106,0.03209595142515413,0.012785784864899466,0.01728894659970275
"90011, USA",0.5164959975041761,0.24177080974790338,0.010012692944929878,0.0014017845339005235,0.002225806523423129,0.22809290874566718
"11219, USA",0.81525589716926,0.04546605223598149,0.030091339434491455,0.08714871708645965,0.005927791357747866,0.01611020271605956
"90650, USA",0.6946813890286337,0.2162289062853722,0.012367200150389496,0.00018948019618681336,0.00564650984636704,0.07088651449305057
"11207, USA",0.7998342789567525,0.09775552913221541,0.021161037974672767,0.04926729890637096,0.011418136696762306,0.02056371833322598
"11226, USA",0.8526801950157059,0.04796192361381783,0.021700954433839036,0.05244367342225183,0.011418497362350004,0.013794756152035587
"11385, USA",0.8055156078485688,0.05958651623186828,0.03141711539000489,0.07785322441976612,0.010576934990580864,0.015050601119210966
"91331, USA",0.5632499204804466,0.3044300897443225,0.010764622105101302,0.00030362101836854997,0.020496592980765255,0.10075515367099584
"37013, USA",0.2495625674771179,0.7283314138991611,0.01303968794347231,0.002859034953763978,0.000917048947433729,0.005290246779050861
"11236, USA",0.9222418824184478,0.03504508834451097,0.013099136421096948,0.02082822794206907,0.002099902879913488,0.0066857619939619875
"94565, USA",0.6099324438659445,0.33117567027765793,0.009636559465340123,0.0011390776030619516,0.03109911974831254,0.01701712903968309
"00926, USA",0.000599279999379445,0.17759648391742425,0.0035403272138719304,0.0,0.0048789965824307885,0.8133849122868937
"92336, USA",0.8221828557786347,0.13991715631304996,0.010624396586580888,0.0007649023245811872,0.016003784264491512,0.010506904732661746
"11214, USA",0.8177491815238519,0.041719897778622235,0.04046628149001796,0.06817772765325412,0.017835574886130617,0.014051336668123178
"77573, USA",0.5976149197972089,0.3898433650879744,0.0065437208821909594,0.0,0.004103890790743878,0.0018941034418817893
"90250, USA",0.6335080825751965,0.2833964633536547,0.015407889231062961,0.0011591181728657384,0.004186237538141576,0.06234220912907843
"10025, USA",0.5265969522211638,0.13078313124055163,0.02205904527830173,0.24472980517721263,0.042621376661552426,0.03320968942121798
"91342, USA",0.6256959072345214,0.2710786290365153,0.011772695882178177,0.0005200183241745221,0.023707569095304613,0.067225180427306
"90201, USA",0.45473946148542227,0.2178239264471784,0.011473781959497133,0.0014590233125574188,0.004910185900570503,0.3095936208947744
"92335, USA",0.72844830514924,0.22969760462523509,0.006914769851518856,0.0002829379722524854,0.0070509690641967476,0.02760541333755673
"29483, USA",0.23044909657408194,0.7474330668599827,0.0119887454026726,0.00046457827202393473,0.0029448751109517877,0.006719637780287295
"90805, USA",0.6038213470382374,0.30574423515714,0.0134388974835985,0.00028642046869213156,0.006633972167958669,0.0700751276843731
"90044, USA",0.6744974733169266,0.2078106382671344,0.007021934077267554,0.0011838579698991184,0.006027898905036207,0.10345819746373615
"77429, USA",0.6435077784599501,0.3329112088167139,0.018017708363186252,0.0,0.0034023381134003685,0.002160966246749321
"75052, USA",0.33486865582670244,0.6415172884478371,0.016650842730119016,0.00043935814850406716,0.0011828873228955652,0.0053409675239418945
"78245, USA",0.14568882259059734,0.8355494785458383,0.00437617511153406,0.0,0.011907150469196553,0.0024783732828338855
"79938, USA",0.7328938662104755,0.20371907102442588,0.050820391123301875,0.0023813313266759337,0.009704559773542773,0.00048078054157821607
"10456, USA",0.5691771938739624,0.15243597580852405,0.017110076015260607,0.1964962616038829,0.012913909444343211,0.05186658325402671
"77584, USA",0.6398495262046345,0.3396325321120909,0.017373907434867455,0.0,0.0006973280347275519,0.0024467062136795097
"11377, USA",0.7916535154481017,0.05763168764357242,0.03542195482117473,0.08108452919572419,0.013853764290185798,0.020354548601241213
"11206, USA",0.6497984371288104,0.20662492758206097,0.025018571051363837,0.06051777235684893,0.009732002838010914,0.04830828904290504
"90280, USA",0.5688728746577405,0.2904154405498467,0.0054910765938099146,0.0,0.013748649792134745,0.12147195840646816
"30044, USA",0.6590270174131798,0.3211830697691043,0.015865488493466046,0.0008527162897914185,0.0007994239196442742,0.0022722841148141416
"10314, USA",0.8758771035824637,0.05712891783607578,0.014853571472893729,0.0358628278911058,0.007288115320645016,0.008989463896815975
"60632, USA",0.932715582824917,0.049691384762116576,0.012326221572283783,0.0,0.0023680785044995706,0.0028987323361830807
"11230, USA",0.6809385183591796,0.07892059584885457,0.02820426692652502,0.14383334625391989,0.03158713082931639,0.036516141782204664
"11234, USA",0.8959172057710977,0.028993374639918093,0.028553744976970597,0.03389388408643766,0.007226800174065971,0.005414990351510045
"77479, USA",0.7382612859453125,0.24271334394331837,0.01528012460864672,0.0,0.0015488695506160326,0.0021963759521063573
"11355, USA",0.7675805949701435,0.09167791686371222,0.024463717174691788,0.09266982216329162,0.011436745997233742,0.012171202830927125
"91710, USA",0.7507179478832652,0.19888369062046,0.01530402803025789,0.0007754658206832326,0.01697292165636659,0.017345945988967045
"92683, USA",0.6587721122588392,0.24445305651295657,0.015607351092133294,0.0004524052770768715,0.008544145800021472,0.07217092905897261
"11212, USA",0.757036866441079,0.10029639407770295,0.014601354900701746,0.08950280927768905,0.013245951610180648,0.025316623692646475
"60618, USA",0.8854515709602421,0.08456619571444302,0.01117107708853983,6.122298891384429e-05,0.005232205550571703,0.013517727697289377
"92503, USA",0.7688307184700175,0.17912940744759656,0.010747260249593904,0.0003287420707373959,0.01019908523548846,0.03076478652656622
"93307, USA",0.5292159284967511,0.41068641585622107,0.017396191407035803,0.0,0.015821307083727178,0.026880157156264926
"93727, USA",0.5573787467688116,0.335077924212352,0.04420422918704889,0.007129399287949158,0.04859076537424583,0.007618935169592513
"34787, USA",0.08404217868234695,0.8807340765505084,0.0043190529888385044,0.0,0.01662502555343058,0.014279666224875627
"60639, USA",0.9049059130544991,0.05705391474311664,0.023914324921830574,0.0004897637935409001,0.008910225124452229,0.00472585836256049
"78521, USA",0.0806361823446579,0.894565185393661,0.00861010945684427,0.0,0.0011048370541968317,0.015083685750639978
"30043, USA",0.6020607714742602,0.3750810247105787,0.019873103870791654,0.002420370867495305,0.0004285262278524935,0.00013620284902171842
"78130, USA",0.17003521447327402,0.8088424618258516,0.01294084445829275,0.0,1.4126974838270962e-05,0.008167352267743271
"60623, USA",0.9151007880629435,0.05613331625162416,0.009473857800576453,0.0008414226353335636,0.006990280355078836,0.011460334894443428
"11221, USA",0.7571369846481876,0.11775794012413757,0.02971336572471855,0.06787501276475819,0.007129994909962281,0.020386701828235716
"85142, USA",0.4496565525161731,0.524393317764646,0.01681019809969737,0.0001956225218625253,0.007731449462073341,0.0012128596355476572
"78613, USA",0.545786896363129,0.4274835052515374,0.02137427398655651,0.0,0.0026324031190928725,0.0027229212796841596
"92804, USA",0.7376581218919014,0.2069811946258377,0.01692659194960471,0.0,0.005305416701328589,0.03312867483132768
"92345, USA",0.8672385729880839,0.08304046346420124,0.0160736897236229,0.00023242056873827065,0.026907077330682122,0.006507775924671579
"78666, USA",0.1895995692038533,0.7776290897383419,0.027705416129506222,0.0,0.004523496856860524,0.0005424280714381411
"91911, USA",0.6935595892951083,0.25442957005916855,0.015262519871767261,0.00015732777187018798,0.004718739876696246,0.031872253125389514
