longname,Not Cohabiting With Partner %,Cohabiting With Partner (Gay) %,Cohabiting With Partner (Straight) %,Living With Parents %,Other Living Situation %,Never Married %,Married (not divorced) %,Divorced %,geoid
"Los Angeles County, California, USA",0.16056040241414032,0.007738254460186784,0.33822513997570186,0.3472655328233993,0.14621067032657167,0.4213492450505306,0.4965814589937159,0.08206929595575342,06037
"Cook County, Illinois, USA",0.20740442686512672,0.0077687371130296685,0.3540031928850806,0.3270933942788017,0.10373024885796144,0.41715840624991296,0.49675800590678804,0.08608358784329903,17031
"Harris County, Texas, USA",0.16661072368256627,0.005449411032686115,0.36738639772560266,0.36864511680577605,0.09190835075336888,0.3662891554165825,0.5377181661277136,0.09599267845570382,48201
"Maricopa County, Arizona, USA",0.16576089981720488,0.00796713487119427,0.4079721999688841,0.3198321957624979,0.09846756958021884,0.34131828442176076,0.542074162127101,0.11660755345113825,04013
"San Diego County, California, USA",0.14834134079770964,0.00872196950449033,0.38617840572659007,0.3210605472799367,0.1356977366912733,0.36245968464283634,0.5395149932778022,0.09802532207936158,06073
"Orange County, California, USA",0.1324066210344673,0.005397507721751143,0.39426347123000527,0.3370522295322639,0.13088017048151257,0.34687689490996276,0.5616155775798454,0.09150752751019177,06059
"Kings County, New York, USA",0.20262411201087904,0.008694440306926796,0.31245566506458566,0.3363659289431732,0.13985985367443532,0.44287154764314246,0.4830341450995012,0.07409430725735623,36047
"Miami-Dade County, Florida, USA",0.17034414282641805,0.006891292270616095,0.34850690990481414,0.34092980776532167,0.13332784723283,0.35638467817342045,0.5171248764973398,0.12649044532923964,12086
"Dallas County, Texas, USA",0.18493259549387575,0.007725968452679404,0.34958509967666657,0.3585161871401224,0.09924014923665593,0.3816101584208439,0.5168429572021096,0.10154688437704655,48113
"Riverside County, California, USA",0.11938459265248366,0.009371066076018566,0.36655818565402737,0.3821567065712416,0.12252944904622888,0.34914420975965027,0.5581556454110891,0.09270014482926064,06065
"Queens County, New York, USA",0.16533165083327442,0.006023347113081943,0.3381594915405432,0.3280839538690243,0.1624015566440761,0.3805645555025685,0.5431813001860765,0.07625414431135494,36081
"King County, Washington, USA",0.17957517819102026,0.012324129898107895,0.4338417031864243,0.26639358388554446,0.10786540483890301,0.35447162788765807,0.5476070843187909,0.09792128779355103,53033
"Clark County, Nevada, USA",0.17844095436114346,0.007474182561704784,0.3673715806264668,0.32546129860560485,0.12125198384507999,0.3522386219832547,0.5140404251857548,0.13372095283099056,32003
"San Bernardino County, California, USA",0.12194211981091266,0.004692614843088969,0.3518116173998894,0.39985887149706506,0.12169477644904378,0.37738011709698643,0.5282907731584934,0.09432910974452013,06071
"Tarrant County, Texas, USA",0.15716127465578725,0.005895925960095659,0.38706701345584893,0.36238433655058105,0.08749144937768712,0.3341170406884598,0.5561826571465535,0.10970030216498657,48439
"Bexar County, Texas, USA",0.1764216961498645,0.006650469210310161,0.36104410218831984,0.3625383643076669,0.09334536814383848,0.36161457068328345,0.5236696331870637,0.1147157961296529,48029
"Broward County, Florida, USA",0.18940002098677952,0.011803255639163823,0.3666411482561088,0.32288215715171154,0.10927341796623637,0.3430907995030115,0.5233814788356517,0.1335277216613367,12011
"Santa Clara County, California, USA",0.12747234357268164,0.005299761024122977,0.40935980808352973,0.3159806611128619,0.14188742620680375,0.3446940517413957,0.5823069184654164,0.07299902979318787,06085
"Wayne County, Michigan, USA",0.21850271066683463,0.004591623220941548,0.3245693188161024,0.3606731773328683,0.09166316996325297,0.4186146077130552,0.46267039988193004,0.11871499240501458,26163
"New York County, New York, USA",0.3020969384698339,0.018841291714097434,0.2962782337786832,0.2254005152477385,0.15738302078964705,0.49616087676387066,0.4166193840175987,0.08721973921853064,36061
"Alameda County, California, USA",0.14957022804278153,0.009409466106305487,0.38676499714021423,0.30749668279896775,0.14675862591173078,0.372069983482523,0.5468448209380435,0.08108519557943358,06001
