longname,LICO-AT %,Household income < C$50k %,Household income C$50k - C$100k %,Household income > C$100k %,Individual income < C$50k %,Individual income C$50k - C$100k %,Individual income > C$100k %
"Toronto CMA, ON, Canada",0.06570243129986307,0.20510131507773774,0.29758428188380076,0.49731440303846147,0.5999481039607285,0.2671581157377902,0.13289378030148136
"Montréal CMA, QC, Canada",0.06998511216720005,0.2950913647880532,0.34284264913268286,0.362065986079264,0.6084258476146491,0.29641906848113514,0.09515508390421584
"Vancouver CMA, BC, Canada",0.07691282144423565,0.234942963532123,0.30714482731445947,0.45791220915341757,0.5954632565594631,0.2829808239543762,0.12155591948616085
"Ottawa - Gatineau CMA, QC-ON, Canada",0.05378942887353922,0.18860273132332012,0.3112311401528381,0.5001661285238419,0.5064315540444448,0.3369315561990709,0.15663688975648418
"Calgary CMA, AB, Canada",0.053772076134780064,0.17910912487636899,0.3059819040990513,0.5149089710245799,0.5488383256955162,0.29165648044022213,0.1595051938642617
"Edmonton CMA, AB, Canada",0.05084825346832191,0.19150756272502462,0.3186497081135952,0.4898427291613803,0.5428228861477589,0.31734375874745824,0.13983335510478279
"Québec CMA, QC, Canada",0.04832739922856561,0.2827536329625362,0.35547765244104934,0.3617687145964144,0.5531727612648267,0.35853253237857846,0.08829470635659474
"Winnipeg CMA, MB, Canada",0.07729886114278019,0.24725839616175385,0.3499750763287442,0.402766527509502,0.615864322533139,0.2985011659302877,0.08563451153657325
"Hamilton CMA, ON, Canada",0.05404055474111643,0.2161481506354828,0.3187488457211939,0.46510300364332324,0.5783764616760817,0.29806506725120313,0.12355847107271521
"Kitchener - Cambridge - Waterloo CMA, ON, Canada",0.062343081438523476,0.20771269733292652,0.3287982923224879,0.46348901034458556,0.5832140300644241,0.3045700608446667,0.11221590909090913
"London CMA, ON, Canada",0.056128711850748046,0.2628252445100572,0.3563388078981354,0.38083594759180744,0.6123111294020817,0.29407960491504465,0.09360926568287374
"Halifax CMA, NS, Canada",0.054572327420124744,0.2572835007698415,0.3528295695246178,0.38988692970554073,0.5934684026177708,0.3115432238855407,0.09498837349668847
"St. Catharines - Niagara CMA, ON, Canada",0.04147579401062203,0.2733255462807326,0.3656021195977317,0.3610723341215358,0.6505187344594012,0.27131384149304066,0.07816742404755798
"Windsor CMA, ON, Canada",0.043839571434805935,0.24449760276068724,0.3546969192817598,0.4008054779575529,0.6217140633327463,0.28365450872434095,0.0946314279429129
"Oshawa CMA, ON, Canada",0.029945975016500825,0.1616814313010251,0.31089108910891083,0.5274274795900641,0.564153345593436,0.30562235739771465,0.13022429700884947
"Victoria CMA, BC, Canada",0.04468288003524216,0.23823868638936424,0.34075860748827563,0.4210027061223601,0.5508134637427573,0.33416065574596254,0.11502588051128024
"Saskatoon CMA, SK, Canada",0.04737072246424937,0.22160870281852618,0.3340613153123457,0.44432998186912814,0.5640046975924827,0.3183877191510783,0.11760758325643901
"Regina CMA, SK, Canada",0.042552755162725824,0.20770182493040562,0.33601402206412995,0.45628415300546443,0.5330518152604045,0.34100868456696687,0.12593950017262862
"Sherbrooke CMA, QC, Canada",0.047287741229070576,0.3677697981366464,0.3459336180124227,0.28629658385093093,0.6433995979450523,0.2906801429528704,0.06592025910207729
"Kelowna CMA, BC, Canada",0.0426740105283681,0.24332989186545667,0.34103135358365466,0.41563875455088867,0.5957639193336255,0.2969366505918457,0.10729943007452886
"Barrie CMA, ON, Canada",0.03326180257510726,0.17624925737672476,0.3250379563007457,0.4987127863225295,0.5878990993147606,0.30258236332625194,0.1095185373589876
"St. John's CMA, NL, Canada",0.04761163459707587,0.2603999690904047,0.3160744065611761,0.42352562434841917,0.5822831303087468,0.3007692773737238,0.11694759231752944
"Abbotsford - Mission CMA, BC, Canada",0.03426791277258562,0.2068567914520718,0.3244676762241527,0.46867553232377557,0.6309700385642244,0.287847325224958,0.08118263621081785
"Kingston CMA, ON, Canada",0.05103200717918039,0.2456875480131295,0.3484181856274877,0.4058942663593827,0.5785807575097954,0.3145769844725005,0.10684225801770417
"Greater Sudbury / Grand Sudbury CMA, ON, Canada",0.03782343076185913,0.2462947427293069,0.3307466442953025,0.4229586129753907,0.5571527853981497,0.3165807088774274,0.12626650572442286
