longname,Within 10km of Hospital %,Mean distance to nearest Hospital
"Horry County School District, South Carolina, USA",0.6750183033310638,1.0
"San Juan Unified School District, California, USA",1.0,1.0
"Conroe Independent School District, Texas, USA",0.8651927735542344,1.0
"Cincinnati City School District, Ohio, USA",1.0,1.0
"Henrico County Public Schools, Virginia, USA",0.9158478311574137,1.0
"Howard County Public Schools, Maryland, USA",0.950848135966562,1.0
"Wichita Unified School District 259, Kansas, USA",0.9977314935241702,1.0
"St. Lucie County School District, Florida, USA",0.9447249002205172,1.0
"Oxnard Union High School District, California, USA",0.9939770478343719,1.0
"Cherry Creek School District 5, Colorado, USA",0.9865096998024085,1.0
"Durham Public Schools, North Carolina, USA",0.7811891033238618,1.0
"Huntington Beach Union High School District, California, USA",1.0,1.0
"Fayette County School District, Kentucky, USA",0.9928170629630778,1.0
"Escambia County School District, Florida, USA",0.8335440580295429,1.0
"Tempe Union High School District, Arizona, USA",0.9189575843144114,1.0
"El Paso Independent School District, Texas, USA",0.8690634361564784,1.0
"Indianapolis Public Schools, Indiana, USA",1.0,1.0
"Lewisville Independent School District, Texas, USA",1.0,1.0
"Chula Vista Elementary School District, California, USA",0.9973545057261027,1.0
"Cumberland County Schools, North Carolina, USA",0.842883459997946,1.0
"St. Paul Public School District, Minnesota, USA",1.0,1.0
"Newark City School District, New Jersey, USA",1.0,1.0
"Jordan School District, Utah, USA",0.9985558123716591,1.0
"Pittsburgh School District, Pennsylvania, USA",1.0,1.0
"Garland Independent School District, Texas, USA",1.0,1.0
"St. Louis City School District, Missouri, USA",1.0,1.0
"San Antonio Independent School District, Texas, USA",1.0,1.0
"Aldine Independent School District, Texas, USA",1.0,1.0
"Clayton County School District, Georgia, USA",0.8354079431117802,1.0
"Round Rock Independent School District, Texas, USA",1.0,1.0
"Lincoln Public Schools, Nebraska, USA",0.9863578508368087,1.0
"Chatham County School District, Georgia, USA",0.7618799150236667,1.0
"Jersey City School District, New Jersey, USA",1.0,1.0
"Leon County School District, Florida, USA",0.8113642119384801,1.0
"Beaverton School District 48J, Oregon, USA",0.9961017187408928,1.0
"Oklahoma City Public Schools, Oklahoma, USA",0.9998661638086348,1.0
"Anchorage School District, Alaska, USA",0.8419666766354883,1.0
"William S. Hart Union High School District, California, USA",0.8489705390023435,1.0
"Tulsa Public Schools, Oklahoma, USA",0.9831254406231895,1.0
"Modesto City High School District, California, USA",0.9958459041671214,1.0
"Corona-Norco Unified School District, California, USA",0.9510373591900756,1.0
"Alachua County School District, Florida, USA",0.813849347142221,1.0
"Buffalo City School District, New York, USA",1.0,1.0
"Madison Metropolitan School District, Wisconsin, USA",0.9987193546990664,1.0
"Chandler Unified District, Arizona, USA",0.9657857011313288,1.0
"Klein Independent School District, Texas, USA",1.0,1.0
"Frisco Independent School District, Texas, USA",1.0,1.0
"Garden Grove Unified School District, California, USA",1.0,1.0
"Alief Independent School District, Texas, USA",1.0,1.0
"San Bernardino City Unified School District, California, USA",0.9780265188359796,1.0
"St. Johns County School District, Florida, USA",0.6211904544207735,1.0
"Irvine Unified School District, California, USA",1.0,1.0
"Frederick County Public Schools, Maryland, USA",0.5544297927623225,1.0
"Salem-Keizer School District 24J, Oregon, USA",0.9763191001258048,1.0
