longname,PW Density (250m) [StatCan],PW Density (500m) [StatCan],PW Density (2km) [StatCan],PW Density (4km) [StatCan]
"Toronto CMA, ON, Canada",8039.721930545261,6100.727967895657,4143.628022999761,3399.609492594582
"Montréal CMA, QC, Canada",6204.047043766113,5194.7431018966845,3733.7025632657683,3138.9456803506578
"Vancouver CMA, BC, Canada",7016.811450592905,5626.4552557097095,3738.0465187192844,2872.5764547949175
"Ottawa - Gatineau CMA, QC-ON, Canada",4207.504251603155,3077.9256457476195,1940.3173183729125,1485.0438969351837
"Calgary CMA, AB, Canada",4657.098416847501,3430.4712871112956,2348.4318618535576,1805.295077345016
"Edmonton CMA, AB, Canada",3940.7623804457708,2841.567110371221,1977.4656855129808,1538.7344979569064
"Québec CMA, QC, Canada",3894.3663163102906,2881.137990131382,1826.4305024075431,1417.6917734074357
"Winnipeg CMA, MB, Canada",3945.3604098743062,3129.449671206728,2255.9266738418532,1859.2655915553958
"Hamilton CMA, ON, Canada",4369.904624141488,3384.7474742123018,2292.319334207171,1748.3807247180782
"Kitchener - Cambridge - Waterloo CMA, ON, Canada",3991.914255969273,2834.6057469080124,1874.1826898602158,1510.9596551088225
"London CMA, ON, Canada",3687.5011668816205,2563.050097731391,1808.5375880772442,1489.3784456302278
"Halifax CMA, NS, Canada",3721.1742214182877,2356.6447800503065,1365.8940120192178,987.367953694227
"St. Catharines - Niagara CMA, ON, Canada",2494.472338169857,1865.831848594963,1227.57535635348,878.7851152542668
"Windsor CMA, ON, Canada",2788.507629298778,2107.9630360687934,1353.8559019686872,975.2438891599695
"Oshawa CMA, ON, Canada",3671.9887313543154,2818.3241033006557,1908.9174841350095,1479.2852351977517
"Victoria CMA, BC, Canada",3727.9442375470962,2821.990320315227,2011.3297536593386,1519.3552649396652
"Saskatoon CMA, SK, Canada",3454.2728971121524,2528.812975006708,1685.7553667753748,1253.496850536905
"Regina CMA, SK, Canada",3220.0536820771163,2571.913088666496,1700.2367223016083,1220.027797708942
"Sherbrooke CMA, QC, Canada",2639.856185829851,1807.1358379964286,1162.109575275771,836.5969121055648
"Kelowna CMA, BC, Canada",2974.583577959763,1814.9370343568119,1037.4133680457837,668.2524021511138
"Barrie CMA, ON, Canada",2982.7392082363544,2156.4921204275097,1216.109734062814,831.664669926275
"St. John's CMA, NL, Canada",2689.212566138386,1661.1369695752348,969.3183802223608,672.753991333069
"Abbotsford - Mission CMA, BC, Canada",3694.7358282420073,2748.636282325794,1798.539755162112,1119.5439579793367
"Kingston CMA, ON, Canada",2772.8283260373696,1903.9794926642978,1065.246483736663,733.3500465877313
"Greater Sudbury / Grand Sudbury CMA, ON, Canada",2214.695932506777,1291.2494679061967,680.355738705678,433.6387151728442
"Guelph CMA, ON, Canada",3467.69916438066,2437.901701131837,1614.6377279079882,1119.4793948727101
"Trois-Rivières CMA, QC, Canada",2596.1465092593558,1761.890959247348,1062.741329255586,827.3993115142108
"Saguenay CMA, QC, Canada",2078.146273643254,1264.9030565227542,711.3790309228552,467.2394767070607
"Moncton CMA, NB, Canada",2397.356652697643,1537.654287688482,880.6808391470067,638.7525130119204
"Brantford CMA, ON, Canada",2838.2612705883457,2021.6359129110247,1240.6122089769835,831.6348382511834
"Saint John CMA, NB, Canada",1815.4906538772996,1062.036439516514,484.5492121745212,333.24617625822134
"Peterborough CMA, ON, Canada",2146.1555662899946,1530.1592969499745,1024.0789870036836,719.4733699495216
"Lethbridge CMA, AB, Canada",2557.484957002883,1809.0777710345624,1045.3212649304812,601.1492979968548
"Thunder Bay CMA, ON, Canada",2386.8554386993887,1749.4735076071076,1051.7251794865488,654.468674554502
"Nanaimo CMA, BC, Canada",2540.486103254545,1639.086023873246,1043.3433440075867,712.1578145239297
"Kamloops CMA, BC, Canada",2906.523684646398,1643.7240750432165,809.2531453451999,492.2097261294148
"Chilliwack CMA, BC, Canada",3245.955242294324,2031.3393206386954,1099.253805481525,610.9925783305405
"Belleville - Quinte West CMA, ON, Canada",2060.7264308642157,1368.6183377033637,756.410149997807,423.1841857570154
"Fredericton CMA, NB, Canada",1919.2244329821785,1020.7176797147944,473.8220721520254,360.4197330821574
"Chatham-Kent CMA, ON, Canada",1744.2151438222413,1198.6281297275002,694.592912425733,394.9462133706689
"Drummondville CMA, QC, Canada",2067.837657037747,1488.285205336878,885.4945601309419,604.1001680365645
"Red Deer CMA, AB, Canada",3175.5804305569245,2409.205245968761,1544.1943653986054,1029.0286282855966
"Cape Breton CMA, NS, Canada",1467.8012388707712,876.7529991488187,430.779878155257,245.9255701904659
"Sarnia CMA, ON, Canada",2309.835219787799,1655.6169995050723,1038.4039644809354,659.4333435630697
"Granby CMA, QC, Canada",2399.399281479727,1677.8162075187956,1016.1654712685017,677.0916719247381
