longname,White %,Hispanic %,Black %,Asian %,Native %,Hawaiian / PI %,Other / Mixed %,Racial Homogeneity %,Segregation %,Mean Local Segregation %
"Santo Domingo Urban Center, Dominican Republic",,,,,,,,,,
"Jeddah Urban Center, Saudi Arabia",,,,,,,,,,
"Belo Horizonte Urban Center, Brazil",,,,,,,,,,
"Kumasi Urban Center, Ghana",,,,,,,,,,
"Sydney Urban Center, Australia",,,,,,,,,,
"Quanzhou (Fujian Sheng) Urban Center, China",,,,,,,,,,
"Dubai Urban Center, United Arab Emirates",,,,,,,,,,
"Onitsha Urban Center, Nigeria",,,,,,,,,,
"Cape Town Urban Center, South Africa",,,,,,,,,,
"Guadalajara Urban Center, Mexico",,,,,,,,,,
"Rawalpindi [Islamabad] Urban Center, Pakistan",,,,,,,,,,
"Taiyuan Urban Center, China",,,,,,,,,,
"Kozhikode Urban Center, India",,,,,,,,,,
"Varanasi Urban Center, India",,,,,,,,,,
"Monterrey Urban Center, Mexico",,,,,,,,,,
"Kanpur Urban Center, India",,,,,,,,,,
"Melbourne Urban Center, Australia",,,,,,,,,,
"Dortmund Urban Center, Germany",,,,,,,,,,
"Algiers Urban Center, Algeria",,,,,,,,,,
"Jinan Urban Center, China",,,,,,,,,,
"Recife Urban Center, Brazil",,,,,,,,,,
"Qingdao Urban Center, China",,,,,,,,,,
"Kampala Urban Center, Uganda",,,,,,,,,,
"Kuwait City Urban Center, Kuwait",,,,,,,,,,
"Jaipur Urban Center, India",,,,,,,,,,
"Dalian Urban Center, China",,,,,,,,,,
"Phoenix Urban Center, USA",0.5176455975840537,0.32002436527328915,0.05641827716383572,0.045931085114970176,0.01495830821794084,0.0022716578593359135,0.04275070878657453,0.507342723152134,0.2084633271725542,0.0770411157888853
"Busan Urban Center, South Korea",,,,,,,,,,
"Washington D.C. Urban Center, USA",0.37977415260711767,0.1954099235053031,0.24599498079316098,0.1263022338345962,0.0014839982476190906,0.0005060366364886527,0.0505286743757143,0.4427771840090014,0.24566387682377583,0.12919064330193994
"Tashkent Urban Center, Uzbekistan",,,,,,,,,,
"Changchun Urban Center, China",,,,,,,,,,
"Berlin Urban Center, Germany",,,,,,,,,,
"Ürümqi Urban Center, China",,,,,,,,,,
"Changsha Urban Center, China",,,,,,,,,,
"Ankara Urban Center, Turkey",,,,,,,,,,
"Damascus Urban Center, Syria",,,,,,,,,,
"Dakar Urban Center, Senegal",,,,,,,,,,
"Ibadan Urban Center, Nigeria",,,,,,,,,,
"Semarang Urban Center, Indonesia",,,,,,,,,,
"Douala Urban Center, Cameroon",,,,,,,,,,
"Mogadishu Urban Center, Somalia",,,,,,,,,,
"Shijiazhuang Urban Center, China",,,,,,,,,,
"Kochi Urban Center, India",,,,,,,,,,
"Detroit Urban Center, Canada-USA",,,,,,,,,,
"Nanchang (Northern Jiangxi Sheng) Urban Center, China",,,,,,,,,,
"Indore Urban Center, India",,,,,,,,,,
"Philadelphia Urban Center, USA",0.44801473446723095,0.13459279060927232,0.30269022932809575,0.07073295903662855,0.0014958724885761057,0.00030743013665546817,0.042165983933540874,0.5385629967973468,0.32423833668943836,0.19692103172476358
"Medellín Urban Center, Colombia",,,,,,,,,,
"Athens Urban Center, Greece",,,,,,,,,,
"Mbuji-Mayi Urban Center, Democratic Republic of the Congo",,,,,,,,,,
"Kathmandu Urban Center, Nepal",,,,,,,,,,
"Sana'a Urban Center, Yemen",,,,,,,,,,
"Fortaleza Urban Center, Brazil",,,,,,,,,,
"Nagpur Urban Center, India",,,,,,,,,,
"Asansol Urban Center, India",,,,,,,,,,
"Salvador Urban Center, Brazil",,,,,,,,,,
"Naples Urban Center, Italy",,,,,,,,,,
"Montreal Urban Center, Canada",,,,,,,,,,
"Gujranwala Urban Center, Pakistan",,,,,,,,,,
"Xiamen Urban Center, China",,,,,,,,,,
"Bamako Urban Center, Mali",,,,,,,,,,
"Kunming Urban Center, China",,,,,,,,,,
"Milan Urban Center, Italy",,,,,,,,,,
"Fuzhou (Fujian Sheng) Urban Center, China",,,,,,,,,,
"Mashhad Urban Center, Iran",,,,,,,,,,
"Durban Urban Center, South Africa",,,,,,,,,,
"Guayaquil Urban Center, Ecuador",,,,,,,,,,
"Nanning Urban Center, China",,,,,,,,,,
"Seattle Urban Center, USA",0.5352339433687132,0.12036950099058816,0.07327761001552432,0.1733211238758499,0.006176410506998731,0.012400945391619695,0.07922046585070606,0.4094188659112118,0.10180202686895706,0.055395674837234135
"Ningbo Urban Center, China",,,,,,,,,,
"Kyiv Urban Center, Ukraine",,,,,,,,,,
"Peshawar Urban Center, Pakistan",,,,,,,,,,
"Pyongyang Urban Center, North Korea",,,,,,,,,,
"Lusaka Urban Center, Zambia",,,,,,,,,,
"Multan Urban Center, Pakistan",,,,,,,,,,
"Patna Urban Center, India",,,,,,,,,,
"Cebu City Urban Center, Philippines",,,,,,,,,,
"Thiruvananthapuram Urban Center, India",,,,,,,,,,
"Tel Aviv Urban Center, Israel",,,,,,,,,,
"Agra Urban Center, India",,,,,,,,,,
"Antananarivo Urban Center, Madagascar",,,,,,,,,,
"Changzhou Urban Center, China",,,,,,,,,,
"Brazzaville Urban Center, Congo",,,,,,,,,,
"Maputo Urban Center, Mozambique",,,,,,,,,,
"Guiyang (Guizhou Sheng) Urban Center, China",,,,,,,,,,
"Kollam Urban Center, India",,,,,,,,,,
"Tasikmalaya Urban Center, Indonesia",,,,,,,,,,
"Izmir Urban Center, Turkey",,,,,,,,,,
"Caracas Urban Center, Venezuela",,,,,,,,,,
"Lanzhou Urban Center, China",,,,,,,,,,
"Guatemala City Urban Center, Guatemala",,,,,,,,,,
"Hyderabad Urban Center, Pakistan",,,,,,,,,,
"Cali Urban Center, Colombia",,,,,,,,,,
"Birmingham Urban Center, United Kingdom",,,,,,,,,,
"Conakry Urban Center, Guinea",,,,,,,,,,
"Aleppo Urban Center, Syria",,,,,,,,,,
"Kaohsiung Urban Center, China",,,,,,,,,,
"Rome Urban Center, Italy",,,,,,,,,,
"Ouagadougou Urban Center, Burkina Faso",,,,,,,,,,
"Daegu Urban Center, South Korea",,,,,,,,,,
"Taichung Urban Center, China",,,,,,,,,,
"Tunis Urban Center, Tunisia",,,,,,,,,,
"Quito Urban Center, Ecuador",,,,,,,,,,
"Denver Urban Center, USA",0.5877226949227011,0.2521331357052127,0.05788486623345762,0.04646739734364556,0.004950533134337544,0.0016219695454382267,0.049219403115207276,0.5167808894238107,0.1715363611294975,0.08031112758443489
"Curitiba Urban Center, Brazil",,,,,,,,,,
"Manchester Urban Center, United Kingdom",,,,,,,,,,
"Fukuoka Urban Center, Japan",,,,,,,,,,
"Sialkot Urban Center, Pakistan",,,,,,,,,,
"Boston Urban Center, USA",0.571164111777768,0.14996606101148025,0.0987816842144801,0.11805894026290867,0.00111788499735732,0.0002597964733858411,0.0606515212626198,0.4961781196826323,0.19277681507956695,0.10857690659629142
"Makassar Urban Center, Indonesia",,,,,,,,,,
"Coimbatore Urban Center, India",,,,,,,,,,
"Manaus Urban Center, Brazil",,,,,,,,,,
"Bhopal Urban Center, India",,,,,,,,,,
"Tangshan Urban Center, China",,,,,,,,,,
"Ludhiana Urban Center, India",,,,,,,,,,
"Cixi Urban Center, China",,,,,,,,,,
"Baotou Urban Center, China",,,,,,,,,,
"Chandigarh Urban Center, India",,,,,,,,,,
"Bursa Urban Center, Turkey",,,,,,,,,,
"Lomé Urban Center, Ghana-Togo",,,,,,,,,,
"Vadodara Urban Center, India",,,,,,,,,,
"Palembang Urban Center, Indonesia",,,,,,,,,,
"Goiânia Urban Center, Brazil",,,,,,,,,,
"Vancouver Urban Center, Canada",,,,,,,,,,
"Prayagraj Urban Center, India",,,,,,,,,,
"Tegal Urban Center, Indonesia",,,,,,,,,,
